table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1023876/table_0|2|0|авиакомпания|авиакомпании Аэрофлот, Nordwind Airlines и Pegas Fly авиакомпания S7 Airlines авиакомпании Победа и Якутия авиакомпания СиЛА авиакомпания Алроса авиакомпания ЮВТАэро авиакомпани Красавиа и ЮВТАэро авиакомпания Якутия авиакомпания S7 Airlines авиакомпании Nordwind Airlines и Pegas Fly авиакомпании Алроса и Уральские авиалинии авиакомпания Алроса 
dataset/Dataset/data/1036084/table_0|0|0|авиакомпания|S7 Airlines Аврора Аэрофлот ИрАэро Россия Якутия Авиашельф 
dataset/Dataset/data/1041034/table_1|0|0|авиакомпания|Nordwind Airlines S7 Airlines Utair Аэрофлот Руслайн Уральские авиалинии ЮВТ Аэро Ямал 
dataset/Dataset/data/1041060/table_1|0|0|авиакомпания|Северсталь Utair Комиавиатранс Газпром авиа 
dataset/Dataset/data/1042430/table_1|0|0|авиакомпания|РусЛайн 
dataset/Dataset/data/104903/table_0|0|0|авиакомпания|Белавиа 
dataset/Dataset/data/1075560/table_2|0|0|авиакомпания|Азимут РусЛайн Уральские авиалинии 
dataset/Dataset/data/1094173/table_1|0|0|авиакомпания|Ангара ЮТэйр 
dataset/Dataset/data/1096900/table_0|0|0|авиакомпания|СиЛА 
dataset/Dataset/data/1097516/table_0|0|0|авиакомпания|Aerocancun Аэрофлот Aeroperú AeroLyon Aeromexico Aerowings Africa One African Safari Airways Air Afrique Air Algérie Air Europe Italy Air Florida Air France Air Gulf Falcon Air Hawaii Air Liberté Air Mali Air Martinique Air New Zealand Air Outre Mer Air Panama Air Pacific Air Siam Air Tchad Air Zaïre Air Lib Airtours International Airways Alitalia Aloha Airlines American Airlines American Trans Air AOM French Airlines Ariana Afghan Airlines Astra Airlines AvCom Commercial Aviation Avensa Avient Balair Birgenair Biman Bangladesh Airlines Bogazici BrasMex Cargo British Airways British Caledonian Airways British Caledonian Charter Cal-Air Caledonian Airways Cameroon Airlines Canadian Airlines International Canadian Pacific Airlines Capitol Air Cargoitalia CargoLion ChallengAir Condor Airlines Continental Airlines Continental Micronesia Corsairfly DAS Air Cargo Delta Air Lines DETA Air Dominicana de Aviación Eastern Air Lines Ecuatoriana de Aviación Electra Airlines Emery Worldwide Ethiopian Airlines European Airlift Excalibur Airways Express One International FedEx Finnair Garuda Indonesia Gemini Air Cargo Ghana Airways Global Air Tanker Services Harlequin Air Hawaiian Airlines Hughes Aircraft Company Iberia International Red Cross Icelandair JAT JALways Japan Airlines Japan Air Charter Japan Air System Japan Asia Airways Jet Charter Service JMC Airlines Kelowna Flightcraft Air Charter Kenya Airways Key Airlines KLM Korean Air Красноярские авиалинии Kuwait Airways Laker Airways Laker Airways LAN Chile Leisure Air Líneas Aéreas Paraguayas Linhas Aéreas de Moçambique LOT Polish Airlines Lufthansa Malaysia Airlines Mandala Airlines Martinair Master Top Airlines Mexicana de Aviación Minerve Monarch Airlines MyTravel Airways National Airlines (NA) Nigeria Airways NMB Air Operations Northwest Airlines Novair International Airways Okada Air Omega Aerial Refueling Services Orbis International Overseas National Airways Pacific East Air Pakistan International Airlines Pan American World Airways Philippine Airlines PLUNA Premiair Qantas Raytheon Company Royal Netherlands Air Force Sabena Santa Barbara Airlines Saudi Arabian Airlines Scanair Scandinavian Airlines Scibe Airlift Zaire Shabair Servicios de Transportes Aéreos Fueguinos Singapore Airlines Skyjet Skyjet Brasil Skyservice USA Sobelair Solar Cargo Spantax Sudan Airways Sun Country Airlines Swissair 10 Tanker Air Carrier Taino Airways TAROM Thai Airways International The Hawaii Express Трансаэро Trans International Airlines Transmile Air Services Transportes Aéreos Bolivianos TranStar Airlines Tunisair Turkish Airlines Union des Transports Aériens United Airlines United States Air Force VARIG VASP Viasa Virgin Express Wardair Canada Western Airlines World Airways Zambia Airways 
