table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1278125/table_0|4|1|автомобиль|Ауди Ауди Ауди Мерседес Мерседес Ауди Ауди Ауди Мерседес Ауди Ауди 
dataset/Dataset/data/1278125/table_0|6|1|автомобиль|Ауди Ауди Мерседес Мерседес Мерседес Ауди Мерседес Ауди Мерседес Ауди Ауди 
dataset/Dataset/data/1280905/table_0|2|1|автомобиль|Seat Panda Renault 5 Renault 5 Renault 5 Renault 5 Renault 5 Ford Sierra RS Cosworth Ford Sierra RS Cosworth Toyota Celica GT-Four ST165 Toyota Celica GT-Four ST165 Toyota Celica GT-Four ST185 разные Volkswagen Race Touareg Volkswagen Race Touareg Volkswagen Race Touareg 2 Peugeot 3008 DKR Mini John Cooper Works Buggy 
dataset/Dataset/data/1324347/table_4|2|1|автомобиль|Citroën C2 S1600 
dataset/Dataset/data/1326226/table_6|2|1|автомобиль|McLaren F1 GTR 
dataset/Dataset/data/1335179/table_0|1|1|автомобиль|Range Rover Rolls-Royce Phantom Volkswagen Golf GTI Bugatti Veyron Lamborghini Gallardo Spyder Ford Mondeo или Subaru Legacy Outback Caterham 7 Superlight R500 Lamborghini Gallardo LP550-2 Valentino Balboni Citroen DS3 Range Rover Evoque Toyota GT86 Ford Fiesta ST Toyota 4Runner 
dataset/Dataset/data/1337869/table_20|3|1|автомобиль|BMW 1-series M, Mini Rally Car, Jaguar E-type Citroën DS3 Racing, Fiat 500C Abarth, Renaultsport Clio 200 Cup, Aston Martin Virage Range Rover Evoque, McLaren MP4-12C, Ferrari 458 Jaguar XKR-S, Nissan GT-R Jensen Interceptor, Lotus T125 Nissan Leaf, Peugeot iOn, Lamborghini Aventador 
dataset/Dataset/data/1337869/table_22|3|1|автомобиль|Pagani Huayra, Bentley Continental GT Lexus LFA, SRT Viper GTS, Aston Martin Vanquish Toyota GT86, Shelby Mustang GT500 Kia Cee'd • Mastretta MXT • Ford Focus ST • Renault Megane RenaultSport Cup 265 • Vauxhall Astra VXR Range Rover BMW 5-Series Touring • Volvo 850R Wagon • Subaru Impreza WRX Wagon BMW 5-Series Touring • Volvo 850R Wagon • Subaru Impreza WRX Wagon 
dataset/Dataset/data/1337869/table_37|3|1|автомобиль|Lamborghini Sián FKP 37 Ferrari Roma • Alfaholics GTA-R нет Toyota GR Yaris 
dataset/Dataset/data/1340504/table_5|2|1|автомобиль|Opel Calibra V6 Opel Calibra V6 Opel Calibra V6 
dataset/Dataset/data/1340504/table_8|2|1|автомобиль|BMW V12 LMR BMW V12 LMR BMW M3 Cadillac Northstar LMP02 Audi R8 Audi R8 Audi R8 
dataset/Dataset/data/1354379/table_5|3|1|автомобиль|Porsche 550A/4 RS Coupe Ferrari 250 TR58 Porsche 718 RSK Ferrari 250 TRI/60 Ferrari 250 TRI/61 
dataset/Dataset/data/1365478/table_2|2|1|автомобиль|Subaru Impreza WRX STI 
dataset/Dataset/data/1413261/table_6|2|1|автомобиль|McLaren F1 GTR 
dataset/Dataset/data/1413262/table_6|2|1|автомобиль|McLaren F1 GTR 
dataset/Dataset/data/1418002/table_12|1|1|автомобиль|Gardner Douglas Cobra Jaguar Mark II Willys MB Nissan Skyline Triumph TR6 BMW Isetta Ford Mustang Fastback Mercedes-Benz SLK-Class В общем 
dataset/Dataset/data/1418002/table_27|2|1|автомобиль|Ford Falcon Mazda RX-7 Holden Commodore Ford Escort Ford Escort Volkswagen Golf Caterham 7 Land Rover Freelander Volkswagen Transporter (Kombi) Jeep CJ Chevrolet Opala Chevrolet Corvette Stingray Chevrolet Apache Jaguar E-Type Jaguar E-Type Fiat 126 ГАЗ-66 
dataset/Dataset/data/1418002/table_7|1|1|автомобиль|Jensen Interceptor III Ford Sierra Sapphire RS Cosworth Volkswagen Type 2 T2 BMW 840Ci Triumph Stag В общем 
dataset/Dataset/data/1418002/table_9|1|1|автомобиль|Jaguar E-Type Series 3 Mini Moke Range Rover P38 Austin-Healey «Frogeye» Sprite Saab 9-3 Turbo Convertible В общем 
dataset/Dataset/data/1430446/table_1|4|1|автомобиль|Ford Sierra RS Cosworth Lancia Delta Integrale Lancia Delta Integrale 16V Lancia Delta Integrale 16V Lancia Delta Integrale 16V Lancia Delta Integrale 16V Lancia Delta HF Integrale Lancia Delta HF Integrale Lancia Delta HF Integrale Lancia Delta HF Integrale Lancia Delta HF Integrale Lancia Delta HF Integrale Toyota Celica Turbo 4WD Toyota Celica Turbo 4WD Toyota Celica Turbo 4WD Toyota Celica Turbo 4WD Toyota Celica GT-Four Toyota Corolla WRC Toyota Corolla WRC Peugeot 206 WRC 
