table_id|column_id|label_id|label|column_data
dataset/Dataset/data/103688/table_2|2|2|адрес|Kungsgatan 9-13 Djursholm, Bragevägen 17 (?) Tysta gatan 3 Tysta gatan 5 Starrbäcksgatan 2 Kungsgatan 27 BirgerJarlsgatan 64 / Rådmansgatan Klevgränd 4-B / Urvädersgränd 5 Falugatan 9-11 Torsgatan 36 Torsgatan 38 Kommendörsgatan 31 A & B / Brandvakten 7 Sankt Eriksgatan 84 Sankt Eriksgatan 86 / Torsgatan 43 Ynglingagatan 7 Torsgatan 41 Berzelii park 9 Alströmergatan 49 Bondegatan 53 Havregatan 13, 14 Valhallavägen 75-77 
dataset/Dataset/data/1094829/table_0|3|2|адрес|1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16 384 32 768 65 536 131 072 262 144 524 288 1 048 576 2 097 152 4 194 304 8 388 608 16 777 216 33 554 432 67 108 864 134 217 728 268 435 456 536 870 912 1 073 741 824 2 147 483 648 4 294 967 296 
dataset/Dataset/data/1094829/table_0|4|2|адрес|(нет)  2 2 6 14 30 62 126 254 510 1022 2046 4094 8190 16 382 32 766 65 534 131 070 262 142 524 286 1 048 574 2 097 150 4 194 302 8 388 606 16 777 214 33 554 430 67 108 862 134 217 726 268 435 454 536 870 910 1 073 741 822 2 147 483 646 4 294 967 294 
dataset/Dataset/data/1123137/table_0|1|2|адрес|Лермонтовский проспект, д. № 4 Малый проспект Васильевского острова, д. № 37 / 12-я линия В. О., д. № 49 7-я линия В. О., д. № 4 / Академический переулок, д. № 7 — правая часть Средний проспект, д. № 8 / Тучков переулок, д. № 20 Вознесенский проспект, д. № 33 Вознесенский проспект, д. № 53 Спасский переулок, д. № 7 Казначейская улица, д. № 1 / Набережная канала Грибоедова, д. № 61 Английский проспект, д. № 29 / Улица Союза Печатников, д. № 28 Набережная канала Грибоедова, д. № 117 / Проспект Римского-Корсакова, д. № 27 Средний проспект В. О., д. № 40 Большой проспект Васильевского острова, д. № 40 / 15-я линия В. О., д. № 8 Улица Союза Печатников, д. № 8 Переулок Пирогова, д. № 21 Средний проспект В. О., д. № 47 / 11-я линия В. О., д. № 34, правая часть Стремянная улица, д. № 8 Большая Морская улица, д. № 65 / Конногвардейский переулок, д. № 10 / Почтамтская улица, д.№ 20 11-я линия В. О., д. № 10 2-я линия В. О., д. № 11 / Улица Репина, д. № 12 4-я линия В. О., д. № 31 12-я линия В. О., д. № 23 Английская набережная, д. № 64 / Галерная улица, д. № 65 Набережная Мойки, д. № 73 / Гороховая улица, д. № 15 Набережная канала Грибоедова, д. № 119—121 / Проспект Римского-Корсакова, д. № 14 5-я линия В. О., д. № 28 Набережная Адмиралтейского канала, д. № 5/ Галерная улица, д. № 30 Английская набережная, д. № 44 / Галерная улица, д. № 45 Подольская улица, д. № 14, правая часть Набережная Мойки, д. № 86 / Прачечный переулок, д. № 2 Почтамтская улица, д. № 2 / Исаакиевская площадь, д. № 9 6-я линия В. О., д. № 3 / Академический переулок, д. № 10 Большая Морская улица, д. № 50 8-я линия В. О., д. № 27 6-я линия В. О., д. № 27 Большой проспект Васильевского острова, д. № 50 
dataset/Dataset/data/124674/table_0|3|2|адрес|https://www.google.com https://www.youtube.com https://mail.google.com/ https://www.google.com/maps/ https://www.drive.google.com http://www.plus.google.com https://play.google.com/ http://www.news.google.com https://hangouts.google.com/ https://translate.google.com/ http://www.photos.google.com https://books.google.ru/ http://www.docs.google.com http://www.blogger.com http://www.google.com/moon/ http://www.google.com/mars https://www.google.com/sky/ http://www.google.com/cse/ http://www.google.com/intl/ru/earth/ http://www.developers.google.com/maps/ (недоступная ссылка) http://www.google.com/alerts http://www.calendar.google.com (недоступная ссылка) https://web.archive.org/web/20181110202354/http://answers.google.com/answers/ http://answers.google.com http://www.google.com/bookmarks/ http://www.keep.google.com http://www.groups.google.com http://www.sites.google.com http://www.google.com/cloudprint/ http://www.google.com/finance/ http://www.google.ru/trends/ http://www.google.com/trends/correlate/ http://www.google.com/analytics/ http://www.books.google.com/ngrams/ http://www.google.com/adsense/ http://www.google.ru/adwords/ http://www.appengine.google.com http://www.google.com/culturalinstitute/ http://www.google.com/culturalinstitute/project/art-project/ https://api.ai https://web.archive.org/web/20190826201750/https://picasa.google.ru/ https://web.archive.org/web/20110224030910/http://www.panoramio.com/ https://www.youtube.com/watch?v=nUih5C5rOrA http://www.google.com/talk/ https://web.archive.org/web/20090909061231/http://wave.google.com/ https://web.archive.org/web/20101001094449/http://www.googlelabs.com/ 
dataset/Dataset/data/130095/table_1|2|2|адрес|Кладбищенская, 11, канцелярия Русско-Азиатского Банка, тел. 52-40 Телефонная, 5, тел. 9-43 Горчаковская, 19, тел. 3-67 угол Гоголевской и Молоканской, тел. 3-72 Полицейская, 20, тел. 7-09 Биржевая, 32, «Электрическая Сила», тел. 8-00 Молоканская, 35, тел. 9-07 Красноводская, 8, тел. 32-50 Позеновская, 15, тел. 11-53 Губернская, угол Спасской, тел. 8-54 Полицейская, 15 Красноводская, 8, канцелярия-Гимназическая ул., д. Армянского Человеколюбивого об-ва, тел. 3-08 Николаевская, д. Мирзабекова, Украинский Национальный Совет Балаханы, контора Нобеля, тел. 10-93 Водовозная, д. Митрофанова, тел. 10-45 Биржевая, 14, тел. 10-58 угол Персидской и Губернской, тел. 40-99 
dataset/Dataset/data/1373619/table_0|0|2|адрес|chrome://about chrome://accessibility chrome://extensions chrome://cache chrome://crash (устаревшая, не используется)chrome://kill chrome://credits chrome://dino chrome://dns chrome://flags chrome://flash chrome://histograms chrome://inducebrowsercrashforrealz chrome://memory chrome://shorthang chrome://net-internals chrome://terms chrome://version view-source:[URL] 
dataset/Dataset/data/159479/table_0|1|2|адрес|2:5020/400 2:5020/1519 2:463/68.10 ? 2:5019/40 2:6090/0 2:5020/848 2:5020/2140 2:466/466 2:466/4 2:5023/24 
dataset/Dataset/data/1666710/table_1|1|2|адрес|ул. Лазурная, 10/1 ул. Высоцкого, 1 ул. Лазурная, 27 ул. Виталия Потылицына, 9 
dataset/Dataset/data/16718/table_0|2|2|адрес|Большой проспект Петербургской(ныне Петроградской) стороны, 14 Биржевая линия, 18 Сергиевская улица, 41 Соляной переулок, 6 4-я линия Васильевского острова Средний проспект, 10 8-я линия Васильевского острова, 39, кв. 31 2-я линия Васильевского острова, 45 Царскосельский проспект, 26 Лештуков переулок, 16 Пантелеймоновская улица, 11 Караванная улица, 18 Кирочная улица, 7, кв. 6 набережная реки Фонтанки, 25 Казанская улица, 29 Торговая улица, 12, кв. 24 Большая Итальянская улица, 7 Большая Садовая улица, 9 Невский проспект, 79 Надеждинская улица, 4, кв. 4 Большая Итальянская улица, 7 набережная реки Фонтанки, 28 набережная реки Фонтанки, 28 Английский проспект, 21 набережная реки Фонтанки, 28 набережная реки Фонтанки, 28 набережная реки Фонтанки, 19 набережная реки Фонтанки, 19 Малая Морская улица, 18 набережная реки Фонтанки, 24 Адмиралтейская набережная, 10, кв. 31 Набережная реки Мойки, 60 Малая Морская улица, 18 Адмиралтейская набережная, 10, кв. 31 Гороховая улица, 8. 
