table_id|column_id|label_id|label|column_data
dataset/Dataset/data/3934129/table_0|0|3|актер|Александр Ханов Миша Станинец Вячеслав Тихонов Яна Брейхова Яна Дитетова Зденек Дите Михаил Пуговкин Николай Крючков Леонид Быков Юрий Белов Олег Голубицкий Николай Довженко Леонид Чубаров Франтишек Кройцман Милош Недбал Ладислав Пешек Иржина Била Иржина Богдалова Франтишек Вноучек Иржи Вондрович Мария Ежкова Вера Календова Владимир Клеменс Богуслав Купшовский Марта Майева Геда Маркова Отто Мотычка Мария Надомлейнска Богуш Рендл Вацлав Трегл Иозеф Шидлиховский Валентин Зубков Карел Эффа Валентин Кнор Любомир Костелка Сватоплук Майер Мирко Чех 
dataset/Dataset/data/8422499/table_0|0|3|актер|Сильвестр Сталлоне Пас Вега Серхио Перис-Менчета (англ.)русск. Адриана Барраса Иветт Монреаль Паскасио Лопес Оскар Хаэнада Аарон Коэн (англ.)русск. Ник Уиттман Джессика Мэдсен Луис Мэндилор Финесса Пинеда Марко де ла О Рик Зингейл 
dataset/Dataset/data/5290156/table_0|0|3|актер|Дэнни Гловер Лили Собески Стив Зан Маттиас Швайгхёфер Такацуна Мукаи Того Игава Ричард О'Брайен Джо Марр Константин Грегори Гарри Аничкин Джефф Белл Лука Берковичи Марианна Станичева Десислава Николова Яна Атанасова Попова Иво Ивайлов Георгиев София Летисия Моралес 
dataset/Dataset/data/935052/table_0|0|3|актер|Милла Йовович Мел Гибсон Джереми Дэвис Джимми Смитс Аманда Пламмер Питер Стормаре Глория Стюарт Джулиан Сэндз Харрис Юлин Тим Рот Боно Тито Ларрива 
dataset/Dataset/data/8423039/table_0|2|3|актер|• Марти Фельдман • Джей Робинсон (англ.) • Алек Гиннесс • Вуди Строуд • Питер Кашинг • Бёрджесс Мередит • Ред Баттонс • Бёрджесс Мередит • Джеймс Мэйсон • Леонард Нимой • Майкл Ансара • Майкл Джексон • Арт Джонсон (англ.) • Дональд Плезенс • Ричард Кил • Леонард Нимой • Дэвид Уорнер 
dataset/Dataset/data/8755863/table_2|0|3|актер|Екатерина Гороховская Анна Слынько Ирина Обрезкова Светлана Письмиченко Елена Шульман Юлия Зоркина Ольга Семёнова Юлия Рудина Олег Куликович Анатолий Петров Константин Бронзит Михаил Черняк Наталья Данилова Елена Соловьёва Сауле Искакова Станислав Сергеев Ксения Бржезовская Александр Боярский Мария Цветкова-Овсянникова Иван Козловский, Димитр Узунов, Евгений Вишневский (взята только их музыка в самом фильме они не участвовали) 
dataset/Dataset/data/4990390/table_13|2|3|актер|Бруно Дюмон Тоуб Хупер 
dataset/Dataset/data/3945379/table_0|3|3|актер|Лесли Стивенс Байрон Хаскин Байрон Хаскин Ласло Бенедек Джеймс Голдстоун Леонард Хорн Герд Освальд Абнер Биберман Герд Освальд Джон Эрман Герд Освальд Лесли Стивенс Ласло Бенедек Леонард Хорн Алан Кросланд младший Лесли Стивенс Герд Освальд Джон Брахм Герд Освальд Джон Брахм Леонард Хорн Герд Освальд Пол Стенли Роберт Флорей Алан Кросланд младший Пол Стенли Герд Освальд Герд Освальд Байрон Хаскин Лесли Стивенс Герд Освальд Герд Освальд 
dataset/Dataset/data/665546/table_0|6|3|актер|Да Да 
dataset/Dataset/data/3875539/table_1|3|3|актер|Тони Уормби Джеймс Уитмор мл. 
dataset/Dataset/data/8908172/table_2|3|3|актер|Риз Томас,Алекс Буоно Риз Томас,Алекс Буоно Риз Томас,Алекс Буоно Риз Томас,Алекс Буоно Риз Томас,Алекс Буоно Риз Томас,Алекс Буоно 
dataset/Dataset/data/8412231/table_0|2|3|актер|Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да 
dataset/Dataset/data/7010366/table_1|2|3|актер|Энтони Куэйл ★ Ральф Беллами Джек Хокинс Тревор Ховард Эд Фландерс ★ Рэй Болджерс Арт Карни Бёрджесс Мередит ★ Мартин Болсам Яфет Котто Марк Хэрмон Уолтер Макгинн(посмертно) Ховард да Сильва ★ Джеймс Фарентино Бёрджесс Мередит Эфрем Цимбалист-младший Дональд Плезенс Марлон Брандо ★ Эл Фриман-младший Пол Уинфилд Эд Фландерс Роберт Вон 
dataset/Dataset/data/4383661/table_0|0|3|актер|Амадеус Аугуст Мари-Франс Буайе Вильям Сабатье Мишель Витольд Кларисса Дедон Филипп Аврон Ги Кернер Жан Нергаль Жорж Маршаль Жан Моно Андре Умански Клер Морье Робер Парти Роже Пиго Дени Савиньё Андре Вальми Ноэль Роквер Андре Вальтье Марк Бонсёну Джон Бертон Филипп Кастелли Даниэль Данкур Жак Данвиль Жан Дешамп Ги Делорм 
dataset/Dataset/data/1531578/table_0|0|3|актер|Марчелло Мастроянни Анита Экберг Анук Эме Ивонн Фурно Лекс Баркер Магали Ноэль Ален Кюни Аннибале Нинки Вальтер Сантессо Валерия Чанготтини Риккардо Гарроне Лаура Бетти Нико Адриано Челентано 
dataset/Dataset/data/8746317/table_0|0|3|актер|Клэр Дэйнс Том Хиддлстон Дикси Эгерикс Фрэнк Диллейн Лили-Роза Асландогду 
dataset/Dataset/data/1834138/table_5|3|3|актер|Джон Раулинс Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Рой Уильям Нейл Мартин Соби 
dataset/Dataset/data/3079325/table_4|3|3|актер|Кэти Гэнфилд Аарон Ренфри - - 
dataset/Dataset/data/292090/table_0|0|3|актер|Елена Яковлева Сергей Никоненко Сергей Гармаш Андрей Ильин Станислав Дужников Дмитрий Нагиев Дмитрий Харатьян Павел Баршак 
dataset/Dataset/data/7223509/table_0|3|3|актер|Брэд Фолчак Джон Стюарт Скотт Дирк Крафт Джесси Бочо Джон Стюарт Скотт Тим Хантер Джон Стюарт Скотт Эрик Столц Джон Стюарт Скотт Тэйт Донован Элоди Кин Тим Хантер Тэйт Донован Крэйг Зиск Хэнк Шилтон Диана Валентайн Тим Хантер Дирк Крафт Джон Стюарт Скотт 
dataset/Dataset/data/8650454/table_0|0|3|актер|Александр Головин Артём Терехов Иван Добронравов Борис Корчевников Павел Бессонов Артур Сопельник Аристарх Венес Кирилл Емельянов Вадим Андреев Владимир Стеклов Сергей Жолобов Валерий Баринов Александр Пороховщиков Елена Захарова Ольга Лукьяненко Юлия Учиткина Дарья Соболева Алина Колкер Екатерина Косинец Линда Табагари Анна Михайловская Ксения Непотребная Владимир Лаптев Светлана Варецкая Владимир Балдов Александр Романов Валерий Шалавин Сергей Коноплёв Ольга Ефремова Андрей Иванов Борис Полунин Георгий Мартиросьян Ирина Цывина Сергей Плотников Вероника Изотова Фёдор Добронравов Татьяна Пискарёва Галина Данилова Александр Никулин Ольга Светлова Валерия Ланская Елена Мольченко Ольга Хохлова Виталий Абдулов Егор Баринов Алёна Яковлева Владимир Павленко Сергей Стёпин Дмитрий Горевой Дмитрий Бикбаев Светлана Камынина Дмитрий Ячевский Сергей Хрусталёв Сергей Дорогов Игорь Юртаев Алексей Соболев Сергей Рыченков Алексей Марков Борис Лифанов Сергей Хрусталёв Виктория Алашеева Константин Григорьев Валерия Скороходова Нина Персиянинова Константин Юшкевич Александр Зверяко Данил Малов Дмитрий Циотенко 
dataset/Dataset/data/7418071/table_0|0|3|актер|Бэтмен Кристофер Л. Робинсон Уитни Мур Мэтью Хискокс Райн Претендент Джо Рэйсул Дженнифер Чжан Бонни Гордон Майкл Т. Коулман Али Уильямс 
dataset/Dataset/data/8910432/table_2|3|3|актер|Хал Сазерленд Хал Сазерленд Хал Сазерленд Хал Сазерленд Билл Рид Билл Рид 
dataset/Dataset/data/5015227/table_0|0|3|актер|Ральф Беллами Грир Гарсон Энн Шоумэйкер Хьюм Кронин Фрэнк Фергюсон Лайл Тэлбот 
dataset/Dataset/data/7397263/table_0|3|3|актер|Рагнар Лит Томми Бергрен Томми Бергрен Карл Чельберг Киа Берглунд Кеннет Кварстрём Линус Тунстрём Филип Санден Ларс Рудольфссон 
