table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1083740/table_0|4|5|аннотация|Повесть. Расследование убийства милиционера, книга представляет собой более производственный роман, чем детектив. Повесть. Расследование квартирных краж в областном центре, совершенных вором-рецидивистом. Рассказ. Сержант Денисов, курсант, направляется на помощь опытным оперативникам при слежке за рецидивистом. Рассказ. Сержант Денисов разыскивает вокзальных воров, а опытные оперативники — отпетого уголовника. Вместе они случайно попадают на свадьбу в старом доме. Повесть. Младший лейтенант Денисов расследует хитроумные кражи из запертых ячеек камер хранения. (В основе книги реальное уголовное дело учителя из Тольятти). Рассказ. Сержант Денисов ради упражнения расследует кражу чемодана полугодичной давности. Денисов расследует нападение на пассажира, только что вышедшего из поезда. Трое остальных пассажиров купе разыскиваются ради дачи показаний и установления его личности. Рассказ. Денисов разыскивает сотрудника МИДа в бархатном костюме, новобрачного мужа наивной провинциалки с чемоданом, который пропал где-то на вокзале. Повесть. Денисов расследует гибель девушки, выпавшей из поезда, которая тусовалась с компанией молодых людей, слишком интересующихся модной музыкой и старинными иконами. Повесть. Денисов едет в отпуск на Каспийское море, однако в его поезде находят труп, и ему приходится браться за расследование. Повесть. Кража икон недавно открытого северного мастера, события происходят одновременно в Архангельской области и на Карпатах. (Возможно, по мотивам ареста Владимира Мороза в 1974 году). Повесть Рассказ. Старший лейтенант Денисов заходит в купе поезда, следующего из аэропорта, где сидят пять безбилетников, позже один из них погибает. Повесть. Старший лейтенант Денисов расследует происшествие с женщиной, которая практически у него на глазах попала под поезд. При этом её машина, которая зачем-то стояла рядом, оказывается угнанной, а в багажнике ящик отделочной плитки и хрусталь. Повесть. Денисов по просьбе женщины расследует пропажу из камеры хранения её переписки с коллегой-возлюбленным, и при этом выходит на совершенно другое, гораздо более серьёзное дело. Повесть. Лейтенант Денисов расследует смерть работника почтового вагона на рабочем месте. Рассказ. Капитан Денисов пытается добраться до Бухары, чтобы расследовать гибель приехавшего оттуда в Москву кинематографиста. Повесть. Капитан Денисов Повесть. Капитан Денисов пытается установить личность неизвестного, убитого на вокзале. Для этого, по следам найденной при покойнике рукописи, он отправляется в Дом писателей в Коктебель. Повесть. Денисов расследует исчезновение актёра, снимающегося в железнодорожном детективе. (По мотивам реальных событий из жизни Т. Нигматулина). Повесть. Капитан Денисов, расследуя смерть старухи, убитой на вокзале топором, выходит на еврейское местечко под Москвой, где сохранилось иудейское кладбище. Очерк, журнал «Человек и закон», № 9, 1989 год (В основе содержит материалы реального «узбекского» дела, расследованного Гдляном и Ивановым). Повесть, имеющая автобиографические черты (о раннем периоде работы Словина в провинциальной милиции). Около 1985 года, поздний СССР. Повесть о проблемах с раскрываемостью, отношениях транспортной милиции с транспортным отделом КГБ, а также о пропаже женщин, прилетевших в аэропорт из Воронежа. (Основано на реальных убийствах и деле гастронома №1). (В основе сюжета — реальное нападение на инкассаторскую машину у «Молодежного» в Москве в Кунцеве в 1986 году). В основе книги реальное дело браконьерской мафии острова, находящегося недалеко от Баку. Литературный сценарий. Беллетризация фильма, в сценарий которого легла переработка книги «Зелёное море, красная рыба, чёрная икра», приспособленная под новых главных героев так, чтобы сделать фильм сиквелом фильма «Кодекс молчания» 1990 года. 1986 год. Игумнову дают поручение найти вора, который украл партбилеты у высокопоставленных партийных боссов, выпивших в поезде. Однако он увлекается совсем другим расследованием, связанным со сложными взаимоотношениями разных этнических мафиозных группировок. (В основе сюжета реальное убийство шифровальщика посольства одной из арабских стран). 1995 год. Главные герои: Рэмбо и Игумнов (уже не мент), работники сыскного агентства, которое охраняет теневых бизнесменов и пытается расследовать, кто заказал их клиента. Повесть. Главный герой: Александр Моторин разыскивает заказчика убийств бизнесменов. Рассказ ведется от первого лица. Главные герои: Александр Моторин и Юджин Кейт Главные герои: Александр Моторин и Юджин Кейт Главный герой: Александр Моторин 1986 год. Вся транспортная милиция находится в чрезвычайном напряжении из-за готовящегося приема на вокзале депутатов съезда в Москву. Этим хочет воспользоваться банда, связанная с кафе на Арбате и его кавказским хозяином, фиктивно женатым на любовнице их главаря. (В основе сюжета — реальное нападение на инкассаторскую машину у «Молодежного» в Москве в Кунцеве в 1986 году). Неопределенная дата, около 1994—1995 года. События одной ночи: метания оперативника, утратившего табельное оружие в то время, как поблизости проходила сделка по наркотикам. Он — подчиненный Игумнова, который пытается ему помочь и прикрыть. 
dataset/Dataset/data/1370271/table_13|2|5|аннотация|От умирающего мельника Сильвестра Ольга наследует колдовскую силу. Сначала магия кажется почти игрой, но затем Ольге, получившей предложение руки от графа Казимира Биллевича, который совершенно не изменился за последние 60 лет, приходится приложить все силы и характер, чтобы не стать игрушкой тёмных сил. Выдавая себя за провинциального гусара, Ольга получает необходимую свободу действий и узнаёт планы заговорщиков, готовящих покушение на императора. Благодаря Ольге государь спасён. Но неожиданно умирает князь Вязинский, а его брат предъявляет купчую, согласно которой Ольга является крепостной и перед смертью князя продана ему. Из светской дамы Ольга превращается в бесправное живое имущество. Она бежит от хозяина и снова оказывается вынуждена бороться за свободу и достойное место в жизни. В итоге ей удаётся встретиться с императором, но сможет и захочет ли он помочь своей спасительнице? 
dataset/Dataset/data/1449259/table_0|3|5|аннотация|22-летний капитан Смирнов (с наградами «два Знамени. Отечественной всех степеней. Звездочка, медаль…») в апреле 1945 года возвращается домой с фронта. Повесть. Средняя Азия, 1923 год, борьба за установление Советской власти. Повесть. Средняя Азия, борьба за установление Советской власти. Июнь 1988 года, 65-летний полковник МУРа в отставке Смирнов, заинтересовавшись внезапным закрытием кооперативного кафе, услугами которого он пользовался накануне, вместе со своими друзьями начинает собственное расследование. Октябрь 1990 года, пенсионер Смирнов летит на самолёте в Сингапур, когда тот совершает вынужденную посадку. Повесть о дельцах, обогащающихся на спортсменах. Июнь 1953 года. Майор Смирнов и его друзья расследуют убийство уголовника, который в составе большой, но дурацкой банды, украл меха. Ранняя, более короткая версия романа публиковалась под названием «Скорпионы». 1990 год. Киносценарист пытается разгадать гибель каскадера и оказывается втянут в очень странную и страшную историю, столкнувшись с мощной тайной организацией. Смирнов появляется со второй половины книги. 1990-е. Студент театрального института и проблемы бизнесменов. Сентябрь 1991 года. К пенсионеру Смирнову обращается за помощью видный политик новой формации, демократ. Разыскивая по его поручению исчезнувшего партийца Смирнов и его друзья сталкиваются с новой мощной тайной организацией. Сборник, куда вошли три ранее изданных произведения: «Заботы пятьдесят третьего года» «Привал странников» «Вечный шах» Середина 1990-х годов. Оперуполномоченный уголовного розыска Сергей Никольский и его товарищи по 108-му отделению занимаются текучкой и крупными делами. Времена Гражданской войны 1969 год. Смирнов прилетает в сибирскую тайгу, где его друг кинорежиссёр Казарян снимает новый фильм. Там его приглашают проконсультировать по поводу убийства местного жителя. Расследование дела о поиске пропавшей девушки. 1995 год. Георгий Сырцов объявлен в розыск. 1996 год. 1990-е (?). Смирнов пытается понять, кто развел на деньги юную миллионершу Ксению. 1943 год. 1990 год 
dataset/Dataset/data/1996392/table_15|2|5|аннотация|Сборник новелл, в каждой из которых от имени бывшего сотрудника силовых структур или военного рассказывается о встрече с мистическими силами или другом необъяснимом с рациональных позиций случае, произошедшем на войне и во время выполнения специального задания. В авторском предисловии утверждается, что каждая история — подлинный рассказ реального человека, от имени которого ведётся повествование. В четвёртой части автор описывает загадочные происшествия из собственного опыта, главным образом — времён работы в геологической партии в тайге. Часть этих историй ранее выходила в сборнике «Сибирская жуть», написанном в соавторстве Бушковым и Буровским. Верить этому или нет? Историй слишком много, рассказаны они разными людьми в разное время, и все же невольно обращаешь внимание на одну странную вещь, которая их всех объединяет: извечная борьба Добра и Зла может вдруг принять такую невероятную, неземную, необъяснимую форму, что вмиг рушатся все наши устоявшиеся представления о реальности и адекватности. Может быть, причиной тому — война, которая яркой декорацией стоит за всеми этими историями? Война, которая в своё адовом котле смешивает воедино Добро и Зло, Правду и Ложь, Реальность и Вымысел? Книга продолжает тему, начатую в «НКВД. Война с неведомым». В каждом из никак не связанных между собой рассказов, составляющих её, говорится о странном, необъяснимом, а то и явно мистическом случае, произошедшим с рассказчиком (всякий раз — разным) во время войны. Мистические предупреждения, встречи с колдунами, привидениями, поездом-призраком, европейскими и китайскими оборотнями, общение с давно и недавно умершими людьми, проклятый клад и даже оживающая по ночам статуя. Это можно назвать фантастикой, мистикой, мифом. На худой конец, закрыв глаза, — чудом, которого никогда не было и быть не может. Но почему же тогда в это веришь? Почему тихий, доверительный рассказ, лишённый восклицательных знаков и агрессивных убеждений, так западает в душу? Почему эти странные, с виду полностью выдуманные истории заставляют задуматься? О том, что человечество, веками изучая само себя, так и не познало той скрытной, потусторонней, непознанной ответственности за все недоброе, совершенное людьми на Земле. О том, что у каждого есть свой ангел-хранитель, которого только надо уметь разглядеть и прочувствовать нежное тепло его крыла… 
dataset/Dataset/data/1996392/table_6|2|5|аннотация|В гарнизоне скука и однообразие. Такая жизнь быстро надоест любому, а если ещё разваливается страна, за которую ты сражался и армия, без которой себя невозможно представить, даже некогда неустрашимые десантники в ступоре. Майор ВДВ Станислав Сварог не является исключением. Но его жизнь меняется коренным образом после того, как он попадает в другой мир, похожий на сказку: здесь есть место магии и колдовству, благородству и предательствам, звону мечей и коварному злу. Во втором романе серии приключения лорда Сварога продолжается. По заданию группы высших чиновников Империи Сварог вновь отправляется в поход, чтобы вместе с принцессой Делией Ронерской исполнить древнее пророчество: закрыть Врата, через которые в этот мир попадают «Глаза Сатаны», и освободить от нечисти Три Королевства. Дорога королей практически всегда пролегает через кровь и грязь. Сварог, ставший случайно королём, получает возможность убедиться в этом на собственном примере… поскольку сразу несколько государств решило принять его как короля, но кое-где всё пройдёт совсем не так гладко. Короля Сварога Первого ожидает полный набор трудностей правления и даже больше. Начинаются внутренние смуты и заговоры, казавшееся лёгким вторжение в агрессивный Горрот провалилось, объявились странные друзья Горрота — лилипуты с армадами крохотных атомных подводных лодок и ядерным оружием, ожидается скорый конец света, просыпается чудовищный Великий Кракен, одна из четырёх ипостасей Князя Тьмы, а что самое страшное — к Талару летит таинственная Багряная Звезда, первоисточник почти всех этих бедствий и о ней ничего не известно. После взрыва на причале корабль с каторжниками недосчитался трёх заключённых. Три беглеца — караемое упущение по службе. Поэтому были подобраны три человека без сознания, чтобы заменить сбежавших. Одним из них оказывается король Сварог, нежданно для себя оказавшийся в положении зэка, плывущего на сахарные плантации своих же островов-колоний. Роман практически полностью сюжетно посвящён попытке Сварога остановить Багряную Звезду, грозящую уничтожением миру Талара. Кроме этого, через всё произведение проходит осознание Сварогом своего места в жизни и подлинной сути и мощи Горрота. В резиденции Виглафского Ковенанта проходит собрание королей государств на континенте Харум, давно превратившееся в фарс — Сварог, выступавшего в роли аж семи королей и великого герцога, легко отбивает наскоки «коллег». Король королей, оторванный от важных дел по расследованию заговора в Балонге и борьбы с Горротом и Токерангом, получает помощь… от горротской королевы. Пока молодая императрица Яна-Алентевита готовится пойти под венец, лорд Сварог, граф Гэйр, продолжает биться над загадками Токеранга и Горрота. Продолжение романа «Из ниоткуда в никуда». Свадьба сыграна, но после брачной ночи выясняется, что токереты приготовили неприятный сюрприз. Король Хелльстада и его королева решают призвать на помощь таинственную магию Древнего Ветра, которая возможно сумеет остановить заговор Горрота, Магистериума и Токеранга. Остатки заговора в Горроте все ещё тлеют, но взгляд Сварога и Странной Компании уже обращён в сторону Токеранга. Будут ли это новые увлекательные приключения, или старых друзей на этот раз ждёт всего лишь самая грязная работа? А все сомнения и боль смоет с души, как вода… Вертикальная вода. И тогда можно будет спросить себя: «А был ли Токеранг?.. Может быть, его никогда и не было».. Сварог и Яна путешествуют в прошлое Талара, попадая в период незадолго до Шторма. Спецслужбы Ронеро отыскивают свидетельства о местонахождении Безумного Зодчего — четвёртого воплощения Зла в мире Талара и Странная Компания отправляется на битву с ним. После гибели Странной Компании у Сварога и новые заботы и продолжение старых. Сварог окончательно убеждается в том, что им действительно открыт проход в прошлое планеты, а не куда-то ещё. Тем временем спецслужбы бывшего королевства Мары — Сегура находят свидетельства странного заговора, нити которого тянутся по всему Талару. А с небес, с одной из планет-соседок Талара льётся зловещее «синее», но невидимое обычному глазу излучение… Столкнувшись с непонятным воздействием и явным заговором, тянущимся со стороны соседней планеты, спецслужбы Империи предпринимают ответные действия, которые приводят к успеху. Нечеловеческий разум, манипулировавший людьми, уничтожен. Завязка новой подсерии приключений Сварога. В океане просыпаются реликтовые чудовища, предвещающие Большую Беду. Пытаясь окончательно завершить старые дела, Сварог сталкивается с новым вызовом. В игру вступает Гремилькар — «фигура, чьей главной задачей является охота за Серым Ферзём ради возможного его уничтожения». 
dataset/Dataset/data/2028023/table_12|2|5|аннотация|Молодой дворянин из Беарна д’Артаньян, отправившийся в Париж, чтобы поступить на службу и сделать карьеру, вступает в конфронтацию с мушкетёрами короля, становится другом графа Рошфора и кандидатом в гвардейцы кардинала, влюбляется без памяти в леди Винтер и участвует в срыве заговора герцога Анжуйского и королевы против Ришельё и короля. Став гвардейцем, д’Артаньян продолжает службу у кардинала. По заданию его высокопреосвященства он вместе со своими новыми друзьями-гвардейцами отправляется в Англию, чтобы выкрасть алмазные подвески, которые Анна Австрийская подарила герцогу Бэкингему. Финал истории оказывается очень похож на тот, что описал Дюма: д’Артаньян получает в итоге чин лейтенанта, но потери, которые приходится понести, делают его равнодушным к этой удаче. 
dataset/Dataset/data/2028023/table_2|2|5|аннотация|Дарья Шевчук — старший оперуполномоченный уголовного розыска. На её счету задержания опасных преступников, таких как хирург-маньяк, вырезающий печень. История книги начинается появлением ещё одного. В Шантарске происходит два загадочных убийства, отмеченных почерком маньяка. Убиты женщины, у них на лбу разрезы в форме креста, а на шее шарфики с силуэтом чертёнка. Сотрудница уголовного розыска, идя по следам убийцы, проникает в самое логово секты сатанистов. В книге рассказывается о продолжении расследования по делу о серийных убийствах начатого в романе «Бешеная». Психологический триллер. Главный герой с характерным именем Родион Раскатников когда-то числил себя в рядах демократической интеллигенции и приветствовал падение коммунизма в СССР, но в итоге не нашёл себе места в новой жизни и вынужден мириться с унизительной ролью приживалы при успешной жене. Когда ему в руки случайно попадает оружие, в очередной раз подтверждается, что душа незначительного человека может оказаться страшнее, чем криминальный мир.. Маргариту Лямкину, звезду шантарской эстрады, фанатичную поклонницу и подражательницу Мэрилин Монро, находят в её собственной квартире со сломанной шеей. Дарья Шевчук по прозвищу Бешеная, заместитель начальника уголовного розыска города, приступает к расследованию, в ходе которого обнаруживает доказательства того, что в Шантарске готовится государственный переворот с целью отделения Сибири от Российской Федерации. Группа офицеров вместе с капитаном первого ранга Кириллом Мазуром летит на север Шантарского края в город Тиксон. Там же оказывается и Дарья Шевчук. Что-то странное происходит вокруг местной военной базы. Кто-то очень хочет, чтобы её закрыли. 
dataset/Dataset/data/2028023/table_9|2|5|аннотация|Главная особенность нового мира — торжество технической мысли. Электричество противостоит объявленной вне закона магии. Но Сварог призван сломать существующий порядок вещей. В начале книги Сварог оплакивает погибшего друга над безымянной могилой. В конце же произведения он видит его в стане врагов. Co времени событий предыдущего романа прошло 15 лет. Революция магов победила, однако проигравшие вынашивают планы возмездия. Помимо всего этого серьёзная опасность грозит из космоса. Сварог лишён собственного тела, но ему нужно найти выход из этого мира. 
dataset/Dataset/data/2749748/table_6|2|5|аннотация|В гарнизоне скука и однообразие. Такая жизнь быстро надоест любому, а если ещё разваливается страна, за которую ты сражался и армия, без которой себя невозможно представить, даже некогда неустрашимые десантники в ступоре. Майор ВДВ Станислав Сварог не является исключением. Но его жизнь меняется коренным образом после того, как он попадает в другой мир, похожий на сказку: здесь есть место магии и колдовству, благородству и предательствам, звону мечей и коварному злу. Во втором романе серии приключения лорда Сварога продолжается. По заданию группы высших чиновников Империи Сварог вновь отправляется в поход, чтобы вместе с принцессой Делией Ронерской исполнить древнее пророчество: закрыть Врата, через которые в этот мир попадают «Глаза Сатаны», и освободить от нечисти Три Королевства. Дорога королей практически всегда пролегает через кровь и грязь. Сварог, ставший случайно королём, получает возможность убедиться в этом на собственном примере… поскольку сразу несколько государств решило принять его как короля, но кое-где всё пройдёт совсем не так гладко. Короля Сварога Первого ожидает полный набор трудностей правления и даже больше. Начинаются внутренние смуты и заговоры, казавшееся лёгким вторжение в агрессивный Горрот провалилось, объявились странные друзья Горрота — лилипуты с армадами крохотных атомных подводных лодок и ядерным оружием, ожидается скорый конец света, просыпается чудовищный Великий Кракен, одна из четырёх ипостасей Князя Тьмы, а что самое страшное — к Талару летит таинственная Багряная Звезда, первоисточник почти всех этих бедствий и о ней ничего не известно. После взрыва на причале корабль с каторжниками недосчитался трёх заключённых. Три беглеца — караемое упущение по службе. Поэтому были подобраны три человека без сознания, чтобы заменить сбежавших. Одним из них оказывается король Сварог, нежданно для себя оказавшийся в положении зэка, плывущего на сахарные плантации своих же островов-колоний. Роман практически полностью сюжетно посвящён попытке Сварога остановить Багряную Звезду, грозящую уничтожением миру Талара. Кроме этого, через всё произведение проходит осознание Сварогом своего места в жизни и подлинной сути и мощи Горрота. В резиденции Виглафского Ковенанта проходит собрание королей государств на континенте Харум, давно превратившееся в фарс — Сварог, выступавшего в роли аж семи королей и великого герцога, легко отбивает наскоки «коллег». Король королей, оторванный от важных дел по расследованию заговора в Балонге и борьбы с Горротом и Токерангом, получает помощь… от горротской королевы. Пока молодая императрица Яна-Алентевита готовится пойти под венец, лорд Сварог, граф Гэйр, продолжает биться над загадками Токеранга и Горрота. Продолжение романа «Из ниоткуда в никуда». Свадьба сыграна, но после брачной ночи выясняется, что токереты приготовили неприятный сюрприз. Король Хелльстада и его королева решают призвать на помощь таинственную магию Древнего Ветра, которая возможно сумеет остановить заговор Горрота, Магистериума и Токеранга. Остатки заговора в Горроте все ещё тлеют, но взгляд Сварога и Странной Компании уже обращён в сторону Токеранга. Будут ли это новые увлекательные приключения, или старых друзей на этот раз ждёт всего лишь самая грязная работа? А все сомнения и боль смоет с души, как вода… Вертикальная вода. И тогда можно будет спросить себя: «А был ли Токеранг?.. Может быть, его никогда и не было».. Сварог и Яна путешествуют в прошлое Талара, попадая в период незадолго до Шторма. Спецслужбы Ронеро отыскивают свидетельства о местонахождении Безумного Зодчего — четвёртого воплощения Зла в мире Талара и Странная Компания отправляется на битву с ним. После гибели Странной Компании у Сварога и новые заботы и продолжение старых. Сварог окончательно убеждается в том, что им действительно открыт проход в прошлое планеты, а не куда-то ещё. Тем временем спецслужбы бывшего королевства Мары — Сегура находят свидетельства странного заговора, нити которого тянутся по всему Талару. А с небес, с одной из планет-соседок Талара льётся зловещее «синее», но невидимое обычному глазу излучение… Столкнувшись с непонятным воздействием и явным заговором, тянущимся со стороны соседней планеты, спецслужбы Империи предпринимают ответные действия, которые приводят к успеху. Нечеловеческий разум, манипулировавший людьми, уничтожен. Завязка новой подсерии приключений Сварога. В океане просыпаются реликтовые чудовища, предвещающие Большую Беду. Пытаясь окончательно завершить старые дела, Сварог сталкивается с новым вызовом. В игру вступает Гремилькар — «фигура, чьей главной задачей является охота за Серым Ферзём ради возможного его уничтожения». 
dataset/Dataset/data/2775414/table_0|2|5|аннотация|Начало двадцатого века. В шантарской тайге налётчики грабят обозы с золотом. Жандармерия, охранное отделение, большевистские боевики и сыскная полиция ведут свои игры. Роман содержит все классические элементы: перестрелки, любовь, предательство. Но кроме этого в произведении находит своё место вспышка Тунгусского метеорита. Австро-Венгрия. Эсеры-террористы готовят покушение на императора Франца-Иосифа. Алексей Бестужев, внедрённый в школу бомбистов жандарм, оказывается замешанным в это дело. Он становится человеком, которого обязательно устранят после операции. Ротмистр вынужден начать свою игру против подпольщиков. Австро-Венгрия. Конец первого десятилетия прошлого столетия. Инженер Штепанек изобретает новый прибор — «дальногляд». Спецслужбы сразу же начинают охоту за аппаратом. В России дело поручено ротмистру Бестужеву. Погоня за важным прибором продолжается. Аппарат Штепанека, похищенный известным анархистом-террористом Гравашолем оказывается в Париже. Охота за ним и за боевиком не ослабевает. Но кроме этого Бестужев обнаруживает логово эсдеков и анархистов и чуть не гибнет в ловушке устроенной начальником резидентуры Гартунгом, решившем в одиночку заполучить лавры победителя. Теперь прибор обнаруживается на борту «Титаника». Погоня следует за ним, отныне Бестужев в одиночку преследует перекупившую Штепанека американку и отбивается от неемников киносидиката, желающих уничтожить прибор. Когда дальногляд вновь оказывается у Бестужева, происходит непредвиденное…. Алексей Бестужев выжил после катастрофы «Титаника». Он оказывается в Соединённых Штатах. Он смог сохранить чертежи прибора и теперь должен доставить их в российское посольство в Вашингтоне, но сначала нужно укрыться от погони и найти способ быстро добраться до Вашингтона, ведь могущественные соперники действуют в своей стране. а он даже не знает английского…. 
