table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1994807/table_3|3|6|арена|Левел-5 Саваяка Спортс Парк Фукуока Доум Левел-5 Левел-5 Аккион Фукуока 
dataset/Dataset/data/2337467/table_0|1|6|арена|Лучничка Сподек Арена Лодзь 
dataset/Dataset/data/272968/table_1|1|6|арена|Hamamatsu Arena Hiroshima Green Arena Sapporo Arena Saitama Super Arena Sendai Gymnasium 
dataset/Dataset/data/2854588/table_0|2|6|арена|Kohtla-Järve Jäähall Tondiraba jäähall Narva jäähall Lõunakeskus liuväli 
dataset/Dataset/data/2884333/table_0|4|6|арена|Штарк Арена (18 386) Дворец Железник (3 000) Хала Александр Николич (5 878) Спортивный зал Ранко Жеравицы (5 000) Леон Штукель (2 500) Арена Стожице (12 480) Арена Бонифика (3 000) Баскетбольный центр имени Дражена Петровича (5 400) Дворец Крешимира Чосича (9 000) Морача (6 000) Тополица (3 000) Спортивный дворец Лакташи (3 050) 
dataset/Dataset/data/3243798/table_0|3|6|арена|Арена Мытищи Минск-Арена Дворец спорта кузнецких металлургов Уфа-Арена Ледовый дворец Дворец спорта «Сокольники» Арена-Металлург Спортивно-концертный комплекс «Ледовый Дворец» Ледовая арена «Трактор» Ледовый дворец спорта «Подмосковье» Балашиха-Арена Ледовый дворец спорта ЦСКА Арена Омск Платинум-Арена Арена Рига Дворец спорта «Волгарь» Арена 2000 Ледовый дворец спорта «Сибирь» Татнефть Арена Дворец спорта «Казахстан» Ледовый хоккейный центр «Витязь» Малая спортивная арена «Лужники», Дворец спорта «Мегаспорт» Спортивно-культурный комплекс «Нефтехимик» Нагорный дворец спорта профсоюзов 
dataset/Dataset/data/356198/table_2|3|6|арена|Энерджи Солюшнз-арена Рио Тинто Стэдиум Энерджи Солюшнз-арена Spring Mobile Ballpark 
dataset/Dataset/data/3627502/table_1|4|6|арена|Эрроухед-стэдиум Кауффман-стэдиум Shawnee Mission District Stadium Independence Events Center (Индепенденс) Independence Events Center (Индепенденс) Swope Park Training Complex North Kansas City High School 
dataset/Dataset/data/3694449/table_18|3|6|арена|Rainbow Hall Yokohama Arena Jaap Edenhal Yoyogi National Gymnasium Ниппон Будокан 
dataset/Dataset/data/3694449/table_19|3|6|арена|Ryogoku Kokugikan Korakuen Hall Osaka Prefectural Gymnasium Ниппон Будокан Osaka Prefectural Gymnasium Yoyogi National Gymnasium Korakuen Hall 
dataset/Dataset/data/3694449/table_8|3|6|арена|Osaka Dome ? Gold Coast Convention and Exhibition Centre Токио Доум Neal S. Blaisdell Arena Kitakyushu Media Dome Trusts Stadium Hotel Goiania Yoyogi National Gymnasium Ниппон Будокан Hanse Halle The Bellagio Chamshil Gymnasium ASB Stadium Yoyogi National Gymnasium Shizuoka Ecopa Arena Pecara Stadium Nagoya Rainbow Hall Ниппон Будокан Saitama Super Arena ? The Bellagio Mazda Palace ASB Stadium Yoyogi National Gymnasium Yokohama Arena Sport Palace Paz e Amizade Saitama Super Arena The Normandy Hotel Toki Messe Yoyogi National Gymnasium Wolverhampton Civic Center Okinawa Convention Center Solnahallen Salle Vallier 
dataset/Dataset/data/3694449/table_9|3|6|арена|Nagoya Dome Barcelona Olympic Hall Токио Доум Circulo Militar Arena Ниппон Будокан Aston Villa Leisure Centre ASB Stadium Dom Sportova Osaka Dome Yokohama Arena Kralja Koloseuma The Bellagio Melbourne Town Hall Marine Messe Fukuoka Saitama Super Arena Saitama Super Arena Дворец спорта Берси ? St. Jakobshalle Дворец спорта «Крылья Советов» Mazda Palace The Mirage Aston Villa Leisure Centre ASB Stadium Yamagata Sports Center Silverdome Saitama Super Arena Solnahallen Ariake Coliseum Maksoud Plaza Hotel Vodafone Arena Salle Vallier 
dataset/Dataset/data/3951058/table_0|2|6|арена|Гавлеринкен Арена Скандинавиум Лёфбергс Арена Киннарпс Арена Тегера Арена Сааб Арена Куп Норрботтен Арена Мальмё Арена Бе-Ге Хоккей Центр Линдаб Арена Шеллефтео Крафт Арена Вида Арена Берн Арена Ховет 
dataset/Dataset/data/4041830/table_2|2|6|арена|Нефтекамский ледовый дворец Татнефть-Арена Дворец спорта «Кристалл» Дворец спорта «Айсберг» ДС им. Сухарёва Ледовый дворец «Ижсталь» Ледовый дворец спорта «Мечел» 
dataset/Dataset/data/4303169/table_1|0|6|арена|Lakefront Arena 
dataset/Dataset/data/4513424/table_0|2|6|арена|Валаша ПостФинанс-Арена Тиссот-Арена Вайллант Арена БСФ-Арена Патинуар де Вернет Динерс Клаб Арена CIG де Маллей Писта ла Ресега Ильфи Стэдиум Боссард Арена Халленштадион 
