table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1030212/table_1|0|7|атлет|Усэйн Болт Карл Льюис Майкл Джонсон Лашон Мерритт Сергей Бубка Джереми Уоринер Ларс Ридель Кенениса Бекеле Эзекиль Кембои Хайле Гебреселассие Хишам Эль-Герруж Батч Рейнольдс Бернард Лагат Джастин Гэтлин 
dataset/Dataset/data/1943102/table_0|3|7|атлет|686 / 47 682 / 39 828 / 37 848 / 52 1119 / 34 1142 / 60 1400 / 102 1371 / 121 1498 / 134 2015 / 157 1784 / 144 2158 / 167 2848 / 183 2220 / 181 2293 / 181 2400 / 190 2360 / 182 2623 / 193 
dataset/Dataset/data/1960858/table_1|2|7|атлет|Аустра Скуйите (Литва) Мари Коллонвиль (Франция) Ирина Карпова (Казахстан) Жюли Мартин (Франция) Breanna Eveland (США) Барбора Шпотакова (Чехия) Marie-Cécile Crancé (Франция) Lindsay Grigoriev (США) Мария Пейнадо (Испания) Sara Tani (Италия) 
dataset/Dataset/data/3604811/table_0|1|7|атлет|Хидэки Кита Родольфо Гомес Вадим Сидоров Тосихико Сэко Джума Икангаа Сигэру Со Джума Икангаа Хироми Танигути Абебе Меконнен Хироми Танигути Такэюки Накаяма Абебе Меконнен Коити Морисита Абебе Меконнен Стив Монегетти Эрик Вайнайна Вандерлей де Лима Кодзи Симидзу Альберто Хусдадо Герт Физ Яфет Косгеи Кэнъити Такахаси Эрик Вайнайна Зебедайо Байо Даниель Ндженга Тосинари Такаока Амбессе Толоса 
dataset/Dataset/data/3723250/table_1|1|7|атлет|Махидин Мехисси-Бенаббад Эван Джагер Абель Мутаи Тарик Лангат Нахом Месфин Бенджамин Киплагат Amor Ben Yahia José Peña Ali Ahmed Al-Amri Hicham Sigueni Анхель Муллера Альберто Паулу Steffen Uliczka 
dataset/Dataset/data/3728377/table_11|1|7|атлет|Дэвид Рудиша Найджел Амос Тимоти Китум Дуэйн Соломон Ник Симмондс Мохаммед Аман Абубакер Каки Эндрю Осаджи 
dataset/Dataset/data/3730150/table_13|1|7|атлет|Шелли-Энн Фрейзер-Прайс Эллисон Феликс Келли-Энн Баптист Эзинне Окпараебо Глория Асумну Ивет Лалова Шеника Фергюсон Ольга Блудова 
dataset/Dataset/data/3732867/table_10|1|7|атлет|Чуранди Мартина Уоррен Уир Christian Malcolm Maurice Mitchell Brendan Christian Синдзи Такахира Антуан Адамс Michael Mathieu 
dataset/Dataset/data/3732867/table_3|1|7|атлет|Морис Митчелл Кристиан Малкольм Майкл Мэтью Roberto Skyers Shota Iizuka Sibusiso Matsenjwa Хосе Карлос Эррера Joel Redhead 
dataset/Dataset/data/3732867/table_5|1|7|атлет|Уоррен Уир Антуан Адамс Камиль Крыньский Павел Маслак Tremaine Harris Marek Niit Reto Schenkel Alonso Edward 
dataset/Dataset/data/3732936/table_8|1|7|атлет|Хавьер Кулсон Анжело Тейлор Омар Сиснерос Эмир Бекрич Кеннет Медвуд Станислав Мельников Тристан Томас Джек Грин 
