table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1714188/table_4|1|8|аэропорт|Международный аэропорт Сингапура Чанги Международный аэропорт Нгурах-Раи Международный аэропорт Таншоннят 
dataset/Dataset/data/1384571/table_0|4|8|аэропорт|Важнейшие аэропорты (PR) MidAmerica St. Louis Airport / Scott Air Force Base Central Illinois Regional Airport at Bloomington-Normal University of Illinois — Willard Airport Международный аэропорт О’Хара Chicago Midway International Airport Decatur Airport Williamson County Regional Airport Quad City International Airport Greater Peoria Regional Airport Chicago Rockford International Airport Abraham Lincoln Capital Airport Прочие коммерческие аэропорты (CS) Quincy Regional Airport (Baldwin Field) Вспомогательные аэропорты (RL) St. Louis Regional Airport Aurora Municipal Airport St. Louis Downtown Airport Lake in the Hills Airport Lansing Municipal Airport Lewis University Airport Waukegan Regional Airport DuPage Airport Chicago Executive Airport (was Palwaukee Municipal) Аэропорты авиации общего назначения (GA) Mercer County Airport Greater Beardstown Airport Benton Municipal Airport Bolingbrook's Clow International Airport Cairo Regional Airport Ingersoll Airport Southern Illinois Airport Carmi Municipal Airport Casey Municipal Airport Centralia Municipal Airport Vermilion County Airport DeKalb Taylor Municipal Airport Dixon Municipal Airport (Charles R. Walgreen Field) Effingham County Memorial Airport Fairfield Municipal Airport Flora Municipal Airport Albertus Airport Galesburg Municipal Airport Campbell Airport Greenville Airport Galt Field Harrisburg-Raleigh Airport Dacy Airport Havana Regional Airport Jacksonville Municipal Airport Joliet Regional Airport Greater Kankakee Airport Kewanee Municipal Airport Marshall County Airport Lawrenceville-Vincennes International Airport Logan County Airport Litchfield Municipal Airport Macomb Municipal Airport Coles County Memorial Airport Metropolis Municipal Airport Bult Field Monmouth Municipal Airport Piatt County Airport Morris Municipal Airport (James R. Washburn Field) Mount Carmel Municipal Airport Mount Sterling Municipal Airport Mount Vernon Airport Olney-Noble Airport Edgar County Airport Pekin Municipal Airport Mount Hawley Auxiliary Airport Illinois Valley Regional Airport (Walter A. Duncan Field) Pinckneyville-DuQuoin Airport Pittsfield Penstone Municipal Airport Pontiac Municipal Airport Poplar Grove Airport Rantoul National Aviation Center (Frank Elliott Field) Robinson Municipal Airport Rochelle Municipal Airport (Koritz Field) Salem-Leckrone Airport Tri-Township Airport Schaumburg Regional Airport Schaumburg Municipal Helistop Shelby County Airport Sparta Community Airport (Hunter Field) St. Louis Metro-East Airport (Shafer Field) Whiteside County Airport (Jos. H. Bittorf Field) Taylorville Municipal Airport Tuscola Airport Vandalia Municipal Airport Прочие гражданские аэропорты (отсутствуют в NPIAS) Foster Field Carthage Airport Sackman Field Bresson Airport Dwight Airport Earlville Airport Freeport/Dornink Airport Gen-Airpark Highland-Winet Airport Hillsboro Municipal Airport Hinckley Airport Kankakee Airport Hartenbower Hectares Airport Manito Mitchell Airport Grandpa's Farm Mendota Airport Ogle County Airport Howell-New Lenox Airport Cushing Field Skydive Chicago Airport Zelmer Memorial Airpark Paxton Airport Cottonwood Airport Schuy-Rush Airport Frasca Field Percival Springs Airport Tri-County Airport Частные аэропорты (неполный список) Rinkenberger RLA Airport Закрытые аэропорты (неполный список) Meigs Field (closed in 2003)  
dataset/Dataset/data/4386875/table_1|2|8|аэропорт|Дубай Стамбул Туржаны 
dataset/Dataset/data/1790050/table_3|1|8|аэропорт|Аэропорт Окленда Международный аэропорт Куала-Лумпура Международный аэропорт Крайстчерча Международный аэропорт Гамильтона Международный аэропорт Веллингтона 
dataset/Dataset/data/1327248/table_1|1|8|аэропорт|Лондонский аэропорт Хитроу Международный аэропорт имени Шарля де Голля Амстердамский аэропорт Схипхол Аэропорт Франкфурт Международный аэропорт Гонконга Международный аэропорт Нарита Сингапурский аэропорт Чанги Лондонский аэропорт Гатвик Аэропорт Суварнабхуми Международный аэропорт Дубай Международный аэропорт Инчхон Международный аэропорт Мадрид Барахас Международный аэропорт Куала-Лумпура Международный аэропорт Мюнхена Аэропорт Стамбул имени Ататюрка Лондонский аэропорт Станстед Международный аэропорт Тайвань Таоюань Аэропорт Дублина Международный аэропорт имени Джона Кеннеди Аэропорт Копенгагена Международный аэропорт Мальпенса Аэропорт Манчестера Аэропорт Цюриха Международный аэропорт Торонто Пирсон Международный аэропорт имени Леонардо да Винчи Международный аэропорт Лос-Анджелеса Аэропорт Брюсселя Венский международный аэропорт Международный аэропорт Шанхай Пудун Аэропорт Сон-Сан-Жуан 
dataset/Dataset/data/6033129/table_0|2|8|аэропорт|Аэропорт Внуково Аэропорт Шереметьево Аэропорт Кольцово Аэропорт Симферополь Аэропорт Толмачево Аэропорт Емельяново Аэропорт Курумоч Аэропорт Сочи Аэропорт Льеж Международный аэропорт Лондон - Хитроу Международный аэропорт им.Ференца Листа Международный аэропорт Франкфурт-на-Майне Международный аэропорт им.Анри Коанды Аэропорт Верона-Виллафранка Международный аэропорт имени Вацлава Гавела Аэропорт Амстердам - Схипхол Международный аэропорт Цюрих Международный аэропорт Шарль Де - Голль Международный аэропорт Барселона Аэропорт Абель Сантамария Международный аэропорт Пхукет Международный аэропорт Бандаранайке Международный аэропорт Дубай Международный аэропорт Сианя Международный аэропорт Наньчан Международный аэропорт Лукоу Международный аэропорт Байта Международный аэропорт Синьчжэн Международный аэропорт Тианьхэ Аэропорт Биньхай Международный аэропорт Пекин-Дасин Международный аэропорт Шеньчжэнь-Баоань Аэропорт Таосянь Международный Аэропорт Феникс Санья Аэропорт Antalya Havalimanı Международный аэропорт Даламан 
dataset/Dataset/data/8869504/table_1|2|8|аэропорт|Международный аэропорт Тираны Бургас аэропорт София аэропорт Варна аэропорт Эдмонтон международный аэропорт Дубровник аэропорт Сплит аэропорт Международный аэропорт Пафоса Международный аэропорт Хургады Международный аэропорт Марса Алам Международный аэропорт Шарм-эль-Шейха Международный аэропорт Банжул Международный аэропорт Батуми Афинский международный аэропорт Международный аэропорт Ханьи Международный аэропорт Корфу Международный аэропорт Ираклиона Международный аэропорт Кос Международный аэропорт Родоса Салоники аэропорт Международный аэропорт Закинтоса Катания-Фонтанаросса: аэропорт Ольбия аэропорт Верона аэропорт Международный аэропорт Мои Охрид аэропорт Святого апостола Павла Подгорица аэропорт Агадир аэропорт Быдгощ аэропорт Гданьский аэропорт имени Леха Валенсы Катовице аэропорт Краков аэропорт Лодзь Аэропорт Владислава Реймонта Познань-Лавица аэропорт Жешув-Ясенка аэропорт Варшавский аэропорт имени Фредерика Шопена Коперник аэропорт Вроцлав Фару аэропорт Мадейра аэропорт Барселона-Эль-Прат аэропорт Фуэртевентура аэропорт Жирона — Коста-Брава: аэропорт Гран-Канария аэропорт Малага аэропорт Пальма де Майорка аэропорт Тенерифе Южный аэропорт Международный аэропорт Бандаранаике Международный аэропорт Джерба-Зарзис Enfidha аэропорт Анталия аэропорт Бодрум аэропорт Даламан аэропорт Измир аэропорт Международный аэропорт Рас-Аль-Хайма 
dataset/Dataset/data/2576131/table_0|2|8|аэропорт|Аэропорт Кихну Аэропорт Рухну Аэропорт Арланда 
dataset/Dataset/data/4349036/table_0|2|8|аэропорт|Международный аэропорт Хартсфилд-Джексон Атланта Международный аэропорт Пекин Столичный Международный аэропорт Дубай Международный аэропорт Токио Международный аэропорт Лос-Анджелеса Международный аэропорт О'Хара Лондонский аэропорт Хитроу Международный аэропорт Гонконга Пудун Международный аэропорт имени Шарля де Голля Амстердамский аэропорт Схипхол Международный аэропорт Даллас/Форт-Уэрт Международный аэропорт Гуанчжоу Байюнь Аэропорт Франкфурт Международный аэропорт имени Ататюрка Международный аэропорт имени Индиры Ганди Международный аэропорт Сукарно-Хатта Чанги Международный аэропорт Инчхон Международный аэропорт Денвера Аэропорт Суварнабхуми Международный аэропорт имени Джона Кеннеди Куала-Лумпур Международный аэропорт Сан-Франциско Международный аэропорт Мадрид Барахас Шуанлю Международный аэропорт Маккаран Барселона — Эль-Прат Международный аэропорт имени Чатрапати Шиваджи Торонто 
dataset/Dataset/data/3563327/table_1|3|8|аэропорт|Международный аэропорт Дубай Международный аэропорт Актау Международный аэропорт Пашковский Платов Международный аэропорт Сочи Аэропорт Минеральные Воды Аэропорт Сургут Внуково Внуково Внуково Домодедово Домодедово Домодедово Пулково Казань 
