table_id|column_id|label_id|label|column_data
dataset/Dataset/data/5023942/table_4|1|9|база|1:0 2:5 1:2 3:1 1:3 0:3 0:3 
dataset/Dataset/data/5178329/table_1|4|9|база|Йенбай Шаованг Кеп Хоалак Зялам Дананг Дананг Куинён Фанранг[en] Бьенхоа[en] Таншоннят Туихоа Камрань Ханой Ханой Ханой Ханой Ханой Ханой Хайфон Хайфон Хайфон Хайфон Бакзянг Бакзянг Бакзянг Дананг Дананг Дананг Камрань Камрань Хошимин Хошимин Хошимин Хошимин Хошимин 
dataset/Dataset/data/213706/table_0|5|9|база|449 4340 4040 4465 3477 3411 3026 260 2064 1706 1548 1334 
dataset/Dataset/data/256538/table_2|3|9|база|2320 2340 2295 2300 2300 2345 2420 2420 2405 2405 2285 2285 2285 2245 2300 2360 2360 2335 2290 2290 
dataset/Dataset/data/7433276/table_1|1|9|база|2935 мм 3070 мм 2850 мм 
dataset/Dataset/data/2049331/table_8|2|9|база|7500 7300 6700 7000 7000 6400 6000 6700 
dataset/Dataset/data/4726710/table_7|2|9|база|6.400 6.000 6.000 6.000 6.000 5.600 5.600 6.000 Первый прыжок 
dataset/Dataset/data/3097921/table_19|2|9|база|3:0 ~ 1:3 2:1 
dataset/Dataset/data/6532460/table_0|2|9|база|7.0 7.0 7.0 7.0 7.0 7.0 7.0 6.6 
dataset/Dataset/data/6696041/table_5|5|9|база|4 
dataset/Dataset/data/7132304/table_8|2|9|база|6400 6500 6200 6500 6700 5400 6000 5800 
dataset/Dataset/data/773441/table_2|3|9|база|2320 2340 2295 2300 2300 2345 2420 2420 2405 2405 2285 2285 2285 2245 2300 2360 2360 2335 2290 2290 
dataset/Dataset/data/4526472/table_2|1|9|база|1:1 1:1 2:2 3:1 1:1 0:2 0:0 0:0 0:2 2:2 1:1 0:3 1:3 0:1 1:1 1:3 1:2 1:3 
dataset/Dataset/data/6020736/table_0|2|9|база|6.4 6.7 7.0 6.5 6.5 6.8 6.5 6.6 6.5 6.5 6.4 6.6 
dataset/Dataset/data/5301308/table_1|0|9|база|Google Scholar Scopus Web of Science РИНЦ 
dataset/Dataset/data/773704/table_2|3|9|база|2320 2340 2295 2300 2300 2345 2420 2420 2405 2405 2285 2285 2285 2245 2300 2360 2360 2335 2290 2290 
dataset/Dataset/data/1549006/table_0|1|9|база|рессорная задняя подвеска, короткая база рессорная задняя подвеска, короткая база рессорная задняя подвеска, короткая база рессорная задняя подвеска, короткая база пружинная задняя подвеска, короткая база пружинная задняя подвеска, короткая база пружинная задняя подвеска, короткая база пружинная задняя подвеска, короткая база пружинная задняя подвеска, короткая база рессорная задняя подвеска, длинная база рессорная задняя подвеска, длинная база рессорная задняя подвеска, длинная база рессорная задняя подвеска, длинная база рессорная задняя подвеска, длинная база пружинная задняя подвеска, длинная база пружинная задняя подвеска, длинная база пружинная задняя подвеска, длинная база пружинная задняя подвеска, длинная база пружинная задняя подвеска, длинная база пружинная задняя подвеска, длинная база Pajero Evolution 
