table_id|column_id|label_id|label|column_data
dataset/Dataset/data/3871704/table_0|3|11|боксер|Джек Демпси Джин Танни Макс Шмелинг Джек Шарки Примо Карнера Макс Бэр Джеймс Брэддок Джо Луис Эззард Чарльз Джерси Джо Уолкотт Рокки Марчиано Флойд Паттерсон Ингемар Йоханссон Флойд Паттерсон Сонни Листон 
dataset/Dataset/data/3871704/table_5|3|11|боксер|Динни Мойер Ральф Дюпас Сандро Маццинги Нино Бенвенути Ким Ги Су Сандро Маццинги Фредди Литтл Кармело Босси Коити Вадзима Оскар Альбарадо Коити Вадзима Уинки Райт 
dataset/Dataset/data/4218613/table_2|1|11|боксер|Василий Ломаченко Теренс Кроуфорд Срисакет Сор Рунгвисаи Геннадий Головкин Мигель Анхель Гарсия Наоя Иноуэ Лео Санта Крус Александр Усик Энтони Джошуа Эррол Спенс 
dataset/Dataset/data/5456345/table_1|1|11|боксер|Мейвезер Пакьяо Мейвезер Пакьяо Мейвезер Пакьяо 
dataset/Dataset/data/626377/table_1|3|11|боксер|Кассиус Клей Мохаммед Али Джо Фрейзер Джордж Форман Мохаммед Али Леон Спинкс Майк Тайсон Джеймс Дуглас Эвандер Холифилд Риддик Боу Леннокс Льюис 
dataset/Dataset/data/626447/table_1|3|11|боксер|Кассиус Клей Мохаммед Али Джо Фрейзер Джордж Форман Мохаммед Али Леон Спинкс Майк Тайсон Джеймс Дуглас Эвандер Холифилд Риддик Боу Леннокс Льюис 
dataset/Dataset/data/6813134/table_0|1|11|боксер|Энтони Джошуа Тайсон Фьюри Деонтей Уайлдер Диллиан Уайт Луис Ортис Александр Поветкин Джозеф Паркер Джаррелл Миллер Адам Ковнацкий Кубрат Пулев 
dataset/Dataset/data/6903269/table_1|0|11|боксер|Мухаммад Якубов (15-0-0) Марк Урванов (17-2-1) Магомед Курбанов (18-0-0) Евгений Тищенко (6-0-0) Владислав Красношеин (7-1-1) Дмитрий Хасиев (8-2-2) Игорь Адлейба (8-2-2) Асрор Вохидов (6-0-0) Дмитрий Юн (3-0-0) Владислав Войцеховский (2-0-0) 
dataset/Dataset/data/6903269/table_1|2|11|боксер|Томас Рохас (51-18-1) Акжол Сулайманбек Уулу (15-0-0) Исмаил Илиев (51-18-1) Маркус Антонио Аумада (21-8-0) Евгений Чупраков (21-2-0) Никита Кузнецов (11-0-2) Аркадий Харутунян (11-0-2) Эржан Залилов (11-1-1) Станислав Максюченко (2-1-1) Владимир Котляров (2-0-1) 
dataset/Dataset/data/6903269/table_5|2|11|боксер|Энтони Ярд (18-0) Алексей Папин (11-0) Дарио Герман Балмаседа (19-17-2) Идд Пиалари (26-3-1) Артур Осипов (15-1) Гасан Гасанов (16-8-1) Милнер Маркано (20-7) Георгий Лашко (9-0) Рафик Харутунян (12-2) Григорий Варосян (дебют) Дмитрий Рыжих (дебют) 
dataset/Dataset/data/6903269/table_5|0|11|боксер|Сергей Ковалёв (33-3-1) Илунга Макабу (25-2) Евгений Романов (13-0) Эдуард Скавинский (10-0) Мейирим Нурсултанов (11-0) Азизбек Абдугофуров (12-0) Акжол Сулайманбек уулу (14-0) Эржан Тургумбеков (6-0-1) Энрико Гогохия (10-0) Алексей Тухтаров (3-14-5) Жавохирбек Каримов (2-0-1) 
dataset/Dataset/data/6946645/table_10|1|11|боксер|Лео Санта Крус Абнер Марес Хесус Ройас Кан Ксу Карл Фрэмптон Олег Ефимович Клаудио Марреро Джозеф Диас Хорхе Лара Сюн Кубо Джоель Брункер Тайлер Маккреари Хиросигэ Осава Бриан Де Грасия Луис Леброн Тока Хан Клэри Нехомар Кармено 
dataset/Dataset/data/6946645/table_16|1|11|боксер|Тамманун Нийомтронг Байрон Рохас Симфиве Хонко Рикардо Астувилка Чао Чжон Сюн Алексис Диас Рей Лорето Асаэль Вильяр Сифаманда Балени Рюдзи Хара Хулио Мендоса Рэя Кониси Цубаса Коура ДиДжей Криэль Тото Ландеро Паня Прадабсри 
dataset/Dataset/data/6958440/table_2|1|11|боксер|Вакантный титул Александр Гвоздик Сергей Ковалёв Салливан Баррера Маркус Браун Энтони Ярде Каро Мурат Майк Ли Доминик Бёзель Мануэль Себальос Вячеслав Шабранский Джо Смит младший Роберт Пажечевский Блэйк Капарелло Дэмиен Хупер Фаньлун Мэн 
