table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2057959/table_13|4|13|ввп|6 897 30 357,70 (-0,51 %) 
dataset/Dataset/data/2057959/table_3|4|13|ввп|9 998 8 641 9 721 15 312 14 468 (-5,51 %) 
dataset/Dataset/data/2058068/table_3|4|13|ввп|9 998 8 641 9 721 15 312 14 468 (-5,51 %) 
dataset/Dataset/data/2907391/table_0|2|13|ввп|8 921 ▲10 091 ▲10 995 ▲11 750 ▲12 632 ▲13 634 ▲14 295 ▲15 279 ▲16 816 ▲18 247 ▲19 782 ▲21 056 ▲21 641 ▲21 970 ▲22 598 ▲23 642 ▲24 765 ▲25 400 ▼25 318 ▲25 592 ▲26 850 ▲27 508 ▲27 905 ▲28 843 ▲30 266 ▲31 755 ▲33 197 ▲34 641 ▲34 952 ▼33 347 ▲35 157 ▲35 775 ▲37 060 ▲38 478 ▲39 381 ▲40 392 ▲41 297 ▲42 818 ▲44 227 
dataset/Dataset/data/4736061/table_0|2|13|ввп|7196 ▼6,748 ▼6,444 ▼6,087 ▲6,308 ▲6,651 ▲6,698 ▲7,009 ▲7,890 ▲9,168 ▲10,211 ▲11,318 ▲12,642 ▲14,178 ▲15,991 ▲17,677 ▲18,140 ▲18,245 ▲19,530 ▲21,129 ▲22,278 ▲23,644 ▲24,734 ▲24,940 ▲25,167 ▲26,252 ▲27,867 
dataset/Dataset/data/515526/table_0|2|13|ввп|15 611 ▲17 153 ▲18 391 ▲19 478 ▲21 106 ▲22 956 ▲25 638 ▲27 155 ▲30 223 ▲34 137 ▲36 863 ▲40 826 ▲41 943 ▲44 115 ▲46 104 ▲47 516 ▲48 412 ▲51 502 ▲54 757 ▲59 529 ▲65 079 ▲67 331 ▲70 249 ▲72 127 ▲75 663 ▲79 480 ▲84 722 ▲92 837 ▼91 977 ▼86 894 ▲90 662 ▲92 970 ▼92 102 ▲94 824 ▲99 738 ▲101 255 ▲103 286 ▲106 373 
dataset/Dataset/data/706609/table_0|2|13|ввп|4 787 ▲4 895 ▲5 117 ▼5 029 ▲5 369 ▲5 856 ▲6 298 ▲6 563 ▲6 686 ▲7 044 ▼6 795 ▲6 975 ▲6 979 ▲7 377 ▲7 850 ▲8 224 ▲8 304 ▲8 605 ▼8 604 ▲8 651 ▲9 108 ▲9 313 ▲9 614 ▲9 789 ▲10 505 ▲11 055 ▲11 707 ▲12 605 ▲13 360 ▼13 304 ▲14 338 ▲15 070 ▲15 499 ▲16 079 ▲16 309 ▼15 769 ▼15 295 ▲15 602 
dataset/Dataset/data/7183994/table_0|2|13|ввп|11 504 ▲12 491 ▲13 766 ▲14 689 ▲15 858 ▲17 025 ▲18 200 ▲18 681 ▲19 317 ▲20 194 ▲21 227 ▲22 192 ▲23 072 ▲23 538 ▲25 242 ▲26 452 ▲27 531 ▲28 783 ▲29 629 ▲30 860 ▲32 645 ▲33 543 ▲34 095 ▲34 811 ▲36 627 ▲38 592 ▲41 211 ▲42 538 ▲42 924 ▼40 863 ▲41 958 ▲43 194 ▲43 933 ▲44 882 ▲46 223 ▲47 202 ▲48 338 ▲49 883 
dataset/Dataset/data/8305178/table_0|2|13|ввп|4 787 ▲4 895 ▲5 117 ▼5 029 ▲5 369 ▲5 856 ▲6 298 ▲6 563 ▲6 686 ▲7 044 ▼6 795 ▲6 975 ▲6 979 ▲7 377 ▲7 850 ▲8 224 ▲8 304 ▲8 605 ▼8 604 ▲8 651 ▲9 108 ▲9 313 ▲9 614 ▲9 789 ▲10 505 ▲11 055 ▲11 707 ▲12 605 ▲13 360 ▼13 304 ▲14 338 ▲15 070 ▲15 499 ▲16 079 ▲16 309 ▼15 769 ▼15 295 ▲15 602 
dataset/Dataset/data/8680689/table_0|5|13|ввп|957.0 11.0 16.1 666.0 843.0 876.0 782.0 1898.0 1076.0 
