table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1358613/table_2|2|14|ведущий|Светлана Моргунова Михаил Задорнов Владимир Познер, Ирина Линдт, Валерий Золотухин, Сергей Безруков, Екатерина Гусева, Никита Ефремов, Чулпан Хаматова, Дмитрий Харатьян, Ирина Апексимова Яна Чурикова, Гарик Мартиросян Валдис Пельш (23.02.2008), Дмитрий Дибров Татьяна Веденеева Яна Чурикова, Виктор Раков Яна Чурикова Яна Чурикова, Виктор Гусев Сергей Безруков, Ирина Безрукова, Егор Бероев, Ксения Алфёрова, Екатерина Стриженова, Александр Стриженов, Михаил Боярский, Лариса Луппиан, Елизавета Боярская, Максим Матвеев, Иван Охлобыстин, Оксана Охлобыстина, Дмитрий Шепелев, Дмитрий Дюжев, Татьяна Дюжева, Дмитрий Харатьян, Марина Майко, Игорь Петренко, Екатерина Климова, Дмитрий Певцов, Ольга Дроздова, Виктор Васильев, Анна Снаткина, Игорь Николаев, Юлия Проскурякова Александр Цекало, Анна Седокова, Дмитрий Шепелев, Александра Савельева, Яна Чурикова, Андрей Малахов, Сати Казанова, Иван Ургант Яна Чурикова, Иосиф Кобзон Игорь Кириллов, Анна Шатилова, Яна Чурикова Иосиф Кобзон Яна Чурикова, Марк Тишман Татьяна Веденеева Екатерина Стриженова, Валдис Пельш, Яна Чурикова, Александр Маршал Сергей Лазарев Иван Ургант, Алсу, Андрей Малахов, Наталья Водянова, Дмитрий Шепелев Татьяна Веденеева, Марк Тишман Анастасия Мельникова, Евгений Дятлов Светлана Моргунова, Александр Олешко Михаил Шац, Татьяна Лазарева, Эвелина Блёданс Лариса Вербицкая, Дмитрий Харатьян, Сергей Жигунов Андрей Малахов, Александр Олешко Гарик Мартиросян Яна Чурикова, Дмитрий Шепелев Игорь Кириллов, Анна Шатилова, Яна Чурикова, Иван Ургант Артур Смольянинов, Чулпан Хаматова Татьяна Веденеева Светлана Моргунова, Марк Тишман Алла Пугачёва, Алексей Кортнев Татьяна Веденеева, Кирилл Набутов Татьяна Веденеева Юрий Николаев Леонид Якубович (2010, 2019), Сергей Колесников (2010), Светлана Зейналова и Валдис Пельш (2020) Леонид Якубович Ангелина Вовк Владимир Винокур, Лев Лещенко, Максим Галкин, Нонна Гришаева Дмитрий Шепелев, Яна Чурикова Анна Тихонова, Андрей Чернышов Елена Север, Антон Зорькин, Екатерина Стриженова Илья Лагутенко, Наоми Кэмпбелл Игорь Золотовицкий Алёна Бабенко, Максим Матвеев Иван Ургант Валдис Пельш, Алексей Кортнев Шэрон Стоун, Кевин Спейси Юрий Николаев, Лариса Вербицкая, Дмитрий Шепелев, Юлия Ковальчук Андрей Рожков (2011), Михаил Галустян и Ольга Картункова (2015) Валдис Пельш, Екатерина Стриженова, Лариса Вербицкая, Александр Маршал, Анастасия Заворотнюк, Яна Чурикова, Евгений Дятлов, Елена Яковлева Игорь Кириллов, Анна Шатилова, Яна Чурикова, Дмитрий Шепелев Екатерина Стриженова, Леонид Ярмольник Юрий Николаев, Екатерина Стриженова Екатерина Гусева, Юрий Николаев Юлий Гусман, Ксения Собчак Александр Киреев, Анна Вергелесова, Инна Сопина Екатерина Стриженова, Андрей Чернышов Андрей Малахов, Светлана Моргунова Яна Чурикова, Дмитрий Шепелев Кирилл Набутов, Татьяна Арно Иван Ургант, Дмитрий Нагиев, Вера Брежнева (2012) Ксения Собчак, Потап Леонид Ярмольник, Ирина Алфёрова Максим Дунаевский, Юлия Зимина Андрей Малахов, Иван Ургант, Леонид Якубович, Арина Шарапова, Елена Малышева Михаил Брагин, Татьяна Гордеева Светлана Зейналова, Виктор Набутов Яна Чурикова, Марк Тишман, Александр Олешко, Елена Максимова Игорь Золотовицкий Александр Гордон, Екатерина Стриженова Пётр Толстой, Елена Ямпольская, Дмитрий Харатьян, Ольга Тимофеева Светлана Зейналова, Александр Олешко Светлана Зейналова и Александр Олешко (2014, 2015, 2017), Павел Прилучный и Агата Муцениеце (2018), Аглая Шиловская и Сергей Лазарев (2021) Андрей Малахов, Дмитрий Нагиев, Александр Маршал, Сати Казанова, Елена Север, ЮрКисс Валдис Пельш, Яна Чурикова, Светлана Зейналова, Александр Олешко Антон Беляев, Елена Максимова Марк Тишман, Аврора Дмитрий Нагиев, Юрий Николаев Максим Аверин, Анастасия Макеева Максим Галкин, Пелагея, Вера Красова, Егор Бероев Яна Чурикова, Михаил Пореченков Валдис Пельш, Светлана Зейналова, Александр Олешко Андрей Малахов и Екатерина Стриженова (2015), Дмитрий Борисов и Валерия Ланская (2017), Яна Чурикова и Валдис Пельш (2019) Яна Чурикова; Кирилл Набутов (2015), Валдис Пельш (2018), Михаил Пореченков (2020) Никита Ефремов, Чулпан Хаматова, Александр Олешко, Виктория Романенко Иван Ургант, Игорь Золотовицкий Юрий Николаев, Татьяна Веденеева, Ангелина Вовк Яна Чурикова, Александр Олешко Светлана Моргунова, Владимир Березин Валдис Пельш, Светлана Зейналова Александр Пашутин, Александр Носик Александр Олешко, Валерия Ланская, Таисия Маслякова, Кирилл Пиджоян Олег Гаркуша, Ирина Салтыкова Валдис Пельш, Яна Чурикова Олег Гаркуша, Татьяна Кузнецова, Алексей Петровский Юрий Николаев, Татьяна Веденеева Валдис Пельш, Светлана Зейналова Максим Аверин, Анастасия Макеева Чулпан Хаматова, Андрей Малахов, Дина Корзун, Дмитрий Борисов Валдис Пельш, Яна Чурикова Александра Захарова, Виктор Раков Дмитрий Нагиев Александр Ревва (2017—2019), Михаил Галустян и Александр Олешко (2017), Валдис Пельш (2018—2019), Дмитрий Хрусталёв (2018), Николай Фоменко (2019) Валдис Пельш, Светлана Зейналова Яна Чурикова и Дмитрий Дюжев (2017), Анастасия Макеева и Александр Маршал (2018—2019) Игорь Золотовицкий, Александр Жигалкин Тимур Родригез, Екатерина Варнава Дмитрий Нагиев, Пелагея Яна Чурикова, Леонид Якубович Светлана Зейналова, Валдис Пельш (2017, 2019), Дмитрий Харатьян (2018) Зара и Оскар Кучера Максим Аверин Анастасия Макеева, Дмитрий Дюжев Анастасия Макеева, Валдис Пельш; Дмитрий Хрусталёв и Яна Кошкина (2017-2018), Николай Фоменко и Марина Ким (2019) 4 января 2018 Максим Аверин Михаил Брагин, Татьяна Гордеева, Сергей Демидов и Виктор Абрамян Дмитрий Певцов, Александра Захарова и Максим Аверин Владимир Познер Яна Чурикова Ефим Шифрин Анна Шатилова, Владимир Березин, Ангелина Вовк, Марк Тишман, Яна Чурикова, Анастасия Макеева Максим Галкин, Яна Чурикова, Сергей Лазарев, Валерия Анастасия Макеева Яна Чурикова, Валдис Пельш; Екатерина Стриженова (2019) Максим Галкин Анастасия Макеева, Максим Аверин Лев Лещенко, Лариса Вербицкая Дмитрий Нагиев Михаил Швыдкой Максим Галкин Максим Аверин Анастасия Макеева и Дмитрий Певцов Дмитрий Нагиев Яна Чурикова и Дмитрий Нагиев Рената Литвинова и Михаил Швыдкой 
dataset/Dataset/data/7327470/table_0|2|14|ведущий|Орасио Кабак Милтон Невеш Николай Георгиев Диана Болокко Ян Бо Айман Кайсуни Милтос Макридис Дайо Вонг Мониш Бел Деде Юсуф Генрик ТаларКжиштоф Ибиш Жозе Карлуш Малату Разван ЭкзархуФлорин Михок Валдис ПельшМаксим Галкин (25 декабря 2002) Ирфан Менсур Милан Калинич Драган Маринкович Хсу Найлинь Луис Креспо Кевин Цай Беркун Оя Рона Кэмерон 
dataset/Dataset/data/6653487/table_0|6|14|ведущий|Сергей Бодров-младший ‡ Дмитрий Певцов Николай Фоменко Александр Домогаров Владимир Меньшов Ксения Собчак Яна Троянова Яна Троянова Яна Троянова 
dataset/Dataset/data/7430964/table_0|1|14|ведущий|Бидзинашвили Ш. Б. Хохлов П. И. Казунов 
dataset/Dataset/data/7018389/table_0|4|14|ведущий|Стелла Хайсс Мария Поульсен Клаудия Альвера Лиза Уигл Чжоу Янь Даце Мунча Екатерина Галкина Энн Суиссхелм Сандра Гантенбайн Маргарита Сигфридссон (Скип) Клэр Хэмилтон Тиаки Мацумура 
dataset/Dataset/data/7344571/table_9|3|14|ведущий|Юлия Гузиёва 
dataset/Dataset/data/1588770/table_0|3|14|ведущий|Кира Прошутинская, Павел Веденяпин, Андрей Максимов, Ирина Петровская, Иван Кононов, Дмитрий Губин. Также соведущими были Валерий Комиссаров, Игорь Угольников, О. Фокина, И. Цветков и др. Леонид Парфёнов Игорь Угольников, Валдис Пельш, Алексей Кортнев, Сергей Денисов, Александр Суворов, Евгений Воскресенский, Николай Фоменко и др. Дмитрий Дибров, Андрей Столяров Иван Кононов, Алексей Гиганов Иван Усачёв Матвей Ганапольский Борис Гуреев и др. Анатолий Кременецкий Нина Зарецкая Владимир Белобородов Александр Тихомиров Сергей Шумаков Владимир Смирнов, Андрей Прошутинский Яна Поплавская, Игорь Васильков, Дмитрий Быков, Тина Канделаки, Ольга Грозная, Наталья Козаченко, Григорий Гурвич, Александр Ухов, Михаил Ананьев и другие — 77 ведущих за историю программы Валдис Пельш, Алексей Кортнев и другие Михаил Швыдкой Иван Кононов Матвей Ганапольский Валерий Комиссаров Владимир Познер Кира Прошутинская, Андрей Максимов Глеб Скороходов Татьяна Гобзева Алексей Кортнев, Валдис Пельш, позже — Евгений Воскресенский Дин Махаматдинов Владимир Руднев братья Высоцкие, Илья Малкин Яна Поплавская Юрий Щекочихин Лев Новожёнов, Игорь Васильков, Александр Ухов, Сергей Корзун Олег Марусев, Евгений Дворжецкий, Евгений Стычкин, Ольга Шелест, Матвей Ганапольский Светлана Сорокина, Эдуард Сагалаев, Оксана Найчук Владимир Познер Григорий Гурвич, после его смерти — Иван Кононов, Андрей Максимов, Кира Прошутинская, а также: Олег Марусев, Игорь Васильков, Борис Соболев, Евгений Хорошевцев, Михаил Кожухов. Лев Новожёнов, Максим Василенко Лев Новожёнов (1997), Андрей Максимов (1997—2008), Иван Кононов (1998—1999) Михаил Кондалов, Игорь Васильков, Олег Осипов Борис Грачевский и Ксения Грачевская, Матвей и Михаил Ганапольские, Владимир Грамматиков и Егор Грамматиков Наталья Варлей Владимир Познер Иван Кононов Матвей Ганапольский и Николай Тамразов Иван Кононов, позже — Матвей Ганапольский, Андрей Дементьев, Кира Прошутинская Владимир Познер Марина Голуб Алексей Шахматов, Тина Канделаки Дмитрий Быков Виталий Третьяков Михаил Кожухов Александр Архангельский Константин Затулин Глеб Скороходов Николай Сванидзе, позже — Ольга Дроздова и Виталий Ушканов Михаил Жванецкий, Андрей Максимов (2002—2018), Алексей Бегак (2018—2019) Игорь Васильков Юлия Рутберг, Александра Буратаева, Кира Прошутинская Кира Прошутинская Алексей Нестеренко Валерий Закутский, Алика Смехова Алексей Плуцер-Сарно, Алексей Семихатов Анатолий Лысенко Сергей Корзун Андрей Соколов, Сергей Гинзбург, Александр Домогаров, Алексей Гуськов (посезонно) Екатерина Шемякина, Максим Покровский, Валерий Закутский, Камиль Фаткуллин, Юлия Солнечная Роман Виктюк, Александр Пряников Игорь Васильков, Сергей Шубенков (2020—2021) Александр Пряников — Алушта, Михаил Ананьев — Москва Павел Чухрай, Анастасия Чухрай (первая программа — Владимир и Юлия Меньшовы) Сергей Гинзбург, Павел Майков Агата Хлущевская, Наталья Козаченко, Михаил Байтман Константин Затулин Игорь Васильков (позже — Дмитрий Губин, Александр Карлов, Ольга Шелест), Дмитрий Дибров Андрей Максимков и Алексей Колган (2008—2009), Дмитрий Харатьян (2009—2013), Дмитрий Губин (2009—2011), Александр Карлов (2011—2013, 2014—2015), Юрий Стоянов (2013—2015), Анастасия Голуб (2013—2014) Евгений Рыбов Николай Борисов, Игорь Данилевский, Сергей Мироненко, Дмитрий Бак Александр Гуревич, Инна Сопина, Анна Вергелесова, Игорь Ванюшкин, Андрей Кудзин, Иосиф Левитис Дмитрий Глуховский, Иван Засурский Ольга Аросева Александр Гуревич, Инна Сопина, Анна Вергелесова, Игорь Ванюшкин, Андрей Кудзин, Иосиф Левитис разные Николай Кузменко, Андрей Дроздов, Николай Калашников разные ведущие с телеканала «Бибигон» Александр Гуревич, Инна Сопина, Анна Вергелесова, Игорь Ванюшкин, Андрей Кудзин, Иосиф Левитис Кира Прошутинская Александр Гаврилов Александр Гуревич, Инна Сопина, Анна Вергелесова, Игорь Ванюшкин, Андрей Кудзин Александр Гуревич, Инна Сопина, Анна Вергелесова, Игорь Ванюшкин, Андрей Кудзин Роман Гольчук, Кузьма Котрелёв, Родион Романадзе, Анастасия Матвеева, Виктория Решетило, Владислав Крутских, Михаил Пунтов, Иван Суханов, Денис Жариков, Илья Сологуб, Андрей Максимов, Иван Полтев Михаил Жебрак Константин Затулин Анатолий Малкин Анатолий Малкин Никита Багдасаров, Аполлинария Дерябкина, Тимур Гончаров 
dataset/Dataset/data/1321161/table_0|4|14|ведущий|Пьер Черния Пьер Черния Пьер Черния Пьер Черния Пьер Черния Пьер Черния Жак Мартин (фр.)русск. и Пьер Черния Жан-Клод Бриали Мишель Дрюкер (фр.)русск. Мишель Дрюкер (фр.)русск. и Джейн Биркин Ева Руджери (фр.)русск. Ришар Боренже Фредерик Миттеран Фредерик Миттеран Фабрис Лукини и Клементин Селарье (фр.)русск. Антуан де Кон Антуан де Кон Антуан де Кон Антуан де Кон Ален Шаба Эдуар Бер Эдуар Бер Жеральдин Пелас Гад Эльмалех Гад Эльмалех Валери Лемерсье Валери Лемерсье Антуан де Кон Антуан де Кон Валери Лемерсье и Гад Эльмалех Антуан де Кон Антуан де Кон Антуан де Кон Франсуа Клюзе Эдуар Бер Флоренс Форести Жером Коммандёр Маню Пайе Кад Мерад Флоренс Форести 
dataset/Dataset/data/1772456/table_18|3|14|ведущий|Кори Бартел 
dataset/Dataset/data/545504/table_0|4|14|ведущий|Дэн Эйкройд и Бетт Мидлер Эдди Мёрфи MTV VJs MTV VJs Arsenio Hall (англ.)русск. Arsenio Hall (англ.)русск. Arsenio Hall (англ.)русск. Arsenio Hall (англ.)русск. Dana Carvey (англ.)русск. Кристиан Слейтер Розанна Барр Dennis Miller (англ.)русск. Dennis Miller (англ.)русск. Крис Рок Бен Стиллер Крис Рок Марлон Уэйанс and Шон Уэйанс Джейми Фокс Джимми Фэллон Крис Рок Без ведущего Шон Коумз Джек Блэк Без ведущего Рассел Брэнд Рассел Брэнд Челси Хендлер Леди Гага Кевин Харт Без ведущего Без ведущего Майли Сайрус Без ведущего Кэти Перри Без ведущего Себастьян Манискалько Кеке Палмер Доджа Кэт 
