table_id|column_id|label_id|label|column_data
dataset/Dataset/data/139532/table_1|3|15|вес|6888 2875 63 41 10000 
dataset/Dataset/data/1542039/table_0|7|15|вес|202 г 201 г 209 г 219 г 219 г 219 г 219 г 219 г 221 г 216 г 209 г 219 г 195 г 208 г 219 г 214 г 
dataset/Dataset/data/1545795/table_1|5|15|вес|9 122 16 
dataset/Dataset/data/1551566/table_1|0|15|вес|от 120 
dataset/Dataset/data/1551566/table_1|1|15|вес|от 266 
dataset/Dataset/data/160556/table_1|3|15|вес|77,13 897 854 195 138 043 037 122 1000 
dataset/Dataset/data/1653060/table_1|5|15|вес|76 90 82 85 77 84 90 78 78 80 92 78 81 82 76 70 65 
dataset/Dataset/data/1677011/table_0|7|15|вес|202 г 201 г 209 г 219 г 219 г 219 г 219 г 219 г 221 г 216 г 209 г 219 г 195 г 208 г 219 г 214 г 
dataset/Dataset/data/1766116/table_14|5|15|вес|84 91 85 83 96 83 92 88 84 82 83 94 93 91 84 90 93 90 85 75 
dataset/Dataset/data/1766116/table_17|4|15|вес|75 95 91 
dataset/Dataset/data/1982394/table_0|2|15|вес|332 797 1968 135 103 19 22 413 108 103 103 53 1404 523 107 1011 32 2026 676 65 
dataset/Dataset/data/2008321/table_0|1|15|вес|21,98 % 14,92 % 14,13 % 12,92 % 7,37 % 6,55 % 4,65 % 3,98 % 3,47 % 3,13 % 2,34 % 1,10 % 1,09 % 1,05 % 0,77 % 0,56 % 
dataset/Dataset/data/2059442/table_1|1|15|вес|от 266 
dataset/Dataset/data/2059442/table_1|0|15|вес|от 120 
dataset/Dataset/data/2085303/table_3|3|15|вес|100 кг 100 кг 100 кг Открытые веса 100 кг 
dataset/Dataset/data/2268869/table_1|5|15|вес|70.0 65.0 74.0 68.0 
dataset/Dataset/data/2428747/table_0|10|15|вес|7355 2111 82 59 1 48 33 25 52 128 21 8 17 7 3 3 7 6 1000 
dataset/Dataset/data/2428747/table_0|8|15|вес|7487 1937 82 56 8 50 33 24 63 165 23 7 15 6 2 3 6 6 1000 
dataset/Dataset/data/2428747/table_0|2|15|вес|8001.0 923.0 26.0 89.0 32.0 3.0 5.0 164.0 543.0 36.0 4.0 8.0 5.0 0.0 4.0 136.0 0.0 1000.0 
dataset/Dataset/data/2428747/table_0|12|15|вес|7273 2207 86 63 9 45 32 26 43 95 19 11 17 9 7 5 7 6 1000 
dataset/Dataset/data/2428747/table_0|6|15|вес|7681 1694 69 58 0 52 36 24 87 201 25 7 15 5 2 3 6 6 1000 
dataset/Dataset/data/2428747/table_0|14|15|вес|7782 1728 57 54 51 42 32 31 30 21 19 21 15 10 9 7 7 7 1000 
dataset/Dataset/data/2428747/table_0|4|15|вес|7648.0 1349.0 51.0 84.0 37.0 3.0 116.0 495.0 35.0 7.0 18.0 3.0 15.0 3.0 127.0 1000.0 
dataset/Dataset/data/2444680/table_10|5|15|вес|83 97 92 99 90 93 84 81 80 96 96 86 88 88 96 81 86 90 101 89 90 86 
dataset/Dataset/data/2444680/table_12|5|15|вес|90 95 90 80 90 88 82 87 86 89 85 78 80 90 82 80 90 88 98 82 90 86 
dataset/Dataset/data/2444680/table_4|5|15|вес|84 77 80 83 93 77 88 88 87 93 80 74 80 85 82 88 76 78 76 90 87 
dataset/Dataset/data/2444680/table_9|4|15|вес|79 92 87 
dataset/Dataset/data/2497139/table_2|3|15|вес|7763 1072 964 112 15 12 7 5 3 3 3 2 2 37 10000 
dataset/Dataset/data/2504657/table_0|2|15|вес|83,07 % 1,86 % 1,53 % 1,11 % 0,46 % 0,34 % 0,28 % 0,25 % 0,18 % 0,09 % 0,11 % 0,04 % 0,07 % 0,08 % 0,02 % 0,22 % 0,11 % 0,07 % 0,06 % 0,06 % 0,06 % 0,04 % 0,02 % 0,01 % 0,01 % 1,69 % 8,19 % 
dataset/Dataset/data/2639962/table_3|6|15|вес|39 кг 
dataset/Dataset/data/2639986/table_1|6|15|вес|200 кг 
dataset/Dataset/data/2639986/table_3|6|15|вес|39 кг 
