table_id|column_id|label_id|label|column_data
dataset/Dataset/data/105408/table_1|0|16|вещество|четырёххлористый углерод циклогексан бензол толуол гептан трихлорэтилен этилбензол о-ксилол п-ксилол бромоформ 
dataset/Dataset/data/1066040/table_0|0|16|вещество|Азот, N2 Водород, Н2 Германий, Ge Кремний, Si Вода (жидкая), Н2O Поваренная соль, NaCI Ацетон, С3Н6О Глицерин, С3Н8О3 Нафталин, С10Н8 Висмут, Bi, металл Пиролитический графит, П, С Пиролитический графит, ⊥, С 
dataset/Dataset/data/143574/table_1|0|16|вещество|Фтор F2 Хлор CI2 Бром Br2 Иод I2 Астат At2 
dataset/Dataset/data/1765381/table_0|1|16|вещество|никотин варениклин цитизин бупропион нортриптилин[en] клонидин 
dataset/Dataset/data/1864558/table_0|0|16|вещество|Нафталин Антрацен Тетрацен Пентацен Трифенилен Бензантрацен Кекулен 
dataset/Dataset/data/1864558/table_0|2|16|вещество|Фенантрен Хризен Пирен Коронен Овален Бензпирен Коранулен 
dataset/Dataset/data/1939355/table_0|0|16|вещество|Температура кипения, 
dataset/Dataset/data/2351831/table_0|0|16|вещество|амиловый спирт вода (0 °C) вода (20 °C) вода (25 °C) вода (32,5 °C) вода (47,3 °C) вода (67 °C) вода (99 °C) этанол 
dataset/Dataset/data/24714/table_0|0|16|вещество|Азот Кислород Аргон Углекислый газ Неон Криптон Метан Гелий Водород Ксенон 
dataset/Dataset/data/25565/table_3|5|16|вещество|% от массы сброса загрязняющих веществ по РБ 269 
dataset/Dataset/data/25565/table_3|4|16|вещество|Масса сброса загрязняющих веществ, тыс. т 2991 
dataset/Dataset/data/3439075/table_0|0|16|вещество|Иприт Фосген Люизит Адамсит Зарин Зоман Табун Хинуклидил-3-бензилат 
dataset/Dataset/data/3679141/table_0|0|16|вещество|воздух вода алюминий свинец 
dataset/Dataset/data/3722106/table_0|0|16|вещество|тротил кристаллический аммонит № 6ЖВ аммонал аммонит скальный № 1 прессованный гексоген нитроглицерин этиленгликольдинитрат 
dataset/Dataset/data/4481030/table_0|0|16|вещество|Фосген, хлор, арсин Сероводород, меркаптаны Альдегиды Аммиак Кислые газы, сероуглерод Сероводород, фосфин, ртуть, арсин, радиоактивный йодистый метил Сероводород Арсин, фосфин Ртуть Аммиак, амины, ртуть Радиоактивный йодистый метил Цианистый водород 
dataset/Dataset/data/456777/table_1|1|16|вещество|000000005×10−5 
dataset/Dataset/data/4973975/table_1|0|16|вещество|Натрий Калий Магний Кальций Марганец Железо Медь Цинк Фосфор Селен 
dataset/Dataset/data/503632/table_3|5|16|вещество|% от массы сброса загрязняющих веществ по РБ 269 
dataset/Dataset/data/503632/table_3|4|16|вещество|Масса сброса загрязняющих веществ, тыс. т 2991 
dataset/Dataset/data/5223803/table_0|0|16|вещество|Нитромочевина ТНТ NH4NO3 
dataset/Dataset/data/5224999/table_0|1|16|вещество|Лоразепам Лоратадин Лоперамид Пироксикам Ризатриптан Домперидон Селегилин Фамотидин Оланзапин Ондансетрон 
