table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8740952/table_0|1|17|владелец|Apple Kakao M QQ Music[en] GAON GAON GAON HDU[hr] Oricon 
dataset/Dataset/data/6326691/table_1|3|17|владелец|Правительство Пермского края CFG, Renaissance Group Ростех, Роснефть, Газпромбанк Газпром, Газпром нефть, Металлоинвест Сергей Галицкий, Банк Хоум Кредит, Constell Group Правительство Самарской области РЖД, ТрансТелеКом, Первая грузовая компания Правительство Оренбургской области, Газпром добыча Оренбург Правительство Ростовской области, ТНС энерго Ростов-на-Дону, Группа Агроком Группа компаний ТАИФ, Ак барс Банк Леонид Федун, Лукойл Правительство Чеченской республики, Фонд А.Кадырова Администрация Томской области, Газпромнефть-Восток Правительство Свердловской области, ТМК, Ренова ОАО «Региональный фонд» Евгений Гинер, Россети 
dataset/Dataset/data/13510/table_2|2|17|владелец|АО «Первый канал» Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) Газпром-Медиа Холдинг Газпром-Медиа Холдинг и АО «Телекомпания НТВ» Национальная Медиа Группа Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) ЗАО «Карусель» (ВГТРК и ЗАО «Первый канал. Всемирная сеть») АНО «Общественное телевидение России» АО «Телекомпания „ТВ Центр“» 
dataset/Dataset/data/5136881/table_0|1|17|владелец|Сергей Кузьменко Алексей Хахлёв Константин Жеваго Игорь Суркис Евгений Геллер Максим Березкинruuk Пётр Дыминский Владислав Гельзин Вардан Исраелян Леонид Климовruuk Ринат Ахметов Максим Ефимов Ивица Пирич Николай Златов Игорь Палица Александр Гельштейнruuk Пётр Каплунruuk Владимир Левин Александр Деменчук Александр Поворознюкruuk Андрей Засуха Андрей Недяк Николаевский горисполком Андрей Полунин Александр Слободян Леонид Соболевruuk Григорий Козловскийruuk Анатолий Бойко Виталий Ильченко Олег Собуцкий Александр Акимов Сергей Гринюк Игорь Коломойский Юрий Береза ФК «Ингулец» Роман Михайлив ФК «Россо Неро» и ГО «Металург назавжди» Иван Доценко Дмитрий Андриешин Василий Вовк МФК «Николаев» Анатолий Акимочкин Евгений Бейдерман Виталий Лясковский Василий Ольшанецкий Николай Лиховидов Николай Кмить Татьяна Павлова Сергей Куницын Ариф Мустафаев 
dataset/Dataset/data/3321682/table_1|2|17|владелец|Джек Рауш Джо Гиббс Джефф Гордон, Рик Хендрик Джефф Гордон, Рик Хендрик Джефф Гордон, Рик Хендрик Джефф Гордон, Рик Хендрик Джефф Гордон, Рик Хендрик Тони Стюарт, Джин Хаас Роджер Пенске Джефф Гордон, Рик Хендрик Тони Стюарт, Джин Хаас Джо Гиббс Рик Хендрик Барни Виссер Роджер Пенске Джо Гиббс Рик Хендрик 
dataset/Dataset/data/8369787/table_2|4|17|владелец|Vodafone Albania Telecom Invest AD ALBtelecom 
dataset/Dataset/data/79911/table_6|2|17|владелец|Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) Филиал ФГУП ВГТРК «Государственная радиовещательная компания „Маяк“» ФГУП «Всероссийская Государственная Телевизонная и Радиовещательная Компания» 
dataset/Dataset/data/1593842/table_1|3|17|владелец|Кевин Дюрант (Голден Стэйт Уорриорз) Лука Дончич (Даллас Маверикс) Яннис Адетокунбо (Милуоки Бакс) Майк Буденхольцер (Милуоки Бакс) Кавай Леонард (Торонто Рэпторс) Джон Хорст (Милуоки Бакс) Дамиан Лиллард (Портленд Трэйл Блэйзерс) Руди Гобер (Юта Джаз) Луис Уильямс (Лос-Анджелес Клипперс) Паскаль Сиакам (Торонто Рэпторс) Кемба Уокер (Шарлотт Хорнетс) Джамал Кроуфорд (Миннесота Тимбервулвз) Ларри Бёрд (Бостон Селтикс)Мэджик Джонсон (Лос-Анджелес Лейкерс) 
dataset/Dataset/data/1101445/table_2|2|17|владелец|АО «Первый канал» Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) Газпром-Медиа Холдинг Газпром-Медиа Холдинг и АО «Телекомпания НТВ» Национальная Медиа Группа Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) ЗАО «Карусель» (ВГТРК и ЗАО «Первый канал. Всемирная сеть») АНО «Общественное телевидение России» АО «Телекомпания „ТВ Центр“» 
dataset/Dataset/data/5057161/table_1|3|17|владелец|Правительство Пермского края, Банк Москвы и др. Правительство Тульской области, Первый тульский телеканал Банк ВТБ, Сантэк, Борис Ротенберг Газпром, Газпром нефть, Металлоинвест Сергей Галицкий, Банк Хоум Кредит, Constell Group Администрация Краснодарского края, РГМК РЖД, Транстелеком, Первая грузовая компания Правительство республики Мордовия, Мордовцемент Региональный фонд, Энергосбыт Ростовэнерго, Водоканал и др. Группа компаний ТАИФ Лукойл, Herbalife Правительство Чеченской республики, Фонд А.Кадырова Правительство Москвы, ЗиЛ Правительство Свердловской области, ТМК, Ренова Региональный фонд, Башинформсвязь Евгений Гинер, Россети, Аэрофлот 
dataset/Dataset/data/8071198/table_1|3|17|владелец|Правительство Пермского края CFG, Renaissance Group Ростех, Роснефть, Газпромбанк Газпром, Газпром нефть, Металлоинвест Сергей Галицкий, Банк Хоум Кредит, Constell Group Правительство Самарской области РЖД, ТрансТелеКом, Первая грузовая компания Правительство Оренбургской области, Газпром добыча Оренбург Правительство Ростовской области, ТНС энерго Ростов-на-Дону, Группа Агроком Группа компаний ТАИФ, Ак барс Банк Леонид Федун, Лукойл Правительство Чеченской республики, Фонд А.Кадырова Администрация Томской области, Газпромнефть-Восток Правительство Свердловской области, ТМК, Ренова ОАО «Региональный фонд» Евгений Гинер, Россети 
dataset/Dataset/data/8192912/table_1|3|17|владелец|? ? ? ? ? ? ? ? Синара Алмаз-Антей Минобороны России 
dataset/Dataset/data/2605551/table_0|2|17|владелец|Weatherford Services Inc. GTE South Ashaka Cement Comp. Министерство энергетики США Aerocharter Midlands Cessna Aircraft Viessmann Werke Ring Can Corp. Moran Foods, Inc. Private Wings Riana Táxi Aéreo Canada Jet Charters Haalo Ltd. Air Trek Marlin Air Drug Plastics & Glass Company Inc Caribair Time Air Prince Aviation Trans Air Colnan Inc. GIO Business Aviation CFGAC United States Customs Service United States Customs Service 
dataset/Dataset/data/6844055/table_3|1|17|владелец|Каэдэ Кага(2016—) Аканэ Хага(2019—) Свободен Рэйна Ёкояма(2016—) Хомарэ Окамура(2019—) Эрина Икута(2012—) Мэй Ямадзаки(2019—) Масаки Сато(2011—) Рио Китагава(2019—) Аюми Исида(2011—) Сакура Ода(2012—) Мики Нонака(2015—) Мидзуки Фукумура(2011—) Мариа Макино(2019—) Свободен Тисаки Морито(2017—) Свободен Свободен 
dataset/Dataset/data/1767682/table_2|2|17|владелец|АО «Первый канал» Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) Газпром-Медиа Холдинг Газпром-Медиа Холдинг и АО «Телекомпания НТВ» Национальная Медиа Группа Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) ЗАО «Карусель» (ВГТРК и ЗАО «Первый канал. Всемирная сеть») АНО «Общественное телевидение России» АО «Телекомпания „ТВ Центр“» 
dataset/Dataset/data/8045212/table_52|3|17|владелец|Тимур Регина Тимур Регина Тимур Тимур Регина Тимур Регина Регина 
dataset/Dataset/data/6114/table_0|4|17|владелец|Передача управления государственной собственностью Центрального аэродрома ВВС «Шереметьевский» в ГУ ГВФ. 100 % 83,038 % 8,96 % 4,24 % 3,76 % 66,06 % 30,46 % 2,43 % 1,05 % 
dataset/Dataset/data/4499543/table_6|3|17|владелец|ДУМК ДУМК ДУМК 
dataset/Dataset/data/3098661/table_3|2|17|владелец|Том Хикс и Джордж Джиллет Jack Walker Trust 
dataset/Dataset/data/5068035/table_1|1|17|владелец|Президент Молдавии Правительство Парламент Министерства 
dataset/Dataset/data/2051245/table_0|3|17|владелец|Акционеры открытого (публичного) общества, контрольный пакет акций у трудового коллектива Авиакомпания Вим-Авиа (100% акций) Инвестиционная группа «Центр-Капитал» ООО Новапорт (100% акций)Инфраструктурная корпорация АЕОН 
dataset/Dataset/data/7066426/table_1|2|17|владелец|М.Александров А.Мольков Н.Гаврилов Я.Андроников Е.Гордеев М.Ефимов 
dataset/Dataset/data/8073759/table_3|1|17|владелец|New England Sports Ventures Venky's (India) Limited 
dataset/Dataset/data/4817638/table_0|2|17|владелец|Омская железная дорога «Сибкожтрест» Кооперативная артель «Красный Маяк» «Союзхлеб» «Маслотрест» «Союзхлеб» трест «Свиновод» Совхоз № 22 «Райхлебсоюз» «Запсибстрой обед» «Сибкожтрест» 
dataset/Dataset/data/2605512/table_0|2|17|владелец|Ejército de Chile Orion Aero Táxi Cessna Aircraft Locazione Finanziare CAAC Northeast Air & Sea Services частный Air One Executive Citation 7063 Corp. Jeffy Jet Banco Bradesco Avione Jet 2M Leasing 
