table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4574569/table_1|2|18|возраст|23 года 
dataset/Dataset/data/902884/table_1|5|18|возраст|28 лет 8 месяцев и 4 дня 35 лет 1 месяц и 27 дней 19 лет 5 месяцев и 1 день 21 год 10 месяцев и 9 дней 35 лет 2 месяца и 17 дней 33 года 2 месяца и 14 дней 28 лет 11 месяцев и 21 день 19 лет 2 месяца и 23 дня 19 лет 9 месяцев и 21 день Возраст соперника 
dataset/Dataset/data/7835137/table_1|1|18|возраст|22 18 21 18 20 19 17 21 
dataset/Dataset/data/6465396/table_7|1|18|возраст|18 
dataset/Dataset/data/8126630/table_9|1|18|возраст|204 208 215 218 218 225 225 226 231 232 232 235 236 239 243 248 25 251 267 27 273 
dataset/Dataset/data/6432500/table_0|4|18|возраст|21 21 21 21 17 17 17 17 21 21 21 21 22 22 22 22 20 20 20 20 18 18 18 18 20 18 18 18 18 19 19 19 19 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 21 21 21 21 18 20 20 20 20 19 19 19 19 21 21 21 21 18 18 18 18 21 21 21 21 22 22 22 22 19 19 19 19 23 23 23 23 22 22 22 22 21 21 21 21 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 22 22 22 22 21 21 21 21 21 21 21 21 23 23 23 23 21 21 21 21 21 21 21 21 23 23 23 23 20 20 21 21 21 21 22 22 25 25 21 21 20 22 22 26 26 26 26 26 21 21 22 22 24 24 23 23 23 23 23 23 23 23 25 25 25 25 21 21 21 21 20 20 20 20 21 21 21 21 26 26 26 26 22 22 22 22 24 24 24 24 21 21 21 20 20 20 20 27 26 24 26 26 25 23 28 
dataset/Dataset/data/5398813/table_3|6|18|возраст|плейстоцен плейстоцен плейстоцен плейстоцен плейстоцен плейстоцен плейстоцен плейстоцен голоцен голоцен плейстоцен голоцен 
dataset/Dataset/data/4918800/table_2|1|18|возраст|36 
dataset/Dataset/data/8289189/table_8|2|18|возраст|46 лет, 41 день 43 года, 308 дней 40 лет, 155 дней 39 лет, 262 дня 39 лет, 8 дней 38 лет, 214 дней 38 лет, 193 дня 36 лет, 26 дней 35 лет, 242 дня 35 лет, 239 дней 
dataset/Dataset/data/102423/table_0|3|18|возраст|303,7—298,9 307,0—303,7 315,2—307,0 323,2—315,2 330,9—323,2 346,7—330,9 358,9—346,7 
dataset/Dataset/data/1628100/table_6|2|18|возраст|28 лет Техники Техники Техники 
dataset/Dataset/data/4787324/table_0|1|18|возраст|19 18 22 19 21 22 19 21 21 18 23 18 19 18 
dataset/Dataset/data/102308/table_0|3|18|возраст|меньше 254,14—251,902 259,1—254,14 265,1—259,1 268,8—265,1 272,95—268,8 283,5—272,95 290,1—283,5 293,52—290,1 298,9—293,52 больше 
dataset/Dataset/data/8260526/table_3|1|18|возраст|32 36 34 41 42 36 
dataset/Dataset/data/8250637/table_0|4|18|возраст|414 150 24 200 260 750 45 42 45 10 45 562 90 22 11 500 10 3.7 400 или ~1000 15 40 1.5 <1000 35 60 16 2 112 4.5 46 10 50 10 
dataset/Dataset/data/1830937/table_0|9|18|возраст|От 6 месяцев От 18 лет Без консерванта: от 6 месяцев. С консервантом: от 18 лет. Без консерванта: от 6 лет. С консервантом: от 18 до 60 лет. От 3 лет От 6 месяцев От 6 месяцев От 18 до 60 лет Интраназально: с 7 лет. Подкожно: с 18 лет От 6 месяцев От 18 лет Без консерванта: от 6 месяцев. С консервантом: от 18 лет. От 3 лет Без консерванта: от 6 месяцев. С консервантом: от 18 лет От 6 до 60 лет Без консерванта: от 6 до 18 лет. С консервантом: от 18 и старше 60 лет. От 6 месяцев 
dataset/Dataset/data/31507/table_0|2|18|возраст|20 31 31 32 32 32 35 35 36 36 36 37 37 37 37 38 38 38 38 38 
dataset/Dataset/data/4918800/table_10|1|18|возраст|27 
dataset/Dataset/data/3818740/table_3|4|18|возраст|51 год 10 месяцев и 12 дней 31 год 7 месяцев и 14 дней Возраст соперника 
dataset/Dataset/data/1628100/table_23|2|18|возраст|24 года Техники Техники Техники 
dataset/Dataset/data/3760030/table_0|3|18|возраст|72 56 81 63 75 67 55 66 83 92 57 76 71 78 89 63 62 67 54 70 
dataset/Dataset/data/7702118/table_1|2|18|возраст|24 18 24 22 25 20 23 27 27 18 22 21 27 25 21 19 23 27 26 26 25 19 25 20 22 25 20 22 23 22 23 18 22 26 24 19 27 24 18 24 22 24 22 20 24 20 21 24 28 23 23 23 28 21 22 20 27 22 21 23 21 25 23 27 22 25 24 21 27 19 25 18 26 24 23 24 24 23 20 23 18 24 23 22 23 20 27 20 22 26 24 24 19 22 
dataset/Dataset/data/901253/table_1|6|18|возраст|29 лет 11 месяцев и 19 дней 31 год 2 месяца и 7 дней 30 лет 2 месяца и 11 дней 32 года 7 месяцев и 3 дня 39 лет 8 месяцев и 3 дня 25 лет 4 месяца и 5 дней 32 года и 6 дней 31 год 8 месяцев и 27 дней 24 года 9 месяцев и 7 дней 33 года 3 месяца и 1 день 28 лет 11 месяцев и 9 дней 28 лет 9 месяцев и 10 дней 29 лет 9 месяцев и 3 дня 26 лет 8 месяцев и 8 дней 27 лет и 11 дней 29 лет 2 месяца и 17 дней 36 лет 2 месяца и 6 дней 27 лет 11 месяцев и 26 дней 28 лет 7 месяцев и 2 дня 35 лет 3 месяца и 20 дней 31 год 10 месяцев и 10 дней 33 года 3 месяца и 10 дней 26 лет 2 месяца и 3 дня 26 лет 2 месяца и 3 дня 35 лет 3 месяца и 23 дня 29 лет 5 месяцев и 7 дней 29 лет 3 месяца и 30 дней 24 года и 10 дней 29 лет 11 месяцев и 1 день 21 год 11 месяцев и 15 дней 25 лет 3 месяца и 5 дней 28 лет 9 месяцев и 2 дня 24 года 3 месяцев и 7 дней 24 года 3 месяцев и 7 дней 28 лет и 12 дней 26 лет 5 месяцев и 10 дней 24 года 1 месяц и 10 дней 30 лет 6 месяцев и 19 дней 23 года 11 месяцев и 26 дней 23 года 4 месяца и 14 дней 28 лет 8 месяцев и 9 дней 26 лет 10 месяцев и 17 дней 28 лет 5 месяцев и 19 дней 28 лет 9 месяцев и 16 дней 24 года 1 месяц и 13 дней Возраст соперника 
dataset/Dataset/data/4538081/table_0|1|18|возраст|U19 U21 U21 U21 U21 
dataset/Dataset/data/8836754/table_0|4|18|возраст|57 51 50 60 64 69 39 38 59 52 42 51 43 45 47 43 - 62 48 36 48 52 53 55 46 50 33 52 51 44 49 48 48 47 47 49 55 44 45 41 42 53 46 55 34 44 50 48 44 
dataset/Dataset/data/200176/table_4|3|18|возраст|1 2 3 4 5 6 7—9 10—12 16 17 и старше 
dataset/Dataset/data/128316/table_8|2|18|возраст|46 лет, 41 день 43 года, 308 дней 40 лет, 155 дней 39 лет, 262 дня 39 лет, 8 дней 38 лет, 214 дней 38 лет, 193 дня 36 лет, 26 дней 35 лет, 242 дня 35 лет, 239 дней 
dataset/Dataset/data/1733460/table_23|2|18|возраст|47 лет 79 дней 46 лет 209 дней 44 года 17 дней 42 года 196 дней 41 год 97 дней 39 лет 188 дней 39 лет 156 дней 38 лет 320 дней 38 лет 283 дня 38 лет 242 дня 
dataset/Dataset/data/6255003/table_0|3|18|возраст|меньше 72,1—66,0 83,6—72,1 86,3—83,6 89,8—86,3 93,9—89,8 100,5—93,9 113,0—100,5 125,0—113,0 129,4—125,0 132,9—129,4 139,8—132,9 145,0—139,8 больше 
dataset/Dataset/data/8126630/table_10|1|18|возраст|16 17 17 18 18 18 18 19 19 19 19 19 19 19 19 19 19 29 20 20 
