table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1042904/table_1|4|19|высота|1437 мм 1441 мм 1406 мм 
dataset/Dataset/data/1078219/table_0|1|19|высота|1946 1524 994 865 839 
dataset/Dataset/data/1113873/table_0|3|19|высота|400 400 400 419 
dataset/Dataset/data/1148500/table_0|4|19|высота|259.0 257.0 208.0 200.0 200.0 186.0 185.0 170.0 170.0 166.0 163.0 159.0 155.0 155.0 154.0 125.0 148.0 148.0 147.0 147.0 146.0 144.5 142.0 142.0 142.0 136.0 135.0 130.0 1265.0 126.0 125.0 125.0 125.0 123.0 122.0 122.0 120.0 119.0 119.0 118.0 117.0 116.0 115.0 115.0 114.0 114.0 113.0 109.0 112.0 112.0 110.0 110.0 110.0 109.1 108.6 108.0 108.0 107.0 106.0 106.0 103.0 103.0 102.0 102.0 102.0 102.0 101.4 101.3 101.3 101.3 103.0 103.0 103.0 1016.0 101.0 101.0 100.0 100.0 100.0 100.0 
dataset/Dataset/data/1148500/table_0|5|19|высота|557.7 1495.0 482.3 1495.0 403.5 387.1 377.3 367.5 360.9 357.9 356.3 334.6 334.6 334.6 334.6 332.7 332.3 332.3 332.3 331.4 328.1 328.1 
dataset/Dataset/data/1162174/table_1|1|19|высота|54 54 42 42 36 36 3 3 21 21 165 36 36 27 27 21 21 165 54 54 36 36 31 26 26 21 21 165 145 13 26 26 215 215 165 145 105 27 215 165 125 215 165 
dataset/Dataset/data/1176508/table_0|2|19|высота|< 360 < 1050 < 5400 < 5400 > 5400 
dataset/Dataset/data/1318471/table_1|3|19|высота|1866 23 
dataset/Dataset/data/1318481/table_1|3|19|высота|1866 23 
dataset/Dataset/data/1326526/table_4|2|19|высота|2400 550 550 Неизвестно 460 420 или 388 410 Неизвестно 370 360 351 или 357 305 Неизвестно 290 270 222 
dataset/Dataset/data/1335646/table_1|3|19|высота|3420.0 3786.0 127.0 85.0 2880.0 1635.0 1755.0 
dataset/Dataset/data/1385764/table_3|1|19|высота|54 54 36 36 
dataset/Dataset/data/1386696/table_2|1|19|высота|62 54 42 31 21 36 26 21 54 36 26 215 26 215 215 
dataset/Dataset/data/1390944/table_1|2|19|высота|310 м 250 м 
dataset/Dataset/data/1433448/table_2|1|19|высота|450 418 293 284 283 281 249 226 217 210 252 216 181 248 216 172 263 159 173 
dataset/Dataset/data/1688347/table_0|2|19|высота|< 360 < 1050 < 5400 < 5400 > 5400 
dataset/Dataset/data/1736451/table_1|3|19|высота|82 м 17 м 30 м 15 м 26 м 26 м 45 м 30 м 165 м 137 м 145 м 115 м 110 м 40 м 
dataset/Dataset/data/1736451/table_2|3|19|высота|64 м 12 м 8 м 38 м 
dataset/Dataset/data/1736482/table_0|3|19|высота|94 м 10 м 14 м 13 м 13 м 31 м 28 м 
dataset/Dataset/data/1805703/table_3|3|19|высота|10 18 
dataset/Dataset/data/1893437/table_0|1|19|высота|1752 1908 1826 2045 1983 2005 1919 2063 1976 
dataset/Dataset/data/1893437/table_3|1|19|высота|1901 2178 1836 1888 
dataset/Dataset/data/1893437/table_8|1|19|высота|1660 1530 1500 1560 1700 1680 1600 2178 1610 1761 
dataset/Dataset/data/1893438/table_7|1|19|высота|1450 
dataset/Dataset/data/2115994/table_1|2|19|высота|844 футов 500 футов 446 футов 440 футов 434 футов 393 футов 321 футов 310 футов 308 футов 300 футов 
dataset/Dataset/data/2115994/table_1|3|19|высота|257 м 152 м 136 м 134 м 132 м 120 м 98 м 95 м 94 м 91 м 
dataset/Dataset/data/212836/table_2|1|19|высота|2217 2137 
