table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4069748/table_0|1|20|гимнаст|Цзоу Кай Кохэй Утимура Денис Аблязин Томас Гонсалес Джейкоб Далтон Александр Шатилов Флавиус Косци Марсель Нгуен 
dataset/Dataset/data/6551487/table_0|1|20|гимнаст|Оно Такаси (Япония) Maсао Такэмото (Япония) Борис Шахлин (СССР) Юкио Эндо (Япония) Юрий Титов (СССР) Мирослав Церар (Югославия) 
dataset/Dataset/data/6551530/table_0|1|20|гимнаст|Борис Шахлин (СССР) Джованни Карминуччи (Италия) Оно Такаси (Япония) Нобуюки Аихара (Япония) Юрий Титов (СССР) Масао Такэмото (Япония) 
dataset/Dataset/data/6551682/table_0|1|20|гимнаст|Борис Шахлин (СССР) Такаси Оно (Япония) Владимир Портной (СССР) Юрий Титов (СССР) Юкио Эндо (Япония) Сюдзи Цуруми (Япония) 
dataset/Dataset/data/7085131/table_16|1|20|гимнаст|Карин Кёниг Валентина Петрова Не вручалось 
dataset/Dataset/data/7085131/table_17|1|20|гимнаст|Карин Кёниг Валентина Петрова Не вручалось 
dataset/Dataset/data/7089170/table_19|1|20|гимнаст|Людмила Громова Мела Мустафова Цхонг Юнг 
dataset/Dataset/data/7092845/table_7|1|20|гимнаст|Анна Догонадзе Ирина Караваева Клэр Райт Елена Мовчан Карен Кокбёрн Галина Лебедева Марина Муринова Оксана Цигулёва 
dataset/Dataset/data/7096757/table_0|1|20|гимнаст|Вадим Биндлер Пламен Евтимов Анджей Гарстка 
dataset/Dataset/data/7096757/table_12|1|20|гимнаст|Надежда Тищенко, Маргарита Кухаренко Ева Андершевска, Ева Руцка Стефка Генчева, Таня Христова 
dataset/Dataset/data/7096757/table_19|1|20|гимнаст|Т. Кривцова, В. Кузнецов М. Нога, Ю. Радонь Ц. Иорданова, Эмил Кристев 
dataset/Dataset/data/7096757/table_7|1|20|гимнаст|Ю. Дерепа, Ю. Кашуба, Н. Артемчик, В. Малютин С. Халада, Б. Зайонц, В. Швечик, Лешек Антонович Д. Дмитров, В. Колев, Э. Ангелов, Ю. Индов 
dataset/Dataset/data/7096782/table_7|1|20|гимнаст|Л. Песок, В. Мотренко, Ю. Мотренко, М. Смирнов Славомир Халада, Богдан Зайонц, Войцех Швечик, Лешек Антонович И. Стойчев, В. Петаков, С. Киров, Петров 
dataset/Dataset/data/7098191/table_1|1|20|гимнаст|Анждей Гарстка Николай Павличенков Станко Васильев 
