table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4261237/table_1|4|23|гонка|47 12 2 5 2 
dataset/Dataset/data/8490670/table_1|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/3747427/table_0|0|23|гонка|15 
dataset/Dataset/data/6877965/table_11|3|23|гонка|22 22 
dataset/Dataset/data/7259906/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/152253/table_0|3|23|гонка|1 2 3 
dataset/Dataset/data/7185446/table_1|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/2384371/table_3|1|23|гонка|2 этап Гран-при Адыгеи 1 этап Пять колец Москвы 
dataset/Dataset/data/6269476/table_0|0|23|гонка|21 
dataset/Dataset/data/7260405/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/8430642/table_0|0|23|гонка|23 
dataset/Dataset/data/7120406/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/393616/table_0|1|23|гонка|Гран-при Аргентины Гран-при Бразилии Гран-при Южной Африки Гран-при США-Запад Гран-при Бельгии Гран-при Монако Гран-при Франции Гран-при Великобритании Гран-при Германии Гран-при Австрии Гран-при Нидерландов Гран-при Италии Гран-при Канады Гран-при США 
dataset/Dataset/data/6797641/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/437935/table_0|4|23|гонка|9/9 9/9 4/9 12/12 5/10 4/4 5/10 2/18 резервный пилот тест/резервный пилот 2/10 3/10 5/5 1/1 1/5 1/1 7/8 8/8 1/1 1/1 1/1 8/8 8/8 9/9 6/6 6/6 4/4 
dataset/Dataset/data/648040/table_1|4|23|гонка|32 31 52 14 27 — гонки не проводились в связи с Олимпийскими играми 5 48 5 
dataset/Dataset/data/3421602/table_0|1|23|гонка|Гран-при Аргентины Гран-при Бразилии Гран-при Южной Африки Гран-при США-Запад Гран-при Испании Гран-при Бельгии Гран-при Монако Гран-при Франции Гран-при Великобритании Гран-при Германии Гран-при Австрии Гран-при Голландии Гран-при Италии Гран-при Канады Гран-при США 
dataset/Dataset/data/3682980/table_1|3|23|гонка|— — — 25 27 37 6 — 10 
dataset/Dataset/data/2278443/table_2|2|23|гонка|46 14 63 
dataset/Dataset/data/7164291/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/7058613/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/4944486/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/8289168/table_21|3|23|гонка|16 16 16 16 19 8 10 16 9 9 
dataset/Dataset/data/648346/table_1|3|23|гонка|39 44 18 4 5 19 гонки не проводились в связи с Олимпийскими играми 8 29 30 4 12 30 
dataset/Dataset/data/639537/table_0|4|23|гонка|— 17 57 45 
dataset/Dataset/data/6042530/table_0|3|23|гонка|7 
dataset/Dataset/data/1029533/table_0|1|23|гонка|32 8 
dataset/Dataset/data/6604900/table_2|4|23|гонка|40 13 14 10 27 48 
dataset/Dataset/data/644957/table_2|6|23|гонка|19 7 13 12 8 Н/Д Н/Д Н/Д Н/Д Н/Д Н/Д Н/Д Н/Д Н/Д Н/Д Н/Д Н/Д 
dataset/Dataset/data/5677271/table_0|0|23|гонка|Джиро д’Италия Тур де Франс Вуэльта 
dataset/Dataset/data/8289168/table_55|3|23|гонка|Бельгия—Нидерланды (1952) Великобритания—Италия (1988) Монако—США (1989) Сингапур—Индия (2012) Испания—Монако (1992) Бельгия—Франция (1963) Испания—Европа (2005) Испания—Турция (2010) 
dataset/Dataset/data/4675561/table_1|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/6231435/table_1|3|23|гонка|20 24 24 20 1 1 3 10 10 тест/резервный пилот 18 тест/резервный пилот тест/резервный пилот 21 тест/резервный пилот 19 20 тест/резервный пилот тест/резервный пилот 
dataset/Dataset/data/8351155/table_0|0|23|гонка|Однодневные Многодневные Этап многодневки Чемпионат Европы Континентальные чемпионаты 
dataset/Dataset/data/638646/table_1|1|23|гонка|1 - 2 11 20 23 
dataset/Dataset/data/2022520/table_0|0|23|гонка|6 
dataset/Dataset/data/6764542/table_1|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/2954235/table_0|0|23|гонка|22 
dataset/Dataset/data/7338585/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/639539/table_0|3|23|гонка|34 29 DNS — 
dataset/Dataset/data/7134042/table_0|0|23|гонка|Джиро д'Италия Тур де Франс Вуэльта Испании 
dataset/Dataset/data/2953874/table_0|0|23|гонка|11 
dataset/Dataset/data/6261530/table_0|3|23|гонка|42 
dataset/Dataset/data/5951914/table_2|4|23|гонка|61 10 Бронза 38 29 38 
