table_id|column_id|label_id|label|column_data
dataset/Dataset/data/7076468/table_1|2|24|город|Antiguo Cuscatlán[es] Antiguo Cuscatlán[es] Antiguo Cuscatlán[es] Antiguo Cuscatlán[es] Сан-Сальвадор Сан-Сальвадор Сан-Сальвадор Сан-Сальвадор Сан-Сальвадор Сан-Сальвадор Сан-Сальвадор Antiguo Cuscatlán[es] Сан-Сальвадор Antiguo Cuscatlán[es] Antiguo Cuscatlán[es] Сан-Сальвадор Сан-Сальвадор 
dataset/Dataset/data/7770272/table_0|1|24|город|Леон Блед Кальвиа Турин Порто-Карас Гран-Канария 
dataset/Dataset/data/8902096/table_0|1|24|город|Москва Москва Москва Куала-Лумпур Москва 
dataset/Dataset/data/5847483/table_0|1|24|город|Тбилиси Люцерн Салоники Дубай 
dataset/Dataset/data/1441147/table_0|1|24|город|Ленинград Ленинград Ростов-на-Дону Ростов-на-Дону Ростов-на-Дону Горький Ростов-на-Дону Ростов-на-Дону Киев Москва Ростов-на-Дону Ростов-на-Дону 
dataset/Dataset/data/7876694/table_0|1|24|город|Москва Стамбул Блед Кальвиа Турин Дрезден Ханты-Мансийск Стамбул Тромсё 
dataset/Dataset/data/7620279/table_1|0|24|город|Гаосюн Синьбэй Тайчжун Тайнань Тайбэй Таоюань Цзяи Синьчжу Цзилун Чжанхуа Доулю Хуалянь Магун Мяоли Наньтоу Пиндун Пуцзы Тайбао Тайдун Тоуфэнь Илань Юаньлинь Чжубэй 
dataset/Dataset/data/7671768/table_0|1|24|город|Будапешт Будапешт Будапешт Будапешт Дебрецен Будапешт Будапешт Сегед Печ Будапешт Мишкольц Капошвар 
dataset/Dataset/data/5706059/table_0|1|24|город|Трнава Братислава Братислава Банска-Бистрица Прешов Бардеёв Прьевидза Кошице Гуменне Братислава Дунайска-Стреда Дубница-над-Вагом 
dataset/Dataset/data/1996738/table_0|2|24|город|Тула, Россия Глазго, Шотландия Глазго, Шотландия 
dataset/Dataset/data/5340234/table_0|2|24|город|Алмалык Андижан Ташкент Бухара Самарканд Коканд Зарафшан Ташкент Мубарек Бекабад Наманган Карши Фергана Ташкент Джизак Гузар 
dataset/Dataset/data/91104/table_0|1|24|город|Лондон Рим Познань Киев Познань Манаус Гаага Роттердам Сан-Пауло Гётеборг Нашвилл 
