table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1900198/table_5|0|25|группа|Ангола Китай США Чехия Хорватия Турция 
dataset/Dataset/data/7531508/table_0|4|25|группа|Shimano 
dataset/Dataset/data/6659714/table_4|2|25|группа|Р Р 2000 Р 2000 P 
dataset/Dataset/data/3453765/table_0|0|25|группа|Кардымово (Смоленская область) Починок (Смоленская область) Смоленск Старый Изборск (Псковская область) Псков Луга (Ленинградская область) Мста (Новгородская область) Валдай (Новгородская область) Новгород Западная Двина (Калининская область) Калязин (Калининская область) Вологодская область Архангельская область Рязанская область Тамбовская область Липецкая область Воронежская область Ростовская область Тульская область Орловская область Курская область Белгородская область Калужская область Брянская область 
dataset/Dataset/data/5635387/table_0|3|25|группа|Чехия Сербия Украина Швеция 
dataset/Dataset/data/8740805/table_10|1|25|группа|Kitz / Kleibrink Jackson-Baier / Chester MacFadyen / MacFadyen Martin / Гриффит Мейлё / Николс Ньегован / Карразерс Уокер / Майерс 
dataset/Dataset/data/1260257/table_4|5|25|группа|Республика Корея Украина Польша Республика Корея Украина Великобритания Литва Румыния Не проводился из-за распространения коронавирусной инфекции COVID-19. Не проводился из-за распространения коронавирусной инфекции COVID-19. 
dataset/Dataset/data/2505752/table_0|2|25|группа|Англия  США  Алжир  Словения Группа G Бразилия  КНДР  Кот-д’Ивуар  Португалия 
dataset/Dataset/data/1305980/table_0|0|25|группа|Abnormality Aborted Aeon Anata Archspire Arkaik Arsis Atheist Augury Beneath the Massacre Beyond Creation Born of Osiris Brain Drill Cephalic Carnage Coprofago Cryptopsy Cynic Death Decapitated Decrepit Birth Deeds of Flesh Defeated Sanity Despised Icon Dying Fetus Extol The Faceless Fleshgod Apocalypse Gorod Gojira Gorguts Hour of Penance In Battle Into the Moat Knights of the Abyss Malignancy Meshuggah Monstrosity Necrophagist Neuraxis Nile Nocturnus Obscura Oceano Opeth Origin Pestilence Psycroptic Revocation The Red Chord Severed Savior Spawn of Possession Suffocation Trigger the Bloodshed Ulcerate Wormed 
dataset/Dataset/data/6538702/table_2|1|25|группа|B A A B A A B B A A B B B A A B A A B A B A B B A A B B A B B A A B B A B B B B A A B A B A A A 
dataset/Dataset/data/3548143/table_0|2|25|группа|Inner Fear Happy Death Happy Death Inner Fear Entrails Entrails Entrails Inner Fear Inner Fear Inner Fear Inner Fear Symphonity Cradle of Filth Cradle of Filth Cradle of Filth Inner Fear Titanic Cradle of Filth Kryptor Titanic Masterplan Sebastien Masterplan Cradle of Filth Symphonity 
dataset/Dataset/data/2366647/table_16|0|25|группа|Песня Исполнитель Поют 
