table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8339695/table_3|3|27|двигатель|Lancia Ferrari 2,5 V8 Lancia Ferrari DS50 2,5 V8 Ferrari 143 2,4 V6 Ferrari 155 2,4 V6 Coventry-Climax FPF 2,5 L4 Maserati Tipo 6-1500 1,5 L4 Ferrari 178 1,5 V6 Coventry-Climax FPF 1,5 L4 
dataset/Dataset/data/1935716/table_1|2|27|двигатель|Форд Хонда Форд Харт Форд Феррари Феррари ТАГ-Порше Джадд Форд Форд Форд Porsche Форд 
dataset/Dataset/data/2738508/table_1|2|27|двигатель|Megatron M12/13 1,5 L4Т Megatron M12/13 1,5 L4Т Megatron M12/13 1,5 L4Т 
dataset/Dataset/data/6393244/table_4|3|27|двигатель|Ford Cosworth HB7 3,5 V8 
dataset/Dataset/data/1460953/table_0|4|27|двигатель|«Gnome Gamma» 70 л.с. «Anzani» 35 л.с. «Gnome» 50 л.с. «Gnome Gamma» 70 л.с. «Gnome» 70 л.с. «Renault» 70 л.с. «Renault» 70 л.с. «Argus» 100 л.с. «Gnome» 50 л.с. «Gnome» 50 л.с. «Gnome» 70 л.с. 
dataset/Dataset/data/1309813/table_4|3|27|двигатель|Ford DFZ 3,5 L V8 Osella 1,5 L V8T Ford DFR 3,5 L V8 Ford DFR 3,5 L V8 Lamborghini 3,5 L V12 Ferrari 3,5 L V12 Ferrari 3,5 L V12 Petronas 3,0 L V10 
dataset/Dataset/data/2219633/table_1|2|27|двигатель|Ferrari 049 V10, 3,0 Ferrari 049 V10, 3,0 Ferrari 049 V10, 3,0 
dataset/Dataset/data/3446924/table_3|3|27|двигатель|ERA 1,5 L6С Lea Francis 2,0 L4 Alta 2,5 L4 
dataset/Dataset/data/477955/table_4|3|27|двигатель|BMW E41 3,0 V10 Renault RS21 3,0 V10 Renault RS22 3,0 V10 Honda RA003E 3,0 V10 Honda RA004E 3,0 V10 Honda RA005E 3,0 V10 Honda RA806E 2,4 V8 Honda RA807E 2,4 V8 Honda RA808E 2,4 V8 Mercedes FO 108W 2,4 V8 Mercedes FO 108X 2,4 V8 Mercedes FO108Y 2,4 V8 Mercedes FO108Y 2,4 V8 Mercedes FO108Y 2,4 V8 Mercedes PU106A Hybrid 1,6 V6 Honda RA615H Hybrid 1,6 V6 Honda RA616H Hybrid 1,6 V6 Honda RA617H 1,6 V6T 
dataset/Dataset/data/3666087/table_0|1|27|двигатель|Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Cummins Novi Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser Offenhauser 
dataset/Dataset/data/4140177/table_5|3|27|двигатель|Offenhauser 4,5 L4 Offenhauser 4,5 L4 
dataset/Dataset/data/4018001/table_3|3|27|двигатель|Climax L4 Climax L4 Climax L4 Climax L4 
dataset/Dataset/data/1657323/table_3|3|27|двигатель|Cosworth 
