table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1406973/table_1|0|28|день|Жё-де-пом Поло Рэкетс Теннис День 
dataset/Dataset/data/1580357/table_8|1|28|день|2.0 4.0 8.0 9.0 13.0 17.0 18.0 
dataset/Dataset/data/1783309/table_2|2|28|день|с понедельника по пятницу с понедельника по пятницу с понедельника по пятницу суббота и воскресенье, а также праздники все дни недели 
dataset/Dataset/data/1913388/table_0|7|28|день|220 330 180 340 85 75 1230 
dataset/Dataset/data/2021699/table_0|1|28|день|71 % 9 % 21 % 76 % 
dataset/Dataset/data/2103207/table_0|2|28|день|7 декабря 26 февраля 31 марта 
dataset/Dataset/data/2103238/table_0|2|28|день|7 декабря 26 февраля 31 марта 
dataset/Dataset/data/2179854/table_0|1|28|день|понедельник вторник среда четверг пятница суббота воскресенье 
dataset/Dataset/data/2181135/table_1|5|28|день|104 104 104 104 92 95 96 102 94 103 95 93 97 91 85 88 
dataset/Dataset/data/2181135/table_1|3|28|день|106 104 100 95 98 97 89 94 92 82 92 92 85 84 86 77 
dataset/Dataset/data/2181135/table_1|4|28|день|107 106 108 107 108 94 100 89 94 94 90 89 91 94 90 86 
dataset/Dataset/data/2254472/table_3|1|28|день|27 января 22 января 17 января 24 января 14 февраля 8 марта 18–22 марта 28 ноября 20 декабря 1-10 января 16 января 23 января 6 февраля 31 декабря – 9 января 4 февраля 17 декабря 29 декабря – 8 января 21 января 22 января 2 февраля 18 февраля 13 декабря 16 декабря 29 декабря – 6 января 16 февраля 10 марта 13 марта 7 декабря 21 декабря 19 января 4 февраля 
dataset/Dataset/data/2301164/table_1|1|28|день|20 февраля 26 февраля 17 февраля 19 февраля 22 февраля 26 февраля 22 февраля 25 февраля 27 февраля 3 марта 19 февраля 21 февраля 26 февраля 28 февраля 24 февраля 26 февраля 28 февраля 3 марта 5 марта 21 февраля 23 февраля 28 февраля 2 марта 19 февраля 22 февраля 26 февраля 28 февраля 26 февраля 28 февраля 2 марта 24 февраля 28 февраля 
dataset/Dataset/data/2514311/table_0|0|28|день|1 (22—25.04.2010) 2 (29.04—2.05.10) 3 (06—09.05.2010) 4 (13—16.05.2010) 5 (20—23.05.2010) 6 (27—30.05.2010) 
dataset/Dataset/data/2525845/table_0|1|28|день|Суббота — Воскресенье Понедельник — Пятница Суббота Воскресенье Пятница Воскресенье 
dataset/Dataset/data/254530/table_2|2|28|день|с понедельника по пятницу с понедельника по пятницу с понедельника по пятницу суббота и воскресенье, а также праздники все дни недели 
dataset/Dataset/data/2752042/table_1|2|28|день|Пятница Пятница Четверг Четверг Четверг Четверг Четверг Четверг Четверг Четверг Четверг Четверг Четверг Четверг 
dataset/Dataset/data/2756173/table_13|5|28|день|308 266 
dataset/Dataset/data/2756173/table_5|5|28|день|393 420 812 687 561 560 481 128 511 1077 0+ 
dataset/Dataset/data/2756173/table_9|5|28|день|128 253+ 526+ 
dataset/Dataset/data/2976257/table_0|1|28|день|19 июля 28 июля 08 июля 23 июля 03 июля 12 июля 27 июля 07 июля 15 июля 31 июля 11 июля 
dataset/Dataset/data/2998231/table_0|1|28|день|12 февраля 18 февраля 20 февраля 13 февраля 20 февраля 22 февраля 9 февраля 15 февраля 17 февраля 10 февраля 17 февраля 19 февраля 
dataset/Dataset/data/3104671/table_3|4|28|день|Дата 9.03.1989 18.04.1989 15.05.1989 1.08.1989 22.09.1989 5.12.1989 10.02.1990 30.05.1990 28.06.1991 
dataset/Dataset/data/3106182/table_2|0|28|день|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
dataset/Dataset/data/3106194/table_2|3|28|день|Ерезкан Ани Пархар Ванат Арамазд Мани Асак Масис Анаит Арагац 
dataset/Dataset/data/3106194/table_2|1|28|день|Арег Грант Арам Маргар Агранк Мадег Астгик Мигр Дзопабер Мурц 
dataset/Dataset/data/3106194/table_2|5|28|день|Гргур Кордуик Цмак Луснак Црон Нпат Ваагн Сеин Вараг Гишеравар 
dataset/Dataset/data/3490382/table_1|0|28|день|22—24 марта 23—25 марта 25—29 марта 11—13 июня 19—21 июля 1—4 августа 21—25 августа 30 августа — 2 сентября 19—22 сентября 26—29 сентября 3—6 октября 4—7 октября 
dataset/Dataset/data/3639264/table_1|0|28|день|14 февраля 19 февраля (дата для 2011 года) 19 февраля 21 февраля 28 февраля 3 марта (дата для 2011 года) 23 марта 27 марта 1 апреля 4-11 апреля 16 апреля 18 апреля 26 апреля 7 мая 9 мая 15 мая (дата для 2011 года) 18 мая 26 мая 14 июня Третье воскресенье июня Третье воскресенье июня 1 июля 25 июля 11 августа 14 августа (дата для 2011 года) Последнее воскресенье августа 4 сентября Первое воскресенье сентября 7 сентября 5 октября 8 октября 10 октября 10 октября (согласно приказу премьер министра Армении) Второе воскресенье октября 16 октября 19 октября 5 ноября 7 ноября 11 ноября 17 ноября 17 ноября 22 ноября 3 декабря 20 декабря 22 декабря 
dataset/Dataset/data/372529/table_2|1|28|день|25 27 30 30 30 23 31 ? 20 20 26 30 30 30 
dataset/Dataset/data/372822/table_3|1|28|день|1 11 31 31 23 30 31 31 31 31 31 31 ? 11 12 25 25 30 30 30 30 30 30 30 30 30 30 
dataset/Dataset/data/3936989/table_1|0|28|день|Жё-де-пом Поло Рэкетс Теннис День 
dataset/Dataset/data/4031440/table_0|0|28|день|Воскресенье Понедельник Вторник Среда Четверг Пятница Суббота 
