table_id|column_id|label_id|label|column_data
dataset/Dataset/data/30802/table_0|0|29|директор|контр-адмирал Сидни Соерс (англ. Sidney Souers) генерал-лейтенант Хойт Ванденберг (англ. Hoyt Vandenberg) контр-адмирал Роскоу Хилленкоттер (англ. Roscoe Hillenkoetter) генерал-лейтенант Уолтер Беделл Смит (англ. Walter Bedell Smith) Аллен Даллес (англ. Allen Dulles) Джон Алекс Мак-Коун (англ. John Alex McCone) вице-адмирал Уильям Френсис Рейборн (англ. William Francis Raborn) Ричард Хелмс (англ. Richard Helms) Джеймс Родни Шлезингер (англ. James Rodney Schlesinger) генерал-лейтенантВернон Энтони Уолтерс (англ. Vernon Anthony Walters) Уильям Иган Колби (англ. William Egan Colby) Джордж Герберт Уокер Буш (англ. George Herbert Walker Bush) Инно Генри Ноуч (англ.)русск. (англ. Enno Henry Knoche) адмирал Стэнсфилд Тёрнер (англ. Stansfield Turner) Уильям Джозеф Кейси (англ. William Joseph Casey) Роберт Майкл Гейтс (англ. Robert Michael Gates) Уильям Хеджкок Уэбстер (англ. William Hedgcock Webster) Ричард Джеймс Керр (англ.)русск. (англ. Richard James Kerr) Роберт Майкл Гейтс (англ. Robert Michael Gates) адмирал Уильям Стадмен (англ. William Studeman) Роберт Джеймс Вулси (англ. R. James Woolsey) адмирал Уильям Стадмен (англ. William Studeman) Джон Марк Дейч (англ. John Mark Deutch) Джордж Джон Тенет (англ. George John Tenet) Портер Джонстон Госс (англ. Porter J. Goss) Портер Джонстон Госс (англ. Porter J. Goss) генерал Майкл Хайден (англ. Michael Hayden) Леон Панетта (англ. Leon Panetta) генерал Дэвид Хоуэлл Петреус (англ. David Howell Petraeus) Джон Оуэн Бреннан (англ. John Owen Brennan) Майк Помпео (англ. Michael Richard Pompeo) Джина Хаспел (англ. Gina Cheri Haspel) 
dataset/Dataset/data/5622007/table_0|1|29|директор|Беляков Станислав Михайлович Волошин Владимир Александрович Гончаров Петр Павлович Денисова Надежда Ивановна Кофанов Антон Александрович Петровская Анна Викторовна 
dataset/Dataset/data/360923/table_0|1|29|директор|член-кор. РААСН И. А. Бондаренко член-кор. РААСН Казарян А. Ю. 
dataset/Dataset/data/6234251/table_0|1|29|директор|акад. Е. К. Фёдоров акад. Ю. А. Израэль акад. Е. К. Фёдоров С. И. Авдюшин В. Б. Лапшин А. Ю. Репин 
dataset/Dataset/data/6805342/table_0|0|29|директор|Адольф Дежарден Тулио Эдуардо Эмпель Хосе Сапиола Франсиско Олива Хуан Калисто Герреро Луис Реми Франсиско Родригес Мойсес Алькальде Тулио Эдуардо Эмпель Этторе Контруччи Мойсес Алькальде Эмилио Кок Ханс Хартан Карлос Альдунате Энрике Соро Армандо Карвахаль Самуэль Негрете Рене Аменгуаль Эрминия Ракканьи Карлос Ботто 
dataset/Dataset/data/129403/table_0|1|29|директор|Г. Г. Шпет В. И. Невский (фактический руководитель — замдиректора Я. А. Берман акад. А. М. Деборин акад. В. В. Адоратский акад. П. Ф. Юдин д.филос.н. В. И. Светлов д.филос.н. Г. С. Васецкий акад. Г. Ф. Александров акад. П. Н. Федосеев акад. Ф. В. Константинов член-корр. АН СССР П. В. Копнин д.филос.н. Ф. Т. Архипцев (и. о.) акад. Б. М. Кедров д.филос.н. Б. С. Украинцев акад. Г. Л. Смирнов член-корр. РАН Н. И. Лапин акад. В. С. Стёпин акад. А. А. Гусейнов акад. А. В. Смирнов 
dataset/Dataset/data/4913299/table_0|1|29|директор|Л. Б. Каменев акад. И. К. Луппол А. А. Канчеев акад. И. К. Луппол (и. о.) к.фил.н. Л. И. Пономарёв акад. В. Ф. Шишмарёв член-корр. АН СССР А. М. Еголин член-корр. АН СССР И. И. Анисимов член-корр. АН СССР В. Р. Щербина (и. о.) член-корр. АН СССР Б. Л. Сучков член-корр. АН СССР В. Р. Щербина (и. о.) д.фил.н. Ю. Я. Барабаш член-корр. РАН Г. П. Бердников член-корр. РАН Ф. Ф. Кузнецов акад. А. Б. Куделин член-корр. РАН В. В. Полонский 
dataset/Dataset/data/8740634/table_0|2|29|директор|Да Да Да Да Да Да 
dataset/Dataset/data/162880/table_4|0|29|директор|Арнальдо Мария Анджелини Массимо Моретти Альберто Негрони Альфонсо Лимбруно Франко Тато Паоло Скарони Фульвио Конти Франческо Стараче 
dataset/Dataset/data/29438/table_0|0|29|директор|В. Стерлинг Коул (англ.)русск. Сигвард Эклунд (англ.)русск. Ханс Бликс Мохаммед эль-Барадеи Юкия Амано Михаил Чудаков (и. о.) Мэри Хейуорд (и. о.) Корнел Ферута (и. о.) Рафаэль Гросси 
dataset/Dataset/data/8757853/table_1|0|29|директор|"Фокус на оптимизацию текущих процессов ""Фокус на внутреннюю автоматизацию, """"охрана своего информационного пространства"""", перемитральная интеграция"" Фокус на внедрение технологий для поддержки и оптимизации существующих процессов, обеспечения их надежности, информатизации и автоматизации новых. Фокус на внутреннем клиенте Сокращение расходов компании за счет внедрения новых технологий "
dataset/Dataset/data/185545/table_0|1|29|директор|Г. Г. Шпет В. И. Невский (фактический руководитель — замдиректора Я. А. Берман акад. А. М. Деборин акад. В. В. Адоратский акад. П. Ф. Юдин д.филос.н. В. И. Светлов д.филос.н. Г. С. Васецкий акад. Г. Ф. Александров акад. П. Н. Федосеев акад. Ф. В. Константинов член-корр. АН СССР П. В. Копнин д.филос.н. Ф. Т. Архипцев (и. о.) акад. Б. М. Кедров д.филос.н. Б. С. Украинцев акад. Г. Л. Смирнов член-корр. РАН Н. И. Лапин акад. В. С. Стёпин акад. А. А. Гусейнов акад. А. В. Смирнов 
