table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8941849/table_2|5|30|документ|Sudewa, Ida Bagus Adi (2003-03-12), Contemporary Use of The Balinese Script Four letters in support of Balinese encoding, 2003-05-13 Darmasuta, Ida Bagus (2003-05-13), Letter in support of Balinese encoding from Dept of National Education, Language Center, Denapasar Language Council Two letters in support of Balinese encoding, 2003-05-14 Everson, Michael (2004-10-04), Preliminary proposal for encoding the Balinese script in the UCS Everson, Michael (2005-01-19), Letter of support from Balinese Government Everson, Michael & Suatjana, I. Made (2005-01-23), Proposal for encoding the Balinese script in the UCS Constable, Peter (2005-02-01), Comments on Balinese Proposal, L2/05-008 Whistler, Ken (2005-02-03), WG2 Consent Docket, Part 2: Unicode 5.0 Issues McGowan, Rick (2005-04-14), Proposed Balinese Character Properties McGowan, Rick (2005-04-14), Proposed Balinese Line-Breaking Classes Moore, Lisa (2005-05-16), UTC #102 Minutes Hanafiah, T. A. R. (2005-08-16), Letter from Badan Standardisasi Nasional (BSN Indonesia) re Balinese Moore, Lisa (2005-08-26), UTC #103 Minutes Moore, Lisa (2006-05-25), UTC #107 Minutes McGowan, Rick (2018-09-14), Comments on Public Review Issues (July 24 - Sept 14, 2018) Moore, Lisa (2018-10-29), UTC #157 Minutes 
dataset/Dataset/data/7212634/table_1|4|30|документ|Jenkins, John (2004-06-07), Propsed [sic] Extension C2 Submission Jenkins, John (2006-11-01), Proposed UTC C2 Submission Jenkins, John (2006-11-01), Proposed UTC C2 Non-submission Jenkins, John (2006-11-08), Status of Characters Submitted to the UTC for Inclusion in the Standard Sources for Orphaned CJK Ideographs, 2011-06-14 Constable, Peter (2011-06-20), UTC Liaison Report from WG2 Chung, Jaemin & Lunde, Ken (2013-08-25), Extension E (WG2 N4459) source glyph error report Chung, Jaemin (2014-04-24), Extension F1 and Extension E unification issue Lunde, Ken (2015-08-14), Request for kTotalStrokes Data for Extension E & Beyond West, Andrew & Fan, Ming (2015-10-16), Error Report for CJK Unified Ideographs Extensions C and E 
dataset/Dataset/data/6237757/table_3|4|30|документ|(не установлено) Edberg, Peter (2011-12-22), Emoji Variation Sequences (Revision of L2/11-429) Consolidated document containing 6 Japanese proposals, 1999-07-15 Umamaheswaran, V. S. (2000-01-05), Minutes of WG 2 meeting 37, Copenhagen, Denmark: 1999-09-13--16 Sato, T. K. (2000-09-04), Circled Numbers in JIS X 0213 Muller, Eric (2001-12-14), Proposal to add NEGATIVE CIRCLED DIGIT ZERO Muller, Eric (2001-12-14), Proposal to add Negative Circled Digit Zero Moore, Lisa (2002-08-26), Minutes for UTC #90 
dataset/Dataset/data/6237731/table_3|4|30|документ|(не установлено) Edberg, Peter (2011-12-22), Emoji Variation Sequences (Revision of L2/11-429) Consolidated document containing 6 Japanese proposals, 1999-07-15 Umamaheswaran, V. S. (2000-01-05), Minutes of WG 2 meeting 37, Copenhagen, Denmark: 1999-09-13--16 Sato, T. K. (2000-09-04), Circled Numbers in JIS X 0213 Muller, Eric (2001-12-14), Proposal to add NEGATIVE CIRCLED DIGIT ZERO Muller, Eric (2001-12-14), Proposal to add Negative Circled Digit Zero Moore, Lisa (2002-08-26), Minutes for UTC #90 
dataset/Dataset/data/6237761/table_3|4|30|документ|(не установлено) Edberg, Peter (2011-12-22), Emoji Variation Sequences (Revision of L2/11-429) Consolidated document containing 6 Japanese proposals, 1999-07-15 Umamaheswaran, V. S. (2000-01-05), Minutes of WG 2 meeting 37, Copenhagen, Denmark: 1999-09-13--16 Sato, T. K. (2000-09-04), Circled Numbers in JIS X 0213 Muller, Eric (2001-12-14), Proposal to add NEGATIVE CIRCLED DIGIT ZERO Muller, Eric (2001-12-14), Proposal to add Negative Circled Digit Zero Moore, Lisa (2002-08-26), Minutes for UTC #90 
dataset/Dataset/data/6237710/table_3|4|30|документ|(не установлено) Edberg, Peter (2011-12-22), Emoji Variation Sequences (Revision of L2/11-429) Consolidated document containing 6 Japanese proposals, 1999-07-15 Umamaheswaran, V. S. (2000-01-05), Minutes of WG 2 meeting 37, Copenhagen, Denmark: 1999-09-13--16 Sato, T. K. (2000-09-04), Circled Numbers in JIS X 0213 Muller, Eric (2001-12-14), Proposal to add NEGATIVE CIRCLED DIGIT ZERO Muller, Eric (2001-12-14), Proposal to add Negative Circled Digit Zero Moore, Lisa (2002-08-26), Minutes for UTC #90 
dataset/Dataset/data/7216663/table_2|4|30|документ|Consolidated document containing 6 Japanese proposals, 1999-07-15 Moore, Lisa (1999-11-23), Comments on JCS Proposals Shibano, Kohji (2000-01-31), JCS proposal revised Moore, Lisa (2000-02-07), Minutes of the UTC/L2 meeting in Mission Viejo, October 26-28, 1999 Sato, T. K. (2000-09-04), JIS X 0213 symbols part-1 Sato, T. K.; Everson, Michael; Whistler, Ken & Freytag, Asmus (2000-09-20), Ad hoc Report on Japan feedback N2257 and N2258 Summary of Voting on SC 2 N 3503, ISO/IEC 10646-1: 2000/PDAM 1, 2001-03-09 
dataset/Dataset/data/7870260/table_3|4|30|документ|(не установлено) Edberg, Peter (2011-12-22), Emoji Variation Sequences (Revision of L2/11-429) Consolidated document containing 6 Japanese proposals, 1999-07-15 Umamaheswaran, V. S. (2000-01-05), Minutes of WG 2 meeting 37, Copenhagen, Denmark: 1999-09-13--16 Sato, T. K. (2000-09-04), Circled Numbers in JIS X 0213 Muller, Eric (2001-12-14), Proposal to add NEGATIVE CIRCLED DIGIT ZERO Muller, Eric (2001-12-14), Proposal to add Negative Circled Digit Zero Moore, Lisa (2002-08-26), Minutes for UTC #90 
dataset/Dataset/data/8935892/table_2|6|30|документ|Becker, Joe, Ethiopian Mann, Michael & Ross, Hugh McGregor (1992-05-14), Comments on Ethiopian Script Becker, Joe (1995-02-26), Proposal for Ethiopian Encoding in Unicode/10646 Everson, Michael (1995-03-11), Names of Ethiopian characters Yacob, Daniel (1995-10-06), Ethiopic Glyphs Variants Ross, Hugh McGregor (1995-10-12), Proposal for Inclusion of Ethiopian-Eritrean Syllabary Becker, Joe (1995-12-07), Conclusive Proposal for Encoding of Ethiopic Syllabary Aliprand, Joan; Hart, Edwin & Greenfield, Steve (1996-03-05), UTC #67 Minutes Ross, Hugh McGregor (1996-04-23), Update on N 1270 and N 1326 - Ethiopic Everson, Michael & Becker, Joe (1996-06-04), Michael Everson Response to SOAS Becker, Joe, Follow up response to WG2 N1326 re Encoding of Ethiopic Syllabary Umamaheswaran, V. S. & Ksar, Mike (1996-06-25), Draft minutes of WG2 Copenhagen Meeting # 30 Becker, Joe (1996-07-27), Conclusive Proposal for Encoding of Ethiopic Syllabary, Update Adams, Glenn (1996-12-01), Proposed Draft Amendment No. 10 to ISO/IEC 10646-1 Ksar, Mike & Umamaheswaran, V. S. (1996-12-06), WG 2 Minutes - Quebec Meeting 31 Aliprand, Joan & Winkler, Arnold (1996-12-18), Preliminary Minutes - UTC #71 & X3L2 #168 ad hoc meeting, San Diego - December 5-6, 1996 Paterson, Bruce (1997-01-28), Combined PDAM registration and ballot for FPDAM 10: Ethiopic script Summary of Voting/Table of Replies, Amendment 10 – Ethiopic, 1997-06-17 Resolving Japanese Comments on pDAM 10 [Ethiopic], 1997-07-01 Umamaheswaran, V. S. (1997-10-24), Unconfirmed Meeting Minutes, WG 2 Meeting # 33, Heraklion, Crete, Greece, 20 June - 4 July 1997 Report on JTC1/SC2 letter ballot on FPDAM No. 10 to ISO/IEC 10646-1 (Ethiopic Script), 1997-12-01 Disposition of Comments Report on Document SC 2 N 2805, Combined PDAM Registration and FPDAM ballot: Amendment 10: Ethioptic Script, 1998-01-14 Notices of publication for various amendments and standards: Clews, John (1999-03-31), Ordering labio-velar characters in Ethiopic Everson, Michael (2000-08-25), Proposed glyph fixes for Ethiopic pages in ISO/IEC 10646-1:2000 Anderson, Lloyd (1991-02-26), On the Extended Ethiopic Alphabet Everson, Michael & Yacob, Daniel (1998-09-11), Proposal to encode Ethiopic Extensions in the BMP of ISO/IEC 10646 Yacob, Daniel (2004-04-23), Revision of the N1846 Proposal to add Extended Ethiopic to the BMP of the UCS Everson, Michael & Yacob, Daniel (2004-06-18), Revisions proposed to N2747 (Extended Ethiopic) Moore, Lisa (2011-08-16), UTC #128 / L2 #225 Minutes Priest, Lorna (2009-02-05), Proposal to Encode Additional Ethiopic Characters Moore, Lisa (2009-02-12), UTC #118 / L2 #215 Minutes Umamaheswaran, V. S. (2009-07-08), Unconfirmed minutes of WG 2 meeting 54 
dataset/Dataset/data/6236877/table_3|4|30|документ|(не установлено) Edberg, Peter (2011-12-22), Emoji Variation Sequences (Revision of L2/11-429) Consolidated document containing 6 Japanese proposals, 1999-07-15 Umamaheswaran, V. S. (2000-01-05), Minutes of WG 2 meeting 37, Copenhagen, Denmark: 1999-09-13--16 Sato, T. K. (2000-09-04), Circled Numbers in JIS X 0213 Muller, Eric (2001-12-14), Proposal to add NEGATIVE CIRCLED DIGIT ZERO Muller, Eric (2001-12-14), Proposal to add Negative Circled Digit Zero Moore, Lisa (2002-08-26), Minutes for UTC #90 
dataset/Dataset/data/8405946/table_1|1|30|документ|Указ Президиума Верховного Совета СССР от 03.11.1944 года Приказ Верховного Главнокомандующего ВС СССР № 205 от 31.10.1944 года 
dataset/Dataset/data/7697332/table_0|6|30|документ|Диплом о среднем образовании Красный диплом о высшем образовании Диплом о высшем образовании Красный диплом о высшем образовании 
dataset/Dataset/data/6237739/table_3|4|30|документ|(не установлено) Edberg, Peter (2011-12-22), Emoji Variation Sequences (Revision of L2/11-429) Consolidated document containing 6 Japanese proposals, 1999-07-15 Umamaheswaran, V. S. (2000-01-05), Minutes of WG 2 meeting 37, Copenhagen, Denmark: 1999-09-13--16 Sato, T. K. (2000-09-04), Circled Numbers in JIS X 0213 Muller, Eric (2001-12-14), Proposal to add NEGATIVE CIRCLED DIGIT ZERO Muller, Eric (2001-12-14), Proposal to add Negative Circled Digit Zero Moore, Lisa (2002-08-26), Minutes for UTC #90 
dataset/Dataset/data/7117492/table_2|4|30|документ|Vikas, Om (2003-03-04), Unicode Standard for Indic Scripts Proposed Changes in Indic Scripts [Gujarati document], 2003-03-04 Jain, Manoj (2004-09-29), Encoding of Gujarati Signs Pao, Addho & Pono in Gujarati code block Muller, Eric (2004-11-14), Clarifications on L2/04-358, Gujarati fractions Muller, Eric (2004-11-18), Report of the Indic ad-hoc Vikas, Om (2005-02-07), Issues in Representation of Indic Scripts in Unicode McGowan, Rick (2005-02-09), Indic ad hoc report Pandey, Anshuman (2007-05-04), Proposal to Encode North Indian Accounting Signs in Plane 1 of ISO/IEC 10646 Pandey, Anshuman (2007-07-31), Towards an Encoding for North Indic Number Forms in the UCS Pandey, Anshuman (2007-10-07), Proposal to Encode North Indic Number Forms Anderson, Deborah (2007-10-14), Changes in L2/07-354 North Indic Number Forms (vs. L2/07-139) 
