table_id|column_id|label_id|label|column_data
dataset/Dataset/data/841964/table_3|3|32|жанр|Роман Повесть Роман Повесть Рассказ Повесть Повесть Повесть Повесть Роман Роман Роман Сборник рассказов 
dataset/Dataset/data/5740113/table_0|3|32|жанр|мюзикл мюзикл мюзикл мюзикл концертная программа 
dataset/Dataset/data/665501/table_1|3|32|жанр|драма боевик комедийный детектив триллер мелодрама боевик боевик комедия мелодрама исторический детектив 
dataset/Dataset/data/5223052/table_1|2|32|жанр|кантри кантри рок, кантри кантри кантри 
dataset/Dataset/data/7726335/table_1|4|32|жанр|молодёжное ток-шоу социальное ток-шоу спортивные упражнения социальный проект юмористическая телеигра программа о необычайных явлениях планеты скетч-шоу для детей кулинарное реалити-шоу кулинарное реалити-шоу детективное реалити-шоу соревнования мужей 
dataset/Dataset/data/70010/table_0|3|32|жанр|повесть баллада повесть статьи статья роман роман роман роман повесть пьеса пьеса рассказы пьеса роман пьеса путевые заметки 
dataset/Dataset/data/1390892/table_0|5|32|жанр|Экшен-приключение Экшен Экшен Экшен-приключение Экшен-приключение Экшен Экшен Экшен-приключение Экшен (Rail shooter) Arcade Платформер Платформер Аркада (Rail shooter) Arcade Платформер (Action) Arcade Платформер Платформер Платформер Космический симулятор Космический симулятор Космический симулятор Космический симулятор Космический симулятор Космический симулятор Космический симулятор Космический симулятор Космический симулятор Космический симулятор Космический симулятор Rail shooter Rail shooter FPS FPS FPS FPS FPS Экшен/Космический симулятор Экшен/Космический симулятор Экшен/Космический симулятор Гоночный симулятор Гоночный симулятор (Arcade) Гоночный симулятор Real-time strategy Real-time strategy Экшен/Космический симулятор Экшен/Космический симулятор Arcade  Экшен/Космический симулятор MMORPG RPG RPG MMORPG FPS/TPS FPS/TPS FPS/TPS FPS/TPS FPS/TPS FPS/TPS FPS/TPS FPS/TPS FPS/TPS FPS/TPS FPS/TPS RTS RTS RTS Экшен-приключение Экшен-приключение Шахматы Скринсейвер TPS Настольная игра Файтинг Приключение RTS Мультимедийная энциклопедия (Rail shooter) Аркада Vehicular Combat RTS Экшен Экшен Экшен/Космический симулятор FPS Экшен-приключение Компиляция RPG RPG Пазлы Kart Racing Платформер Платформер Экшен-приключение Космический симулятор 
dataset/Dataset/data/4983605/table_2|6|32|жанр|фэнтези, приключения боевик, приключения боевик, триллер комедия мультфильм комедия мультфильм комедия короткометражное кино короткометражное кино драма фэнтези, комедия драма, военный боевик, триллер триллер, комедия ужасы, триллер комедия документальный мелодрама мультфильм драма, комедия комедия триллер, драма комедия триллер, драма драма драма драма, комедия драма, спорт фантастика боевик, триллер триллер ужасы, триллер комедия мультфильм драма фантастика, боевик триллер, драма драма триллер триллер, боевик комедия драма комедия мелодрама боевик, комедия мультфильм документальный мультфильм драма мелодрама драма фантастика, комедия триллер, драма драма фэнтези мультфильм драма драма документальный драма, военный драма, комедия драма триллер мультфильм комедия боевик, триллер драма фантастика,боевик боевик, триллер драма комедия драма драма мультфильм документальный документальный фэнтези комедия боевик, триллер драма комедия ужасы драма, биография документальный мелодрама фантастика мультфильм мюзикл, комедия драма, комедия комедия комедия фантастика,боевик документальный триллер комедия ужасы, триллер приключения мультфильм фантастика короткометражное кино комедия драма, комедия мультфильм комедия короткометражное кино 
dataset/Dataset/data/1047846/table_1|3|32|жанр|комедия криминальная драма детектив 
dataset/Dataset/data/525116/table_0|2|32|жанр|спектакль, Театр МГУ. Режиссёр П. Фоменко спектакль, Театр МГУ. Режиссёр П. Фоменко спектакль фильм фильм фильм фильм спектакль, Московский драматический театр имени М. Н. Ермоловой фильм фильм радиоспектакль мультфильм спектакль по стихам С. Михалкова, Центральный детский театр мультфильм телефильм музыкальный спектакль документальный фильм документальный фильм фильм фильм мультфильм мультфильм мультфильм ТВ мюзикл спектакль Центрального театра кукол имени Образцова спектакль, Театр Ленинского Комсомола теле-спектакль фильм фильм спектакль, Театр-студия под руководством О. Табакова спектакль, Театр-студия под руководством О. Табакова спектакль, Театр-студия под руководством О. Табакова спектакль, Театр-студия под руководством О. Табакова спектакль, Театр-студия под руководством О. Табакова опера фильм реж. М. Козаков спектакль спектакль, Театр «Школа современной пьесы», реж. И. Райхельгауз фильм водевиль фильм спектакль фильм фильм фильм-спектакль документальный фильм спектакль, Московский театр «Мастерская Петра Фоменко» спектакль, Театр «Школа современной пьесы», реж. И. Райхельгауз фильм-короткометражка документальный фильм фильм 
dataset/Dataset/data/7573733/table_0|3|32|жанр|документальный документальный короткометражный короткометражный короткометражный короткометражный документальный короткометражный полнометражный 
dataset/Dataset/data/3540603/table_1|3|32|жанр|Сборник Авиасимулятор Рельсовый шутер Мультинаправленный шутер Мультинаправленный шутер Action, Спорт Спорт, Beat 'em up Shoot 'em up (Fixed shooter) Стрелялка, Стратегия Shoot 'em up (Run-and-gun) Action-adventure Аркада Платформер Платформер Beat 'em up Файтинг Платформер Shoot 'em up (Fixed shooter) Аркада Спорт Shoot 'em up (Run-and-gun) Платформер, Adventure Платформер Файтинг Головоломка Beat 'em up Платформер Спорт, Реслинг Гольф Action-adventure Аркада Beat 'em up, Гольф Спорт (Баскетбол) Аркада Аркада Автосимулятор Платформер Shoot 'em up (Fixed shooter) Мультинаправленный шутер Shoot 'em up (Fixed shooter) Спорт Аркада Платформер Спорт Платформер 
dataset/Dataset/data/691511/table_1|5|32|жанр|музыкальная программа утренняя информационно-развлекательная программа музыкальная программа ток-шоу познавательная программа ток-шоу музыкальная программа, реалити-шоу документальная программа программа о достижениях науки и техники программа об извинениях со стороны людей психологическое ток-шоу программа об авиации познавательная программа развлекательная программа развлекательная программа, шоу талантов спортивно-развлекательное шоу познавательная программа музыкальная программа, телеигра познавательная программа 
dataset/Dataset/data/6879967/table_2|2|32|жанр|Проза Проза 
dataset/Dataset/data/20040/table_0|3|32|жанр|историческая драма ситком мелодрама ситком историческая драма пикантная комедия боевик историческая драма драмеди ситком историческая драма ситком ситком мелодрама ситком драмеди мультпародия мелодрама ситком драмеди драма мелодрама историческая драма ситком приключенческая комедия мелодрама ситком детектив мелодрама детектив мелодрама драма детектив детективная комедия романтическая комедия детектив мелодрама мистический триллер мистический триллер мистическая мелодрама мелодрама мелодрама драмеди комедия мистический триллер мелодрама мелодрама историческая драма мистический триллер мелодрама авантюрная комедия мелодрама комедийная мелодрама мелодрама военная драма детективная мелодрама историческая мелодрама остросюжетный детектив боевик медицинская драма детектив байопик детектив приключенческий триллер детектив мелодрама боевик мелодрама детектив 
dataset/Dataset/data/7716142/table_0|2|32|жанр|Файтинг Файтинг Файтинг Файтинг Action-adventure, слэшер Файтинг Файтинг Файтинг Action-adventure, слэшер Action-adventure, слэшер Action-adventure, метроидвания Файтинг Action-adventure, слэшер Файтинг Файтинг Файтинг Action-adventure, слэшер Action, слэшер Файтинг Файтинг Файтинг Action RPG, слэшер RPG Action, слэшер Файтинг Action, Beat ’em up Action RPG, слэшер 
dataset/Dataset/data/7390612/table_3|3|32|жанр|историческая драма спортивная драма 
dataset/Dataset/data/267332/table_0|1|32|жанр|старинный вальс цыганская плясовая песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня романс русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня цыганский романс русская народная песня русская народная песня фронтовая песня городской романс колыбельная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня советская песня русская народная песня русская народная песня марш русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня романс городской романс русская народная песня русская народная песня жестокий романс старинный вальс русская народная песня городской романс русская народная песня эстрадная песня французская песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня романс русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня русская народная песня романс 
dataset/Dataset/data/8952100/table_0|3|32|жанр|фантастический детектив ситуационная комедия детективная драма авантюрная драма драмеди психологический триллер детективная драма эротический триллер ретро-мелодрама историческая драма фантастическая драма детективное драмеди психологическая драма мистический детектив детективное драмеди драма психологическая драма детективная драма 
dataset/Dataset/data/544496/table_0|0|32|жанр|Трагедия Кинокомедия Трагикомедия Драма Мелодрама Киноэпопея Кинороман Киноповесть Киноновелла Феерия Кинопоэма Лирическая новелла Сказка Притча Приключенческий фильм(Авантюрный фильм) Вестерн Детектив Нуар («Чёрный» фильм) Неонуар Триллер Гангстерский фильм Фильм-катастрофа Боевик Исторический фильм Фантастический фильм Политический фильм Фильм ужасов Музыкальный фильм Дзидайгэки Кэнгэки Сёсимингэки Дзёсэйэйга Пинк фильм (Пинк эйга, Пинк виоленс) Уся Тямбара Сплэттер 
dataset/Dataset/data/8578533/table_0|3|32|жанр|пьеса моноспектакль балет пьеса балет 
dataset/Dataset/data/3654725/table_0|2|32|жанр|RPG RPG ActionRPG 
dataset/Dataset/data/132072/table_2|4|32|жанр|короткометражка короткометражка драма короткометражка короткометражка короткометражка короткометражка короткометражка короткометражка короткометражка ужасы комедия драма драма драма драма, фильм-биография короткометражка короткометражка короткометражка фэнтези драма короткометражка 
dataset/Dataset/data/7683438/table_0|2|32|жанр|ревю музыкальная пьеса мюзикл ревю мюзикл мюзикл пьеса мюзикл 
dataset/Dataset/data/708790/table_0|1|32|жанр|сборник поэзии роман сборник поэзии сборник рассказов роман сборник рассказов сборник рассказов роман сборник поэзии роман сборник поэзии роман роман сборник рассказов роман 
