table_id|column_id|label_id|label|column_data
dataset/Dataset/data/7413745/table_0|1|37|здание|Suseong SK Leader's View[en] Tower A Suseong SK Leader's View[en] Tower B Suseong We've The Zenith Complex 106 Suseong We've The Zenith Complex 107 83 Tower Suseong We've The Zenith Complex 104 Suseong We've The Zenith Complex 105 Suseong We've The Zenith Complex 108 Suseong We've The Zenith Complex 109 Suseong We've The Zenith Complex 101 Suseong We've The Zenith Complex 102 Suseong We've The Zenith Complex 103 Suseong SK Leader's View Tower 101 Suseong SK Leader's View Tower 102 Suseong SK Leader's View Tower 104 Suseong SK Leader's View Tower 106 Suseong SK Leader's View Tower 107 Mark Palace Beomeo Worldmark Westend Tower 105 Beomeo U-Sell High View Tower 1 Beomeo U-Sell High View Tower 2 Daewoo Trump World B Daewoo Trump World C Worldmark Westend Tower 102 Worldmark Westend Tower 103 Worldmark Westend Tower 101 Kyeongnam Centro Palace 101 Kyeongnam Centro Palace 102 Worldmark Westend Tower 107 Daegu Station Central Xi 101 Daegu Station Central Xi 104 Daegu Station Central Xi 105 Daegu Station Central Xi 106 Worldmark Westend Tower 104 Brownstone Beomeo Daegu Station Central Xi 103 Worldmark Westend Tower 106 Daegu Station Central Xi 102 
dataset/Dataset/data/6934785/table_0|2|37|здание|Гран Торре Сантьяго Titanium La Portada[en] Torre Telefónica Chile[es] Hotel Marriott Santiago de Chile[es] Torre Entel[es] Territoria 3000[es] Torre Mall Center[es] Torre Centenario[es] Torre Alameda[es] Torre de la Industria[es] Millenium Building Edificio Las Américas Edificio Santiago Centro Edificio Vistamar Edificio CCU Costanera Hotel Palladio Torre Santa María Edificio Espacio 3 Torre Icono (Antofagasta)[es] Grand Hyatt Santiago El Bosque 500 Costa Horizonte 
dataset/Dataset/data/1515582/table_0|2|37|здание|Окружной суд Покровская церковь Князь-Владимирский собор Саратовское первое Александро-Мариинское реальное училище Управление Рязано-Уральской железной дороги 
dataset/Dataset/data/6932576/table_1|1|37|здание|PBCom Tower[en] Horizons 101[en] Vivaldi Residences Davao[en] 
dataset/Dataset/data/351403/table_1|4|37|здание|2 1 2 2 8 1 4 3 3 2 3 1 1 3 2 1 1 2 
dataset/Dataset/data/6966516/table_1|1|37|здание|Folkart Highlife Faco Tower Emaar Boulevardi ATO Binası Diamond of Istanbul[en] Sapphire Ankara Metropol Kule Skymark Tower Mistral Tower Bayraklı 1 Sinpaş The First Spine Tower Mistral Tower Bayraklı 2 Folkart Bayraklı Kulesi 1[en] Folkart Bayraklı Kulesi 2[en] Point Bornova Ege Parle Bayraklı My Towerland IFC Bomonty Hotel Türk Telekom Tower Ak-Asya Shopping Center and Tower Zorlu Levent Tower EXEN Plaza Soyak Tower[en] Sinpaş Altın Oran 1 Sinpaş Altın Oran 2 Terrace Tema Mamak Euraisa Shopping Center 1 Nata Vega Kuleleri 1 Nata Vega Kuleleri 2 İstanbloom Çamlica Twin Towers 1 Çamlica Twin Towers 2 Royal Center 1 Mamak Euraisa Shopping Center 2 Mamak Euraisa Shopping Center 3 Mamak Euraisa Shopping Center 4 Mamak Euraisa Shopping Center 5 Mamak Euraisa Shopping Center 6 Venus Premium Erciyes İnşaat Cam Kuleler Rişvanoğlu İnşaat Novus Ventus Kule 1 
dataset/Dataset/data/3133717/table_0|2|37|здание|Taipei 101 Tuntex Sky Tower Nanshan plaza[en] Farglory THE ONE[en] Shin Kong Life Tower[en] Chang-Gu World Trade Center[en] Cathay Life Xinyi A3[en] Farglory Financial Center[en] Far Eastern Banciao Shopping Center[en] Shr-Hwa International Tower[en] The Landmark[en] Neo Sky Dome, Tower B[en] Grand Hi-Lai Hotel[en] Farglory 95rich[en] Chicony Electronics Headquarters[en] Panhsin Twin Towers[en] Le Meridien Taichung[en] Neo Sky Dome, Tower D[en] Neo Sky Dome, Tower C[en] Guo Yan Building BC[en] Asia-Pacific Financial Plaza[en] Global Strategy Center City Center Plaza National Trade Center Fu Yu The Glory Tower Far Eastern Plaza I[en] Far Eastern Plaza II[en] Treasure Garden[en] Solitaire (Building)[en] The Crystal Palace[en] Han-Hsien International Hotel[en] Yihwa International Residential Tower A[en] Yihwa International Residential Tower B[en] Farglory U-TOWN[en] Long-Bang Trade Plaza 1[en] Long-Bang Trade Plaza 2[en] 
dataset/Dataset/data/6929408/table_2|1|37|здание|Landmark 81 Landmark 72 Финансовая башня Bitexco Saigon Trade Center[en] Saigon Centre 1[en] Sunwah Tower[en] VTP Office service center Saigon Notre-Dame Basilica[en] Five Dragon Tower Báo Thiên Tower 
dataset/Dataset/data/600645/table_0|0|37|здание|Памятник копейке 1612 г. Стела «Клятва князя Пожарского» Баня Водяные ворота Дом ризничего Звонница с церковью Богоматери Печерской Кельи (северо-восточный корпус) Кельи у западных ворот (северный корпус) Кельи у западных ворот (южный корпус) Корпус «на погребах» Хозяйственный корпус у Угличской башни Хозяйственный корпус у Михайловской башни Ризница Святые ворота с церковью Введения во храм Пресвятой Богородицы Семинарский корпус Спасо-Преображенский собор Стены Богородицкая башня Богоявленская башня Михайловская башня Угличская башня Трапезная с церковью Рождества Христова (Крестовой) и с настоятельскими покоями Церковь Ярославских Чудотворцев (Входа Господня в Иерусалим) Трифоновская часовня Колокол «Благовестник» 
dataset/Dataset/data/356262/table_0|0|37|здание|Памятник копейке 1612 г. Стела «Клятва князя Пожарского» Баня Водяные ворота Дом ризничего Звонница с церковью Богоматери Печерской Кельи (северо-восточный корпус) Кельи у западных ворот (северный корпус) Кельи у западных ворот (южный корпус) Корпус «на погребах» Хозяйственный корпус у Угличской башни Хозяйственный корпус у Михайловской башни Ризница Святые ворота с церковью Введения во храм Пресвятой Богородицы Семинарский корпус Спасо-Преображенский собор Стены Богородицкая башня Богоявленская башня Михайловская башня Угличская башня Трапезная с церковью Рождества Христова (Крестовой) и с настоятельскими покоями Церковь Ярославских Чудотворцев (Входа Господня в Иерусалим) Трифоновская часовня Колокол «Благовестник» 
