table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6236752/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6236812/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6236813/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6237670/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6237679/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6237690/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6237701/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6237739/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6237766/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/6237768/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/7117492/table_2|3|39|идентификатор|L2/03-102 L2/03-101.3 L2/04-358 L2/04-402 L2/04-418 L2/05-063 L2/05-070 L2/07-139 L2/07-238 L2/07-354 L2/07-390 
dataset/Dataset/data/7212659/table_1|3|39|идентификатор|L2/04-185 L2/06-364 L2/06-365 L2/06-366 L2/11-243 L2/11-254 L2/13-177 L2/14-094 L2/15-216 L2/15-242 
dataset/Dataset/data/7216763/table_2|3|39|идентификатор|L2/99-238 L2/99-365 L2/00-024 L2/99-260R L2/00-297 L2/00-342 L2/01-114 
dataset/Dataset/data/7850095/table_2|3|39|идентификатор|L2/99-008 L2/00-010 L2/15-069 L2/15-123 L2/16-018 L2/16-004 L2/16-090 L2/16-104 L2/16-156 L2/16-177 L2/16-199 L2/16-212 L2/16-216 L2/16-214 L2/16-218 L2/16-227 L2/16-231 L2/16-232 L2/16-233 L2/16-203 L2/16-210 L2/17-112R L2/17-153 L2/17-103 L2/17-353 L2/18-036 L2/17-362 L2/18-236 L2/18-241 L2/18-183 
dataset/Dataset/data/7870108/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/7870197/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/7870216/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
dataset/Dataset/data/7870243/table_3|3|39|идентификатор|L2/11-438[b] L2/99-238 L2/00-010 L2/00-296 L2/01-480 L2/02-193 L2/02-070 
