table_id|column_id|label_id|label|column_data
dataset/Dataset/data/14856/table_2|3|40|идеология|прагматизм (партия власти) коммунизм, марксизм-ленинизм, патриотизм, сталинизм консерватизм, антикоммунизм, патриотизм, смешанная экономика социал-демократия, демократический социализм традиционализм, национал-консерватизм консерватизм, экономический либерализм 
dataset/Dataset/data/1491/table_0|4|40|идеология|Правый центр, либеральный консерватизм, социальный консерватизм, словенский национализм Центризм, социальный либерализм, популизм Левый центр, социал-демократия Центризм, социальный либерализм, проевропеизм Левые, демократический социализм, экосоциализм, антикапитализм, секуляризм, евроскептицизм Христианская демократиясоциальный консерватизмпроевропеизм Центризм, социальный либерализм, либеральная демократия, проевропеизм Центризм, защита пенсионеров, социальный либерализм, проевропеизм Правый центр, словенский национализм, популизм, евроскептицизм 
dataset/Dataset/data/16968/table_3|4|40|идеология|Христианская демократия Социал-демократия Классический либерализм Зелёная политика Коммунизм Евроскептицизм Национал-консерватизм Ультра-националисты — Всего 
dataset/Dataset/data/1907865/table_0|2|40|идеология|центрально-левые ('социальные либералы') центрально-правые (классические либералы) центрально-правые (консерваторы) центрально-правые (националисты-консерваторы) центрально-левые (аграрии) центрально-левые ('социал-демократы') центристы (центристы) 
dataset/Dataset/data/3652324/table_0|3|40|идеология|Центр: популизм, левый либерализм (фракции — христианская демократия, национализм) Левый центр / левые: демократический социализм (фракции — социал-демократия, христианский социализм, марксизм, ленинизм, троцкизм) Центр: третий путь, неолиберализм, социал-либерализм, (исторически — социал-демократия) Правый центр: консерватизм, социальный консерватизм, популизм, либеральный консерватизм Левый центр: демократический социализм, социал-демократия, тред-юнионизм, левый популизм Центр: тред-юнионизм, популизм, национализм, федерализм Правый центр / правые: либеральный консерватизм, христианская демократия, неолиберализм 
dataset/Dataset/data/3682054/table_1|3|40|идеология|"Правый центр: популизм, либеральный консерватизм, республиканизм Левый центр / левые: демократический социализм, социал-демократия Центр: популизм, синкретизм, республиканизм Социалистическая народная партия Бразилии)"" Ультраправые: Антикоммунизм, Экономический либерализм, Социальный консерватизм Правый центр / правые: либеральный консерватизм, христианская демократия Левые: коммунизм, марксизм-ленинизм, маоизм, (исторически — ходжаизм) Центр: популизм, тред-юнионизм (исторически — социализм) Центр / правый центр: экономический либерализм, синкретизм Левый центр: зелёная политика, экосоциализм, социал-демократия Ультраправые: Консерватизм, Антикоммунизм, Антиглобализм Левоцентризм: Гуманистическое движение (общество), Экономическое вмешательство Центр / правый центр: популизм, национализм, тред-юнионизм левые / Крайне левые: либертарный социализм, троцкизм, марксизм, антикапитализм, партисипативная демократия Ультраправые: Антикоммунизм, Антиглобализм Центр: Социал-демократия, Универсальная партия Ультраправые: Либеральный консерватизм Левый центр: зелёная политика, устойчивое развитие, социал-демократия "
dataset/Dataset/data/5386016/table_0|4|40|идеология|Правый центр; социальный консерватизм, экономический либерализм ,исламизм Левый центр; кемализм, демократический социализм, социал-демократия, секуляризм Крайне правые; турецкий национализм, пантюркизм, неофашизм, туранизм, евроскептицизм Левые; демократический социализм, защита окружающей среды, прямая демократия, права меньшинств, интернационализм Левый центр; турецкий национализм, защита окружающей среды, социал-демократия, прогрессивизм, кемализм, секуляризм Либеральный национализм, популизм Правые; хизметизм, либеральный консерватизм Центр; электронная демократия, прямая демократия, либерализм, кемализм Левый центр, левые; демократический социализм, курдский национализм, права меньшинств, феминизм, евроинтеграция 
dataset/Dataset/data/6351644/table_1|2|40|идеология|Классический либерализм Социал-либерализм, Центризм Национал-консерватизм Социал-демократия Зелёная политика Аграрии Христианская демократия Русское меньшинство, левое крыло Евроскептицизм, Национализм Русское меньшинство Демократический социализм Всего 
dataset/Dataset/data/7079024/table_1|2|40|идеология|шиитский исламизм суннитская салафия суннитский исламизм Всего 
dataset/Dataset/data/7694031/table_0|2|40|идеология|Национал-консерватизм Социал-демократия Национализм, демократический социализм Национал-либерализм, гражданский национализм Либерализм, проевропеизм Христианская демократия Технократизм и социальный либерализм Либерализм и проевропеизм Либеральный консерватизм Национализм, проевропеизм Консервативный либерализм 
dataset/Dataset/data/8823417/table_0|2|40|идеология|Хиндутва, интегральный гуманизм[en], консерватизм[en], антикоммунизм, социальный консерватизм, неолиберализм, правый популизм Зонтичная партия; секуляризм, прогрессивизм, социал-либерализм, социал-демократия, ведический социализм, демократический социализм Социализм, антифашизм, антикоммунизм Левоцентризм; амбедкаризм, секуляризм, социальное равенство, социальная справедливость, самоуважение[en] Либерализм Коммунизм, марксизм Коммунизм, марксизм-ленинизм Защита интересов племён Северо-Восточной Индии 
dataset/Dataset/data/8881312/table_0|1|40|идеология|Марксизм, революционный социализм Коммунизм, марксизм-ленинизм Левый радикализм, геваризм Марксизм-ленинизм, геваризм Христианский социализм, марксизм, аграрный социализм Левая христианская демократия 
