table_id|column_id|label_id|label|column_data
dataset/Dataset/data/3284046/table_0|3|41|издатель|Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. 1С Sigma Team Inc. Sigma Team Inc. 1C Sigma Team Inc. 1C 1C 1С Sigma Team Inc. 1C 1С Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. Sigma Team Inc. 
dataset/Dataset/data/1070947/table_4|3|41|издатель|Да Да Да 
dataset/Dataset/data/3567291/table_0|2|41|издатель|Firebird Software Epyx Pandora Rainbow Arts Software GmbH Microplay Software Empire Interactive Electronic Arts Virgin Games GameTek, Konami MicroProse Virgin Interactive MicroProse MicroProse GameTek Hasbro Interactive Infogrames Atari Atari 31X Atari 
dataset/Dataset/data/2778750/table_4|3|41|издатель|Да Да Да 
dataset/Dataset/data/8327266/table_0|2|41|издатель|Activision THQ Electronic Arts Namco Bandai SEGA Electronic Arts Atari SEGA Electronic Arts Frictional Games Idea Games Electronic Arts Electronic Arts Ubisoft Electronic Arts Electronic Arts Electronic Arts Electronic Arts Eidos Interactive Eidos Interactive Warner Bros. Interactive Entertainment Electronic Arts SEGA Capcom 2K Games 2K Games Activision 2K Games Electronic Arts Electronic Arts Rockstar Games Vivendi Activision Activision Activision Activision Activision Ubisoft Ubisoft Namco Bandai Electronic Arts SEGA Electronic Arts Electronic Arts Electronic Arts Electronic Arts SEGA Eidos Interactive SEGA SEGA Microsoft Microsoft Vivendi Electronic Arts Electronic Arts Electronic Arts THQ SEGA Tecmo Electronic Arts Capcom Capcom Namco Bandai Namco Bandai Capcom Square Enix Blizzard Entertainment Blizzard Entertainment Codemasters dtp entertainment Larian Studios Activision Electronic Arts Electronic Arts Gearbox Software Stardock Entertainment Sierra Entertainment Sierra Entertainment SEGA SEGA Activision Codemasters Sierra Entertainment Sierra Entertainment Sierra Entertainment Bethesda Softworks Ubisoft Ubisoft Ubisoft Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Microsoft Microsoft Microsoft SEGA SEGA THQ Sierra Entertainment Rockstar Games Rockstar Games Rockstar Games Rockstar Games Rockstar Games Rockstar Games Rockstar Games Rockstar Games Rockstar Games Microsoft Microsoft Vivendi Electronic Arts Sony Electronic Arts Sony Sony Activision Activision Activision Activision Activision Activision Activision Activision Valve Microsoft Microsoft Microsoft Microsoft Microsoft Electronic Arts Electronic Arts Sony SEGA SEGA Sony SEGA SEGA Ubisoft HD Interactive Eidos Interactive Sony 1С-СофтКлаб Valve Gamecock Media Group LucasArts Entertainment LucasArts Entertainment Warner Bros. Warner Bros. LucasArts Entertainment LucasArts Entertainment Sony Electronic Arts Electronic Arts Electronic Arts Capcom Capcom Sony Sony 2K Games Sony Electronic Arts Electronic Arts Rockstar Games Electronic Arts Electronic Arts Electronic Arts Electronic Arts SEGA SEGA Electronic Arts Rockstar Games Vivendi Konami Konami Konami Konami Eidos Interactive Electronic Arts Sony Sony Sony 1С Electronic Arts SEGA 2K Games Electronic Arts 1С Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Eidos Interactive Capcom Ubisoft Konami Konami Konami Activision Rockstar Games THQ Sony Sony 1С-СофтКлаб Capcom SEGA Namco Bandai Bethesda Softworks SEGA Katauri Interactive Ubisoft THQ Electronic Arts Konami Vivendi Activision SouthPeak Games SEGA Eidos Interactive 2K Games Activision SEGA Konami Konami Konami Konami Konami Konami Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Electronic Arts Sony Electronic Arts Activision SEGA SEGA Ubisoft SEGA 2K Games Activision Electronic Arts GSC World Publishing LucasArts Entertainment LucasArts Entertainment LucasArts Entertainment Blizzard Entertainment Blizzard Entertainment Blizzard Entertainment SEGA Capcom Focus Home Interactive Capcom Namco Bandai Evolved Games Electronic Arts Sierra Entertainment Ubisoft Ubisoft Ubisoft Ubisoft Ubisoft Ubisoft Eidos Interactive Eidos Interactive Eidos Interactive Activision Activision Activision Activision Activision Activision Electronic Arts Sony Sony SEGA THQ Supermassive Games Eurocom SEGA Paradox Interactive SEGA SEGA Warner Bros. Blizzard Entertainment Blizzard Entertainment Electronic Arts THQ Bethesda Softworks Sony Activision Sierra Entertainment Ubisoft Blizzard Entertainment Blizzard Entertainment Blizzard Entertainment THQ Activision SEGA CD PROJEKT RED 1С-СофтКлаб Crioland Avalon Style Entertainment 1С-СофтКлаб Huggart Games Maximum Games Techland Elemental Games Black Isle Studios 
dataset/Dataset/data/7988944/table_0|2|41|издатель|Modern Games, Cryo Interactive Activision Value BHV Software, Viva Media Polizeiliche Kriminalprävention der Länder und des Bundes Xider 10tacle Studios, Strategy First Daedalic Entertainment, Xider Polizeiliche Kriminalprävention der Länder und des Bundes dtp entertainment Astragon Phenomedia Astragon dtp entertainment, Viva Media Astragon Kalypso Media Koch Media CI Games Штеделевский художественный институт Focus Home Interactive Focus Home Interactive 
dataset/Dataset/data/1939996/table_3|1|41|издатель|Коданся Коданся Коданся Коданся Коданся Коданся Коданся Коданся Коданся Коданся Коданся Коданся Коданся Коданся 
dataset/Dataset/data/7852266/table_4|3|41|издатель|Да Да Да 
dataset/Dataset/data/8607819/table_0|1|41|издатель|SoftKey Multimedia SoftKey Multimedia, The Learning Company Accolade Nintendo Midway Games Midway Games GT Interactive Software ASC Games Blizzard Entertainment Kemco Red Storm Entertainment Midway Games Titus Software GT Interactive Software Sunsoft Electronic Arts Konami Midway Games Classified Games (США), Cryo Interactive (PAL) Classified Games (США), Cryo Interactive (PAL) Red Storm Entertainment Lego Software Lego Software NewKidCo Titus Software THQ Midway Games Sierra Entertainment Atari Vivendi Games Hip Games Vivendi Games 
dataset/Dataset/data/4555839/table_0|2|41|издатель|Weatherhill Dutton Houghton Mifflin Dutton Minotaur Books 
