table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1457756/table_0|0|42|изображение|Спасская башня Юго-западная круглая башня Преображенская башня Безымянная круглая башня Тайницкая башня Северо-восточная круглая башня Консисторкая башня Юго-Восточная круглая башня 
dataset/Dataset/data/1475298/table_3|0|42|изображение|Фото Фото 
dataset/Dataset/data/1831918/table_5|0|42|изображение|Внешнее изображение Внешнее изображение 
dataset/Dataset/data/1932654/table_1|1|42|изображение|nne.ru sobory.ru 
dataset/Dataset/data/2282030/table_0|3|42|изображение|изображение отсутствует изображение отсутствует изображение отсутствует изображение отсутствует 
dataset/Dataset/data/2406280/table_11|0|42|изображение|Внешнее изображение 
dataset/Dataset/data/2406280/table_8|0|42|изображение|Внешнее изображение Внешнее изображение 
dataset/Dataset/data/2486674/table_3|1|42|изображение|h 
dataset/Dataset/data/272441/table_0|0|42|изображение|нет фото нет фото 
dataset/Dataset/data/3197203/table_0|3|42|изображение|Фотография Рисунок Рисунок (недоступная ссылка) 
dataset/Dataset/data/3244725/table_9|0|42|изображение|Внешние видеофайлыБанк Израиля  Новая банкнота достоинством 50 шекелей.  Защита от подделки 1.  Защита от подделки 2. Внешние видеофайлы Банк Израиля 
dataset/Dataset/data/3357788/table_0|2|42|изображение|80px 
dataset/Dataset/data/3434240/table_1|2|42|изображение|Увидеть изображение памятника можно, кликнув здесь Увидеть изображение памятника можно, кликнув здесь Увидеть изображение памятника можно, кликнув здесь 
dataset/Dataset/data/343589/table_0|0|42|изображение|нет фото нет фото 
dataset/Dataset/data/343630/table_0|4|42|изображение|Лемпира Марко Аурелио Сото Франсиско Морасан Хосе Тринидад Кобаньяс Дионисио Эррера Хуан Мануэль Гальвес Хосе Сесильо де Валле Рамон Роза 
dataset/Dataset/data/3505292/table_0|1|42|изображение|Изображение не сохранилось Изображение не сохранилось Изображение не сохранилось Изображение не сохранилось 
dataset/Dataset/data/3505292/table_1|1|42|изображение|Изображение не сохранилось 
dataset/Dataset/data/3606517/table_1|4|42|изображение|Вверху слово PA’ANGA, внизу — TONGA, в центре государственный герб Вверху слово PA’ANGA, внизу — TONGA, в центре государственный герб. Вверху слово PA’ANGA, внизу — TONGA, в центре государственный герб. по бокам дважды слово PAANGA, пальмовая роща в центре, вверху надпись F.A.O. по бокам дважды слово PAANGA, пальмовая роща в центре, вверху надпись F.A.O. дважды слово PAANGA, пальмовая роща в центре, вверху надпись F.A.O. TECHNICAL COOPERATION PROGRAMME вверху слово F.A.O., внизу фраза RURAL WOMEN’S ADVANCEMENT, в центре женщина возле хижины раскрашивает циновку. вверху слова TWO PA’ANGA, в центре государственный герб, внизу слово TONGA вверху слова TWO PA’ANGA, в центре государственный герб, внизу слово TONGA внизу номинал, вверху надпись FAKALAHI ME’AKAI («производить больше продуктов питания»), в центре изображение девяти основных источников продовольствия (корова, пальма, курица, рыба, свинья, пчела и др.) в 1980: номинал, изображение кита, надпись SEA RESOURCE MANAGEMENT 
dataset/Dataset/data/3606517/table_1|3|42|изображение|внизу год чеканки, вверху имя, а в центре профиль королевы Салоте Тупоу III в центре профиль короля Тауфа’ахау Тупоу IV, под профилем по окружности имя короля, над профилем по окружности текст CORONATION 4-th JULY 1967 Внизу год чеканки, вверху имя, а в центре профиль короля Тауфа’ахау Тупоу IV. В 1969 в честь открытия залежей нефти по бокам от года чеканки мелким контррельефом: нефтяная вышка, 1969, OIL SEARCH. В 1970 слева от года чеканки мелким контррельефом: Commonwealth Member 1970 год чеканки, портрет короля Тауфа’ахау Тупоу IV в военной форме, лицом вперед, слово TONGA, дважды слово PAANGA. год чеканки, слово TONGA, портрет короля Тауфа’ахау Тупоу IV в военной форме, лицом вперед, годы 1918 и 1978 и надпись DIAMOND BIRTHDAY. год чеканки, слово TONGA, портрет короля Тауфа’ахау Тупоу IV в военной форме, лицом вперед, дважды годы 1969 и 1979 и надпись DECADE OF PROGRESS. по бокам дважды слово PAANGA, внизу слово TONGA и год чеканки, портрет королевы Салоте Тупоу III. в центре профиль короля Тауфа’ахау Тупоу IV, под профилем по окружности имя короля, над профилем по окружности текст CORONATION 4-th JULY 1967 внизу год чеканки, вверху имя, а в центре профиль короля Тауфа’ахау Тупоу IV год чеканки, слово TONGA, портрет короля Тауфа’ахау Тупоу IV в военной форме, лицом вперед, надпись F.A.O. в 1980: год чеканки, слово TONGA, портрет короля Тауфа’ахау Тупоу IV в военной форме, лицом вперед, надпись F.A.O. 
dataset/Dataset/data/3655548/table_0|0|42|изображение|Внешнее изображение 
