table_id|column_id|label_id|label|column_data
dataset/Dataset/data/199726/table_4|6|43|инструмент|вокал, баян вокал, баян 
dataset/Dataset/data/2449019/table_0|1|43|инструмент|Документ, распределяющий роли и ответственность управления портфелем (матрица ответственности и принятия решения) План коммуникации при управлении портфелем Процесс авторизации портфеля 
dataset/Dataset/data/2801478/table_0|1|43|инструмент|Ритм-гитара Бэк-вокал Бэк-вокал Клавишные / программирование Клавесин Organ Скрипка / Альт Скрипка Скрипка Скрипка Скрипка Скрипка Скрипка Скрипка Скрипка ударные ударные бас 
dataset/Dataset/data/3665538/table_2|3|43|инструмент|Цимбалы Флейта Альт Фагот Фортепиано Канон Скрипка 
dataset/Dataset/data/3693839/table_0|3|43|инструмент|бас-гитара, лид-вокал лид-вокал ударные, бойран гитара гитара, аккордеон волынка, вистл акустическая гитара, банджо, бузуки, клавишные, мандолина, свисток, орган 
dataset/Dataset/data/3754354/table_0|2|43|инструмент|Кларнет Виолончель Фортепиано Фортепиано Гармоника Фортепиано Скрипка Скрипка Кларнет Виолончель Фортепиано 
dataset/Dataset/data/4369693/table_3|0|43|инструмент|Sytrus DirectWave SliceX Harmless Harmor Toxic Biohazard Sawer Morphine PoiZone Ogun/Autogun Sakura Drumaxx 
dataset/Dataset/data/5657104/table_3|3|43|инструмент|гитара ударные ударные гитараколокола гитара бас-гитара 
dataset/Dataset/data/6116351/table_0|2|43|инструмент|Тромбон Виолончель Виолончель Фортепиано Фагот Скрипка Орган Фортепиано Гитара Фортепиано Фортепиано Скрипка Фортепиано Саксофон Виолончель Тромбон Фортепиано Кларнет Виолончель Скрипка Гитара Тромбон Скрипка Фортепиано 
dataset/Dataset/data/6116355/table_1|3|43|инструмент|Перкуссия Фортепиано Фортепиано Аккордеон Виолончель Скрипка Виолончель Скрипка 
dataset/Dataset/data/6116361/table_1|3|43|инструмент|Фортепиано Виолончель Саксофон Скрипка Виолончель Кларнет Виолончель Скрипка 
dataset/Dataset/data/6116363/table_0|3|43|инструмент|Кларнет Виолончель Фортепиано Фагот Канон Скрипка Кларнет Скрипка 
dataset/Dataset/data/612439/table_8|4|43|инструмент|- - - 
dataset/Dataset/data/6443398/table_0|3|43|инструмент|Скрипка Кларнет Фортепиано Скрипка Виолончель Скрипка Фортепиано 
dataset/Dataset/data/716853/table_8|4|43|инструмент|- - - 
dataset/Dataset/data/78088/table_4|6|43|инструмент|вокал, баян вокал, баян 
dataset/Dataset/data/8155838/table_0|3|43|инструмент|виолончель виолончель 
dataset/Dataset/data/8432602/table_0|3|43|инструмент|гитара гитара гитара гитара гитара гитара гитара гитара гитара, бас гитара, бас гитара, бас гитара гитара бас гитара бас гитара, бас гитара гитара гитара гитара (3, 4 трэки) 
dataset/Dataset/data/8965304/table_0|0|43|инструмент|Скрипка Альт Виолончель Контрабас 
