table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4573797/table_4|6|45|канал|HBO FX Netflix HBO AMC HBO Netflix 
dataset/Dataset/data/4566571/table_1|3|45|канал|Fox CBS NBC NBC ABC ABC NBC NBC NBC Fox HBO NBC NBC ABC Fox NBC NBC HBO HBO ABC 
dataset/Dataset/data/5360390/table_0|1|45|канал|Junior TV Super! Split TV Nuvolari Marcopolo Leonardo iLIKE.TV Alice TV 230 Padre Pio TV Provvisorio 
dataset/Dataset/data/3150464/table_1|1|45|канал|Disney Channel Disney XD Family Channel Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney Channel Asia Disney XD UK Disney Channel UK Disney XD Poland Disney XD Greece Disney XD Latin America Disney XD Latin America Disney XD Latin America Disney XD Latin America Disney XD Latin America Disney XD Latin America Disney Channel RussiaDisney XD (СНГ) Disney Channel Kazakhstan Disney Channel Kyrgyzstan Disney Channel Ukraine Disney XD Scandinavia Disney XD Scandinavia Disney XD Scandinavia Disney XD Sweden Disney XD Spain Disney XD France Disney XD Germany Disney XD Germany Disney XD Japan Disney Channel Australia Disney Channel New Zealand Disney XD Netherlands Disney XD Disney Channel Israel 
dataset/Dataset/data/396941/table_1|0|45|канал|TRT-Int, (Международный канал) TRT-Türk 
dataset/Dataset/data/465050/table_3|3|45|канал|TV Tokyo TV Tokyo TV Tokyo TV Tokyo TV Tokyo TV Tokyo 
dataset/Dataset/data/7010355/table_8|6|45|канал|HBO FX Netflix Hulu Netflix 
dataset/Dataset/data/1431494/table_3|3|45|канал|РТР НТВ Россия Россия Россия Россия Россия Россия Россия Первый канал Первый канал Первый канал Россия Россия Первый канал ТВ Центр ТВ Центр ТВ Центр Первый канал ТВ Центр Россия ТВ Центр Первый канал Первый канал Первый канал Россия Первый канал Россия Домашний Первый канал Россия Первый канал Первый канал Россия Первый канал Вести Первый канал Россия-1 Россия-1 Россия-1 Первый канал Россия-1 Россия-1 Россия-Культура Россия-1 Первый канал Россия-1 Россия-1 Россия-Культура Россия-24 Россия-Культура Россия-Культура Россия-24 Россия-24 Россия-24 Россия-24 Россия-Культура Россия-24 Россия-1 Россия-Культура Россия-1 ТВ Центр ТВ Центр ТВ Центр ТВ Центр Россия-24 Россия-Культура Россия-Культура Россия-1 Россия-Культура Россия-Культура Россия-Культура 
dataset/Dataset/data/8839000/table_0|1|45|канал|MBC MBC 
dataset/Dataset/data/4726176/table_1|3|45|канал|SBS SBS SBS SBS MBC KBS1 KBS1 KBS2 MBC SBS SBS MBC MBC FTV SBS KBS2 tvN FTV / GTV SBS SBS SBS tvN 
