table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1003382/table_1|2|46|категория|Лучшая мужская роль второго плана Лучшая мужская роль Лучшая мужская роль Лучшая мужская роль в комедии или мюзикле Лучшая мужская роль в комедии или мюзикле Лучшая мужская роль в комедии или мюзикле Лучшая мужская роль в комедии или мюзикле Лучшая мужская роль в комедии или мюзикле Лучшая мужская роль в комедии или мюзикле Лучшая мужская роль в комедии или мюзикле Лучшая мужская роль в комедии или мюзикле Лучшая мужская роль в мини-сериале или фильме Лучшая мужская роль Лучшая мужская роль Лучшая мужская роль Лучшая мужская роль второго плана в пьесе Лучшая мужская роль второго плана в пьесе Лучшая мужская роль в пьесе 
dataset/Dataset/data/1005010/table_1|2|46|категория|Лучшая женская роль Лучшая женская роль Лучшая женская роль второго плана в кинофильме Лучшая женская роль в драматическом телевизионном сериале Лучшая женская роль в мини-сериале или телефильме Лучшая женская роль второго плана в мини-сериале или телефильме Лучшая женская роль второго плана в мини-сериале или телефильме Лучшая женская роль Лучшая женская роль Лучшая женская роль в пьесе 
dataset/Dataset/data/1006743/table_1|2|46|категория|Лучшая женская роль в фильме (драма) Лучшая женская роль второго плана в мини-сериале или в сериале на телевидение Лучшая женская роль в драматическом сериале Лучшая женская роль второго плана в мини-сериале или в сериале на телевидение Лучшая женская роль в драматическом сериале Лучшая женская роль в драматическом сериале Лучшая женская роль в фильме (драма) Лучший актёрский состав в сериале Лучшая молодая актриса в фильме Лучшая молодая актриса в сериале Лучший актёрский состав в сериале (совместно с Джулия Уилан и Мередит Дин) Лучшая молодая актриса в фильме Лучшая молодая актриса в фильме Выбор актрисы Супер звезда Лучшая молодая актриса в мини-сериале Лучшая актриса в драматическом сериале Лучшая актриса второго плана на телевидении Выбор актрисы 
dataset/Dataset/data/1006751/table_1|2|46|категория|Лучшая женская роль в фильме (драма) Лучшая женская роль второго плана в мини-сериале или в сериале на телевидение Лучшая женская роль в драматическом сериале Лучшая женская роль второго плана в мини-сериале или в сериале на телевидение Лучшая женская роль в драматическом сериале Лучшая женская роль в драматическом сериале Лучшая женская роль в фильме (драма) Лучший актёрский состав в сериале Лучшая молодая актриса в фильме Лучшая молодая актриса в сериале Лучший актёрский состав в сериале (совместно с Джулия Уилан и Мередит Дин) Лучшая молодая актриса в фильме Лучшая молодая актриса в фильме Выбор актрисы Супер звезда Лучшая молодая актриса в мини-сериале Лучшая актриса в драматическом сериале Лучшая актриса второго плана на телевидении Выбор актрисы 
dataset/Dataset/data/1023130/table_1|2|46|категория|Лучшая молодая актриса в кинофильме: The Sybil Jason Award Лучшая молодая актриса в кинофильме Лучшая молодая актриса в крупном кинофильме Лучшая молодая актриса второго плана в кинофильме Худшая женская роль второго плана Лучшая актриса в мини-сериале или кинофильме Лучшая женская роль Лучшая актриса Bronze Wrangler Лучшая актриса второго плана в драме Лучшая актриса Лучшая актриса Лучшая актриса Звезда года Лучшая женская роль Лучшая актриса Актриса года Лучшая женская роль Лучшая женская роль Лучшая женская роль (драма) Лучшая актриса Лучшая актриса Лучшая актриса Лучшая актриса Лучшая женская роль Лучшая актриса сериала (комедия/мюзикл) Лучшая актриса в мини-сериале или кинофильме Лучшая актриса — мини-сериала или фильма на ТВ Лучшая актриса в мини-сериале или кинофильме Выдающиеся достижения в кино Лучшая женская роль в телефильме или мини-сериале Лучшая женская роль (мини-сериал или телефильм) 
dataset/Dataset/data/1023723/table_1|3|46|категория|Лучший оригинальный сценарий Лучший оригинальный сценарий Лучший фильм Лучший режиссёр Лучший адаптированный сценарий Лучший адаптированный сценарий Лучший фильм Лучший режиссёр Лучший оригинальный сценарий Лучший фильм Лучший режиссёр Лучший адаптированный сценарий Лучший оригинальный сценарий Лучший оригинальный сценарий Лучший адаптированный сценарий Лучший дебютный фильм Лучший дебютный сценарий Премия имени Роберта Олтмена Лучший фильм — драма Лучший режиссёр Лучший оригинальный сценарий Лучший режиссёр Лучший оригинальный сценарий Лучший оригинальный сценарий Лучший адаптированный сценарий Золотой медведь Berliner Morgenpost Золотой медведь Серебряный медведь за лучшую режиссёрскую работу Золотой лев Серебряный лев Приз ФИПРЕССИ Золотая камера Золотая пальмовая ветвь Лучший режиссёр Лучший иностранный фильм Лучший иностранный фильм Лучший иностранный фильм Лучший адаптированный сценарий Лучший оригинальный сценарий Лучший режиссёр Лучший фильм Лучший оригинальный сценарий Лучший оригинальный сценарий Лучший адаптированный сценарий Лучший оригинальный сценарий 
dataset/Dataset/data/1029294/table_0|5|46|категория|город город город город город город CDP город город город город город город посёлок CDP город город город CDP CDP город город малый город город CDP город город посёлок малый город CDP город посёлок CDP город город город город CDP CDP посёлок CDP малый город CDP CDP город CDP CDP CDP CDP CDP посёлок CDP CDP CDP CDP CDP CDP посёлок 
dataset/Dataset/data/1030136/table_1|3|46|категория|Лучшая мужская роль второго плана Лучший актёрский состав Лучшая мужская роль второго плана Лучший актёрский состав Лучшая мужская роль второго плана Премия имени Роберта Олтмена Лучшая мужская роль — драма Лучшая мужская роль — комедия или мюзикл Лучшая мужская роль второго плана Лучшая мужская роль второго плана Лучший актёрский состав Лучшая мужская роль второго плана Лучший актёрский состав Лучший актёрский состав Лучшая мужская роль второго плана Лучший актёрский состав 
dataset/Dataset/data/1047033/table_1|3|46|категория|Песня года Золотой диск Статуэтка «Золотого граммофона» Песня года Песня года Песня года Песня года Лучшая песня Лучший дуэт Лучшая песня Лучшая песня Альбом артиста из ближнего зарубежья 
dataset/Dataset/data/1053863/table_1|2|46|категория|Лучшая женская роль второго плана Лучшая женская роль второго плана Кубок Вольпи за лучшую женскую роль За лучший дебют актрисы Лучшая женская роль второго плана в кинофильме Лучшая женская роль второго плана в кинофильме Лучшая женская роль второго плана в мини-сериале, телесериале или телефильме Лучшая женская роль второго плана в мини-сериале или телефильме Лучшая приглашённая актриса в драматическом телесериале Лучшая приглашённая актриса в драматическом телесериале Лучшая приглашённая актриса в драматическом телесериале Лучшая женская роль в драматическом телесериале Лучшая женская роль второго плана в мини-сериале или телефильме Лучшая приглашённая актриса в драматическом телесериале Лучшая приглашённая актриса в комедийном телесериале Лучшая женская роль второго плана в кинофильме Лучшая женская роль второго плана в мини-сериале, телесериале или телефильме Худшая женская роль второго плана Лучшая женская роль второго плана в пьесе Лучшая женская роль в пьесе 
