table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6566967/table_0|1|47|класс|2G (2.5G) 2G (2.75G) 3G 3G (3.5G) 3G (3.75G) 3G (3.95G) 3G (3.5G) 3G (3.5G) 4G (4.0G) 802.11 a/b/g/n/ac 802.15.4 
dataset/Dataset/data/6983071/table_1|4|47|класс|LMP2 LMP2 LMP2 
dataset/Dataset/data/1793094/table_16|1|47|класс|B Национальный Чемпионский Абсолют 
dataset/Dataset/data/1052975/table_11|2|47|класс|РПКСН РПКСН РПКСН 
dataset/Dataset/data/1691006/table_3|2|47|класс|LMP2 LMGTE Am LMP2 LMGTE Am 
dataset/Dataset/data/785446/table_0|0|47|класс|Дальние истребители-перехватчики Ударные истребители Штурмовики Самолёты ДРЛОиУ Самолёты РЭБ Противолодочные самолёты Противолодочные вертолёты Многоцелевые вертолёты Транспортные самолёты 
dataset/Dataset/data/1353124/table_0|2|47|класс|двойка парная четвёрка парная двойка парная двойка парная одиночка одиночка одиночка одиночка одиночка одиночка двойка парная одиночка четвёрка парная одиночка четвёрка парная одиночка одиночка одиночка одиночка одиночка одиночка одиночка одиночка одиночка одиночка одиночка 
dataset/Dataset/data/3288462/table_0|2|47|класс|B2 III B1 III B0.5 IV B1.5 IV B1 II-III B1 III B1.5 III B1.5 III B2 IV-V B2 IV B2 IV B2 III + O9.5 V B0.5 V B1.5 IV 
dataset/Dataset/data/587908/table_0|3|47|класс|Класс С,2-я категория, женский Класс С-бис,2-я категория, женский Класс С-бис,1-я категория, женский Класс С-бис,1-я категория, женский Класс С-бис,1-я категория, женский Класс С,женский 
dataset/Dataset/data/2025122/table_0|2|47|класс|лёгкий лёгкий лёгкий средний тяжёлый лёгкий лёгкий средний средний тяжёлый тяжёлый тяжёлый штурмовой лёгкий лёгкий средний средний средний тяжёлый тяжёлый штурмовой лёгкий лёгкий средний средний тяжёлый штурмовой штурмовой штурмовой 
dataset/Dataset/data/8602314/table_0|0|47|класс|I II—VII 
dataset/Dataset/data/305059/table_5|2|47|класс|ДЭПЛ ДЭПЛ ДЭПЛ ДЭПЛ ДЭПЛ ДЭПЛ ДЭПЛ ДЭПЛ ДЭПЛ 
dataset/Dataset/data/3907955/table_2|1|47|класс|2G (2,5G) 2G (2,75G) 3G 3G (3,5G) 3G (3,75G) 3G (3,95G) 3G (3,5G) 3G (3,5G) 4G (4,0G) 802.11 a/b/g/n 802.15.4 
dataset/Dataset/data/7370557/table_1|4|47|класс|LW11 LW12 LW12 LW12 LW12 LW12 LW12 LW11,5 LW10,5 LW10,5 LW12 LW12 LW10,5 LW11 LW11 
dataset/Dataset/data/5178100/table_8|2|47|класс|БРЗК СРЗК СРЗК МРЗК 
dataset/Dataset/data/6201800/table_18|3|47|класс|доссор оттор долоттур ларуттур дощор йовмуннур гъудуммуннур 
dataset/Dataset/data/5178102/table_12|2|47|класс|Малый противолодочный корабль Малый противолодочный корабль Малый противолодочный корабль Малый противолодочный корабль Морской тральщик Морской тральщик Базовый тральщик Базовый тральщик 
dataset/Dataset/data/8816890/table_0|0|47|класс|Производные трифенилэтилена(торемифен, тамоксифен, кломифен) Производные бензотиофена(ралоксифен) 
dataset/Dataset/data/5785627/table_1|4|47|класс|LMP2 LMP1 
dataset/Dataset/data/6559046/table_0|2|47|класс|2 2 1 1 1 1 1 2 2 2 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 3 3 1 2 
dataset/Dataset/data/6132931/table_1|7|47|класс|НФ НФ НФ НФ 2-й НФ 2-й 2-й 1-й 1-й 
dataset/Dataset/data/51249/table_0|5|47|класс|G2V A1Vm A9II G2V+K1V K1.5IIIp A0Va G6III + G2III B8Iae F5IV-V B3Vnp M2Iab B1III A7Vn B0.5IV + B1Vn K5III M1.5Iab B1V K0IIIb A3Va B0.5III A2Ia B7Vn B2II A1V + A2V M3.5III B1.5IV 
dataset/Dataset/data/1744918/table_5|2|47|класс|250 см³ Moto2 Supersport Supersport Supersport 
dataset/Dataset/data/3225512/table_4|3|47|класс|III н/д н/д н/д н/д н/д 
dataset/Dataset/data/2673733/table_1|0|47|класс|Линкоры и линейные крейсера Авианосцы Крейсера Эсминцы и миноносцы Подводные лодки 
dataset/Dataset/data/5951759/table_3|1|47|класс|Автомобили Автомобили Автомобили Автомобили Автомобили 
dataset/Dataset/data/2565040/table_2|3|47|класс|Германии[Примеч. 9] — 1 2 3 4 4 — — — 
dataset/Dataset/data/1052975/table_12|2|47|класс|Малый противолодочный корабль Малый противолодочный корабль Малый противолодочный корабль Малый противолодочный корабль Морской тральщик Морской тральщик Базовый тральщик Базовый тральщик 
dataset/Dataset/data/184058/table_0|0|47|класс|I класс (чрезвычайно опасные) II класс (высокоопасные) III класс (умеренно опасные) IV класс (малоопасные) V класс (практически неопасные) 
dataset/Dataset/data/3194199/table_0|3|47|класс|VII VIII VIII IX XII XII XII XIII ниже табели о рангах ниже табели о рангах 
dataset/Dataset/data/2081886/table_0|0|47|класс|Инки (кечуа inka) (высшая знать — Апакуна, Сапаккуна, Авкикуна, Инкакуна) Низшая знать и освобождённые от податей Представители культа Освобождённые от податей, не являвшиеся знатью. Образование/философия Служащие Судебная власть, следствие Руна (кечуа runa) (лично свободные) Солдаты — авкак руна. Несвободные Иные категории 
dataset/Dataset/data/2499304/table_0|1|47|класс|LMP LMP LMP LMP LMP LMP LMPC LMPC LMPC LMPC LMPC LMPC GT GT GT GT GT GT GT GT GT GT GT GT GTC GTC GTC GTC GTC GTC GT GTC GTC GTC GTC 
dataset/Dataset/data/4047860/table_16|7|47|класс|#1 #3 #1 #3 #2 #1 #2 #4 #1 #2 #1 #2 #1 #2 #1 #4 #2 #4 #1 #2 #1 #2 #5 #10 #3 #2 
dataset/Dataset/data/171226/table_13|2|47|класс|Малый ракетный корабль Малый ракетный корабль Малый ракетный корабль Малый ракетный корабль 
dataset/Dataset/data/1101508/table_0|1|47|класс|DLOGTIME[en] P QP SUBEXP E[en] EXPTIME 2-EXPTIME[en] 
dataset/Dataset/data/1413262/table_8|3|47|класс|LMP LMP GT LMP900 LMP900 LMP1 LMP1 
dataset/Dataset/data/8227783/table_40|1|47|класс|I II III IV I, II III, IV 
dataset/Dataset/data/7175473/table_15|1|47|класс|Плавучая техническая база Технический танкер 
dataset/Dataset/data/171339/table_2|2|47|класс|БДК БДК БДК БДК ДКА ДКА ДКА ДКА ДКА 
dataset/Dataset/data/983232/table_5|4|47|класс|LMP1 LMP1 
dataset/Dataset/data/885113/table_0|6|47|класс|4 и более страховых выплат М М М М М М М М М М М М М М М 
dataset/Dataset/data/7415197/table_5|4|47|класс|S 1.5 S 3000 S 2.0 S 3.0 S 3.0 
dataset/Dataset/data/6863578/table_0|0|47|класс|RA RB RC RD I II III IV Va Vb VIa VIb VIc VIc VII 
dataset/Dataset/data/472808/table_0|1|47|класс|C-1 (3) C-1h (3) C-1 (3) C-1h (3) C-1 (3) C-1h (3) C-1 (3) C-1h (3) C-1h (3) C-1i (3) C-1i (3) C-1i (3) C-1i (3) 
dataset/Dataset/data/2710330/table_2|2|47|класс|БДК БДК БДК БДК ДКА ДКА ДКА ДКА ДКА 
dataset/Dataset/data/118525/table_0|4|47|класс|N-GT N-GT N-GT N-GT N-GT N-GT GT1 
dataset/Dataset/data/25422/table_0|0|47|класс|Линкоры и линейные крейсера Крейсера Эсминцы и миноносцы Подводные лодки 
dataset/Dataset/data/958317/table_0|0|47|класс|1 2 3 
dataset/Dataset/data/7535588/table_13|2|47|класс|Малый ракетный корабль Малый ракетный корабль Малый ракетный корабль Малый ракетный корабль 
dataset/Dataset/data/8730261/table_3|5|47|класс|WRC WRC WRC WRC WRC 
dataset/Dataset/data/7380488/table_1|7|47|класс|6 14 6 
dataset/Dataset/data/6201800/table_29|1|47|класс|I, II, III, IV I II III IV I II III IV I II III IV 
dataset/Dataset/data/2477230/table_0|1|47|класс|Class 6 Class 6 Class 7 Class 6 Class 7 Class 8 Class 8 Class 8 Class 8 Class 8 Class 8 Class 8 Class 8 
dataset/Dataset/data/2958353/table_1|6|47|класс|Кузнец 
dataset/Dataset/data/65662/table_8|0|47|класс|I/II склонение III склонение IV склонение 
dataset/Dataset/data/5666429/table_0|1|47|класс|Лампроитовая серия: Щелочной подотряд: Семейство ультраосновных лампроитов: Оливин-диопсидовый ультраосновной лампроит Оливин-флогопитовый ультраосновной лампроит Кимберлитовая серия: Кимберлит Оранжит Кимберлитоид 
dataset/Dataset/data/8794365/table_2|5|47|класс|WRC WRC 
dataset/Dataset/data/8462573/table_1|2|47|класс|3 ранг 3 ранг 3 ранг 3 ранг 
dataset/Dataset/data/213257/table_1|2|47|класс|R-4М R-4Ж R-6М R-6Ж R-4М R-4Ж R-6М R-6Ж R-6М R-6Ж R-4М R-4Ж R-6М R-6Ж R-6М R-6Ж R-6М R-6Ж R-6М R-6Ж R-6М R-6М R-6М R-6М 
dataset/Dataset/data/6639000/table_3|4|47|класс|4-й 4-й 4-й 3-й 4-й 3-й 2-й 1-й 4-й 4-й 4-й 1-й 4-й 4-й 4-й 3-й 4-й 4-й 4-й 3-й 4-й 2-й 1-й 4-й 2-й 4-й 2-й 4-й 3-й 3-й 4-й 3-й 3-й 3-й 4-й 
dataset/Dataset/data/4903822/table_0|1|47|класс|Альфа-адреномиметик, сосудосуживающее средство Антигистаминный препарат Антигистаминный препарат Антигистаминный препарат с седативным и анальгезирующим эффектами Антигистаминный препарат 
dataset/Dataset/data/3654887/table_1|0|47|класс|Пятый Шестой Седьмой Восьмой Девятый Десятый Одиннадцатый 
dataset/Dataset/data/6500474/table_1|3|47|класс|GT2 LMGTE Am LMGTE Am LMGTE Am 
dataset/Dataset/data/8794425/table_2|5|47|класс|WRC WRC WRC 
