table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1543455/table_0|1|48|классификация|Mammillaria albicans Mammillaria albicoma Mammillaria albiflora Mammillaria albilanata Mammillaria albilanata subsp. albilanata Mammillaria albilanata subsp. oaxacana Mammillaria albilanata subsp. reppenhagenii Mammillaria albilanata subsp. tegelbergiana Mammillaria amajacensis Mammillaria angelensis Mammillaria anniana Mammillaria armillata Mammillaria aureilanata Mammillaria backebergiana Mammillaria backebergiana subsp. backebergiana Mammillaria backebergiana subsp. ernestii Mammillaria barbata Mammillaria baumii Mammillaria beneckei Mammillaria blossfeldiana Mammillaria bocasana Mammillaria bocasana subsp. bocasana Mammillaria bocasana subsp. eschauzieri Mammillaria bocensis Mammillaria boelderliana Mammillaria bombycina Mammillaria boolii Mammillaria brachytrichion Mammillaria brandegeei Mammillaria brandegeei subsp. brandegeei Mammillaria brandegeei subsp. gabbii Mammillaria brandegeei subsp. glareosa Mammillaria brandegeei subsp. lewisiana Mammillaria canelensis Mammillaria capensis Mammillaria carmenae Mammillaria carnea Mammillaria carretii Mammillaria cerralboa Mammillaria chionocephala Mammillaria coahuilensis Mammillaria coahuilensis subsp. coahuilensis Mammillaria coahuilensis subsp. albiarmata Mammillaria columbiana Mammillaria columbiana subsp. columbiana Mammillaria columbiana subsp. yucatanensis Mammillaria compressa Mammillaria compressa subsp. compressa Mammillaria compressa subsp. centralifera Mammillaria crinita Mammillaria crucigera Mammillaria crucigera subsp. crucigera Mammillaria crucigera subsp. tlalocii Mammillaria decipiens Mammillaria decipiens subsp. decipiens Mammillaria decipiens subsp. albescens Mammillaria decipiens subsp. camptotricha Mammillaria deherdtiana Mammillaria deherdtiana subsp. deherdtiana Mammillaria deherdtiana subsp. dodsonii Mammillaria densispina Mammillaria dioica Mammillaria discolor Mammillaria discolor subsp. discolor Mammillaria discolor subsp. esperanzaensis Mammillaria dixanthocentron Mammillaria duoformis Mammillaria ekmanii Mammillaria elongata Mammillaria elongata subsp. elongata Mammillaria elongata subsp. echinaria Mammillaria eriacantha Mammillaria erythrosperma Mammillaria estebanensis Mammillaria evermanniana Mammillaria fittkaui Mammillaria flavicentra Mammillaria formosa Mammillaria formosa subsp. formosa Mammillaria formosa subsp. microthele Mammillaria formosa subsp. pseudocrucigera Mammillaria fraileana Mammillaria gasseriana Mammillaria geminispina Mammillaria geminispina subsp. geminispina Mammillaria geminispina subsp. leucocentra Mammillaria gigantea Mammillaria gigantea subsp. gigantea Mammillaria gigantea subsp. flavovirens Mammillaria glassii Mammillaria glassii subsp. glassii Mammillaria glassii subsp. ascensionis Mammillaria glochidiata Mammillaria goodridgii Mammillaria grahamii Mammillaria grusonii Mammillaria guelzowiana Mammillaria guerreronis Mammillaria guillauminiana Mammillaria haageana Mammillaria haageana subsp. haageana Mammillaria haageana subsp. acultzingensis Mammillaria haageana subsp. conspicua Mammillaria haageana subsp. elegans Mammillaria haageana subsp. san-angelensis Mammillaria haageana subsp. schmollii Mammillaria hahniana Mammillaria hahniana subsp. hahniana Mammillaria hahniana subsp. bravoae Mammillaria hahniana subsp. mendeliana Mammillaria hahniana subsp. woodsii Mammillaria halbingeri Mammillaria halei Mammillaria heidiae Mammillaria hernandezii Mammillaria herrerae Mammillaria hertrichiana Mammillaria heyderi Mammillaria heyderi subsp. heyderi Mammillaria heyderi subsp. gaumeri Mammillaria heyderi subsp. gummifera Mammillaria heyderi subsp. hemisphaerica Mammillaria heyderi subsp. macdougalii Mammillaria heyderi subsp. meiacantha Mammillaria huitzilopochtli Mammillaria huitzilopochtli subsp. huitzilopochtli Mammillaria huitzilopochtli subsp. niduliformis Mammillaria humboldtii Mammillaria hutchisoniana Mammillaria hutchisoniana subsp. hutchisoniana Mammillaria hutchisoniana subsp. louisa Mammillaria insularis Mammillaria jaliscana Mammillaria johnstonii Mammillaria karwinskiana Mammillaria karwinskiana subsp. karwinskiana Mammillaria karwinskiana subsp. beiselii Mammillaria karwinskiana subsp. collinsii Mammillaria karwinskiana subsp. nejapensis Mammillaria klissingiana Mammillaria knippeliana Mammillaria kraehenbuehlii Mammillaria lasiacantha Mammillaria lasiacantha subsp. lasiacantha Mammillaria lasiacantha subsp. egregia Mammillaria lasiacantha subsp. hyalina Mammillaria lasiacantha subsp. dasyacantha Mammillaria lasiacantha subsp. laui Mammillaria lasiacantha subsp. subducta Mammillaria lenta Mammillaria limonensis Mammillaria lindsayi Mammillaria lloydii Mammillaria longiflora Mammillaria longiflora subsp. longiflora Mammillaria longiflora subsp. stampferi Mammillaria longimamma Mammillaria luethyi Mammillaria machucae Mammillaria magallanii Mammillaria magnifies Mammillaria magnimamma Mammillaria mainiae Mammillaria mammillaris Mammillaria marcosii Mammillaria maritima Mammillaria marksiana Mammillaria mathildae Mammillaria matudae Mammillaria mazatlanensis Mammillaria mazatlanensis subsp. mazatlanensis Mammillaria mazatlanensis subsp. patonii Mammillaria melaleuca Mammillaria melanocentra Mammillaria melanocentra subsp. melanocentra Mammillaria melanocentra subsp. linaresensis Mammillaria melanocentra subsp. rubrograndis Mammillaria mercadensis Mammillaria meyranii Mammillaria microhelia Mammillaria miegiana Mammillaria mieheana Mammillaria moelleriana Mammillaria morganiana Mammillaria muehlenpfordtii Mammillaria multidigitata Mammillaria mystax Mammillaria napina Mammillaria neopalmeri Mammillaria nivosa Mammillaria nunezii Mammillaria nunezii subsp. nunezii Mammillaria nunezii subsp. bella Mammillaria orcuttii Mammillaria oteroi Mammillaria parkinsonii Mammillaria pectinifera Mammillaria peninsularis Mammillaria pennispinosa Mammillaria perbella Mammillaria perezdelarosae Mammillaria perezdelarosae subsp. perezdelarosae Mammillaria perezdelarosae subsp. andersoniana Mammillaria petrophila Mammillaria petrophila subsp. petrophila Mammillaria petrophila subsp. arida Mammillaria petrophila subsp. baxteriana Mammillaria petterssonii Mammillaria phitauiana Mammillaria picta Mammillaria picta subsp. picta Mammillaria picta subsp. viereckii Mammillaria pilispina Mammillaria plumosa Mammillaria polyedra Mammillaria polythele Mammillaria polythele subsp. polythele Mammillaria polythele subsp. durispina Mammillaria polythele subsp. obconella Mammillaria pondii Mammillaria poselgeri Mammillaria pottsii Mammillaria prolifera Mammillaria prolifera subsp. prolifera Mammillaria prolifera subsp. arachnoidea Mammillaria prolifera subsp. haitiensis Mammillaria prolifera subsp. texana Mammillaria rekoi Mammillaria rekoi subsp. rekoi Mammillaria rekoi subsp. aureispina Mammillaria rekoi subsp. leptacantha Mammillaria rhodantha Mammillaria rhodantha subsp. rhodantha Mammillaria rhodantha subsp. aureiceps Mammillaria rhodantha subsp. fera-rubra Mammillaria rhodantha subsp. mccartenii Mammillaria rhodantha subsp. mollendorffiana Mammillaria rhodantha subsp. pringlei Mammillaria rhodantha subsp. santarosensis Mammillaria roemeri Mammillaria roseoalba Mammillaria saboae Mammillaria saboae subsp. saboae Mammillaria saboae subsp. goldii Mammillaria saboae subsp. haudeana Mammillaria saboae subsp. roczekii Mammillaria sanchez-mejoradae Mammillaria sartorii Mammillaria schiedeana Mammillaria schiedeana subsp. schiedeana Mammillaria schiedeana subsp. dumetorum Mammillaria schiedeana subsp. giselae Mammillaria schumannii Mammillaria schwarzii Mammillaria scrippsiana Mammillaria sempervivi Mammillaria senilis Mammillaria setispina Mammillaria sheldonii Mammillaria solisioides Mammillaria sonorensis Mammillaria sphacelata Mammillaria sphacelata subsp. sphacelata Mammillaria sphacelata subsp. viperina Mammillaria sphaerica Mammillaria spinosissima Mammillaria spinosissima subsp. spinosissima Mammillaria spinosissima subsp. pilcayensis Mammillaria spinosissima subsp. tepoxtlana Mammillaria standleyi Mammillaria stella-de-tacubaya Mammillaria supertexta Mammillaria surculosa Mammillaria tayloriorum Mammillaria tepexicensis Mammillaria tetrancistra Mammillaria theresae Mammillaria thornberi Mammillaria thornberi subsp. thornberi Mammillaria thornberi subsp. yaquensis Mammillaria tonalensis Mammillaria uncinata Mammillaria varieaculeata Mammillaria vetula Mammillaria vetula subsp. vetula Mammillaria vetula subsp. gracilis Mammillaria voburnensis Mammillaria voburnensis subsp. voburnensis Mammillaria voburnensis subsp. eichlamii Mammillaria wagneriana Mammillaria weingartiana Mammillaria wiesingeri Mammillaria wiesingeri subsp. wiesingeri Mammillaria wiesingeri subsp. apamensis Mammillaria winterae Mammillaria winterae subsp. winterae Mammillaria winterae subsp. aramberri Mammillaria wrightii Mammillaria wrightii subsp. wilcoxii Mammillaria wrightii subsp. wrightii Mammillaria xaltianguensis Mammillaria xaltianguensis subsp. xaltianguensis Mammillaria xaltianguensis subsp. bambusiphila Mammillaria zephyranthoides Mammillaria zublerae 
dataset/Dataset/data/1543455/table_0|0|48|классификация|Подрод Dolichothele Mammillaria baumii Mammillaria carretii Mammillaria longimamma Mammillaria meulaleuca Mammillaria sphaerica Mammillaria surculosa Подрод Oehmea Mammillaria beneckei Подрод Cochemiea Секция Archiebnerella Серия Phellosperma Mammillaria barbata Mammillaria guelzowiana Mammillaria tetrancistra Mammillaria wrightii Mammillaria wrightii subsp. wrightii Mammillaria wrightii subsp. wilcoxii Серия Zephyranthoides Mammillaria zephyranthoides Mammillaria zephyranthoides subsp. heidiae Mammillaria zephyranthoides subsp. zephyranthoides Секция Cochemiea Серия Anchistracanthae Группа Grahamii Mammillaria grahamii Mammillaria mazatlanensis Mammillaria sheldonii Группа Dioica Mammillaria dioica Mammillaria angelensis Mammillaria estebanensis Mammillaria multidigitata Mammillaria neopalmeri Группа Mainiae Mammillaria albicans Mammillaria mainiae Mammillaria thornberi Mammillaria yaquensis Группа Armillata Mammillaria armillata Mammillaria capensis Mammillaria cerralboa Mammillaria hutchinsoniana Mammillaria hutchinsoniana subsp. hutchinsoniana Mammillaria hutchinsoniana subsp. louisae Mammillaria phitauiana Группа Blossfeldiana Mammillaria blossfeldiana Серия Bartschella Mammillaria boolii Mammillaria insularis Mammillaria schumanii Серия Cochemiae Mammillaria halei Mammillaria pondii Mammillaria pondii subsp. pondii Mammillaria pondii subsp. maritima Mammillaria pondii subsp. setispina Mammillaria poselgeri Секция Krainzia Серия Серия Herrerae Mammillaria albiflora Mammillaria herrerae Mammillaria humboldtii Mammillaria luethyi Mammillaria sanchez-mejoradae Серия Longiflora Группа Longiflora Mammillaria longiflora Mammillaria tepexicensis Группа Napina Mammillaria deherdtiana Mammillaria hernandezii Mammillaria napina Группа Saboae Mammillaria saboae Mammillaria theresae Секция Mamillopsis Mammillaria senilis Подрод Mammillaria Секция Cylindricothelae Серия Bombycinae Группа Bombycina Mammillaria bombycina Mammillaria jaliscana Mammillaria jaliscana subsp. jaliscana Mammillaria jaliscana subsp. zacatecasensis Mammillaria berkiana Mammillaria guillauminiana Mammillaria mercadensis Mammillaria moelleriana Mammillaria perezdelarosae Mammillaria rettigiana Mammillaria sinistrohamata Mammillaria brachytrichion Mammillaria nazasensis Mammillaria pennispinosa Mammillaria weingartiana Группа Glassii Mammillaria glassii Mammillaria glassii subsp. glassii Mammillaria glassii subsp. ascensionis Серия Lasiacanthae Группа Lasiacantha' Mammillaria gasseriana Mammillaria lasciacantha Mammillaria lasciacantha subsp. lasciacantha Mammillaria lasiacantha subsp. hyalina Mammillaria lenta Группа Schiedeana Mammillaria aureilanata Mammillaria carmenae Mammillaria lauii Mammillaria plumosa Mammillaria schiedeana Mammillaria schiedeana subsp. schiedeana Mammillaria schiedeana subsp. dumetorum Mammillaria schiedeana subsp. giselae Серия Pectiniferae Mammillaria pectinifera Mammillaria solisioides Серия Proliferae Группа Prolifera Mammillaria albicoma Mammillaria picta Mammillaria picta subsp. picta Mammillaria picta subsp. viereckii Mammillaria pilispina Mammillaria prolifera Mammillaria prolifera subsp. prolifera Mammillaria prolifera subsp. arachnoidea Mammillaria prolifera subsp. texana Mammillaria zublerae Группа Vetula Mammillaria gracilis Mammillaria vetula Серия Sphacelatae Группа Sphacelata Mammillaria kraehenbuehlii Mammillaria sphacelata Mammillaria tonalensis Mammillaria viperina Группа Группа Oteroi Mammillaria oteroi Серия Stylothelatae Группа Bocasana Mammillaria bocasana Mammillaria bocasana subsp. bocasana Mammillaria bocasana subsp. eschauzieri Mammillaria erythrosperma Группа Crinita Mammillaria anniana Mammillaria crinita Mammillaria crinita subsp. crinita Mammillaria crinita subsp. wildii Mammillaria knebeliana Mammillaria leucantha Mammillaria nana Mammillaria nana subsp. nana Mammillaria nana subsp. duwei Mammillaria pubispina Mammillaria zeilmanniana Группа Fittkauii Mammillaria fittkaui Mammillaria limonensis Mammillaria mathildae Группа Schwarzii Mammillaria schwarzii Секция Conoidothelae Серия Decipiens Mammillaria decipiens Mammillaria decipiens subsp. decipiens Mammillaria decipiens subsp. albescens Mammillaria decipiens subsp. camptotricha Серия Heterochlorae Mammillaria discolor Mammillaria wiesingeri Mammillaria wiesingeri subsp. wiesingeri Mammillaria wiesingeri subsp. apamensis Серия Leptocladodae Mammillaria densispina Mammillaria buxbaumiana Mammillaria elongata Mammillaria microhelia Mammillaria pottsii Серия Polyacanthae Mammillaria backebergiana Mammillaria duoformis Mammillaria guerreronis Mammillaria magnifica Mammillaria matudae Mammillaria meyranii Mammillaria nunezii Mammillaria rekoi Mammillaria rekoi subsp. rekoi Mammillaria rekoi subsp. aureispina Mammillaria rekoi subsp. leptacantha Mammillaria spinosissima Mammillaria xaltianguensis Mammillaria xaltianguensis subsp. xaltianguensis Mammillaria xaltianguensis subsp. bambusiphila Серия Rhodanthae Mammillaria polythele Mammillaria polythele subsp. polythele Mammillaria polythele subsp. durispina Mammillaria polythele subsp. obconella Mammillaria rhodantha Mammillaria rhodantha subsp. rhodantha Mammillaria rhodantha subsp. fera-rubra Mammillaria rhodantha subsp. mollendorffiana Mammillaria rhodantha subsp. pringlei Серия Supertextae Группа Supertexta Mammillaria albilanata Mammillaria albilanata subsp. albilanata Mammillaria albilanata subsp. oaxacana Mammillaria albilanata subsp. reppenhagenii Mammillaria albilanata subsp. tegelbergiana Mammillaria halbingeri Mammillaria columbiana Mammillaria eriacantha Mammillaria haageana Mammillaria haageana subsp. haageana Mammillaria haageana subsp. elegans Mammillaria haageana subsp. conspicua Mammillaria haageana subsp. schmollii Mammillaria supertexta Группа Crucigera Mammillaria crucigera Mammillaria crucigera subsp. crucigera Mammillaria crucigera subsp. tlalocii Mammillaria dixanthrocentron Mammillaria flavicentra Mammillaria huitzilopochtlii Секция Mammillaria Серия Leucocephalae Группа Geminispina Mammillaria geminispina Mammillaria geminispina subsp. geminispina Mammillaria geminispina subsp. leucocentra Mammillaria hahniana Mammillaria hahniana subsp. hahniana Mammillaria hahniana subsp. bravoae Mammillaria hahniana subsp. woodsii Mammillaria klissisngiana Mammillaria meuhlenpfordtii Mammillaria perbella Mammillaria pseudocrucigera Группа Parkinsonii Mammillaria chionocephala Mammillaria formosa Mammillaria formosa subsp. formosa Mammillaria formosa subsp. microthele Mammillaria parkinsonii Mammillaria sempervivi Серия Mammillaria Группа Mammillaris Mammillaria mammillaris Mammillaria nivosa Группа Magnimamma Mammillaria compressa Mammillaria compressa subsp. compressa Mammillaria compressa subsp. centralifera Mammillaria gigantea Mammillaria orcuttii Mammillaria magnimamma Mammillaria roseoalba Mammillaria melanocentra Mammillaria melanocentra subsp. melanocentra Mammillaria melanocentra subsp. rubrograndis Mammillaria petterssonii Mammillaria winterae Mammillaria winterae subsp. winterae Mammillaria winterae subsp. aramberri Mammillaria scrippsiana Mammillaria uncinata Mammillaria boelderliana Mammillaria lloydii Mammillaria wagneriana Группа Standleyi Mammillaria bocensis Mammillaria lindsayi Mammillaria marksiana Mammillaria standleyi Mammillaria canelensis Mammillaria miegiana Mammillaria sonorensis Группа Brandegeei Mammillaria brandegeei Mammillaria brandegeei subsp. brandegeei Mammillaria brandegeei subsp. lewisiana Mammillaria brandegeei subsp. glareosa Mammillaria johnstonii Mammillaria evermanniana Mammillaria peninsularis Mammillaria petrophila Mammillaria petrophila subsp. petrophila Mammillaria petrophila subsp. arida Mammillaria petrophila subsp. baxteriana Группа Heyderi Mammillaria gaumeri Mammillaria grusonii Mammillaria heyderi Mammillaria heyderi subsp. heyderi Mammillaria heyderi subsp. gummifera Mammillaria heyderi subsp. hemisphaerica Mammillaria heyderi subsp. macdougalii Mammillaria heyderi subsp. meiacantha Mammillaria pachycylindrica Mammillaria parrasensis Mammillaria zeyeriana Серия Polyedrae Mammillaria carnea Mammillaria karwinskiana Mammillaria karwinskiana subsp. karwinskiana Mammillaria karwinskiana subsp. beiselii Mammillaria karwinskiana subsp. collinsii Mammillaria karwinskiana subsp. nejapensis Mammillaria knippeliana Mammillaria mystax Mammillaria sartorii Mammillaria varieaculeata Mammillaria polyedra Mammillaria voburnensis 
dataset/Dataset/data/1690008/table_3|3|48|классификация|Генеральная Генеральная Генеральная Генеральная Генеральная Генеральная Генеральная Генеральная Генеральная 
dataset/Dataset/data/181001/table_11|1|48|классификация|Hotel Hotel Yankee-Stretch Yankee-Pod Yankee Big Nose Uniform, «X-Ray» 
dataset/Dataset/data/181001/table_3|1|48|классификация|Zulu Whiskey Quebec Romeo Foxtrot Tango Kilo Improved Kilo Kilo 
dataset/Dataset/data/181001/table_4|1|48|классификация|Whiskey Twin Cylinder Whiskey Long Bin Juliett 
dataset/Dataset/data/3422249/table_22|2|48|классификация|Якоб Фульсанг Даниэле Беннати Пабло Ластрас Сильвен Шаванель Сильвен Шаванель Сильвен Шаванель Сильвен Шаванель Хоаким Родригес Бауке Моллема Крис Фрум Брэдли Уиггинс Брэдли Уиггинс Брэдли Уиггинс Брэдли Уиггинс Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Крис Фрум 
dataset/Dataset/data/3422249/table_22|6|48|классификация|Leopard-Trek Leopard-Trek Movistar Team Team RadioShack Team RadioShack Team RadioShack Team RadioShack Team RadioShack Geox-TMC Leopard Trek Team RadioShack Team RadioShack Team RadioShack Geox-TMC Geox-TMC Geox-TMC Geox-TMC Geox-TMC Geox-TMC Geox-TMC Geox-TMC Geox-TMC 
dataset/Dataset/data/3422249/table_22|4|48|классификация|Не присуждалась Пол Мартенс Пабло Ластрас Даниэль Морено Даниэль Морено Даниэль Морено Даниэль Морено Даниэль Морено Дэниэл Мартин Дэниэл Мартин Маттео Монтагути Маттео Монтагути Давид Монкутье Давид Монкутье Давид Монкутье Давид Монкутье Давид Монкутье Давид Монкутье Давид Монкутье Давид Монкутье Давид Монкутье Давид Монкутье 
dataset/Dataset/data/3422249/table_22|5|48|классификация|Не присуждалась Хесус Росендо Пабло Ластрас Даниэль Морено Даниэль Морено Даниэль Морено Даниэль Морено Даниэль Морено Бауке Моллема Бауке Моллема Бауке Моллема Бауке Моллема Даниэль Морено Бауке Моллема Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо Хуан Хосе Кобо 
