table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1709653/table_0|0|50|книга|1 2 3 4 4 5 6 7 
dataset/Dataset/data/175932/table_0|3|50|книга|Перегруженный ковчег Гончие Бафута Три билета до Эдвенчер Под пологом пьяного леса Зоопарк в моем багаже, Гончие Бафута Земля шорохов Путь кенгурёнка Часть «Поймайте мне колобуса» Часть «Поймайте мне колобуса» — Золотые крыланы и розовые голуби — Ковчег в пути Даррелл в России — Ай-ай и я 
dataset/Dataset/data/2019470/table_1|1|50|книга|книгá книган книгалан книгам книгала книгаге книгаште книгашке книгаш 
dataset/Dataset/data/2103706/table_1|2|50|книга|24 20 19 8 6 5 3 3 3 
dataset/Dataset/data/2103706/table_1|5|50|книга|2 2 2 1 1 1 1 1 1 
dataset/Dataset/data/2358934/table_0|0|50|книга|1 2 3 4 4 5 6 7 
dataset/Dataset/data/2445528/table_0|1|50|книга|Эсмеральде 16 лет, Квазимодо 20 лет. На Эсмеральду нападает Квазимодо по приказу Клода Фролло. Эсмеральда спасает Пьера Гренгуара, но она его не любит. На свидании Эсмеральды и Феба де Шатопера, Клод Фролло подкрадывается сзади и ранит его. Когда Квазимодо приносит Эсмеральду в собор, через какое-то время его начинают осаждать бродяги, чтобы спасти цыганку. Эсмеральда боится Квазимодо, и он к ней почти не подходит. Эсмеральду повесили. Квазимодо умер от тоски, сжимая её мертвое тело. 
dataset/Dataset/data/2518667/table_0|0|50|книга|Стань диким! Огонь и лёд Бушующая стихия Рассвет Знак Трёх Тёмная река Затмение Голоса в ночи Долгое эхо Главная надежда Первая битва Время выбора Звёздная тропа 
dataset/Dataset/data/2659495/table_0|7|50|книга|Да Нет Нет Нет Да Да Да 
dataset/Dataset/data/3641742/table_0|2|50|книга|Базар, казан и дастархан Мангал Плов: кулинарное исследование 
dataset/Dataset/data/3728572/table_0|2|50|книга|ISBN 0-201-56788-1 (Vol.1) ISBN 0-201-60845-6 (Vol.2) ISBN 0-201-48345-9 ISBN 0-201-61633-5 ISBN 0-321-18578-1 ISBN 0-321-48091-0 
