table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1006619/table_17|2|54|команда|Арсенал Порту Челси Бавария 
dataset/Dataset/data/1006619/table_17|0|54|команда|Вильярреал Манчестер Юнайтед Ливерпуль Барселона 
dataset/Dataset/data/1006619/table_18|2|54|команда|Арсенал Челси 
dataset/Dataset/data/1006619/table_18|0|54|команда|Манчестер Юнайтед Барселона 
dataset/Dataset/data/1006619/table_19|2|54|команда|Барселона Ливерпуль Бавария Порту 
dataset/Dataset/data/1011181/table_3|1|54|команда|Gold Leaf Team Lotus Gold Leaf Team Lotus Gold Leaf Team Lotus Gold Leaf Team Lotus World Wide Racing John Player Team Lotus World Wide Racing John Player Team Lotus John Player Team Lotus Marlboro Team Texaco Marlboro Team Texaco Copersucar-Fittipaldi (англ.)русск. Copersucar-Fittipaldi (англ.)русск. Copersucar-Fittipaldi (англ.)русск. Fittipaldi Automotive (англ.)русск. Fittipaldi Automotive (англ.)русск. Fittipaldi Automotive (англ.)русск. Fittipaldi Automotive (англ.)русск. Skol Fittipaldi Team (англ.)русск. Skol Fittipaldi Team (англ.)русск. 
dataset/Dataset/data/1011366/table_4|1|54|команда|HW Motors HW Motors Scuderia Ambrosiana HW Motors BRM Ltd English Racing Automobiles Ltd Cooper Car Company R.R.C. Walker Racing Team R.R.C. Walker Racing Team Cooper Car Company Stirling Moss AE Moss Officine Alfieri Maserati Stirling Moss Officine Alfieri Maserati Officine Alfieri Maserati Stirling Moss Vandervell Products Officine Alfieri Maserati Vandervell Products Vandervell Products Vandervell Products R.R.C. Walker Racing Team R.R.C. Walker Racing Team R.R.C. Walker Racing Team R.R.C. Walker Racing Team Owen Racing Organisation R.R.C. Walker Racing Team R.R.C. Walker Racing Team R.R.C. Walker Racing Team R.R.C. Walker Racing Team UDT Laystall Racing Team R.R.C. Walker Racing Team R.R.C. Walker Racing Team R.R.C. Walker Racing Team UDT Laystall Racing Team 
dataset/Dataset/data/1011366/table_5|3|54|команда|Stirling Moss Jaguar Ltd Jaguar Cars Ltd Jaguar Cars Ltd Daimler-Benz AG Aston Martin Ltd Officine Alfieri Maserati David Brown Racing Dept. David Brown Racing Dept. North American Racing Team (англ.)русск. / RRC Walker Racing Team 
dataset/Dataset/data/1011366/table_6|2|54|команда|Daimler-Benz AG David Brown Racing Department Porsche KG 
dataset/Dataset/data/1012323/table_6|2|54|команда|Daimler-Benz AG David Brown Racing Department Porsche KG 
dataset/Dataset/data/1012850/table_1|0|54|команда|США Бразилия Уругвай Аргентина Мексика 
dataset/Dataset/data/1016684/table_4|0|54|команда|ЛДУ Кито 
dataset/Dataset/data/1020281/table_6|1|54|команда|Астана Иртыш Актобе Кайрат Спартак Астана-1964 Шахтёр Тобол Тараз Кызыл-жар СК Экибастузец Атырау СКИФ-Ордабасы Жетысу Ордабасы Горняк Жигер 
