table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2354826/table_0|0|55|компания|Korn Ferry Spencer Stuart Heidrick & Struggles Egon Zehnder Russell Reynolds Associates 
dataset/Dataset/data/736142/table_1|0|55|компания|ITRS Flash Roadmap 2011 ITRS Flash Roadmap 2013 SamsungSamsung 3D NAND (CTF) Micron, Intel Toshiba, Sandisk SK Hynix 
dataset/Dataset/data/627740/table_1|0|55|компания|AIA Group Ltd. China Construction Bank Corporation DBS Group Holdings Ltd Industrial and Commercial Bank of China Ltd. Ping An Insurance (Group) Company of China, Ltd. PT Bank Danamon Indonesia Tbk Standard Chartered PLC CenturyLink, Inc. Singapore Technologies Telemedia Pte Ltd. Alibaba Group Holding Ltd. Singapore Telecommunications Ltd. A.S. Watson Holdings Ltd. CapitaLand Ltd. Olam International Ltd. Ascendas-Singbridge Pte Ltd. Mandai Park Holdings Pte. Ltd. Mapletree Investments Pte Ltd. SATS Ltd. Keppel Corporation Ltd. PSA International Pte Ltd. Sembcorp Industries Ltd. Singapore Technologies Engineering Ltd. Singapore Airlines Ltd. Singapore Power Ltd. SMRT Corporation Ltd. Celltrion, Inc. Celltrion Healthcare Co., Ltd. Pavilion Energy Pte Ltd. 
dataset/Dataset/data/8075727/table_0|2|55|компания|Szegedi Közlekedési Társaság Szegedi Közlekedési Társaság Szegedi Közlekedési Társaság Berliner Verkehrsbetriebe Berliner Verkehrsbetriebe Verkehrsverbund Berlin-Brandenburg Stadtverkehrsgesellschaft Frankfurt Geraer Verkehrsbetrieb Verkehrsgesellschaft Görlitz TWSB TWSB TWSB Plauener Straßenbahn Verkehrsbetrieb Potsdam Städtische Verkehrsbetriebe Zwickau АрселорМиттал Темиртау Трамвайное управление имени И. А. Пятецкого SIA Liepājas tramvajs Tramwaje Szczecińskie Калининград-ГорТранс Калининград-ГорТранс Горэлектротранс Горэлектротранс Горэлектротранс Ижгорэлектротранс Горэлектротранс S.C. Braicar S.A. S.C. Transurb S.A. RATUC RATUC RATUC RAT OTL RAT RAT RAT ГСП «Белград» ГСП «Белград» ГСП «Белград» Львовэлектротранс Львовэлектротранс Винницкая транспортная компания ЖТТУ Запорожэлектротранс Zagrebački Električni Tramvaj Zagrebački Električni Tramvaj Tallinna Linnatransport Tallinna Linnatransport 
dataset/Dataset/data/3943547/table_1|2|55|компания|Sign Express Group Apple Computer Apple Computer Apple Computer Apple Computer 
dataset/Dataset/data/1982394/table_0|0|55|компания|Aryzta Bank of Ireland CRH C&C Group Dalata Hotel Group Datalex FBD Holdings Glanbia Green REIT Hibernia REIT Irish Continental Group Irish Residential Properties REIT Kerry Group Kingspan Group Origin Enterprises Paddy Power Permanent TSB Ryanair Smurfit Kappa Group Total Produce 
dataset/Dataset/data/377241/table_0|0|55|компания|Telefonica SA Inditex Abertis ACS Abengoa 
dataset/Dataset/data/2851561/table_3|3|55|компания|Air Serbia, Montenegro Airlines Air Serbia, Montenegro Airlines Air Serbia, Austrian Airlines Air Serbia, Swiss International Air Lines AtlasGlobal, Pegasus Airlines, Turkish Airlines Аэрофлот, Air Serbia Air Serbia, Lufthansa Aegean Airlines, Air Serbia Air Serbia, Wizz Air Lufthansa Regional, Wizzair Air Serbia, TAROM Air Serbia Air Serbia, Alitalia Air Serbia Air Serbia, Transavia Air Serbia, Wizz Air Air Serbia Air Serbia Air Serbia, Norwegian Air Shuttle, Wizz Air Etihad Airways 
dataset/Dataset/data/4088366/table_0|1|55|компания|Росатом URENCO Orano CNNC URENCO JNFL USEC: Paducah & Piketon Суммарное 
dataset/Dataset/data/2850631/table_9|2|55|компания|Origins Natural Resources Liz Claiborne Cosmetics Michael Kors Beauty Chanel 1. Престиж: Calm To Your Senses Collection, 2. Популярный: Avon Planet Spa Origins Natural Resources Calvin Klein Cosmetics Origins Shiseido Cosmetics (America) Ltd. Chanel Estée Lauder 
dataset/Dataset/data/236519/table_3|0|55|компания|BASF AG,Людвигсхафен, Германия Dow Chemical,Мидланд, США Shell Chemicals,Нидерланды/Великобритания Bayer AG,Леверкузен, Германия INEOS,Линдхёрст, Великобритания 
dataset/Dataset/data/3208609/table_3|1|55|компания|Deutsche Telekom Orange (France Télécom) Telefónica Telecom Italia Vodafone BT Group SFR Free TalkTalk Virgin Media 
