table_id|column_id|label_id|label|column_data
dataset/Dataset/data/101533/table_0|2|56|компонент|Машинерия РНК-полимеразы I[en], факторы процессинга рРНК и сборки рибосомных субъединиц Факторы сплайсинга пре-мРНК HSF1[en], HAP NPAT[en], FLASH, U7[en] мяРНП Коилин, SMN[en] PML Некодирующие РНК NEAT1/MENε/β, белки PSP1, p54nrb/NONO PTB 
dataset/Dataset/data/1419739/table_0|0|56|компонент|Дисплей Дисплей Видео Накопитель Процессор Кэш L2 Оперативная память Оперативная память Аккумулятор Встроенная веб-камера Цены на момент выхода Размеры Масса Прочее 
dataset/Dataset/data/1513801/table_5|0|56|компонент|Короткая программа Произвольная программа Общая сумма 
dataset/Dataset/data/17489/table_2|0|56|компонент|Нитросмесь[** 1] Нитроклетчатка Нитрат аммония Нитрат натрия Древесная мука Бальса Крахмал или мука Гуаровая камедь Феноловые микросферы Хлорид натрия Тальк 
dataset/Dataset/data/2018431/table_0|0|56|компонент|SiO2 Al2O3 Fe2O3 FeO MgO СаО Cr2O3 NiO MnO H2O + 105° H2O — 105° K2O + Na2O 
dataset/Dataset/data/3513790/table_0|0|56|компонент|Дисплей Дисплей Видео Накопитель Процессор Кэш L2 Оперативная память Оперативная память Аккумулятор Встроенная веб-камера Цены на момент выхода Размеры Масса Прочее 
dataset/Dataset/data/3515062/table_0|0|56|компонент|Дисплей Дисплей Видео Накопитель Процессор Кэш L2 Оперативная память Оперативная память Аккумулятор Встроенная веб-камера Цены на момент выхода Размеры Масса Прочее 
dataset/Dataset/data/3635834/table_0|0|56|компонент|Водород Метан Ацетилен Этилен Этан Пропилен Дивинил Бутены Бензол Тяжелая смола 
dataset/Dataset/data/3670584/table_0|0|56|компонент|as3compile avi2swf font2swf gif2swf jpeg2swf pdf2swf png2swf swfbbox swfc swfcombine swfdump swfextract swfrender swfstrings wav2swf 
dataset/Dataset/data/4232897/table_6|0|56|компонент|Ритм-танец Произвольный танец Общая сумма 
