table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1060455/table_0|1|59|корабль|Союз ТМ-11 
dataset/Dataset/data/1060455/table_0|4|59|корабль|Союз ТМ-10 
dataset/Dataset/data/1391171/table_0|1|59|корабль|Дискавери STS-119 Союз ТМА-04М Союз МС-06 
dataset/Dataset/data/1391171/table_0|4|59|корабль|Дискавери STS-119 Союз ТМА-04М Союз МС-06 
dataset/Dataset/data/1443681/table_0|1|59|корабль|Дискавери STS-119 Союз ТМА-04М Союз МС-06 
dataset/Dataset/data/1443681/table_0|4|59|корабль|Дискавери STS-119 Союз ТМА-04М Союз МС-06 
dataset/Dataset/data/1480775/table_1|2|59|корабль|нет данных 
dataset/Dataset/data/1520995/table_3|2|59|корабль|нет данных 
dataset/Dataset/data/156532/table_0|1|59|корабль|Douglas DC-2 Lockheed L-14 Super Electra Ли-2 Ил-14 Ли-2 Vickers Viscount Vickers Viscount Ан-24Б Ан-12БП Ил-62 Ан-24В Ил-62М Ан-24В Boeing 767 
dataset/Dataset/data/1616148/table_0|0|59|корабль|USS Bainbridge (DD-1) USS Barry (DD-2) USS Chauncey (DD-3) USS Dale (DD-4) USS Decatur (DD-5) USS Hopkins (DD-6) USS Hull (DD-7) USS Lawrence (DD-8) USS Macdonough (DD-9) USS Paul Jones (DD-10) USS Perry (DD-11) USS Preble (DD-12) USS Stewart (DD-13) 
dataset/Dataset/data/1883503/table_0|4|59|корабль|Союз ТМ-26 Индевор STS-123 
dataset/Dataset/data/1883503/table_0|1|59|корабль|Союз ТМ-27 Атлантис STS-122 
dataset/Dataset/data/1883507/table_0|4|59|корабль|Союз ТМ-26 Индевор STS-123 
dataset/Dataset/data/1883507/table_0|1|59|корабль|Союз ТМ-27 Атлантис STS-122 
dataset/Dataset/data/2057939/table_0|2|59|корабль|нет данных 
dataset/Dataset/data/2152943/table_0|2|59|корабль|нет данных 
dataset/Dataset/data/2445393/table_0|4|59|корабль|«Союз ТМА-18» «Союз ТМА-18» «Союз ТМА-18» «Союз ТМА-19» «Союз ТМА-19» «Союз ТМА-19» 
dataset/Dataset/data/2671900/table_0|3|59|корабль|нет данных 
dataset/Dataset/data/2711408/table_0|3|59|корабль|«Бельжика» «Южный крест» «Дискавери»«Морнинг» «Терра Нова» «Гаусс» «Антарктика» «Скотия» «Франция» «Нимрод» «Пуркуа Па — IV» «Кайнан-мару» «Фрам» «Терра Нова» «Дойчланд» «Аврора» «Эндьюранс»«Аврора» «Квест» 
dataset/Dataset/data/2745115/table_0|4|59|корабль|Колумбия STS-9 Дискавери STS-42 Союз ТМ-19 
dataset/Dataset/data/2745115/table_0|1|59|корабль|Колумбия STS-9 Дискавери STS-42 Союз ТМ-20 
dataset/Dataset/data/2746010/table_0|1|59|корабль|Дискавери STS-51G 
dataset/Dataset/data/2746010/table_0|4|59|корабль|Дискавери STS-51G 
dataset/Dataset/data/2749311/table_0|1|59|корабль|Челленджер STS-61A 
dataset/Dataset/data/2749311/table_0|4|59|корабль|Челленджер STS-61A 
dataset/Dataset/data/2752711/table_0|4|59|корабль|Челленджер STS-61A 
dataset/Dataset/data/2752711/table_0|1|59|корабль|Челленджер STS-61A 
dataset/Dataset/data/2842753/table_0|4|59|корабль|Союз ТМ-14 Колумбия STS-93 
dataset/Dataset/data/2842753/table_0|1|59|корабль|Союз ТМ-15 Колумбия STS-93 
dataset/Dataset/data/2915232/table_0|1|59|корабль|Союз ТМ-20 Атлантис STS-84 
dataset/Dataset/data/2915232/table_0|4|59|корабль|Союз ТМ-20 Атлантис STS-84 
dataset/Dataset/data/3101692/table_0|4|59|корабль|Союз ТМА-21 Союз ТМА-14М 
dataset/Dataset/data/3101692/table_0|1|59|корабль|Союз ТМА-21 Союз ТМА-14М 
dataset/Dataset/data/3102609/table_0|0|59|корабль|Albany (англ.)русск. Chicago Columbus (англ.)русск. 
dataset/Dataset/data/3142296/table_0|4|59|корабль|«Союз ТМА-20» «Союз ТМА-20» «Союз ТМА-20» «Союз ТМА-21» «Союз ТМА-21» «Союз ТМА-21» 
dataset/Dataset/data/3218678/table_1|3|59|корабль|нет данных 
dataset/Dataset/data/3372560/table_1|0|59|корабль|Pride of America 
dataset/Dataset/data/34312/table_4|2|59|корабль|«Союз ТМА-4» «SpaceShipOne 15P» «SpaceShipOne 16P» «SpaceShipOne 17P» «Союз ТМА-5» 
dataset/Dataset/data/34313/table_6|2|59|корабль|Индевор STS-72 «Союз ТМ-23» Колумбия STS-75 Атлантис STS-76 Индевор STS-77 Колумбия STS-78 «Союз ТМ-24» Атлантис STS-79 Колумбия STS-80 
dataset/Dataset/data/34319/table_5|2|59|корабль|«Джемини-8» «Джемини-9А» «Джемини-10» «Джемини-11» «Джемини-12» 
dataset/Dataset/data/34319/table_7|2|59|корабль|«Аполлон-7» «Союз-3» «Аполлон-8» 
dataset/Dataset/data/3450287/table_0|3|59|корабль|нет данных 
dataset/Dataset/data/3504197/table_0|3|59|корабль|нет данных 
dataset/Dataset/data/3706004/table_0|3|59|корабль|нет данных 
dataset/Dataset/data/4018991/table_2|2|59|корабль|Союз ТМА-04М «Шэньчжоу-9» Союз ТМА-05М Союз ТМА-06М Союз ТМА-07М 
dataset/Dataset/data/4064572/table_3|1|59|корабль|Ан-10А СССР-11186 Ил-18В СССР-75507 Airbus A320-100 ЕК-32009 Ту-154Б-2 RA-85572 Boeing 737-800 VQ-BJI 
dataset/Dataset/data/409538/table_0|4|59|корабль|Союз-3 
dataset/Dataset/data/409538/table_0|1|59|корабль|Союз-3 
dataset/Dataset/data/412076/table_0|1|59|корабль|Союз-7 Союз-11 
dataset/Dataset/data/412076/table_0|4|59|корабль|Союз-7 Союз-11 
dataset/Dataset/data/41213/table_0|1|59|корабль|Союз ТМА-5 
dataset/Dataset/data/41213/table_0|4|59|корабль|Союз ТМА-4 
dataset/Dataset/data/422775/table_0|1|59|корабль|Союз ТМ-24 Индевор STS-111 
dataset/Dataset/data/422775/table_0|4|59|корабль|Союз ТМ-24 Индевор STS-113 
dataset/Dataset/data/426989/table_0|4|59|корабль|Союз ТМ-2 
dataset/Dataset/data/426989/table_0|1|59|корабль|Союз ТМ-2 
dataset/Dataset/data/428545/table_0|4|59|корабль|Индевор STS-100 Союз ТМ-34 Союз ТМА-13 
dataset/Dataset/data/428545/table_0|1|59|корабль|Индевор STS-100 Союз ТМА-1 Союз ТМА-13 
dataset/Dataset/data/429608/table_0|4|59|корабль|Союз ТМ-10 Союз ТМ-16 
dataset/Dataset/data/429608/table_0|1|59|корабль|Союз ТМ-10 Союз ТМ-16 
dataset/Dataset/data/4325197/table_7|4|59|корабль|BA781 и SA201: De Havilland DH-106 Comet 1AQ 243: Boeing 737-297BA 5390: BAC 1-11 Series 528FLUA811: Boeing 747-122HCY522: Boeing 737-31S AS 261: McDonnell Douglas MD-83JAL 123: Boeing 747SR-46ASE 529: Embraer EMB-120RT BrasiliaSWR 111: McDonnell Douglas MD-11UA585: Boeing 737-291AWE 427: Boeing 737-3B7SGR517: Boeing 737-2H5 PLI 603: Boeing 757-23ACI 6: Boeing 747SP-09SU593: Airbus A310-308FSH 604: Boeing 737-3Q8TSC236: Airbus A330-243 
dataset/Dataset/data/4325202/table_6|4|59|корабль|Lockheed L-1011-385-1 TriStar Boeing 767-233 Оба McDonnell Douglas DC-10-10 Boeing 747-244B Combi Beechcraft 1900D McDonnell Douglas DC-9-31 Boeing 747-237B Boeing 757-225 Lockheed L-1011-385-1 TriStar GLO 1907: Boeing 737-8EHN600XL: Embraer EMB-135BJ Legacy 600 
dataset/Dataset/data/4325203/table_14|4|59|корабль|HS-121 Trident 1C RW706: McDonnell Douglas DC-9-31151458: McDonnell Douglas F-4B-18-MC Phantom II Saab 340B Boeing 737-222 Airbus A300B4-605R Lockheed WP-3D Orion McDonnell Douglas DC-9-15 Airbus A320-232 De Havilland Canada DHC-6-300 Airbus A380-842 OZ-214: Boeing 777-28EERAFR358: Airbus A340-313XRAA8: Lockheed L-188C ElectraAC797: McDonnell Douglas DC-9-32AWE 1549: Airbus A320-214 
dataset/Dataset/data/4325203/table_2|4|59|корабль|BAC 1-11 Series 528FL Embraer EMB-120RT Brasilia Airbus A300B2-1C BTC 2937: Ту-154МDHX 611: Boeing 757-23APF Boeing 757-223 Boeing 707-321B 
dataset/Dataset/data/4325205/table_20|4|59|корабль|Airbus A330-342 North American P-51D Mustang Saab 340B Douglas DC-8-61F Douglas DC-8-61F Airbus A310-324 Boeing 737-524 Boeing 737-505 Avro RJ85 Jetstream 41 
