table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1575418/table_12|0|60|кратер|Овидий Овнатанян Оскисон 
dataset/Dataset/data/1575418/table_22|0|60|кратер|Шевченко Шекспир Шелли Шёнберг Шер-Гил Шолом-Алейхем Шопен Шпиттелер Шуберт 
dataset/Dataset/data/1575418/table_9|0|60|кратер|Леннон Леопарди Лермонтов Ли Бо Лисипп Ли Цинчжао Лу Синь Лян Кай 
dataset/Dataset/data/1575419/table_0|0|60|кратер|Абу Нувас Айвс Аленкар Аль-Джахиз Аль-Хамадани Амарал Амру аль-Кайс Андал Анита Аполлодор Аристоксен Атже Африкан Хортон Ахмад Баба Ашвагхоша 
dataset/Dataset/data/2633604/table_0|0|60|кратер|Даг (Dag) Ина (Ina) Осама (Osama) 
dataset/Dataset/data/3166917/table_7|0|60|кратер|Йитс Йокаи 
dataset/Dataset/data/3198126/table_0|0|60|кратер|Уайльд Уайт Уатт Узо Уилкинс Уилсон Уилсон Уилсон Уильямс Уинлок Уинтроп Уйпл Укерт Улугбек Уокер Уоллес Уорнер Уотермен Уотс Усай Уэбб Уэвелл Уэллс 
dataset/Dataset/data/3265563/table_0|0|60|кратер|Загут Занстра Засядко Зееман Зейдель Зелигер Зелинский Зенгер Зенон Земмеринг Зигмонди Зидентопф Зильбершлаг Зоммерфельд Зюсс 
dataset/Dataset/data/3265571/table_0|0|60|кратер|О`Дей Оберт Обручев Озу Окен Олден Олдрин Оливье Олтер Ольберс Олькотт Ом Омар Хайям Онизука Опельт Опельт Оппенгеймер Оппольцер Орем Орлов Орлов Оронций Осама Осирис Осман Оствальд 
dataset/Dataset/data/4652497/table_17|0|60|кратер|Уитмен Ункей Устад Иса 
dataset/Dataset/data/4652497/table_5|0|60|кратер|Золя 
