table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8968381/table_2|3|61|лейбл|Elec/Niagara Niagara/Columbia CBS/Sony 
dataset/Dataset/data/6503234/table_0|3|61|лейбл|Atlantic Records 
dataset/Dataset/data/3933663/table_1|3|61|лейбл|The Island Def Jam Music Group 
dataset/Dataset/data/6166338/table_0|4|61|лейбл|Мелодия Motown Records MCA Records Morgan Creek Hollywood/Third Rail Hollywood A&M Pollen 
dataset/Dataset/data/4349872/table_1|3|61|лейбл|Shady, Aftermath, Interscope Shady, Aftermath, Interscope 
dataset/Dataset/data/4920665/table_1|3|61|лейбл|Roster Music Roster Music 
dataset/Dataset/data/5845710/table_0|2|61|лейбл|Relativity Records Relativity Records Relativity Records MCA RecordsUniversal Records MCA RecordsUniversal Records G.O.O.D.GeffenImani Entertainment G.O.O.D.GeffenImani Entertainment G.O.O.D.GeffenImani Entertainment 
dataset/Dataset/data/1761752/table_0|3|61|лейбл|FSOE Recordings 
dataset/Dataset/data/7182684/table_1|3|61|лейбл|YG Entertainment, KT Music YG Entertainment, KT Music 
dataset/Dataset/data/4609721/table_0|3|61|лейбл|78violet Music LLC 78violet Music LLC 78violet Music LLC 78violet Music LLC 
dataset/Dataset/data/6235820/table_2|3|61|лейбл|RCA (Sony Music Italy) RCA (Sony Music Italy) 
dataset/Dataset/data/670383/table_0|2|61|лейбл|Warner Brothers Records Warner Brothers Records/Machine Shop Recordings Warner Brothers Records/Machine Shop Recordings Warner Brothers Records/Machine Shop Recordings Warner Brothers Records Warner Brothers Records Warner Brothers Records/Machine Shop Recordings 
dataset/Dataset/data/8050290/table_3|3|61|лейбл|ErskineColumbia Sony Sony Sony ErskineColumbia 
dataset/Dataset/data/4303341/table_0|3|61|лейбл|Sony Music Entertainment Sony Music Entertainment Sony Music Entertainment Sony Music Entertainment Sony Music Entertainment 
dataset/Dataset/data/8117579/table_0|3|61|лейбл|Chandos, CHSA5233 Marco Polo, 8223540 Naxos, 8555579 
dataset/Dataset/data/6145718/table_0|4|61|лейбл|Мелодия Motown Records MCA Records Morgan Creek Hollywood/Third Rail Hollywood A&M Pollen 
dataset/Dataset/data/3367462/table_0|3|61|лейбл|Trio Atlantic WSM Elektra Emarcy Verve Verve Verve Verve Verve Verve DDB DDB EmArcy 
dataset/Dataset/data/3532379/table_0|2|61|лейбл|Кино General Records Moroz Records S.B.A. Records Inc. Moroz Records Konzert Agentur Michael Friedmann Moroz Records Moroz Records Moroz Records Moroz Records Moroz RecordsOnly Music Ltd Moroz RecordsOnly Music Ltd Moroz Records Moroz Records Maschina Records Maschina Records Maschina Records 
dataset/Dataset/data/8838548/table_3|2|61|лейбл|Союз, КТР КТР НБП Лаборатория Звука Фенька R’N’R/Crazy Rat, The Pauki Records, Kapkan Records 
dataset/Dataset/data/3168832/table_6|2|61|лейбл|АиБ, A-One Rec М2БА 
dataset/Dataset/data/8412547/table_1|2|61|лейбл|20th Century Polydor Arista RCA Victor Sony Classical Sony Classical Sony Classical Walt Disney Walt Disney 
dataset/Dataset/data/4302193/table_2|3|61|лейбл|Polydor Polydor Polydor Interscope Polydor Interscope Universal Music Germany Interscope 
dataset/Dataset/data/542577/table_0|2|61|лейбл|Hansa, Ariola Coconut, Music-Box, Polydor, Hansa Coconut Coconut 
dataset/Dataset/data/734075/table_3|4|61|лейбл|Silver Records Союз 
dataset/Dataset/data/2936672/table_1|2|61|лейбл|Echo Parlophone EMI Caroline EMI 
dataset/Dataset/data/5104750/table_4|3|61|лейбл|Syco Music Syco Music Syco Music Syco Music Syco Music Syco Music Syco Music Syco Music Sony Music Italy Columbia Records Syco Music Syco Music Syco Music 
dataset/Dataset/data/3718826/table_3|2|61|лейбл|Capitol Records 
dataset/Dataset/data/1820022/table_2|2|61|лейбл|Universal Japan Universal Australia Interscope A&M Interscope Interscope Interscope Interscope A&M Universal Brazil Interscope Interscope Interscope Universal Argentina 
dataset/Dataset/data/4189373/table_2|3|61|лейбл|Roton Romania Roton Romania 
dataset/Dataset/data/6081361/table_2|2|61|лейбл|Bethlehem Bethlehem Decca Decca Decca Decca Verve Decca Decca, Brunswick Kapp Columbia Columbia Columbia Columbia Columbia Atlantic Atlantic Atlantic Atlantic Atlantic Atlantic Blue Note Blue Note Concord Jazz Concord Jazz Concord Jazz Blue Music Group Great American Music Hall Concord Novus Novus 
dataset/Dataset/data/8110721/table_2|3|61|лейбл|Starship EntertainmentYuehua Entertainmentkakao M Starship EntertainmentYuehua Entertainmentkakao M 
dataset/Dataset/data/4931936/table_1|3|61|лейбл|Hummingbird Records Hummingbird Records Hummingbird Records Sugar Hill Records, Hummingbird Records Sugar Hill Records 
dataset/Dataset/data/2916232/table_0|3|61|лейбл|RCA Records Sony Music Sony Music RCA Records Sony Music Sony Music Sony Music Sony Music RCA Label Group (UK) RCA Label Group (UK) Sony Music Sony Music 
dataset/Dataset/data/8879680/table_1|3|61|лейбл|Columbia Records 
