table_id|column_id|label_id|label|column_data
dataset/Dataset/data/3455851/table_0|2|63|лига|Juniors Juniors Juniors Экстралига Juniors 1.liga Juniors Экстралига АХЛ АХЛ НХЛ АХЛ НХЛ АХЛ АХЛ НХЛ Элитная серия Элитная серия Элитная серия ЛЧ Экстралига Элитная серия КХЛ КХЛ КХЛ Всего в КХЛ Всего в НХЛ Всего в карьере 
dataset/Dataset/data/4612352/table_0|0|63|лига|(I) (II) Лига (II) 
dataset/Dataset/data/7868987/table_5|1|63|лига|класс «Б» класс «Б» класс «Б» класс «Б» класс «Б» класс «Б» класс «Б» класс «Б» класс «Б» класс «Б» класс «Б» 2-я группа класса «А» 2-я группа класса «А» 2-я группа класса «А» 2-я группа класса «А» Высшая лига Первая лига Первая лига Первая лига Первая лига Первая лига Первая лига Первая лига Первая лига Первая лига Первая лига Первая лига Вторая лига Вторая лига Вторая лига Вторая лига Первая лига Первая лига Первая лига Первая лига Первая лига Первая лига Первая лига Высшая лига 
dataset/Dataset/data/8758718/table_5|4|63|лига|24 13 10 7 7 1 3 3 0 3 
dataset/Dataset/data/411976/table_7|1|63|лига|Третья группа СССР, РСФСР, Северокавказская зона Класс «Б» СССР, зона 4 Класс «Б» СССР, Финал Тбилиси Класс «А» СССР Класс «А» СССР, 1-6 места Класс «А» СССР, 1-10 места Класс «А» СССР, 1-12 места Первая группа «А» СССР Первая группа «А» СССР Первая группа «А» СССР Первая группа «А» СССР Первая группа «А» СССР Первая группа «А» СССР Первая группа «А» СССР, 1-14 места Высшая группа «А» СССР Высшая лига СССР Высшая лига СССР Высшая лига СССР Первая лига СССР Высшая лига СССР Первая лига СССР Первая лига СССР Первая лига СССР Высшая лига СССР Высшая лига СССР Высшая лига СССР Первая лига СССР Первая лига СССР Высшая лига СССР Высшая лига СССР Первая лига СССР Первая лига СССР Первая лига СССР Первая лига СССР Вторая лига СССР, зона «Центр» Вторая низшая лига СССР, зона 4 
dataset/Dataset/data/797946/table_0|0|63|лига|(II) (E) (P) 
dataset/Dataset/data/501151/table_1|1|63|лига|ЛФЛ ЛФЛ Второй дивизион,зона «Запад» Второй дивизион,зона «Запад» Второй дивизион,зона «Запад» Второй дивизион,зона «Запад» Второй дивизион,зона «Запад» 
dataset/Dataset/data/2353713/table_0|6|63|лига|Чемпионат Молодёжной хоккейной лиги32 клубов Национальная молодёжная хоккейная лига18 клубов Первенство Высшей хоккейной лиги6 клубов Ночная хоккейная лига Урал 
dataset/Dataset/data/4579705/table_0|1|63|лига|БАА БАА НБА НБА НБА НБА НБА НБА 
dataset/Dataset/data/6567717/table_0|2|63|лига|LNH division 1 LNH division 1 LNH division 1 
dataset/Dataset/data/7110808/table_0|2|63|лига|Бундеслига Бундеслига Бундеслига Бундеслига Бундеслига Бундеслига Бундеслига Бундеслига Бундеслига Бундеслига Бундеслига 
dataset/Dataset/data/515035/table_0|2|63|лига|Бундеслига Бундеслига Бундеслига Бундеслига 
