table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6821983/table_25|0|64|локомотив|6 44 4 20 
dataset/Dataset/data/8825472/table_0|2|64|локомотив|0 8 3 9 7 3 49 1 0 
dataset/Dataset/data/3097931/table_24|0|64|локомотив|8 51 13 29 
dataset/Dataset/data/6821987/table_38|0|64|локомотив|9 51 11 26 
dataset/Dataset/data/2931483/table_6|5|64|локомотив|49:40 2:0 47:8 32:58 x 
dataset/Dataset/data/6821987/table_15|2|64|локомотив|9 41 12 38 
dataset/Dataset/data/4693649/table_16|2|64|локомотив|3 35 7 22 
dataset/Dataset/data/6821987/table_21|2|64|локомотив|4 42 12 17 
dataset/Dataset/data/3216499/table_22|2|64|локомотив|6 54 11 33 
dataset/Dataset/data/3390504/table_20|2|64|локомотив|7 47 18 28 
dataset/Dataset/data/4070716/table_31|0|64|локомотив|6 39 8 22 
dataset/Dataset/data/2829609/table_9|0|64|локомотив|10 55 19 26 
dataset/Dataset/data/6821989/table_11|2|64|локомотив|3 54 13 37 
dataset/Dataset/data/3216499/table_13|2|64|локомотив|6 34 10 25 
dataset/Dataset/data/3390504/table_3|2|64|локомотив|2 35 10 20 
dataset/Dataset/data/2829609/table_30|0|64|локомотив|8 47 11 26 
dataset/Dataset/data/6821989/table_14|2|64|локомотив|3 34 8 21 
dataset/Dataset/data/2829609/table_12|2|64|локомотив|7 23 9 14 
dataset/Dataset/data/4693649/table_17|2|64|локомотив|7 54 11 28 
dataset/Dataset/data/6821987/table_32|2|64|локомотив|8 45 17 32 
dataset/Dataset/data/7429765/table_0|1|64|локомотив|0 11 5 1 12 2 45 0 1 
