table_id|column_id|label_id|label|column_data
dataset/Dataset/data/104927/table_2|2|67|местонахождение|В Курганском авиационном музее. В Уфе установлен самолёт-памятник Ан-24Б В Слободском установлен самолёт-памятник Ан-24Б. В Коктебеле самолёт Ан-24 стоит на территории пансионата «Голубой залив». В Якутске самолёт Ан-24Б стоит на территории аэропорта «Туймаада». В Перми в сквере имени Миндовского самолёт Ан-24, переоборудован в кафе. 20 декабря 2013 установлен самолёт-памятник Ан-24РВ, на въезде к аэропорту Южно-Сахалинска. 13 июля 2014 года в Саратове около аэровокзала установлен самолёт-памятник Ан-24Б. В Нижневартовске (ХМАО) самолёт Ан-24 (макет) установлен на Аллее почёта авиации (ул. Авиаторов, ~200-300 метрах от здания аэровокзала). В авиамузее Национального аэропорта Минск установлен Ан-24РВ, Белоруссия. В Темрюке самолёт Ан-24 стоит в музее под открытым небом «Военная горка». В Лыткарино на развилке на Мячково. В селе Кушнарёнково самолёт Ан-24Б стоит на девичьей горе над рекой Белой. В Самарканде (Узбекистан) находится на территории парка отдыха «Согдиана» На трассе М-4 Дон у села Конь-Колодезь установлен Ан-24Б с надписью Аэрофлот. Самолёт частично встроен в помещение кафе так, что хвостовое оперение и задняя часть фюзеляжа как бы находится в здании. В Санкт-Петербурге, на территории военного аэродрома «Левашово» в качестве памятника установлен Ан-24Б, 1970 года выпуска. В Оренбурге в музее гражданской авиации Ан-24Б. В Jesada Technic Museum в Таиланде самолёт Ан-24Б. В Салехарде при подъезде к аэропорту установлен самолет-памятник Ан-24. В Киеве возле аэропорта Жуляны. 
dataset/Dataset/data/1052975/table_16|1|67|местонахождение|Остров Итуруп Остров Кунашир 1036-й отдельный береговой ракетно-артиллерийский дивизион (о. Сахалин) 789-й отдельный береговой ракетно-артиллерийский дивизион (о. Симушир) 574-й отдельный береговой ракетно-артиллерийский дивизион (о. Итуруп) 830-й отдельный береговой ракетно-артиллерийский дивизион (о. Сахалин) 412-й отдельный береговой артиллерийский дивизион (о. Сахалин) 97-я отдельная береговая артиллерийская батарея среднего калибра (о. Итуруп) 
dataset/Dataset/data/1057867/table_0|2|67|местонахождение|Городня, Макишин Городня, Лашуки, Макишин Выхвостов Перепись Ваганичи, Великий Листвен, Городня, Перепись, Сеньковка, Хоробичи Куликовка, Пекуровка 
dataset/Dataset/data/1057874/table_0|2|67|местонахождение|Гужовка Монастырище Иваница, Монастырище Гужовка, Дорогинка, Иваница Иржавец Гужовка, Припутни Веприк, Городня, Гужовка, Дорогинка, Ольшана 
dataset/Dataset/data/1154962/table_0|2|67|местонахождение|Монино. Центральный музей Военно-воздушных сил РФ Музейный комплекс УГМК, Верхняя Пышма, Свердловская область 
dataset/Dataset/data/124201/table_0|2|67|местонахождение|Установлен на площадке перед цехом № 5 окончательной сборки самолётов на Харьковском авиационном заводе Государственный музей авиации Украины Государственный музей авиации Украины Установлен перед въездом на прилегающую территорию Кишинёвского международного аэропорта Государственный музей авиации Украины Государственный музей дальней авиации Украины, Полтава Аллея почёта авиации в Нижневартовске (ХМАО) Установлен рядом с аэропортом в Воронеже Установлен рядом с аэропортом в городе Салехард Установлен на площади у аэропорта Худжанд В 2015 году был установлен рядом с апарт-комплексом «Лайнер» в районе Ходынского поля и использовался в качестве офиса продаж. В данный момент находится на продаже. На месте его текущей установки планируется благоустройство территории. Установлен 30 октября 2019 году при въезде на аэровокзальную площадку аэропорта «Рощино» в г. Тюмень Установлен возле аэропорта Уйташ (Махачкала) 
dataset/Dataset/data/1318552/table_0|1|67|местонахождение|На 8 километров юго-западнее Ипсуича и на 50 километров юго-западнее Брисбена. На 14 километров севернее города Ньюкасл. На 25 километров севернее от центра города Аделаида. Находится рядом с городом Катерин в Северной территории. Таунсвилл, Квинсленд Находится в городе Буллсбрук, к северу от Перта. 
dataset/Dataset/data/140622/table_2|2|67|местонахождение|испытательный участок Одавара, в настоящее время часть Токайдо-синкансэн испытательный участок Одавара Санъё-синкансэн испытательный участок Ояма, в настоящее время часть Тохоку-синкансэн Токайдо-синкансэн Дзёэцу-синкансэн Дзёэцу-синкансэн Санъё-синкансэн Санъё-синкансэн Дзёэцу-синкансэн Дзёэцу-синкансэн Токайдо-синкансэн Токайдо-синкансэн Испытательный участок Тюо-синкансэн Испытательный участок Тюо-синкансэн Испытательный участок Тюо-синкансэн Испытательный участок Тюо-синкансэн Испытательный участок Тюо-синкансэн 
dataset/Dataset/data/1582648/table_9|2|67|местонахождение|Чернигов Чернигов Чернигов Чернигов Чернигов 
dataset/Dataset/data/1674665/table_1|2|67|местонахождение|50°25′16″ с. ш. 14°55′50″ в. д.HGЯO 50°12′17″ с. ш. 16°15′28″ в. д.HGЯO 50°36′39″ с. ш. 15°37′28″ в. д.HGЯO 48°14′03″ с. ш. 16°59′16″ в. д.HGЯO 52°17′ с. ш. 8°03′ в. д.HGЯO 54°34′28″ с. ш. 36°20′40″ в. д.HGЯO 56°14′32″ с. ш. 43°53′16″ в. д.HGЯO 18°44′32″ с. ш. 73°49′07″ в. д.HGЯO 19°52′23″ с. ш. 75°29′18″ в. д.HGЯO 31°17′45″ с. ш. 121°10′40″ в. д.HGЯO 32°17′23″ с. ш. 119°12′16″ в. д.HGЯO 30°20′29″ с. ш. 121°19′26″ в. д.HGЯO 31°56′48″ с. ш. 118°47′47″ в. д.HGЯO 28°10′15″ с. ш. 113°10′35″ в. д.HGЯO 
