table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1121872/table_0|0|68|модель|Т-26 2-х баш Т-26 Т-26 Т-26 Т-26 арт Всего Т-26 Т-26 Всего Итого 
dataset/Dataset/data/6205550/table_1|0|68|модель|C 200 BlueTEC C 200 d 
dataset/Dataset/data/2942262/table_5|4|68|модель|690 Rally Replica 690 RXV 450 WR 450 F 450 WRF 690 690 660 Rally 450 WRF 690 
dataset/Dataset/data/1407704/table_0|3|68|модель|Большинство моделей ThinkPad, Space Saver II, Model M13, Model M4-1, Trackpoint IV, Trackpoint USB Keyboard Compaq TC1100, nc2400, nc4400, nc6230, nc6400, nc8430, nw8440, nw9440, & tc4400 series EliteBook 2510p, 2530p, 2540p, 2170p, 6910p, 8510p/w, 8710p/w ProBook 6450b/6455b, 6550b, 6470b/6475b, 6570b EasyNote MX45, MX65, S5 BX series, U8 series, UX series, P series, C1 series, VAIO Duo 11 B2400/2500/2600 series, P1120, P1510, P1610, U1010/U810/U50, как опция в S7110 P1620, T2010, как опция в E8410, S7210, E8310, U2010 Lifebook E751, E752, E781, S751, E743 Latitude, включая D430, D630, D830, XT, E4300, E5400, E6400, E6400 ATG, E6500 Precision, включая M2300, M2400, M4300, M4400 Inspiron 4000, 8100, 8200, 9100 Portege (исключая модели 06/2007), Tecra A7, A8, A9, M9, M2, M5, Tecra S Series, Satellite Pro 4000 Series, Satellite Pro 410 Series Travelmate C200, 6492, 6592, 6410, 6460, 6492G, 6592G, 6593 Aspire Switch 12 Iconia W500, W501 S200, S200N, S300N On-The-Stick, Mighty Mouse Pocket 1 
dataset/Dataset/data/1913949/table_0|0|68|модель|1.8 2.0 2.5 2.5 2.8 VR6 2.8 V6 
dataset/Dataset/data/1663412/table_0|3|68|модель|Voith D851.2 Voith D851.3Е Voith D851.3Е Voith D851.3Е Voith D863.3Е Voith D851.3Е Voith D854.5Е Allison-T375W Voith D864.3Е Allison-T375W 
dataset/Dataset/data/2679766/table_1|0|68|модель|Celeron P1053 
dataset/Dataset/data/6199462/table_1|0|68|модель|Mercedes-AMG C 63 Mercedes-AMG C 63 S Mercedes-AMG E 63 4MATIC+ Mercedes-AMG E 63 S 4MATIC+ 
dataset/Dataset/data/1832672/table_16|6|68|модель|4326-9 VK Trakker 4x4 T815-2 4x4 4326-9 VK 4326-9 VK 4326-9 VK T815-2 4326-9 VK 4326-9 VK 4326-9 VK TGS 480 4x4 4326-9 VK 4326-9 VK 4326-9 VK 5309RR 4326-9 VK 4326-9 VK K520 43509 4326 43269 КамАЗ-43509 КамАЗ-4326-9 КамАЗ-4326-9 43509 43509 43509 435091 6440RR 43509 
dataset/Dataset/data/973974/table_1|0|68|модель|71-605 71-608К 71-608КМ ЛМ-93 ЛМ-99К 71-619 71-623 АКСМ-62103 Всего линейных 
dataset/Dataset/data/4779923/table_0|0|68|модель|CRJ100 CRJ200 CRJ440 CRJ700 CRJ705 CRJ900 CRJ1000 Challenger 800 ИТОГО: 
dataset/Dataset/data/7915280/table_3|0|68|модель|Sauber LH10 3,5 V10 
dataset/Dataset/data/934776/table_0|0|68|модель|SCPH-1000 SCPH-1001 SCPH-1002 SCPH-1002 SCPH-1002 SCPH-3000 SCPH-3500 SCPH-5000 SCPH-5500 SCPH-5501 SCPH-5502 SCPH-5503 SCPH-5552 SCPH-5903 SCPH-7000 SCPH-7001 SCPH-7002 SCPH-7003 SCPH-7500 SCPH-7501 SCPH-7502 SCPH-7503 SCPH-9000 SCPH-9001 SCPH-9002 SCPH-9003 SCPH-100 SCPH-101 SCPH-102 SCPH-102 SCPH-103 
dataset/Dataset/data/2923280/table_0|0|68|модель|RM RML RMC RCL RMF RMA FRM 
dataset/Dataset/data/3618611/table_0|0|68|модель|ЛМ-68М3 71-623-03 71-623-03.01 
dataset/Dataset/data/1776506/table_0|0|68|модель|520i 520i 523i 523i 525i 525i 525i 528i 530i 530i 530i 535i 540i 545i 550i M5 
