table_id|column_id|label_id|label|column_data
dataset/Dataset/data/952193/table_0|2|71|муниципалитет|Апиа (Apía) Бальбоа (Balboa) Белен-де-Умбрия (Belén de Umbría) Доскебрадас (Dosquebradas) Гуатика (Guatica) Ла-Селия (La Celia) Ла-Вирхиния (La Virginia) Марселья (Marsella) Мистрато (Mistrató) Перейра (Pereira) Пуэбло-Рико (Pueblo Rico) Кинчия (Quinchía) Санта-Роса-де-Кабаль (Santa Rosa de Cabal) Сантуарио (Santuario) 
dataset/Dataset/data/8085742/table_0|1|71|муниципалитет|Варесе Бусто-Арсицио Галларате Саронно Кассано-Маньяго Традате Сомма-Ломбардо Мальнате Самарате Каронно-Пертузелла 
dataset/Dataset/data/297253/table_2|1|71|муниципалитет|Плая Пласа-де-ла-Революсьон Сентро-Абана Ла-Абана-Вьеха Регла Гавана-дель-Эсте Гуанабакоа Сан-Мигель-дель-Падрон Диес-де-Октубре Серро Марьянао Ла-Лиса Бойерос Арройо-Наранхо Которро 
dataset/Dataset/data/5445405/table_1|0|71|муниципалитет|Апиуна Аскурра Бенедиту-Нову Ботувера Бруски Дотор-Педринью Гуабируба Ильота Луис-Алвис Риу-дус-Седрус Родею всего ИТОГО 
dataset/Dataset/data/1919719/table_0|4|71|муниципалитет|Bilisht, Hoçisht, Miras, Progër, Qendër Bilisht Barmash, Çlirim, Эрсека, Leskovik, Mollas, Piskal-Novoselë, Qendër Ersekë, Qendër Leskovik Drenovë, Gorë, Korçë, Lekas, Libonik, Liqenas, Maliq, Moglicë, Mollaj, Pirg, Pojan, Qendër Bulgarec, Vithkuq, Voskop, Voskopojë, Vreshtas Buçimas, Çërravë, Dardhas, Pogradec, Proptisht, Trebinjë, Udënisht, Velçan 
dataset/Dataset/data/767273/table_0|1|71|муниципалитет|Апосоль Апулько Атолинга Бенито-Хуарес Калера Каньитас-де-Фелипе-Пескадор Консепсион-дель-Оро Куаутемок Чальчиуитес Эль-Платеадо-де-Хоакин-Амаро Эль-Сальвадор Фреснильо Хенаро-Кодина Хенераль-Энрике-Эстрада Генерал-Франсиско-Мургия Генерал-Панфило-Натера Гуадалупе Уануско Хальпа Херес-де-Гарсия-Салинас Хименес-дель-Теуль Хуан-Альдама Хучипила Лорето Луис-Мойя Масапиль Мельчор-Окампо Мескиталь-дель-Оро Мигель-Ауса Момах Монте-Эскобедо Морелос Мойяуа-де-Эстрада Ночистлан-де-Мехия Нория-де-Анхелес Охокальенте Пануко Пинос Рио-Гранде Санта-Мария-де-ла-Пас Саин-Альто Сомбререте Сустикакан Табаско Тепечитлан Тепетонго Теуль-де-Гонсалес-Ортега Тлальтенанго-де-Санчес-Роман Транкосо Тринидад-Гарсия-де-ла-Кадена Вальпараисо Ветагранде Вилья-де-Кос Вилья-Гарсия Вилья-Гонсалес-Ортега Вилья-Идальго Вильянуэва Сакатекас 
dataset/Dataset/data/758444/table_0|1|71|муниципалитет|Апосоль Апулько Атолинга Бенито-Хуарес Калера Каньитас-де-Фелипе-Пескадор Консепсион-дель-Оро Куаутемок Чальчиуитес Эль-Платеадо-де-Хоакин-Амаро Эль-Сальвадор Фреснильо Хенаро-Кодина Хенераль-Энрике-Эстрада Генерал-Франсиско-Мургия Генерал-Панфило-Натера Гуадалупе Уануско Хальпа Херес-де-Гарсия-Салинас Хименес-дель-Теуль Хуан-Альдама Хучипила Лорето Луис-Мойя Масапиль Мельчор-Окампо Мескиталь-дель-Оро Мигель-Ауса Момах Монте-Эскобедо Морелос Мойяуа-де-Эстрада Ночистлан-де-Мехия Нория-де-Анхелес Охокальенте Пануко Пинос Рио-Гранде Санта-Мария-де-ла-Пас Саин-Альто Сомбререте Сустикакан Табаско Тепечитлан Тепетонго Теуль-де-Гонсалес-Ортега Тлальтенанго-де-Санчес-Роман Транкосо Тринидад-Гарсия-де-ла-Кадена Вальпараисо Ветагранде Вилья-де-Кос Вилья-Гарсия Вилья-Гонсалес-Ортега Вилья-Идальго Вильянуэва Сакатекас 
dataset/Dataset/data/936097/table_1|2|71|муниципалитет|Аипе (Aipe) Альхесирас (Algeciras) Барайя (Baraya) Кампоалегре (Campoalegre) Коломбия (Colombia) Обо (Hobo) Икира (Íquira) Нейва (Neiva) Палермо (Palermo) Ривера (Rivera) Санта-Мария (Santa María) Тельо (Tello) Теруэль (Teruel) Вильявьеха (Villavieja) Ягуара (Yaguará) Альтамира (Altamira) Аградо (Agrado) Гарсон (Garzón) Хиганте (Gigante) Питаль (Pital) Гуадалупе (Guadalupe) Тарки (Tarqui) Суаса (Suaza) Ла-Архентина (La Argentina) Ла-Плата (La Plata) Натага (Nátaga) Пайколь (Paicol) Тесалия (Tesalia) Асеведо (Acevedo) Элиас (Elías) Иснос (Isnos) Опорапа (Oporapa) Палестина (Palestina) Питалито (Pitalito) Саладобланко (Saladoblanco) Сан-Агустин (San Agustín) Тимана (Timaná) 
dataset/Dataset/data/3705003/table_0|8|71|муниципалитет|19 (5/10) 31 (2/8) Город 36 (1/21) 15 (1/10) 26 (4/13) 29 (1/15) 16 (3/8) 29 (5/10) 14 (2/5) 20 (4/7) 15 (3/5) 36 (3/9) 287 (34/121) 
dataset/Dataset/data/935284/table_0|2|71|муниципалитет|Айяпель (Ayapel) Буэнависта (Buenavista) Каналете (Canalete) Керете (Cereté) Чима (Chimá) Чину (Chinú) Сьенага-де-Оро (Ciénaga de Oro) Которра (Cotorra) Ла-Апартада (La Apartada) Лос-Кордовас (Los Córdobas) Момиль (Momil) Моньитос (Moñitos) Монтелибано (Montelíbano) Монтерия (Montería) Планета-Рика (Planeta Rica) Пуэбла-Нуэво (Pueblo Nuevo) Пуэрто-Эскондидо (Puerto Escondido) Пуэрто-Либертадор (Puerto Libertador) Пурисима (Purísima) Сахагун (Sahagún) Сан-Андрес-де-Сотавенто (San Andrés de Sotavento) Сан-Антеро (San Antero) Сан-Бернардо-дель-Вьенто (San Bernardo del Viento) Сан-Карлос (San Carlos) Сан-Хосе-де-Уре (San José de Uré) Сан-Пелайо (San Pelayo) Санта-Крус-де-Лорика (Santa Cruz de Lorica) Тьерральта (Tierralta) Тучин (Tuchín) Валенсия (Valencia) 
