table_id|column_id|label_id|label|column_data
dataset/Dataset/data/125354/table_14|1|75|национальность|США США Великобритания США Лихтенштейн США Великобритания 
dataset/Dataset/data/125354/table_16|1|75|национальность|США Канада США США США Австрия США Франция Мексика США США Швейцария Великобритания США Бразилия США Великобритания США Великобритания Австрия США Германия Италия Великобритания Великобритания США США Великобритания США Мексика Мексика ЮАР Франция Аргентина Италия Великобритания Великобритания Швеция Финляндия Германия Бразилия США Нидерланды США США США Швейцария США США Великобритания США 
dataset/Dataset/data/125354/table_27|1|75|национальность|Германия Венгрия Италия Финляндия Австралия Италия Франция Италия Франция Германия Швеция Венесуэла Великобритания Австрия Нидерланды Индонезия Германия Венесуэла Франция Мексика Бельгия Италия Нидерланды Великобритания Бразилия Великобритания Индия Россия Великобритания Австрия Испания Япония Финляндия Польша Дания Канада Бельгия Монако Италия Швейцария Италия Великобритания Испания Швейцария Франция Япония Япония Бразилия Израиль Великобритания Франция Великобритания Франция Франция Франция Бразилия Великобритания Великобритания Австралия Испания США Мексика Бразилия Россия США Германия Италия Канада Нидерланды Германия Гонконг Малайзия Нидерланды Испания Чехия Китай Германия Индия Великобритания Япония Швейцария 
dataset/Dataset/data/125354/table_3|1|75|национальность|Германия Италия Швейцария Бельгия США Австрия Германия Франция Италия Испания Канада Канада Канада Германия Германия Германия Швеция Канада Швейцария Швейцария США Нидерланды Австрия 
dataset/Dataset/data/1255342/table_0|0|75|национальность|болгары турки греки цыгане евреи армяне другие 
dataset/Dataset/data/128307/table_23|1|75|национальность|Франция Португалия Бельгия США Аргентина ЮАР ЮАР США США Швейцария Новая Зеландия Австралия Швейцария Швейцария США Монако Франция Франция Германия Великобритания США Германия Германия Германия Австрия Германия Германия Австралия США 
dataset/Dataset/data/128307/table_6|1|75|национальность|Франция Франция Бельгия Испания Франция 
dataset/Dataset/data/128307/table_7|1|75|национальность|Германия Германия Швейцария Бразилия Швейцария 
dataset/Dataset/data/1294872/table_0|0|75|национальность|украинцы русские поляки белорусы другие национальности 
dataset/Dataset/data/1317549/table_12|3|75|национальность|КНР КНР КНР КНР КНР КНР 
dataset/Dataset/data/133623/table_0|0|75|национальность|молдаване украинцы русские гагаузы болгары румыны евреи поляки цыгане остальные Всего 
dataset/Dataset/data/139532/table_1|1|75|национальность|Украинцы Русские Белорусы Армяне Всего 
dataset/Dataset/data/1398197/table_1|0|75|национальность|Русские Карачаевцы Черкесы Абазины Ногайцы Украинцы Осетины Татары Греки Всего 
dataset/Dataset/data/1425640/table_0|0|75|национальность|русские (великороссы) русские (малороссы) карачаевцы, горские татары абазины и абхазы кабардинцы ногайцы немцы черкесы и адыгейцы другие Итого: 
dataset/Dataset/data/1427719/table_0|0|75|национальность|русские украинцы немцы другие Итого: 
dataset/Dataset/data/143633/table_1|0|75|национальность|Всё население Армяне Русские Украинцы Другие и не указавшие 
dataset/Dataset/data/147112/table_0|0|75|национальность|Всё население Армяне Русские Езиды Греки Грузины Украинцы Другие и не указавшие 
dataset/Dataset/data/155574/table_0|0|75|национальность|указали русские крымские татары украинцы татары белорусы армяне греки узбеки азербайджанцы молдаване поляки чуваши немцы болгары мордва корейцы цыгане турки таджики евреи грузины арабы другие не указали всего 
