table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1226809/table_0|0|76|область|Философия Философия Философия Философия Психология Естественные науки Естественные науки Естественные науки Естественные науки Гуманитарные науки 
dataset/Dataset/data/1226809/table_0|2|76|область|Акустика Физиология Физиология Нейрофизиология 
dataset/Dataset/data/1226809/table_0|1|76|область|Физика Биология Биология Биология 
dataset/Dataset/data/1300989/table_0|3|76|область|Тарапака Антофагаста Атакама Кокимбо Вальпараисо Либертадор-Хенераль-Бернардо-О’Хиггинс Мауле Био-Био Араукания Лос-Лагос Айсен-дель-Хенераль-Карлос-Ибаньес-дель-Кампо Магальянес-и-ла-Антарктика-Чилена Столичная область Лос-Риос Арика-и-Паринакота Ньюбле Всего 
dataset/Dataset/data/1339090/table_1|3|76|область|Север Папуа-Новой Гвинеи и Соломоновых островов Юг и Центральная Папуа-Новая Гвинея, Соломоновы острова, Северо-восточная Австралия Север Австралии Центральная Австралия (район Большой песчаной пустыни) Острова Санта-Крус, Новые Гебриды, Фиджи, Тувалу, Феникс, Самоа, Тонга, остров Новая Каледония, Восток Австралии Восток Австралии, Север Новой Зеландии Центральная и Западная Австралия Восток и Юго-Запад Австралии Юг Австралии Юг Австралии Юг Австралии Южная Австралия Южная Австралия Юг и Восток Австралии, Север Тасмании Восток Австралии и Запад Новой Зеландии Северная Тасмания и Центральная Новая Зеландия Центральная и Южная Тасмания, Южная Новая Зеландия 
dataset/Dataset/data/1339090/table_1|1|76|область|— — — — Влажный Влажный Пустынный Пустынный Средиземноморский Средиземноморский Средиземноморский Континентальный С равномерным увлажнением С равномерным увлажнением С равномерным увлажнением С равномерным увлажнением Морской 
dataset/Dataset/data/1428448/table_1|0|76|область|Стационарные установки Портативные установки Транспорт Портативные устройства 
dataset/Dataset/data/1539954/table_0|4|76|область|Харьковская  Херсонская  Хмельницкая  Черкасская  Черновицкая  Черниговская Города со специальным статусом Киев  Севастополь 
dataset/Dataset/data/1539954/table_0|2|76|область|Запорожская  Ивано-Франковская  Киевская  Кировоградская  Луганская  Львовская Автономия Автономная Республика Крым 
dataset/Dataset/data/1539954/table_0|3|76|область|Николаевская  Одесская  Полтавская  Ровненская  Сумская  Тернопольская Города со специальным статусом Киев  Севастополь 
dataset/Dataset/data/1539954/table_0|1|76|область|Винницкая  Волынская  Днепропетровская  Донецкая  Житомирская  Закарпатская Автономия Автономная Республика Крым 
dataset/Dataset/data/1608648/table_0|5|76|область|Павлодарская область Алматинская область Алматинская область Акмолинская область и Северо-Казахстанская область Карагандинская область Акмолинская область Восточно-Казахстанская область Алматинская область Южно-Казахстанская область Алматинская область Алматинская область Акмолинская область и Карагандинская область Восточно-Казахстанская область Жамбылская область Карагандинская область 
dataset/Dataset/data/1657791/table_0|5|76|область|— — — — — — 70 358 88 480 117 537 133 682 161 169 166 372 162 513 
dataset/Dataset/data/1710678/table_5|4|76|область|Запись видео стандартного разрешения (SD) Запись видео высокой чёткости (HD), включая Full HD (от 720p до 1080p/1080i) Запись видео высокой чёткости (HD), включая Full HD (от 720p до 1080p/1080i) Запись видео Full HD (1080p) и серийная съёмка в HD (шина High Speed), потоковое вещание и файлы HD-видео большого объёма (шина UHS) Запись видеофайлов с разрешением 4K c частотой 60/120 кадров в секунду (шина UHS) Запись видеофайлов с разрешением 8K c частотой 60/120 кадров в секунду (шина UHS) Запись видеофайлов с разрешением 8K c частотой 60/120 кадров в секунду (шина UHS) 
dataset/Dataset/data/1731146/table_0|5|76|область|Берат Дибра Влёра Гирокастра Эльбасан Корча Влёра Дибра Дуррес Тирана Корча Корча Дуррес Кукес Лежа Берат Лежа Эльбасан Фиери Фиери Шкодер Дибра Лежа Эльбасан Гирокастра Корча Шкодер Влёра Берат Гирокастра Тирана Кукес Фиери Кукес Шкодер Эльбасан 
dataset/Dataset/data/17588/table_0|0|76|область|Автономная область немцев Поволжья Удмуртская (до 01.01.1932 — Вотская) Марийская Бурят-Монгольская Монголо-Бурятская Кабардинская Калмыцкая Коми (Зырян) Карачаево-Черкесская Юго-Осетинская Горно-Алтайская (до 1932 — Ойратская, до 1948 — Ойротская) Адыгейская (до 24.08.1922 — Черкесская (Адыгейская), до 13.08.1928 — Адыгейская (Черкесская) Нагорно-Карабахская Северо-Осетинская Ингушская Горно-Бадахшанская Кара-Калпакская Мордовская Хакасская Еврейская Тувинская 
dataset/Dataset/data/1841311/table_0|0|76|область|Иркутская Нерчинская Охотская Якутская 
