table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2100822/table_0|1|78|опера|«Медея» «Клеопатра» «Телефон или Любовь втроём» «Так поступают все» «Дон Жуан» «Турандот» «Джанни Скикки» «Вестсайдская история» 
dataset/Dataset/data/6304889/table_0|2|78|опера|«Семела» «Федора» «Свадьба Фигаро» «Семела» «Илия» «Детство Христа» «Проклятие Фауста» «Сотворение мира» «Богема» «Свадьба Фигаро» «Три сестры» «Сомнамбула» «Дон Жуан» «Богема» «Коронация Поппеи» «Пульчинелла» «Коронация Поппеи» «Дон Жуан» «Семирамида» «Аида» «Коронация Поппеи» «Реквием (Верди)» «Луиза Миллер» «Норма» «Волшебная флейта» «Три сестры» «Волшебная флейта» «Три сестры» «Волшебная флейта» «Ариодант» «Ромео и Джульетта» «Граф Ори» «Норма» «Ариодант» «Три сестры» «Ромео и Джульетта» «Дон Жуан» «Дон Жуан» «Кармен» «Юлий Цезарь в Египте» «Магомет II» «Царь Эдип» «Магомет II» «Царская невеста» «Царская невеста» «Богема» «Итальянка в Алжире» «Турандот» «Турок в Италии» «Итальянка в Алжире» «Ромео и Джульетта» «Анна Болейн» «Дон Жуан» «Мазепа» «Ариодант» «Реквием (Моцарт)» «Путешествие в Реймс» «Дон Жуан» «Дон Жуан» «Ромео и Джульетта» «Пуритане» «Свадьба Фигаро» «Фауст» «Искатели жемчуга» «Ромео и Джульетта» «Богема» «Симфония № 8 (Густав Малер)» «Симфония № 8 (Густав Малер)» «Орландо» «Соловей» «Песнь о лесах» «Богема» «Лючия ди Ламмермур» «Волшебная флейта» «Дон Жуан» «Богема» «Отелло» «Кармен» «Симфония № 8 (Густав Малер)» «Евгений Онегин» «Моцарт и Сальери» «Реквием (Моцарт)» «Иван Грозный» «Колокола (Рахманинов)» «Ромео и Джульетта» «Соловей» «Симфония № 8 (Густав Малер)» «Богема» «Симфония № 1 (Эрнест Блох)» «Летучий голландец» «Реквием (Верди)» «Mina de Oro» «Оратория „Хаггада“ (Пауль Дессау)» «Реквием (Верди)» «Севильский цирюльник» «Мефистофель» «Семела» «Дон Жуан» «Аида» «Севильский цирюльник» Сольный концерт «Коронация Поппеи» «Моцарт и Сальери» Гала-концерт «Волшебная флейта» «Свадьба Фигаро» «Дон Жуан» «Бабий Яр» «Лючия ди Ламмермур» «Милосердие Тита» «Так поступают все женщины» «Свадьба Фигаро» «Риголетто» «Ацис, Галатея, Полифем» «Онегин» «Манон» «Фолшебная флейта» «Трубадур» «Волшебная флейта» «Осуждение Фауста» «Дон Жуан» «Риголетто» 
dataset/Dataset/data/6333139/table_0|0|78|опера|«Любовный напиток», Г. Доницетти «Лючия ди Ламмермур», Г.Доницетти «Фауст», Ш.Гуно «Небо моей любви», М.Бафоев «Царская невеста», Н.Римский-Корсаков «Сельская честь», П.Масканьи «Иоланта», П.Чайковский «Садокат», Р.Абдуллаев «Алеко», С.Рахманинов «Проделки Майсары», С.Юдаков «Тахир и Зухра», Т. Джалилов и Б. Бровцын «Искатели жемчуга», Ж.Бизе «Кармен», Ж.Бизе «ХАМСА», М.Бафоев «Трубадур», Дж. Верди «Аида», Дж. Верди «Богема», Дж. Пуччини «Демон», А.Рубинштейн «Травиата», Дж. Верди «Севильский цирюльник», Дж. Россини «Флория Тоска», Дж. Пуччини 
dataset/Dataset/data/6502960/table_1|2|78|опера|лучшая работа режиссёра – – Юрий Александров Дмитрий Бертман – – Георгий Исаакян – – Александр Титель и Игорь Ясулович Юрий Кочнев 
dataset/Dataset/data/6502960/table_1|1|78|опера|лучший спектакль – – – – – Юрий Кочнев 
dataset/Dataset/data/6502960/table_1|4|78|опера|лучшая мужская роль – Марат Гареев (Ленский) – – – Геннадий Беззубенков (Гурнеманц)•Николай Путилин (Клингзор) – Эдем Умеров (Риголетто) – – Юрий Кочнев 
dataset/Dataset/data/6502960/table_1|5|78|опера|лучшая работа дирижёра – Евгений Колобов – – Юрий Кочнев Валерий Гергиев Вадим Мюнстер – – – Юрий Кочнев 
dataset/Dataset/data/6502960/table_1|3|78|опера|лучшая женская роль Елена Зайцева (Ганна Главари) – – Наталья Загоринская (Кармен) – – – – Лилия Амарфий (Мария) – Юрий Кочнев 
dataset/Dataset/data/6502960/table_1|0|78|опера|Спектакль/номинации «Веселая вдова»Театр «Московская оперетта», Москва «Евгений Онегин»Театр «Новая опера», Москва «Игроки 1942»Театр «Санкт-Петербург Опера», Санкт-Петербург «Кармен»Театр «Геликон-опера», Москва «Леди Макбет Мценского уезда»Театр оперы и балета, Саратов «Парсифаль»Мариинский театр, Санкт-Петербург «Пиковая дама»Театр оперы и балета, Пермь «Риголетто»Театр «Санкт-Петербург Опера», Санкт-Петербург «Римская идиллия»Театр оперетты, Москва «Свадьба Фигаро»Музыкальный театр имени К. С. Станиславского и Вл. И. Немировича-Данченко, Москва Специальная премия жюри 
dataset/Dataset/data/6502981/table_1|2|78|опера|лучшая работа режиссёра Юрий Александров Георгий Исаакян Борис Покровский – Александр Титель 
dataset/Dataset/data/6502981/table_1|1|78|опера|лучший спектакль 
dataset/Dataset/data/6502981/table_1|0|78|опера|Спектакль/номинации «Борис Годунов»Театр «Санкт-Петербург Опера» и Эрмитаж, Санкт-Петербург «Дон Паскуале»Театр оперы и балета, Пермь «Плоды просвещения»Камерный музыкальный театр имени Б. А. Покровского, Москва «Травиата»Театр оперы и балета, Воронеж «Эрнани»Музыкальный театр имени К. С. Станиславского и Вл. И. Немировича-Данченко, Москва 
dataset/Dataset/data/6502981/table_1|5|78|опера|лучшая работа художника-постановщика – – – Юрий Устинов Владимир Арефьев 
dataset/Dataset/data/6502981/table_1|3|78|опера|лучшая женская роль – Татьяна Куинджи (Норина) – Елена Петриченко (Виолетта) – 
dataset/Dataset/data/6502981/table_1|4|78|опера|лучшая мужская роль Сергей Лядов (Шуйский) Анзор Шомахия (Дон Паскуале) – Юрий Лексеев (Альфред) – 
dataset/Dataset/data/6507156/table_0|2|78|опера|«Война и мир», Сергей Прокофьев «Соловей», Игорь Стравинский «Дон Жуан», В. А. Моцарт 
