table_id|column_id|label_id|label|column_data
dataset/Dataset/data/3644385/table_0|6|79|оператор|Да Да Да Да 
dataset/Dataset/data/8102504/table_0|6|79|оператор|Да Да Да Да 
dataset/Dataset/data/7033426/table_1|3|79|оператор|★ Максим Осадчий • Сергей Астахов, Юрий Клименко • Роман Васьянов ★ Павел Костомаров • Юрий Клименко • Михаил Кричман ★ Михаил Кричман • Юрий Клименко • Максим Осадчий ★ Юрий Райский • Денис Аларкон-Рамирес • Фёдор Лясс ★ Максим Осадчий • Дмитрий Грибанов ★ Владислав Опельянц • Михаил Кричман • Юрий Клименко ★ Юрий Король • Илья Авербах • Владислав Опельянц ★ Максим Осадчий • Владислав Опельянц • Александр Симонов ★ Игорь Гринякин • Алишер Хамидходжаев • Михаил Кричман ★ Игорь Гринякин • Алишер Хамидходжаев • Михаил Милашин 
dataset/Dataset/data/7033423/table_1|3|79|оператор|★ Максим Осадчий • Сергей Астахов, Юрий Клименко • Роман Васьянов ★ Павел Костомаров • Юрий Клименко • Михаил Кричман ★ Михаил Кричман • Юрий Клименко • Максим Осадчий ★ Юрий Райский • Денис Аларкон-Рамирес • Фёдор Лясс ★ Максим Осадчий • Дмитрий Грибанов ★ Владислав Опельянц • Михаил Кричман • Юрий Клименко ★ Юрий Король • Илья Авербах • Владислав Опельянц ★ Максим Осадчий • Владислав Опельянц • Александр Симонов ★ Игорь Гринякин • Алишер Хамидходжаев • Михаил Кричман ★ Игорь Гринякин • Алишер Хамидходжаев • Михаил Милашин 
dataset/Dataset/data/6011779/table_5|2|79|оператор|Билайн, Мегафон, Мотив, МТС, Tele2 Билайн, Мегафон, Мотив, МТС, Tele2 Билайн, Мегафон, Мотив, МТС, Tele2 Билайн, Мегафон, МТС, Tele2 Билайн, Мегафон, Мотив, МТС, Tele2 
dataset/Dataset/data/4258998/table_29|8|79|оператор|Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом Росэнергоатом 
dataset/Dataset/data/3486820/table_30|8|79|оператор|Nuclearelectrica Nuclearelectrica 
dataset/Dataset/data/4324955/table_7|1|79|оператор|":: ++ -- ()  . -> typeid() const_cast dynamic_cast reinterpret_cast static_cast ++ -- + - ! ~ (type) * & sizeof new, new delete, delete .* ->* * / % + - << >> < <= > >= == != & ^ "" && "" ?: = += -= *= /= %= <<= >>= &= "" ^= throw , "
dataset/Dataset/data/7233172/table_0|5|79|оператор|Disney Channels Worldwide The Walt Disney Company Latin America – Media Networks Disney Channels (Benelux) B.V.  Disney Disney 
dataset/Dataset/data/102305/table_0|1|79|оператор|- - Чарльз Дебельвью - Вилли Дрисколл - 
dataset/Dataset/data/5990981/table_0|3|79|оператор|Игорь Щербаков Владимир Шкляревский Юрий Барсук Ярослав Пилунский Алексей Цвелодуб Ярослав Пилунский Владимир Шкляревский Ярослав Пилунский Дмитрий Перетрутов Виген Вартанов Денис Лущик Олена Чеховська Евгений Креденцер Андрей Евстратенко Юрий Барсук Юрий Барсук Арсен Маклозян Юрий Король Ярослав Пилунский Игорь Щербаков Юрий Барсук Ярослав Пилунский Павел Владимирский Ярослав Пилунский Арсен Маклозян Алексей Хорошко Василий Сикачинский Василий Сикачинский Василий Сикачинский Игорь Щербаков Андрей Слободян Андрей Слободян Алексей Степанов Игорь Щербаков Арсен Маклозян Игорь Щербаков, Василий Сикачинский Ярослав Пилунский Павел Владимирский Алексей Степанов Алексей Степанов Ярослав Пилунский Юрий Барсук Алексей Степанов Игорь Щербаков Майкл Гобел, Анатолий Лапшов, Сергей Тартышников Игорь Щербаков Владимир Шкляревский Владимир Шкляревский Энди Хорнер Сальвадор Ллео Де Ла Фе Сальвадор Ллео Де Ла Фе Владимир Шкляревский Владимир Шкляревский Андрей Слободян, Игорь Щербаков, Василий Сикачинский Владимир Шкляревский Владимир Шкляревский Владимир Шкляревский Василий Сикачинский Игорь Щербаков Василий Сикачинский Юрий Барсук Игорь Щербаков Ярослав Пилунский Павел Владимирский Павел Владимирский Андрей Слободян 
dataset/Dataset/data/3486820/table_26|8|79|оператор|EPZ 
dataset/Dataset/data/8607114/table_0|2|79|оператор|Оператор энергии 
dataset/Dataset/data/7138849/table_4|1|79|оператор|Auckland DHB / Pioneer Generation TrustPower Nova Energy Wellington MED Alinta Energy Genesis Energy Genesis Energy Genesis Energy Vector / Bay of Plenty Energy Tasman Pulp and Paper Auckland Harbour Board Genesis Energy Todd Energy ECNZ ECNZ Todd Energy Todd Energy ECNZ Contact Energy Contact Energy Contact Energy Palmerston North MED Orion New Zealand Mercury Energy Marlborough Lines Contact Energy Contact Energy Genesis Energy Contact Energy Capital & Coast DHB / Vector / Meridian Energy Todd Energy Contact Energy 
dataset/Dataset/data/6958140/table_4|6|79|оператор|Дуглас Слокомб Дуглас Слокомб Дуглас Слокомб Януш Каминский Фидон Папамайкл 
dataset/Dataset/data/1122781/table_1|6|79|оператор|Да Да Да Да Да Да 
dataset/Dataset/data/7140343/table_2|1|79|оператор|Westpower Southern Generation Mercury Energy Mercury TrustPower TrustPower Mercury Meridian Energy Meridian Energy MainPower Contact TrustPower TrustPower TrustPower TrustPower TrustPower Pioneer Generation TrustPower Pioneer Generation TrustPower TrustPower TrustPower TrustPower Pioneer Generation TrustPower Genesis Energy TrustPower Mercury Genesis Energy Pioneer Generation TrustPower TrustPower TrustPower Meridian Energy Todd Energy Trustpower Mercury Mercury Mercury Trustpower Trustpower Pioneer Generation Trustpower TrustPower Mercury Meridian Energy Meridian Energy Meridian Energy Opuha Water / TrustPower Pioneer Generation Trustpower Trustpower Trustpower Genesis Energy Pupu Hydro Society Genesis Energy Trustpower Pioneer Generation Pioneer Generation Contact Trustpower Genesis Energy Genesis Energy Genesis Energy TrustPower Genesis Energy Trustpower Trustpower Mercury Trustpower Trustpower Trustpower Trustpower Northpower Meridian Energy Mercury Trustpower 
dataset/Dataset/data/8102506/table_0|6|79|оператор|Да Да Да Да 
dataset/Dataset/data/7165073/table_10|0|79|оператор|prp=p - - - w=w2=w2,1rw=w vrv=v g3rg3=g3 s3rs3=s3 w3,1rw3,1=w3,1 w3=w3,2rw3=w3 
dataset/Dataset/data/1399281/table_2|4|79|оператор|Казатомпром Cameco Cameco Атомредметзолото Казатомпром Атомредметзолото AREVA Казатомпром, AREVA Khan Resources, Атомредметзолото, Правительство Монголии Казатомпром, China Guangdong Nuclear Power Co ВостГок 
dataset/Dataset/data/3644838/table_2|3|79|оператор|Николай Маминов Владимир Карякин Владимир Карякин Крис Нонг Виктор Оскирко Владимир Карякин Владимир Карякин Владимир Карякин Владимир Карякин Евгений Мальгин Евгений Грищенко Виктор Оскирко Дмитрий Карякин, Владимир Карякин Дмитрий Карякин, Владимир Карякин Дмитрий Карякин, Владимир Карякин Дмитрий Карякин, Владимир Карякин 
dataset/Dataset/data/6973393/table_3|0|79|оператор|Роджер Дикинс Януш Каминский Джон Сил Джон Толл Эммануэль Любецки Брюно Дельбоннель Роберт Ричардсон 
dataset/Dataset/data/8102502/table_0|6|79|оператор|Да Да Да Да 
dataset/Dataset/data/8102505/table_0|6|79|оператор|Да Да Да Да 
dataset/Dataset/data/6742544/table_3|0|79|оператор|Роджер Дикинс Януш Каминский Джон Сил Джон Толл Эммануэль Любецки Брюно Дельбоннель Роберт Ричардсон 
