table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8451560/table_6|1|80|описание|Закрытая рекламная мини-игра. Рекламировала готовый завтрак известной швейцарской компании Nestlé S.A. Закрывшаяся рекламная часть серии игр Angry Birds. Реклама компании по производству чипсов Frito-Lay. Специальная, ныне закрытая, часть серии игр Angry Birds, посвященная Формуле-1. Игра продолжает идею игр с «традиционным геймплеем». Бета была открыта в конце 2011 года, релиз состоялся 25 июня 2012 года. Игра была закрыта в конце 2012 года. Закрывшаяся рекламная часть серии игр Angry Birds. Реклама команды автогонщиков Lotus. Закрытая рекламная часть серии игр Angry Birds. Реклама компании Samsung Note. Закрывшаяся рекламная игра из серии игр Angry Birds. Рекламировала испанскую сеть пиццерий Telepizza. Являлась мини-игрой, состоявшей из шести уровней, обозначенных шестью кусками пиццы. Игра была полностью на испанском языке. Закрывшаяся часть серии игр Angry Birds, реклама американской фирмы фисташек «Wonderful Pistachios». Была доступна только в браузере Google Chrome. Первые 2 уровня были обычными, а остальные 3 являлись конкурсом с ограниченным количеством попыток. Попытки можно было увеличить с помощью одноразовых промокодов на упаковках фисташек. Закрывшаяся рекламная часть серии игр Angry Birds. Рекламировала напиток Coca-Cola. Закрывшаяся специальная часть серии игр Angry Birds. Состояла из 17 уровней, каждый из которых открывался с каждым футбольным матчем команды «Philadelphia Eagles». Закрытая рекламная часть серии игр Angry Birds. Реклама сети кафе McDonald’s в Китае. Мини-игра. Состояла из восьми уровней. Специальная часть серии игр Angry Birds. Была в социальной сети Google+. Закрывшаяся рекламная часть серии игр Angry Birds. Реклама компании по производству чипсов Frito-Lay. Закрывшаяся часть серии игр Angry Birds. Состояла из двух эпизодов. Совместный проект Rovio Entertainment и японского телеканала Fuji Television. Закрывшаяся рекламная часть серии игр Angry Birds. Реклама компании ноутбуков Ultrabook фирмы Intel. Была доступна в социальной сети Facebook. Являлась мини-игрой. Состояла из 14 уровней. Закрытая часть серии игр Angry Birds. Являлась рекламой чипсов «Cheetos». Закрытая версия Angry Birds Star Wars. Была доступна только в социальной сети Facebook. Закрывшаяся специальная версия серии игр Angry Birds, доступная для игры в Интернете. Была открыта 12 мая 2011 года. Закрывшаяся в июне 2015 года рекламная игра из серии игр Angry Birds, которая рекламировала конфеты фирмы Fazer «Tyrkisk Peber Volcano». 
dataset/Dataset/data/4317932/table_1|1|80|описание|Победитель Второе место Третье место Финишировал, заработав очки Финишировал, не получив очков Финишировал, но не попал в финальную классификацию Участвовал вне зачёта, либо по отдельной классификации Не финишировал, но попал в финальную классификацию Не финишировал Не прошёл квалификацию Не прошёл предквалификацию Дисквалифицирован Исключён из протокола соревнований Участвовал только в тренировках Участвовал в квалификации, но не стартовал в гонке Травмирован или болен Отказ от участия Прибыл на соревнования, но на трассу не выезжал Был заявлен в числе участников, но не прибыл к началу соревнований Соревнования отменены Не участвовал 
dataset/Dataset/data/550293/table_2|1|80|описание|Победитель Второе место Третье место Финишировал, заработав очки Финишировал, не получив очков Финишировал, но не попал в финальную классификацию Участвовал вне зачёта, либо по отдельной классификации Не финишировал, но попал в финальную классификацию Не финишировал Не прошёл квалификацию Не прошёл предквалификацию Дисквалифицирован Исключён из протокола соревнований Участвовал только в тренировках Участвовал в квалификации, но не стартовал в гонке Травмирован или болен Отказ от участия Прибыл на соревнования, но на трассу не выезжал Был заявлен в числе участников, но не прибыл к началу соревнований Соревнования отменены Не участвовал 
dataset/Dataset/data/3427067/table_20|2|80|описание|День свадьбы выдался беспокойным. Пока Глеб доказывал будущим родственникам, что верен невесте, Софья раздумала выходить замуж и ищет причины, чтобы торжество не состоялось. А Быкова с Кисегач вообще заперли в обезьянник. Романенко с горя ушёл в запой, только жёсткие меры Быкова привели его в чувство. Полина заметила, что секс с Тимуром заметно улучшился, пришлось признаться, что он пользуется «учебными пособиями». Из Америки вернулся Левин, но терапия встретила его прохладно, лишь Купитман рад его приезду. Хотя нет, и он туда же. В больницу возвратился Фил и сразу стал навязывать Глебу свои услуги психотерапевта. Левин боится, как бы коллеги не узнали, что он вернулся не по своей воле. У Алёши появился шанс разойтись с Ритой: она идёт на свидание с бывшим. Левин с трудом наладил отношения с новым персоналом терапии, но своим дальнейшим поведением тут же всё сгубил. Охрана больницы устала гоняться за скейтбордистами. Фил обнаружил, что все вокруг в сговоре с Купитманом. Левин узнал про систему баллов и включился в борьбу за лидерство. Алёша написал Рите письмо с объяснениями, но оно попало на глаза Любе. За самовольный отпуск Лобанов сослан в бригаду скорой помощи, но Быков готов его спасти. Семёну поставлена задача от начальства: Глеб не должен напиться. Быков поспорил с Левиным, что сможет собрать народ на самую скучную лекцию и в самое неудобное время. Полина хочет узнать настоящую причину увольнения Тимура из частной клиники. У Фила и Полины выходной, день проходил в веселье, пока не пришло SMS от Тимура. Глеб положил в палату свою подружку и вместе с Лобановым чуть не свели с ума её пожилую соседку. Купитман заметил Левина с Любой и в приступе ревности подставил его перед мамой. Фил весь день прикрывает Полину, спровоцировав противостояние Быкова и Купитмана. Лобанов и Левин выясняют, кто пишет про них гадости. Люба терроризирует Алёшу по поводу их отношений с Ритой, пришлось и ей подкинуть проблем с Купитманом. Кисегач пытается получить новый кардиограф от чиновника, надо лишь правильно на него надавить. Купитман ревнует Любу к Левину, осознавая, что тот во многом лучше него. Ради примирения Лобанов принёс Гене бутылку водки, вскоре всё приёмное отделение оказалось под капельницей. Быков оставил Лобанову своего ребёнка и тот до вечера ликвидировал у Ильи отставание в развитии. Рита ищет подруге отличного врача, но только не Лёшу. Фил взял себе пациента-полковника и Купитман хочет его вернуть. Быкову надоело вытаскивать по ночам из баров загулявшего Глеба и однажды он оставил его на произвол судьбы. Наутро парень исчез, Лобанов, Фил, Левин и Купитман были в ту ночь с Романенко и пытаются вспомнить, что же с ним случилось. Глеба нашёл родной отец и он намерен сам заняться дальнейшим воспитанием сына. Кисегач переночевала у бывшего, как бы не узнал об этом Быков. Фил и Полина доказывают больнице, что они не пара. Купитмана арестовали за покушение на Левина и он думает, нужна ли ему свобода. Кисегач делает всё, чтобы Быков её простил, а тот этим пользуется. Отец Романенко желает посмотреть, как сын работает в больнице. Полина согласилась арендовать квартиру у Любы, но Фил не хочет лишаться такой соседки. Глеб решает уйти работать к отцу, но оказалось, что бизнес — это большой труд. Для поднятия у Левина самооценки Полина с Любой и Ритой наняли девушку для свидания с ним, но своим поведением он настроил против себя и её, и своих благодетельниц. Левин с Алёшей учатся субординации и рабочей этике. Фил осознал, что влюблён в Полину, Семён взялся выяснить, каковы его шансы на успех. Родители Глеба подвигли сына сделать выбор между бизнесом и больницей. Романенко выбрал медицину, но Быков отказался брать его обратно в отделение. Люба помогла Рите выбрать свадебный наряд, заодно прикупила платье и себе. Левину необходимо вернуть авторитет в глазах Мальцева, а для этого необходимо отчитать Лобанова. Кисегач по совету Виктора назначила Глеба своим замом, а сама отправилась в спа-салон. Разгневанный этим назначением Быков ушёл пить, а потом и вовсе укатил на рыбалку с Купитманом, оставив Левина за старшего, в результате Алёша с Полиной пытаются найти и исправить свои «глобальные» ошибки. Левин подал докладную на Лобанова, Глеб попытался пустить всё на самотёк, но жалобы написали и на него. Фил с Полиной провели вечер под коньячок, а наутро девушка почему-то стала его избегать. Романенко-старший официально объявил Быкову, что намерен вернуть Настю. Виктор теснит Быкова по всем направлениям, даже делает предложение руки и сердца Кисегач. А тем временем Левин так всем надоел в роли и. о. завотделения, что народ начал мечтать, кто из них был бы идеальным начальником. Быков решает сдаться и удалиться в Питер, оставив свою должность Левину. Купитман засобирался следом, поэтому передал отделение Филу и предложил Любе пожениться и уехать с ним. Глеб занял место главврача (благо Кисегач подалась к Быкову) и сошёлся с приехавшей за отцом, но пожелавшей остаться Алисой. 
dataset/Dataset/data/2376836/table_1|3|80|описание|Синее знамя Синий английский кормовой флаг с 15 звездами в кольце Жёлтое знамя, Юнион Джек несёт звезду в середине и 4 звезды вокруг неё 
dataset/Dataset/data/7664445/table_1|2|80|описание|Красноармеец (тип II)[Комм 8] Красноармеец (тип II)[Комм 9] 
dataset/Dataset/data/596165/table_6|1|80|описание|Победитель Второе место Третье место Финишировал, заработав очки Финишировал, не получив очков Финишировал, но не попал в финальную классификацию Участвовал вне зачёта, либо по отдельной классификации Не финишировал, но попал в финальную классификацию Не финишировал Не прошёл квалификацию Не прошёл предквалификацию Дисквалифицирован Исключён из протокола соревнований Участвовал только в тренировках Участвовал в квалификации, но не стартовал в гонке Травмирован или болен Отказ от участия Прибыл на соревнования, но на трассу не выезжал Был заявлен в числе участников, но не прибыл к началу соревнований Соревнования отменены Не участвовал 
dataset/Dataset/data/8045902/table_4|3|80|описание|Богиня-воительница, сражающаяся с демонами, защитница богов и мирового порядка. Сигирия (что значит «львиная скала») — скальное плато, возвышающееся на 370 метров над уровнем моря и около 170 метров над окружающей равниной в самом центре острова Шри-Ланка. С 1982 г. Сигирия состоит под охраной ЮНЕСКО как памятник Всемирного наследия. Этому зубу издавна приписывалась волшебная сила: владеющий им, обладал и всей полнотой власти. Поэтому зуб Будды стал владением королевской династии. Примерно в 540 году до новой эры умершего Будду кремировали и из костра достали четыре зуба, которые развезли по всему миру. Индуистский храм в городе Мадурай на территории индийского штата Тамилнад. Назван в честь трёхгрудой богини Минакши, одной из супруг бога Шивы. Храм Минакши находится в самом центре города, и здесь проходят многочисленные праздники и ритуалы для жителей города. Храм имеет 258 метров в ширину и 223 метра в длину. Высота — 51,9 метров. Обсерватория, построенная в 1727—1734 гг. раджпутским махараджей Савай Джай Сингхом в основанном им незадолго до этого городе Джайпуре. Это самая большая и сохранная из пяти обсерваторий, построенных им в Индии. Инструменты для измерений отличались колоссальными габаритами. Так, солнечные часы Джантар-Мантара считаются самыми большими в мире (27 метров в поперечнике). Мавзолей-мечеть, находящийся в Агре, Индия, на берегу реки Джамна (архитекторы, вероятно, Устад-Иса и др.). Построен по приказу потомка Тамерлана — императора Великих Моголов Шах-Джахана в память о жене Мумтаз-Махал, умершей при родах (позже здесь был похоронен и сам Шах-Джахан). 
dataset/Dataset/data/8451386/table_1|1|80|описание|Восьмая по счёту игра из серии игр Angry Birds, в жанре гонок. Девятая игра из серии игр Angry Birds, представляет собой пошаговую стратегию. Игра создана по мотивам нескольких различных версий вселенной Трансформеров и носит жанр шутера от третьего лица. Шестнадцатая игра из серии игр Angry Birds. В основе геймплея лежат классические пошаговые RPG-бои. Геймплей схож с геймплеем игры Angry Birds Action!: игрок должен оттягивать птиц и запускать их в свиней, но не по воздуху, а по земле. Является спин-оффом основной серии игр. Игроку предстоит играть на стороне свиней и строить различные хитроумные устройства и средства передвижения, чтобы добраться до яиц, фрагментов карт и других предметов. Главный персонаж игры — Росс, который помогает Королю свиней добраться до яиц. 
dataset/Dataset/data/3991184/table_9|3|80|описание|на основе количества продаж полифонических рингтонов на основе продаж мастер-рингтонов 
dataset/Dataset/data/2913439/table_2|1|80|описание|Победитель Второе место Третье место Финишировал, заработав очки Финишировал, не получив очков Финишировал, но не попал в финальную классификацию Участвовал вне зачёта, либо по отдельной классификации Не финишировал, но попал в финальную классификацию Не финишировал Не прошёл квалификацию Не прошёл предквалификацию Дисквалифицирован Исключён из протокола соревнований Участвовал только в тренировках Участвовал в квалификации, но не стартовал в гонке Травмирован или болен Отказ от участия Прибыл на соревнования, но на трассу не выезжал Был заявлен в числе участников, но не прибыл к началу соревнований Соревнования отменены Не участвовал 
dataset/Dataset/data/3421586/table_3|1|80|описание|Победитель Второе место Третье место Финишировал, заработав очки Финишировал, не получив очков Финишировал, но не попал в финальную классификацию Участвовал вне зачёта, либо по отдельной классификации Не финишировал, но попал в финальную классификацию Не финишировал Не прошёл квалификацию Не прошёл предквалификацию Дисквалифицирован Исключён из протокола соревнований Участвовал только в тренировках Участвовал в квалификации, но не стартовал в гонке Травмирован или болен Отказ от участия Прибыл на соревнования, но на трассу не выезжал Был заявлен в числе участников, но не прибыл к началу соревнований Соревнования отменены Не участвовал 
dataset/Dataset/data/1306824/table_4|1|80|описание|Победитель Второе место Третье место Финишировал, заработав очки Финишировал, не получив очков Финишировал, но не попал в финальную классификацию Участвовал вне зачёта, либо по отдельной классификации Не финишировал, но попал в финальную классификацию Не финишировал Не прошёл квалификацию Не прошёл предквалификацию Дисквалифицирован Исключён из протокола соревнований Участвовал только в тренировках Участвовал в квалификации, но не стартовал в гонке Травмирован или болен Отказ от участия Прибыл на соревнования, но на трассу не выезжал Был заявлен в числе участников, но не прибыл к началу соревнований Соревнования отменены Не участвовал 
dataset/Dataset/data/6960854/table_1|1|80|описание|Победитель Второе место Третье место Финишировал, заработав очки Финишировал, не получив очков Финишировал, но не попал в финальную классификацию Участвовал вне зачёта, либо по отдельной классификации Не финишировал, но попал в финальную классификацию Не финишировал Не прошёл квалификацию Не прошёл предквалификацию Дисквалифицирован Исключён из протокола соревнований Участвовал только в тренировках Участвовал в квалификации, но не стартовал в гонке Травмирован или болен Отказ от участия Прибыл на соревнования, но на трассу не выезжал Был заявлен в числе участников, но не прибыл к началу соревнований Соревнования отменены Не участвовал 
dataset/Dataset/data/1685768/table_2|1|80|описание|Победитель Второе место Третье место Финишировал, заработав очки Финишировал, не получив очков Финишировал, но не попал в финальную классификацию Участвовал вне зачёта, либо по отдельной классификации Не финишировал, но попал в финальную классификацию Не финишировал Не прошёл квалификацию Не прошёл предквалификацию Дисквалифицирован Исключён из протокола соревнований Участвовал только в тренировках Участвовал в квалификации, но не стартовал в гонке Травмирован или болен Отказ от участия Прибыл на соревнования, но на трассу не выезжал Был заявлен в числе участников, но не прибыл к началу соревнований Соревнования отменены Не участвовал 
