table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6149153/table_3|0|81|организация|RIAA — США 
dataset/Dataset/data/7194750/table_1|1|81|организация|American Music Awards American Music Awards American Music Awards MTV Europe Music Awards MTV Europe Music Awards MTV Video Music Awards MTV Video Music Awards MTV Video Music Awards MTV Video Music Awards Radio Disney Music Awards Teen Choice Awards Grammy Awards 
dataset/Dataset/data/1574902/table_0|1|81|организация|Хор и оркестр Всесоюзного радио Хор и оркестр филармонии Сан-Франциско Филармонический оркестр Нидерландского радио, Groot Omroepkoor, хор Мариинского театра 
dataset/Dataset/data/5386104/table_3|1|81|организация|CMT Music Awards ACM Awards CMA Awards CMT Music Awards CMA Awards CMA Awards CMA Awards CMA Awards CMA Awards CMA Awards American Country Awards CMA Awards CMA Awards CMA Awards CMA Awards CMA Awards 
dataset/Dataset/data/1254918/table_1|1|81|организация|МУП АМО «Ангарский трамвай» МУП «Трамвайное управление» МУП «Волчанский автоэлектротранспорт» МУП «Автохозяйство администрации ЗГО» МУП «Иркутскгорэлектротранс» ГУП МО «Мособлэлектротранс» МП Трест «Маггортранс» ООО «Электротранспорт» ООО «Управляющая компания городским электротранспортом» МТТП НГО Филиал № 4 МКП ГЭТ «Левобережный трамвайный» ГУП «Горэлектротранспорт» МП «Нижегородэлектротранс» МУП «НовЭлект» МП «Электрический транспорт» филиал «Трамвайное депо» МУП «ОрскгорТранс» МУП «Пермгорэлектротранс» МУП «Трамвайное управление» СМУ ТТП МУП «Саратовгорэлектротранс» ТГУ МП «Трамвайно-троллейбусное управление» МУП «Ульяновскэлектротранс» МУП «Электроавтотранс» МУП УЭТ МУП «Трамвайно-троллейбусное управление» ООО «ЧелябГЭТ» МУП «Электротранс» УКТП ВТТУ «Витебское трамвайно-троллейбусное управление» АО «Трамвайное управление» КП «Трамвай» Днепровский трамвай 
dataset/Dataset/data/1132/table_5|0|81|организация|Проект «Свобода в странах мира» Программа ООН по развитию Всемирный банк Экономист Йельский университет/Колумбийский университет Репортёры без границ Transparency International Institute for Economics & Peace Фонд за мир без войны Мировой экономический форум Экономист 
dataset/Dataset/data/7750417/table_1|1|81|организация|Ассоциация биологов европейских стран (ECBA) Европейская ассоциация образовательных исследований Европейская ассоциация по обеспечению качества высшего образования (ENQA) Международная сеть агентств по обеспечению качества высшего образования (INQAAHE) Национальный информационный центр академического признания (UK-NARIC; британский центр) 
dataset/Dataset/data/7986648/table_0|5|81|организация|WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA WTHA 
dataset/Dataset/data/7368028/table_5|2|81|организация|Mix magazine Leadership Music Leadership Music International Achievement in Arts Awards Leadership Music Nashville Symphony The Cecil Scaife Endowment at Belmont University 
dataset/Dataset/data/8050522/table_1|1|81|организация|Evening Standard British Film Awards 
dataset/Dataset/data/4709864/table_2|0|81|организация|BPI – UK 
dataset/Dataset/data/1197462/table_4|1|81|организация|МУП «Иркутскгорэлектротранс» Филиал № 4 МКП ГЭТ «Левобережный трамвайный» МУП «Трамвайно-троллейбусное управление» ТГУ МП «Трамвайно-троллейбусное управление» 
dataset/Dataset/data/2434755/table_3|1|81|организация|Хор и оркестр Мариинского театра 
dataset/Dataset/data/7011907/table_0|0|81|организация|Клиринговые организации Биржи Операторы товарных поставок Репозитарии Центральный депозитарий 
dataset/Dataset/data/8371848/table_0|0|81|организация|РАО «ЕЭС России» ООО «Газпром энергохолдинг» (до 27 апреля 2009 года — Газпром) концерн «Fortum» (Финляндия) ООО «Русские энергетические проекты» (действует в интересах «Газпрома») ГМК Норильский Никель Прочие акционеры 
dataset/Dataset/data/1536090/table_1|0|81|организация|Аризонский университет (США) Стэнфордский университет (США) ICRA 
