table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1207788/table_0|0|82|остров|Готланд Эланд Уруст Хисинген Вермдё Чёрн Веддё и Бьёркё Форё Селаён Гресё Свартшёландет Хертсён Альнён Мунсё Тостерён-Аспён Ингарё Юстерё Турсё Аммерён Колландсё 
dataset/Dataset/data/1226946/table_0|0|82|остров|Seal Rocks Pillar Янг Роу Боррадеил Beale Pinnacle Бакл Scott Cone Eliza Cone Chinstrap Islet Sabrina Island The Monolith Стердж Всего 
dataset/Dataset/data/1359726/table_2|1|82|остров|Великобритания Хонсю Виктория Элсмир Сулавеси Южный остров (Новая Зеландия) Ява Северный остров (Новая Зеландия) Лусон Ньюфаундленд Куба Исландия Минданао Ирландия Хоккайдо Гаити Сахалин Банкс Шри-Ланка Тасмания Девон Земля Александра I Огненная Земля Северный остров (Новая Земля) Беркнер Аксель-Хейберг Мелвилл Саутгемптон Маражо Шпицберген Кюсю Тайвань Новая Британия Остров Принца Уэльского Южный остров (Новая Земля) Хайнань Ванкувер Тимор Сицилия 
dataset/Dataset/data/1433448/table_2|4|82|остров|Мейнленд Фула Мейнленд Анст Мейнленд Мейнленд Мейнленд Брессей Фэр-Айл Йелл Мейнленд Анст Носс Фула Мейнленд Макл-Ро Мейнленд Фетлар Мейнленд 
dataset/Dataset/data/1532478/table_0|0|82|остров|Пеньон-де-Алусемас Остров Тиерра Остров Де-Мар Острова Алусемас 
dataset/Dataset/data/183266/table_0|1|82|остров|Андрос Абако Инагуа Большой Багама Лонг-Айленд Эльютера Кэт Аклинс Маягуана Эксума Нью-Провиденс Сан-Сальвадор 
dataset/Dataset/data/2056423/table_0|1|82|остров|Нихоа Некер Френч-Фригат-Шолс Скалы Гарднер Маро Лайсан Остров Лисянского Перл-энд-Хермес Мидуэй Куре 
dataset/Dataset/data/2056423/table_0|3|82|остров|Moku Manu Mokumanamana Kānemilohaʻi Pūhāhonu Nalukakala Kauō Papaʻāpoho Holoikauaua Pihemanu Mokupāpapa 
dataset/Dataset/data/2408401/table_0|0|82|остров|Западный Шпицберген Северо-Восточная Земля Эдж Баренца Белый Земля Принца Карла Конгсёйа Медвежий Свенскёйа Вильгельма Другие (общая площадь) Всего 
dataset/Dataset/data/2563638/table_0|1|82|остров|Шан (Ильеу-Шан) Илья-Дезерта-Гранди Бужиу Итого 
dataset/Dataset/data/2563638/table_0|2|82|остров|Ilhéu Chão Deserta Grande Bugio 
dataset/Dataset/data/2802545/table_0|2|82|остров|Дяоюй-дао (钓鱼岛) Чивэй-юй (赤尾屿) Хуанвэй-юй (黄尾屿) Бэй Сяо-дао(北小岛) Нань Сяо-дао(南小岛) Да Бэй Сяо-дао (大北小島/北岩) Да Нань Сяо-дао (大南小島/南岩) Фэй Цзяо-янь (飞礁岩/飛岩) 
dataset/Dataset/data/2802545/table_0|1|82|остров|Уоцурисима (魚釣島) Тайсёто (大正島) Кубасима (久場島) Китакодзима (北小島) Минамикодзима (南小島) Оки-но-Китаива (沖ノ北岩) Оки-но-Минамиива (沖ノ南岩) Тобисэ (яп. 飛瀬) 
dataset/Dataset/data/289798/table_0|1|82|остров|Остров Сэнд Остров Истерн Остров Спит Атолл Мидуэй Лагуна 
dataset/Dataset/data/2913219/table_0|0|82|остров|Альфонс Сен-Франсуа Всего 
dataset/Dataset/data/319043/table_0|0|82|остров|Куба Гаити Ямайка Каймановы острова Пуэрто-Рико Всего 
dataset/Dataset/data/3804986/table_0|1|82|остров|G.O.P. Dance 
dataset/Dataset/data/4360654/table_0|1|82|остров|Острова Дье-Груп Марокау Равахере Острова Дезаппуэнтман Напука Пука-Пука Тепото Северный Острова Дьюк-оф-Глостер Ануанураро Ануанурунга Нукутепипи Херехеретуэ Far East Tuamotu Group Акиаки Ваираатеа Ванавана Вахитахи Муруроа Нукутаваке Пинаки Пукаруа Реао Татакото Тематанги Туреиа Факахина Фангатау (Аракчеева) Фангатауфа Группа Хао Аману Ахунуи Мануханги Ненгоненго Параоа Рекарека Тауэре Хао Острова Кинг-Джордж Ахе Манихи Такапото (Спиридова) Такароа Тикеи (Румянцева) Острова Пализер Апатаки Арутуа (Рюрика) Каукура Макатеа Матаива (Лазарева) Ниау (Грейга) Рангироа Тикехау (Крузенштерна) Тоау Факарава (Витгенштейна) Острова Раевского Анаа Аратика Катиу Кауэхи Макемо (Кутузова) Марутео Мотутунга Нихиру Рарака Рароиа (Барклая де Толли) Таиаро Такуме (Волконского) Таханеа (Чичагова) Таэнга (Ермолова) Тепото Южный Туанаке Фааите (Милорадовича) Хараики Хити Группа Хикуэру Реитору Текокота Хикуэру Outer Gambier Group Марутеа Мария Моране Всего 
dataset/Dataset/data/5052749/table_3|0|82|остров|Элефант-Джейсон[en] Флат-Джейсон[en] Гранд-Джейсон[en] Саут-Джейсон[en] Стипл-Джейсон[en] 
dataset/Dataset/data/5313023/table_1|2|82|остров|Западный Шпицберген Западный Шпицберген Эдж Западный Шпицберген Датский Западный Шпицберген Западный Шпицберген Западный Шпицберген Западный Шпицберген Западный Шпицберген Западный Шпицберген Западный Шпицберген Датский Решершефьорд Решершефьорд Западный Шпицберген Медвежий Западный Шпицберген Западный Шпицберген Западный Шпицберген Западный Шпицберген Западный Шпицберген Западный Шпицберген Амстердам Западный Шпицберген Остров Надежды Западный Шпицберген 
dataset/Dataset/data/559385/table_0|0|82|остров|Эльба Джильо Капрая Монтекристо Пьяноса Горгона Джаннутри Всего: 
dataset/Dataset/data/6058048/table_0|1|82|остров|Сан-Хуанито Пьедра-эль-Морро Мария-Мадре Дон-Бони Мария-Магдалена Мария-Клеофас Пьедра-Бланка Рока-Бланка Скала б/н Всего 
