table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1820935/table_1|9|83|отель|- 2 2 Прочее - - - 
dataset/Dataset/data/1822611/table_1|9|83|отель|- - - Прочее 4 1 5 
dataset/Dataset/data/1824152/table_1|9|83|отель|1 1 2 Прочее 2 - 2 
dataset/Dataset/data/1867723/table_1|9|83|отель|7 3 10 Прочее 14 4 18 
dataset/Dataset/data/1914767/table_1|9|83|отель|13 8 21 Прочее 29 7 36 
dataset/Dataset/data/1915383/table_1|9|83|отель|1 - 1 Прочее 22 1 23 
dataset/Dataset/data/2026889/table_5|9|83|отель|2 - 2 Прочее 1 - 1 
dataset/Dataset/data/2026943/table_1|9|83|отель|3 3 6 Прочее - 1 1 
dataset/Dataset/data/2027353/table_1|9|83|отель|4 3 7 Прочее 1 1 2 
dataset/Dataset/data/2032920/table_1|9|83|отель|- 1 1 Прочее 15 12 27 
dataset/Dataset/data/2032999/table_1|9|83|отель|5 11 16 Прочее 2 3 5 
dataset/Dataset/data/2033086/table_1|9|83|отель|- 1 1 Прочее 23 7 30 
dataset/Dataset/data/2046423/table_1|9|83|отель|2 - 2 Прочее - - - 
dataset/Dataset/data/2046508/table_1|9|83|отель|- - - Прочее - - - 
dataset/Dataset/data/2046533/table_1|9|83|отель|- - - Прочее - - - 
dataset/Dataset/data/2046549/table_1|9|83|отель|- - - Прочее 6 9 15 
dataset/Dataset/data/2064877/table_1|9|83|отель|4 3 7 Прочее 32 2 34 
dataset/Dataset/data/2501793/table_1|9|83|отель|2 2 4 Прочее - - - 
dataset/Dataset/data/2507232/table_1|9|83|отель|1 1 2 Прочее - - - 
dataset/Dataset/data/2507527/table_1|9|83|отель|1 1 2 Прочее - - - 
dataset/Dataset/data/8558634/table_1|9|83|отель|- 1 1 Прочее - - - 
