table_id|column_id|label_id|label|column_data
dataset/Dataset/data/3361527/table_3|7|84|отношение|1668 1181 1131 983 800 587 
dataset/Dataset/data/2493562/table_2|10|84|отношение|3750 2167 1111 692 667 267 
dataset/Dataset/data/2493609/table_1|7|84|отношение|1183 1074 1007 738 
dataset/Dataset/data/2606731/table_39|1|84|отношение|1/10 1/1 5 10 25 50 
dataset/Dataset/data/1889581/table_0|0|84|отношение|is_a part_of develops_from regulates negatively_regulates positively_regulates 
dataset/Dataset/data/346465/table_0|6|84|отношение|45 46 46 48 46 47 51 52 56 47 54 47 54 62 54 54 55 55 55 
dataset/Dataset/data/3361524/table_5|10|84|отношение|6000 2000 750 0 
dataset/Dataset/data/6407081/table_1|2|84|отношение|44,9 % 23,7 % 1,6 % 29,8 % 
dataset/Dataset/data/3510522/table_1|1|84|отношение|6000 драхм (26 196 г) 100 драхм (436,6 г) 2 драхмы (8,73 г) 1 драхма (4,37 г) 1⁄6 драхмы (0,73 г) 1⁄48 драхмы, 1⁄8 обола (0,09 г) 1⁄96 драхмы, 1⁄2 халка (0,05 г) 
dataset/Dataset/data/2493561/table_3|10|84|отношение|МАКС 3000 1667 0600 0308 0067 
dataset/Dataset/data/2493611/table_5|10|84|отношение|6000 2000 400 333 
dataset/Dataset/data/3361525/table_6|10|84|отношение|6000 600 750 500 
dataset/Dataset/data/57932/table_0|2|84|отношение|100 % 82,0 % 14,1 % 0,7 % 0,5 % 0,4 % 0,4 % 0,3 % 0,2 % 0,1 % 0,1 % 0,1 % 0,1 % 0,1 % 0,1 % 0,1 % 0,5 % 
dataset/Dataset/data/7974086/table_3|0|84|отношение|Определительное Описательно-определительное Аппроксимативно-порядковое Релятивное Атрибутивное Композитное Аппозитивное Обособленно-аппозитивное Номинативно-аппозитивное Нумеративно-аппозитивное Количественное Аппроксимативно-количественное Количественное-копредикативное Количественно-ограничительное Распределительное Аддитивное Обстоятельственное Длительное Кратно-длительное Дистанционное Обстоятельственно-тавтологическое Субъектно-обстоятельственное Объектно-обстоятельственное Субъектно-копредикативное Объектно-копредикативное Ограничительное Вводное Изъяснительное Разъяснительное Примыкательное Уточнительное 
