table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1073702/table_2|0|85|партия|Либертарианская партия Социалистическая партия Конституционная партия Партия зелёных Новая американская независимая партия Партия за социализм и освобождение Социалистическая рабочая партия Партия бостонского чаепития Партия запрета Реформистская партия независимый кандидат независимый кандидат 
dataset/Dataset/data/1097858/table_1|1|85|партия|Народная партия Казахстана Коммунистическая партия Союз коммунистов Луганщины Коммунистическая партия Донецкой Народной Республики 
dataset/Dataset/data/1197653/table_0|4|85|партия|беспартийный Военный Военный Партия народа беспартийный беспартийный Независимость Ирака 6 октября 1932 года беспартийный Партия национального братства Военный Военный Военный Партий национального братства Партия национального братства Военный Партия национального братства Военный Партия национального братства Военный беспартийный Либеральная партия Ирака беспартийный беспартийный беспартийный Военный беспартийный беспартийный Военный Военный беспартийный беспартийный Оъединённый национальный фронт Ирака беспартийный беспартийный 
dataset/Dataset/data/121233/table_0|1|85|партия|Разные правые Социалистическая партия Республиканцы Союз демократов и независимых Коммунистическая партия Разные левые Независимые 
dataset/Dataset/data/1223762/table_0|5|85|партия|Азербайджанская коммунистическая партия (большевиков)в составе Российской коммунистической партии (большевиков) 
dataset/Dataset/data/123181/table_0|1|85|партия|Разные правые Республиканцы Разные левые Социалистическая партия Союз демократов и независимых 
dataset/Dataset/data/1281244/table_1|5|85|партия|Русская партия Английская партия Английская партия Английская партия Французская партия Английская партия Русская партия Русская партия Английская партия Французская партия Французская партия Русская партия Английская партия Английская партия Французская партия Французская партия Русская партия Французская партия Французская партия Русская партия Русская партия Французская партия Националистическая партия Националистическая партия Националистическая партия Националистическая партия Новая партия Националистическая партия Националистическая партия Националистическая партия Националистическая партия Новая партия Националистическая партия Новая партия Националистическая партия Новая партия Националистическая партия Новая партия Националистическая партия Новая партия Новая партия Националистическая партия Националистическая партия Новая партия Националистическая партия Новая партия Новая партия Националистическая партия Новая партия Либеральная партия Греции Либеральная партия Греции Либеральная партия Греции Либеральная партия Греции Народная партия Народная партия Народная партия Народная партия Народная партия Генерал-лейтенант Полковник Либеральная партия Греции Либеральная партия Греции Либеральная партия Греции Генерал-лейтенант Генерал-майор Либеральная партия Греции Либеральная партия Греции Либеральная партия Греции Партия фермеров и рабочих Либеральная партия Греции Народная партия Либеральная партия Греции Генерал-лейтенант Народная партия Партия вольнодумцев Либеральная партия Греции Генерал-лейтенант Народная партия Либеральный уклон Национальная юнионистская партия Либеральная партия Греции Народная партия Народная партия Народная партия Народная партия Либеральная партия Греции Либеральная партия Греции Либеральная партия Греции Либеральная партия Греции Коммунистическая партия Греции Коммунистическая партия Греции Коммунистическая партия Греции Либеральная партия Греции Народная партия Либеральная партия Греции Национальный прогрессивный союз центра Либеральная партия Греции Либеральная партия Греции Либеральная партия Греции Национальный прогрессивный союз центра «Греческий призыв» «Греческий призыв»/Национальный Радикальный Союз «Греческий призыв»/Национальный Радикальный Союз Национальный Радикальный Союз Национальный Радикальный Союз Национальный Радикальный Союз Союз центра Союз центра экс-Союз центра экс-Союз центра Либерально-демократический центр Национальный Радикальный Союз Новая демократия Новая демократия Новая демократия Новая демократия Всегреческое социалистическое движение Всегреческое социалистическое движение Новая демократия Новая демократия Всегреческое социалистическое движение Всегреческое социалистическое движение Всегреческое социалистическое движение Всегреческое социалистическое движение Новая демократия Новая демократия Всегреческое социалистическое движение Новая демократия Коалиция радикальных левых (СИРИЗА) Коалиция радикальных левых (СИРИЗА) Новая демократия 
dataset/Dataset/data/1297834/table_0|1|85|партия|Коммунистическая партия РСФСР(с 1990 года) Коммунистическая партия Украины Коммунистическая партия Беларуси Коммунистическая партия Узбекистана Коммунистическая партия Казахстана Коммунистическая партия Грузии Коммунистическая партия Азербайджана Коммунистическая партия Литвы Коммунистическая партия Молдовы Коммунистическая партия Латвии Коммунистическая партия Киргизии Коммунистическая партия Таджикистана Коммунистическая партия Армении Коммунистическая партия Туркменистана Коммунистическая партия Эстонии Коммунистическая партия Карело-Финской ССР (1940—1956) 
dataset/Dataset/data/133748/table_0|0|85|партия|Рене, король Прованса Иоланта, слепая дочь короля Рене Роберт, герцог Бургундский Водемон, граф, бургундский рыцарь Эбн-Хакиа, мавританский врач Альмерик, оруженосец короля Рене Бертран, привратник королевского замка Марта, жена Бертрана, кормилица Иоланты Бригитта, подруга Иоланты Лаура, подруга Иоланты 
dataset/Dataset/data/1345341/table_0|0|85|партия|Прогрессивно-консервативная партия Онтарио Консервативная партия Британской Колумбии Прогрессивно-консервативная партия Альберты Прогрессивно-консервативная партия Манитобы Прогрессивно-консервативная партия Саскачевана Прогрессивно-консервативная партия Новой Шотландии Прогрессивно-консервативная партия Нью-Брансуика Прогрессивно-консервативная партия Ньюфаундленда и Лабрадора Прогрессивно-консервативная партия Острова Принца Эдуарда Партия Юкона 
