table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1018282/table_4|4|86|партнер|Рикардо Кано Тито Васкес Мануэль Орантес Мануэль Орантес Мануэль Орантес Войтек Фибак Войтек Фибак Бьорн Борг Ион Цириак Ион Цириак Ион Цириак Ион Цириак Ион Цириак Ион Цириак Ион Цириак Ион Цириак 
dataset/Dataset/data/1274811/table_4|2|86|партнер|Бетти Натхолл Сара Палфри Дороти Раунд Дороти Раунд 
dataset/Dataset/data/1754002/table_0|4|86|партнер|Марк Ноулз Марк Ноулз Марк Ноулз Марк Ноулз Марк Ноулз Марк Ноулз Марк Ноулз Марк Ноулз Марк Ноулз Ненад Зимонич Ненад Зимонич Ненад Зимонич Ненад Зимонич Ненад Зимонич Максим Мирный Максим Мирный Радек Штепанек 
dataset/Dataset/data/1871623/table_1|4|86|партнер|Джефф Таранго Томми Хо Алекс О'Брайен Алекс О’Брайен Алекс О’Брайен Даниэль Нестор Алекс О’Брайен Даниэль Нестор Алекс О’Брайен Джастин Гимелстоб Алекс О’Брайен Даниэль Нестор Алекс О’Брайен Алекс О’Брайен Джастин Гимелстоб Даниэль Нестор Даниэль Нестор 
dataset/Dataset/data/1957563/table_3|3|86|партнер|Лоранс Куртуа Кимберли По Николь Пратт Чанда Рубин Роберта Винчи Кончита Мартинес Елена Бовина Мейлен Ту Барбара Шетт Катарина Среботник Анна-Лена Грёнефельд Саманта Стосур 
dataset/Dataset/data/1986495/table_4|3|86|партнер|Даниэль Нестор 
dataset/Dataset/data/2159254/table_7|4|86|партнер|Хендрик-Ян Давидс Марк Куверманс Хендрик-Ян Давидс Якко Элтинг Марк Куверманс Якко Элтинг Якко Элтинг Марк Куверманс Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Патрик Гэлбрайт Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Евгений Кафельников Шенг Схалкен Джаред Палмер Шенг Схалкен Сэндон Столл Шенг Схалкен Шенг Схалкен Шенг Схалкен Евгений Кафельников 
dataset/Dataset/data/2160781/table_7|4|86|партнер|Хендрик-Ян Давидс Марк Куверманс Хендрик-Ян Давидс Якко Элтинг Марк Куверманс Якко Элтинг Якко Элтинг Марк Куверманс Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Патрик Гэлбрайт Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Якко Элтинг Евгений Кафельников Шенг Схалкен Джаред Палмер Шенг Схалкен Сэндон Столл Шенг Схалкен Шенг Схалкен Шенг Схалкен Евгений Кафельников 
dataset/Dataset/data/2270684/table_1|4|86|партнер|Грант Коннелл Грант Коннелл Грант Коннелл Грант Коннелл 
dataset/Dataset/data/2296006/table_5|4|86|партнер|Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Мэтт Энгер Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Роберт Сегусо Тодд Уитскен Рик Лич Рик Лич Рик Лич Ян Апелль 
dataset/Dataset/data/2296108/table_1|3|86|партнер|Роберт Сегусо Роберт Сегусо 
dataset/Dataset/data/2301689/table_4|4|86|партнер|Моника Селеш 
dataset/Dataset/data/2308680/table_3|3|86|партнер|Клаудиа Коде-Кильш Венди Тёрнбулл Венди Тёрнбулл 
dataset/Dataset/data/2308684/table_3|3|86|партнер|Клаудиа Коде-Кильш Венди Тёрнбулл Венди Тёрнбулл 
dataset/Dataset/data/2348581/table_2|2|86|партнер|Паул Хархёйс Паул Хархёйс 
dataset/Dataset/data/2349097/table_3|2|86|партнер|Мириам Ореманс 
dataset/Dataset/data/2351721/table_2|4|86|партнер|Карл Майлер Том Оккер Том Оккер 
dataset/Dataset/data/2351723/table_2|4|86|партнер|Карл Майлер Том Оккер Том Оккер 
dataset/Dataset/data/2398603/table_2|3|86|партнер|Ион Цириак Джимми Коннорс Джимми Коннорс 
dataset/Dataset/data/2398603/table_3|3|86|партнер|Ион Цириак Джимми Коннорс 
dataset/Dataset/data/2441712/table_4|2|86|партнер|Боб Хоуи 
dataset/Dataset/data/2466156/table_1|2|86|партнер|Маргарет Корт Маргарет Корт Маргарет Корт Маргарет Корт 
dataset/Dataset/data/2507459/table_4|3|86|партнер|Фрэнк Хантер Брюс Барнс Элсуорт Вайнз Элсуорт Вайнз Лестер Стёфен Лестер Стёфен Ганс Нюсляйн Винсент Ричардс Винсент Ричардс 
dataset/Dataset/data/2537982/table_3|4|86|партнер|Катерина Малеева Беттина Бунге Рафаэлла Реджи Лейла Месхи 
dataset/Dataset/data/2537982/table_4|4|86|партнер|Гелена Сукова Катерина Малеева Катерина Малеева Кэти Каверзасьо Магдалена Малеева Магдалена Малеева Мерседес Пас 
dataset/Dataset/data/2537999/table_3|4|86|партнер|Катерина Малеева Беттина Бунге Рафаэлла Реджи Лейла Месхи 
dataset/Dataset/data/2538003/table_5|3|86|партнер|Том Галликсон 
dataset/Dataset/data/2559495/table_0|3|86|партнер|Грант Коннелл Грант Коннелл 
dataset/Dataset/data/2559495/table_1|3|86|партнер|Элна Рейнах Лиза Реймонд 
dataset/Dataset/data/2559495/table_6|4|86|партнер|Кевин Каррен Дани Виссер Грант Коннелл Грант Коннелл Грант Коннелл Грант Коннелл Грант Коннелл Грант Коннелл Грант Коннелл Дани Виссер Грант Коннелл Грант Коннелл Эллис Феррейра Эллис Феррейра Эллис Феррейра Уэйн Феррейра Уэйн Феррейра Паул Хархёйс Дэвид Макферсон 
dataset/Dataset/data/2560283/table_21|0|86|партнер|Adidas Coca-Cola Gazprom (Газпром) Hyundai-Kia Qatar Airways VISA Wanda Group Adidas Coca-Cola Gazprom (Газпром) Hyundai-Kia Anheuser-Busch InBev Hisense McDonald's Mengniu Dairy 
dataset/Dataset/data/2604907/table_7|4|86|партнер|Иван Камю Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Томас Карбонелл Эмилио Санчес Эмилио Санчес Хавьер Санчес Томаш Шмид Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес Эмилио Санчес 
dataset/Dataset/data/261295/table_13|1|86|партнер|Deutsche Telekom Emirates Fujifilm Gillette Hyundai 
dataset/Dataset/data/261295/table_13|0|86|партнер|Adidas Avaya Budweiser Coca-Cola Continental Deutsche Telekom Emirates Fujifilm Gillette Hyundai 
dataset/Dataset/data/261295/table_13|2|86|партнер|MasterCard McDonald's Philips Toshiba Yahoo! 
dataset/Dataset/data/2634567/table_0|3|86|партнер|Илие Нэстасе Илие Нэстасе 
dataset/Dataset/data/2682591/table_5|3|86|партнер|Серхио Касаль 
dataset/Dataset/data/2690222/table_4|4|86|партнер|Алекс Антонич Гийом Рау 
dataset/Dataset/data/2759607/table_3|4|86|партнер|Клаудио Панатта Джанни Оклеппо Балаж Тароци Диего Наргисо Омар Кампорезе 
dataset/Dataset/data/2771428/table_3|4|86|партнер|Марк Россе 
dataset/Dataset/data/2771429/table_6|4|86|партнер|Густаво Куэртен 
dataset/Dataset/data/2783099/table_2|3|86|партнер|Франсуаза Дюрр Франсуаза Дюрр Франсуаза Дюрр Франсуаза Дюрр Билли-Джин Кинг Мартина Навратилова Венди Тёрнбулл Пэм Шрайвер 
dataset/Dataset/data/2783099/table_5|3|86|партнер|Франсуаза Дюрр Франсуаза Дюрр Франсуаза Дюрр 
dataset/Dataset/data/2783108/table_1|3|86|партнер|Билли-Джин Кинг Билли-Джин Кинг Франсуаза Дюрр Мартина Навратилова Венди Тёрнбулл Венди Тёрнбулл 
dataset/Dataset/data/2783108/table_5|3|86|партнер|Франсуаза Дюрр Франсуаза Дюрр Франсуаза Дюрр 
dataset/Dataset/data/2783109/table_1|3|86|партнер|Билли-Джин Кинг Билли-Джин Кинг Франсуаза Дюрр Мартина Навратилова Венди Тёрнбулл Венди Тёрнбулл 
dataset/Dataset/data/2785725/table_5|4|86|партнер|Лаура Голарса Гелена Сукова Кара Блэк Мириам Ореманс Мириам Ореманс Мириам Ореманс Маги Серна 
dataset/Dataset/data/2785726/table_4|4|86|партнер|Яна Новотна Натали Тозья Натали Тозья 
dataset/Dataset/data/2828496/table_0|3|86|партнер|Сэндон Столл Себастьен Ларо Себастьен Ларо Себастьен Ларо 
dataset/Dataset/data/2917972/table_5|4|86|партнер|Мерседес Пас Каролин Вис Дебби Грэм Сильвия Фарина Габриэла Сабатини Габриэла Сабатини Катрина Адамс Ренне Стаббз Каролин Вис Лариса Нейланд 
dataset/Dataset/data/2917980/table_5|4|86|партнер|Мерседес Пас Каролин Вис Дебби Грэм Сильвия Фарина Габриэла Сабатини Габриэла Сабатини Катрина Адамс Ренне Стаббз Каролин Вис Лариса Нейланд 
dataset/Dataset/data/2947279/table_1|3|86|партнер|Энн Кийомура Энн Кийомура Энн Кийомура Энн Кийомура 
dataset/Dataset/data/2965905/table_4|2|86|партнер|Эйлин Беннетт-Уиттингстолл Эйлин Беннетт-Уиттингстолл Эйлин Беннетт-Уиттингстолл 
dataset/Dataset/data/2972320/table_1|2|86|партнер|Фрэнк Паркер Фрэнк Паркер 
dataset/Dataset/data/2975208/table_5|3|86|партнер|Маргарет Смит-Корт Билли-Джин Кинг 
dataset/Dataset/data/2975209/table_5|3|86|партнер|Маргарет Смит-Корт Билли-Джин Кинг 
dataset/Dataset/data/2975210/table_6|3|86|партнер|Билли-Джин Кинг Венди Тёрнбулл 
dataset/Dataset/data/2975214/table_4|3|86|партнер|Стэн Смит Илие Нэстасе Ричард Стоктон 
dataset/Dataset/data/2975215/table_2|3|86|партнер|Билли-Джин Кинг Билли-Джин Кинг Билли-Джин Кинг Билли-Джин Кинг Билли-Джин Кинг Вирджиния Уэйд Билли-Джин Кинг Билли-Джин Кинг Венди Тёрнбулл Венди Тёрнбулл Венди Тёрнбулл Венди Тёрнбулл 
dataset/Dataset/data/2975218/table_4|3|86|партнер|Стэн Смит Илие Нэстасе Ричард Стоктон 
dataset/Dataset/data/2980585/table_8|4|86|партнер|Блейн Уилленборг Рик Лич Марк Кратцман Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Рик Лич Хавьер Франа Патрик Гэлбрайт 
dataset/Dataset/data/2980679/table_4|2|86|партнер|Наталья Зверева Наталья Зверева 
dataset/Dataset/data/2999014/table_3|4|86|партнер|Дмитрий Турсунов Грейдон Оливер Филип Полашек Душан Вемич Филип Полашек Филип Полашек 
dataset/Dataset/data/2999035/table_4|3|86|партнер|Карли Галликсон 
