table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8001762/table_1|0|89|персонаж|Райдер Гончик Маршал Рокки Зума Крепыш Скай Капитан Палтус Эверест Трекер Мэр Гудвей Француа Палтус Джейк Алекс Фермерша Юми Так Элла Мэр Хамдингер Гарольд Хамдингер Рекс Дикий Кот 
dataset/Dataset/data/172338/table_0|1|89|персонаж|Билли Ло Билли Ло-2 Джим Маршалл Доктор Лэнд Энн Моррис Штейнер Стик исполнитель из Пекинской оперы Карл Миллер Паскуаль (архивные кадры) Хаким (архивные кадры) Кольт (архивные кадры) Джон Лок Ям 
dataset/Dataset/data/7498009/table_0|0|89|персонаж|Сэт. Главный герой серии, начинающий колдун. Мели. Подруга Сэта. Док. Начальник Мели. Альма. Однорукая наставница Сэта, его приемная мать. Мистер Бобли. Ручная летучая мышь Мели. Драгунов. Капитан корабля инквизиции. Гримм. Охотник за немезидами. Мастер Лорд Маджести. Глава города колдунов. Яага. Учитель Сэта в городе колдунов. Мисс Мэльба. Возлюбленная Дока. Торк Фон Теппес Ульмина Баглиорэ Лизелоттэ Сантори Пиодан Босс Рассказчик 
dataset/Dataset/data/296578/table_0|0|89|персонаж|Бэмби Великий Князь Мина Мать Бэмби Фэлин Ронно Друг Филин Топотун Цветочек Сурок Дикобраз Сёстры Топотуна 
dataset/Dataset/data/1017689/table_0|0|89|персонаж|Гисли сын Кислого Ауд Торгрим Торкель сын Кислого Асгерд Вестейн Эйольв Серый Тордис дочь Кислого Бёрк Толстяк Хельги 
dataset/Dataset/data/2154442/table_0|0|89|персонаж|Ранго Ларс Бобитта Присцилла Мэр Броненосец Гремучка Джейк Док Мерримак Бальтазар дух Дикого Запада плохой Билл раненая птица 
dataset/Dataset/data/8800575/table_1|1|89|персонаж|Скуби-Ду / Шэгги Роджерс Фред Джонс Дафни Блэйк Велма Динкли Винсент Ван Хельсинг Брэм Джаспер Пубелль Тулли Лита Рутлэнд 
dataset/Dataset/data/5474850/table_0|1|89|персонаж|Пегги Картер Эдвин Джарвис Джек Томпсон Дэниэл Суза Роджер Дули 
dataset/Dataset/data/6568711/table_2|5|89|персонаж|Кэти Армстронг Кэти Армстронг 
dataset/Dataset/data/6543654/table_1|2|89|персонаж|И-кун и Томо Кунагиса Канамэ Ибуки и Синъя Сакаки Маки Химэна Аканэ Сонояма Акари Тига, Хикари Тига и Тэруко Тига Яёй Сасироно 
dataset/Dataset/data/4674722/table_0|2|89|персонаж|Сандра (2 эпизода) Сидни Ли Гретчен Фарра Ванесса Хоуп Тайлер Греншоу (эпизод) миссис Кребтри (эпизод) журналистка Трейси (6 эпизодов) Тара Гамильтон Алисия Джеймс (эпизод) Жасмин 
dataset/Dataset/data/432450/table_2|2|89|персонаж|Карен Лайт Глория 
dataset/Dataset/data/8232203/table_15|1|89|персонаж|Белый орёл Ананас Пингвин Крокодил Розовая пантера Банан Единорог Лама Заяц Солнце Носорог Змея Неваляшка 
dataset/Dataset/data/6629085/table_0|1|89|персонаж|Пегги Картер Эдвин Джарвис Джек Томпсон Дэниэл Суза Роджер Дули 
dataset/Dataset/data/7230197/table_0|1|89|персонаж|Антон Аня / Валая Наташа Фан Пеле Бело, Черно амазонка Ю амазонка Во амазонка Бу мама Антона капитан полиции начальник полиции распределитель работ сержант полиции бедуин бородач с Таймс-сквер жена бородача влюблённая девочка Бюргер-отец Бюргер-дочь девочка с респиратором фанатка Пеле брюнетка болельщица болельщица спортивный комменатор краснолицый охранник 
