table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1002458/table_3|1|90|песня|«The Name Game» (Shirley Ellis) «Life on Mars?» (by David Bowie) «Gods & Monsters» (by Lana Del Rey) «September Song» (Traditional) 
dataset/Dataset/data/1010328/table_10|2|90|песня|«Symphony of Destruction (The Gristle Mix)» «Missing Link (Screaming Bird Mix)ruen» «Light (Fat Back Dub)» «The Hearts Filthy Lesson (Alt. Mix)ruen» «I’m Afraid of Americans» (V1-V4, V6) «Victory (песня Puff Daddy)ruen» «Democracy (NIN Remix)» «Destroyer (Remix)» «Deaf Ears (Nine Inch Nails mix)» 
dataset/Dataset/data/105714/table_6|0|90|песня|«Следи за собой» «Кончится лето» «Кошка» «Попса» «Насрать на моё лицо» «Какая разница» «Я устал» «Уроки панк-рока» «Пого» (она же «Панки грязи не боятся») «Посошок» «Ой, при лужку, при лужке» «Коробейники» «Rock-n-Roll» «Пивоварня Ульва» «Їли м’ясо там дядьки» «Панки грязи не боятся» «Уроки панк-рока» «Don’t Crucify Me» «Мама-Анархия» «Басков не козёл» «Не торопись!» «Питер рок-н-ролл» «Оборотень» 
dataset/Dataset/data/1064051/table_4|5|90|песня|- «Everybody» «I Wanna» «Wild Dances» «Believe» «Running Scared» «1944» - «Solo» «Never Let You Go» «Dancing Lasha Tumbai» «Shady Lady» «Party for Everybody» «Hold Me» «A Million Voices» - «My Star» «Runaway» «Не верь, не бойся, не проси» «Song #1» «Always» «Gravity» «You Are the Only One» «Hey, Mamma!» «Scream» 
dataset/Dataset/data/114999/table_1|0|90|песня|«Abuse»(«Dr. Mabuse») «Catch My Fall» «Miss Amanda Jones» «Beat’s So Lonely» 
dataset/Dataset/data/1161963/table_0|1|90|песня|"I'm Only Sleeping/Off On Holiday Camden Town The Tune Cecilia ""No More Alcohol (new version of """"Alcohol"""")"" Blue Day I Am "
dataset/Dataset/data/1227130/table_5|2|90|песня|«Истерика» «Секрет», «Никогда» «Пуля», «Странное рождество», «Дворник», «Ein Zwei Drei Waltz», «Хали-гали Кришна», «Я буду там», «Секрет» «Истерика» «Как на войне» «Сердцебиение» «Истерика» «Как на войне» «Опиум для никого» «Секрет» «Чёрная луна», «Дорога паука», «Сказочная тайга», «Легион», «Целовались и плакали», «Секрет», «Днём и ночью» «Секрет», «Сердцебиение», «Я буду там», «Опиум для никого», «Красная Шапочка», «Ein Zwei Drei Waltz», «Два корабля» (англоязычные версии) «Эпилог» «Как на войне», «Сказочная тайга» «Как на войне», «Истерика», «Нисхождение»[неавторитетный источник?] 
dataset/Dataset/data/1253922/table_1|1|90|песня|Романтика (итал. Romantica) За пределами (итал. Al di là) Прощай, прощай (итал. Addio, addio) Один для всех (итал. Uno per tutte) У меня нет возраста (итал. Non ho l'età) Если плачешь, если смеёшься (итал. Se piangi, se ridi) Боже, как я тебя люблю (итал. Dio, come ti amo) Не думай обо мне (итал. Non pensare a me) Песня для тебя (итал. Canzone per te) Цыганка (итал. Zingara) 
dataset/Dataset/data/1253922/table_4|1|90|песня|Одинокие мужчины (итал. Uomini soli) Если мы вместе (итал. Se stiamo insieme) Пригласи меня танцевать (итал. Portami a ballare) Тайна (итал. Mistero) Пройдёт (итал. Passerà) Как бы я сумела (итал. Come saprei) Я хотел бы встретить тебя через сто лет (итал. Vorrei incontrarti fra cent'anni) Реки слов (итал. Fiumi di parole) Без тебя или с тобой (итал. Senza te o con te) Без пощады (итал. Senza pietà) 
dataset/Dataset/data/1253922/table_8|1|90|песня|Отчаявшийся (итал. Disperato) Бесполезные люди (итал. Le persone inutili) Не люби меня (итал. Non amarmi) Одиночество (итал. La solitudine) Спокойное вечернее море (итал. Il mare calmo della sera) Девушки (итал. Le ragazze) Я не согласна (итал. Non ci sto) Друзья как прежде (итал. Amici come prima) Без тебя или с тобой (итал. Senza te o con te) Сегодня — это я (итал. Oggi sono io) 
dataset/Dataset/data/1266635/table_6|1|90|песня|«Wheel of Fortune» «All That She Wants» «Happy Nation» «The Sign» «Don’t Turn Around» «Living in Danger» «Lucky Love» «Beautiful Life» (Bubbles version) «Beautiful Life» «Never Gonna Say I’m Sorry» (Morph version) «Never Gonna Say I’m Sorry» «Lucky Love» (US version) «Life Is a Flower» «Cruel Summer» «Cruel Summer» (US version) «Cruel Summer» (French version featuring Alliage) «Always Have Always Will» «Travel to Romantis» «C’est la Vie (Always 21)» «Beautiful Morning» «Unspeakable» «Wheel of Fortune 2009» «All for You» «Would You Believe» 
dataset/Dataset/data/1293363/table_2|1|90|песня|«Living In A Fantasy» «Conquering America» «Sixteen Tons of Hardware» «Gone» «Open Door» «Sunshine In The Rain» «Voodoo Magic» «Temple Of Love» «We Could Be Heroes» «Will My Arms Be Strong Enough» «Chariots Of Fire» «Save My Pride» «Let It Rain» «Rhythm Drives Me Crazy» «The Destiny Of Love» «Give Me The Night» «Lay Your Love On Me» «Barcelona» «The Bells of Freedom» 
dataset/Dataset/data/1297375/table_0|1|90|песня|Tippy-Top Tippy And Me Gary, Indiana Cindy The Crawdad Song Toot, Toot, Tootsie (Goo' Bye!) Ol' Dan Tucker My Country, Tis of Thee All Shook Up Row, Row, Row Your Boat Glory Glory Blueberry Hill Maple Leaf Rag Faith Of Our Fathers John Jacob Jingleheimer Schmidt Down By The Old Mill Stream Three Caballeros Top Banana 
dataset/Dataset/data/1297379/table_0|1|90|песня|Tippy-Top Tippy And Me Gary, Indiana Cindy The Crawdad Song Toot, Toot, Tootsie (Goo' Bye!) Ol' Dan Tucker My Country, Tis of Thee All Shook Up Row, Row, Row Your Boat Glory Glory Blueberry Hill Maple Leaf Rag Faith Of Our Fathers John Jacob Jingleheimer Schmidt Down By The Old Mill Stream Three Caballeros Top Banana 
dataset/Dataset/data/1297380/table_0|1|90|песня|Tippy-Top Tippy And Me Gary, Indiana Cindy The Crawdad Song Toot, Toot, Tootsie (Goo' Bye!) Ol' Dan Tucker My Country, Tis of Thee All Shook Up Row, Row, Row Your Boat Glory Glory Blueberry Hill Maple Leaf Rag Faith Of Our Fathers John Jacob Jingleheimer Schmidt Down By The Old Mill Stream Three Caballeros Top Banana 
dataset/Dataset/data/1314693/table_0|2|90|песня|Gravitacija Deja vu Šlager pjevač Poljubi me Navika Pismom te ljubi milijun mandolina Volim ja Teatar Pusti me u san Tata Nemam Nema šanse šećeru Pjesma za novčić Vjerujem u ljubav Moj svijet Gitara i čaša vina 
dataset/Dataset/data/1341650/table_1|0|90|песня|«What Ever» «Since You’ve Been Gone» «Everything You Say» «If You Ever» 
dataset/Dataset/data/1380151/table_2|1|90|песня|бэк-вокал «I Saw You» «I’m Getting There» «Shaq’s Tribute (It Takes Two)» «I’ll Be Your Love» (English Version) «Breakfast in Bed» «If U Can’t Dance (Slide)» «Supa Hypnotic» «Don’t Ask Her That» «Been Around the World (Remix)» «Papi Lover» «Fire» 
dataset/Dataset/data/1394634/table_3|3|90|песня|For a Rest Победитель не выбирался Победитель не выбирался Победитель не выбирался 
dataset/Dataset/data/1461924/table_2|1|90|песня|Tobacco Road You Know My Name Rolling In The Deep 
dataset/Dataset/data/148024/table_0|1|90|песня|«Город» «Я не виноват» «Цветные сны» «Товарищ Сухов» «Кто ты?» «Шанс» «Гости» «Я у вольных, у небес» «Муха-блюз» «Ты на пути в Чикаго» «Листик» «Душа» «Быть бы» «Танго» «Заколотите подвал!» «Две барракуды» «Безумный тунец» «Рыбный день»(автор А.Н. Башлачёв) «Красный снег» «Ихтиозавр» «Хороводоворот» «А по берегам» 
dataset/Dataset/data/1489946/table_4|2|90|песня|Море от мечти Love Never Ends Рокендрол изкуство Ясно сланце Don't Kiss for Money 
dataset/Dataset/data/1489946/table_5|2|90|песня|Далечен свят Думи Този пут С теб Без думи 
dataset/Dataset/data/1489946/table_8|2|90|песня|Sun Is Shining Stranger Borrow from the Shadow My Song Don't Look for Me 
dataset/Dataset/data/1511516/table_4|2|90|песня|«Я самая» «Волшебный свет» «Танцуй со мной» «Ты решаешь сам» «Океан» «Мама» «Музыка-вселенная» «Продолжай идти» «Вышэй» «Летим к мечтам» 
dataset/Dataset/data/1515336/table_0|1|90|песня|«Walk This Way» «Wild Thing» Various tracks «Slice of Your Pie» «Sticky Sweet» «Roots, Rock, Reggae» «Misery» «Sing for the Moment» «I'm a King Bee» «Just Feel Better» «Three Chord Country and American Rock & Roll» «Cryin'» и «Smile» «Sex E Bizarre» 
dataset/Dataset/data/1539476/table_2|2|90|песня|Спит ангел Ох уж эта школа Ангелы Песня одинкого филина Порадуемся солнцу Стоп, машина Я рисую Весняночка Танцуй со мной Rock and Roll Моя Земля Косы Южный ветер (без названия) Вейко-ко Солнце Цветик-Семицветик Супергерой Станцуй мне самбу Бабуля Математик 
dataset/Dataset/data/1552302/table_0|2|90|песня|Hei! Exploadează! 7 Days Lerui — Ler Women’s Winner Queen First Chance Joc de noroc Call Me A Liar No Crime We’ll Gonna Rock Simt că este timpul Doar un pas I’m Missing You Unicul meu Adrenalina Tu, tată O fată cu părul de aur Sparky Lady A Flight to the Light Hora din Moldova 
dataset/Dataset/data/1667114/table_0|3|90|песня|Il est là («Он здесь») Les temps perdu («Потерянное время») La belle amour («Красивая любовь») Dors, mon amour («Спи,любовь моя») Oui, oui, oui, oui («Да,да,да,да») Tom Pillibi («Том Пиллиби») Printemps, avril carillonne («Весна,апрель») Un premier amour («Первая любовь») Elle était si jolie («Она была такой красивой») Le chant de Mallory («Песня Мэллори») N’avoue jamais («Никогда не признавайся») Chez nous («У нас») Il doit faire beau là-bas («Там должно быть красиво») La source («Источник») Un jour, un enfant («День,ребенок») Marie Blanche («Мари-Бланш») Un jardin sur la terre («Сад на земле») Comé-comédie («Коме-комедия») Sans toi («Без тебя») Не участвовала Et bonjour à toi l’artiste («Привет тебе,артист») Un, deux, trois («Раз,два,три») L’oiseau et l’enfant («Птица и ребенок») Il y aura toujours des violons («Всегда будут скрипки») Je suis l’enfant-soleil («Я ребенок - солнце») Hé, hé m’sieurs dames («Эй,эй,дамы!») Humanahum («Хуманахум») Не участвовала Vivre («Жить») Autant d’amoureux que d'étoiles («Столько влюбленных,сколько звезд») Femme dans ses rêves aussi («Женщина даже во сне») Européennes («Европейцы») Les mots d’amour n’ont pas de dimanche («У слов любви нет воскресенья») Chanteur de charme («Очаровательная певица») J’ai volé la vie («Я украл жизнь») White and black blues («Белый и черный блюз») C’est le dernier qui a parlé qui a raison («Кто говорит последним, тот и прав») Monté la riviè («Вверх по реке») Mama Corsica («Мама Корсика») Je suis un vrai garçon («Я настоящий мальчик») Il me donne rendez-vous Diwanit bugale Sentiments songes Où aller Je veux donner ma voix On aura le ciel Je n’ai que mon âme Il faut du temps Monts et merveilles A chaque pas Chacun pense à soi Il était L’Amour A La Francaise Divine «Et s'il fallait le faire» «Allez! Ola! Olé!» «Sognu» «Echo (You And I)» «L’enfer et moi» «Moustache» «N’oubliez pas» «J’ai cherché» «Requiem» «Mercy» «Roi» «The Best in Me» «Voilà» 
dataset/Dataset/data/1671289/table_0|3|90|песня|«All» Не участвовала «Sing Little Birdie» «Looking High, High, High» «Are You Sure?» «Ring-a-Ding Girl» «Say Wonderful Things» «I Love the Little Things» «I Belong» «A Man Without Love» «Puppet on a String» «Congratulations» «Boom Bang-a-Bang» «Knock, Knock (Who’s There?)» «Jack in the Box» «Beg, Steal or Borrow» «Power to All Our Friends» «Long Live Love» «Let Me Be the One» «Save Your Kisses for Me» «Rock Bottom» «The Bad Old Days» «Mary Ann» «Love Enough for Two» «Making Your Mind Up» «One Step Further» «I’m Never Giving Up» «Love Games» «Love Is» «Runner in the Night» «Only the Light» «Go» «Why Do I Always Get it Wrong?» «Give a Little Love Back to the World» «A Message to Your Heart» «One Step Out of Time» «Better the Devil You Know» «We Will Be Free» «Love City Groove» «Ooh Aah… Just a Little Bit» «Love Shine a Light» «Where Are You?» «Say It Again» «Don’t Play That Song Again» «No Dream Impossible» «Come Back» «Cry Baby» «Hold On to Our Love» «Touch My Fire» «Teenage Life» «Flying the Flag (For You)» «Even If» «It’s My Time» «That Sounds Good To Me» «I Can» «Love Will Set You Free» «Believe in Me» «Children of the Universe» «Still in Love with You» «You’re Not Alone» «Never Give Up On You» «Storm» «Bigger Than Us» «My Last Breath» «Embers» 
dataset/Dataset/data/1675718/table_6|1|90|песня|La lluviaHombre chiquitinLos años locos 
dataset/Dataset/data/1675718/table_7|1|90|песня|Yume miro chanson ningyou (Poupée de cire, poupée de son) Yume ni mita ojisama (Un prince charmant) 
dataset/Dataset/data/1684591/table_0|1|90|песня|Отчуждение Холод Вера Пластмасса Музыка для мёртвых Потребитель Дети уходят Три-четыре гада Политпесня Не плачь Всё в порядке 
dataset/Dataset/data/170342/table_2|1|90|песня|«She Is My Sin» «The Kinslayer» (feat. Ike Vil) «Come Cover Me» «Wanderlust» «Two for Tragedy» «Wishmaster» «Bare Grace Misery» «Crownless» «Deep Silent Complete» «Dead Boy’s Poem» (feat. Sam Hardwick) «FantasMic» «Sleepwalker» (бонус-трек) «Wanderlust» (концертная/бонус-трек) «Deep Silent Complete» (концертная/бонус-трек) 
dataset/Dataset/data/1733200/table_4|1|90|песня|«Any Second Now (voices)» «Pipeline» «It Doesn’t Matter» «Somebody» «A Question of Lust» «Sometimes» «It Doesn’t Matter Two» «World Full of Nothing» «Black Day» «The Things You Said» «I Want You Now» «Enjoy the Silence» («Harmonium») «Sweetest Perfection» «Blue Dress» «Death’s Door» «Judas» «One Caress» «Home» «The Bottom Line» «Comatose» «Breathe» «Macro» «Damaged People» «Jezebel» «The Sun and the Moon and the Stars» «The Child Inside» «Always» «Eternal» «Fail» 
dataset/Dataset/data/1766909/table_0|3|90|песня|«Танцуй» «Спявайце са мною» «Мы вместе» «Новый день» «С друзьями» «Сердце Беларуси» «Волшебный кролик» «Музыки свет» «Ангелы добра» «А море, море» «Пой со мной» «Сокал» «Волшебство» «Музыка моих побед» «Я самая» Time «Пепельный» Aliens 
