table_id|column_id|label_id|label|column_data
dataset/Dataset/data/7295749/table_1|2|91|пилот|Даниэль Риккардо Нико Росберг Льюис Хэмилтон Себастьян Феттель Нико Хюлкенберг Кими Райкконен Карлос Сайнс-мл. Серхио Перес Даниил Квят Фернандо Алонсо Валттери Боттас Эстебан Гутьеррес Дженсон Баттон Фелипе Масса Ромен Грожан Кевин Магнуссен Маркус Эрикссон Джолион Палмер Рио Харьянто Паскаль Верляйн Макс Ферстаппен Фелипе Наср 
dataset/Dataset/data/2219824/table_1|4|91|пилот|М. Шумахер Масса 
dataset/Dataset/data/3372081/table_1|1|91|пилот|Курт Буш Тони Стюарт (2) Джимми Джонсон Джимми Джонсон (2) Джимми Джонсон (3) Джимми Джонсон (4) Джимми Джонсон (5) Тони Стюарт (3) Брэд Кеселовски Джимми Джонсон (6) Кевин Харвик Кайл Буш Джимми Джонсон (7) Мартин Труэкс Младший Джоуи Логано Кайл Буш (2) Чейз Эллиотт 
dataset/Dataset/data/3760360/table_3|2|91|пилот|Михал Косцюшко Николас Фукс Николас Фукс Маркос Лигато Лоренцо Бертелли Луиза Кук Бенито Гуэрра-младший Валерий Горбань Алексей Кикирешко Алексей Кикирешко Джанлука Линари Джанлука Линари Рикардо Тривиньо Рикардо Тривиньо Рикардо Тривиньо Рамона Карлссон Субхан Акса Субхан Акса Родриго Сальгадо Эсекьель Кампос 
dataset/Dataset/data/400252/table_0|3|91|пилот|Айртон Сенна Ален Прост Нельсон Пике Тьери Бутсен Герхард Бергер Алессандро Наннини Эдди Чивер Сатору Накадзима Дерек Уорик Филипп Стрейфф Луис-Перес Сала Янник Дальма Риккардо Патрезе Джонатан Палмер Маурисио Гужельмин Адриан Кампос Филипп Альо Микеле Альборето Стефано Модена Джулиан Бэйли Найджел Мэнселл Габриэле Тарквини Алекс Каффи Пьеркарло Гиндзани Иван Капелли Андреа де Чезарис Оскар Ларраури Стефан Юханссон Рене Арну Никола Ларини 
dataset/Dataset/data/609663/table_1|3|91|пилот|Фернандо Алонсо Михаэль Шумахер Дженсон Баттон Александр Вурц Такума Сато Жак Вильнёв Ярно Трулли Ник Хайдфельд Марк Уэббер Витантонио Лиуцци Ральф Шумахер Фелипе Масса Дэвид Култхард Нараин Картикеян Тьягу Монтейру Кристиан Алберс Рубенс Баррикелло Кими Райкконен Патрик Фризахер Джанкарло Физикелла 
dataset/Dataset/data/752948/table_1|2|91|пилот|Льюис Хэмилтон (4) Шарль Леклер Себастьян Феттель (3) Льюис Хэмилтон (3) Нико Росберг Льюис Хэмилтон (2) Даниэль Риккардо Себастьян Феттель (2) Дженсон Баттон Себастьян Феттель Льюис Хэмилтон Кими Райкконен (4) Фелипе Масса Кими Райкконен (3) Кими Райкконен (2) Кими Райкконен Михаэль Шумахер (6) Михаэль Шумахер (5) Мика Хаккинен Дэвид Култхард Деймон Хилл (3) Михаэль Шумахер (4) Михаэль Шумахер (3) Михаэль Шумахер (2) Деймон Хилл (2) Деймон Хилл Михаэль Шумахер Айртон Сенна (5) Айртон Сенна (4) Айртон Сенна (3) Айртон Сенна (2) Ален Прост (2) Найджел Мэнселл Айртон Сенна Ален Прост Педро Родригес Брюс Макларен Дэн Герни Джон Сертис Джим Кларк (4) Джим Кларк (3) Джим Кларк (2) Джим Кларк Фил Хилл Джек Брэбем Тони Брукс Питер Коллинз Хуан Мануэль Фанхио (3) Хуан Мануэль Фанхио (2) Альберто Аскари (2) Альберто Аскари Нино Фарина Хуан Мануэль Фанхио Луи Розье Жан-Пьер Вимилль Эжен Шабу Герман Ланг Рудольф Xacce Рудольф Караччола Рене Дрейфус Тацио Нуволари Уильям Гровер-Вильямс Карло Конелли Луи Широн Антонио Аскари 
dataset/Dataset/data/3818203/table_5|2|91|пилот|Себастьян Феттель Фернандо Алонсо Кими Райкконен Марк Уэббер Льюис Хэмилтон 
dataset/Dataset/data/6877965/table_11|2|91|пилот|Пьер Гасли Антонио Джовинацци 
dataset/Dataset/data/389215/table_4|1|91|пилот|Михаэль Шумахер Мика Хаккинен Дэвид Култхард Рубенс Баррикелло Ральф Шумахер Джанкарло Физикелла Жак Вильнёв Дженсон Баттон Хайнц-Харальд Френтцен Ярно Трулли Мика Сало Йос Ферстаппен Эдди Ирвайн Рикардо Зонта Александр Вурц Педро де ла Роса Джонни Херберт Педро-Паулу Диниц Марк Жене Ник Хайдфельд Гастон Маццакане Жан Алези Лучано Бурти Пилот 
dataset/Dataset/data/1760416/table_0|3|91|пилот|Стирлинг Мосс Хуан-Мануэль Фанхио Вольфганг фон Трипс Мастен Грегори Джорджо Скарлатти Харри Шелл Майк Хоторн Тони Брукс Луиджи Муссо Чико Годиа Хорейс Гоулд Андре Симон Отторино Волонтерио Питер Коллинз Стюарт Льюис-Эванс Жан Бера Брюс Хэлфорд Харри Шелл Йо Бонниер Луиджи Пьотти 
dataset/Dataset/data/6630875/table_38|1|91|пилот|Ханс Стейси Фирдаус Кабиров Владимир Чагин Карл Садлауэр Андре де Азеведо Франц Эхтер Ёсимаса Сугавара Тэрухито Сугавара Петер Райф Мартин Мацик 
dataset/Dataset/data/3880269/table_15|1|91|пилот|Себастьян Феттель Фернандо Алонсо Марк Уэббер Льюис Хэмилтон Кими Райкконен Нико Росберг Ромен Грожан Фелипе Масса Дженсон Баттон Нико Хюлькенберг Серхио Перес Пол ди Реста Адриан Сутиль Даниэль Риккардо Жан-Эрик Вернь Эстебан Гутьеррес Валттери Боттас Пастор Мальдонадо Жюль Бьянки Шарль Пик Гидо ван дер Гарде Макс Чилтон Хейкки Ковалайнен 
dataset/Dataset/data/3713009/table_0|6|91|пилот|Себастьян Феттель Марк Уэббер Фернандо Алонсо Фелипе Масса Дженсон Баттон Серхио Перес Кими Райкконен Хейкки Ковалайнен Ромен Грожан Нико Росберг Льюис Хэмилтон Нико Хюлькенберг Эстебан Гутьеррес Пол ди Реста. Адриан Сутиль Пастор Мальдонадо Валттери Боттас Жан-Эрик Вернь Даниэль Риккардо Шарль Пик Гидо ван дер Гарде Жюль Бьянки Макс Чилтон 
dataset/Dataset/data/1283566/table_0|2|91|пилот|Найджел Мэнселл Ален Прост Ален Прост Нельсон Пике Ален Прост Ален Прост Нельсон Пике Ален Прост Карлос Ройтеман Карлос Ройтеман 
dataset/Dataset/data/385691/table_0|4|91|пилот|Алан Джонс Рене Арну Рене Арну Нельсон Пике Дидье Пирони Карлос Ройтеман Алан Джонс Алан Джонс Жак Лаффит Жан-Пьер Жабуи Нельсон Пике Нельсон Пике Алан Джонс Алан Джонс 
dataset/Dataset/data/3661577/table_1|1|91|пилот|Ханну Миккола Маркус Гронхольм Маркку Ален Томми Мякинен Тимо Мякинен Осмо Калпала Симо Лампинен Юха Канккунен Себастьен Лёб Яри-Матти Латвала Эйно Эло Ари Ватанен Тимо Салонен Отт Тянак 
dataset/Dataset/data/1823833/table_4|1|91|пилот|Николя Милан Оскар Ногес Джош Файлз Оскар Ногес 
dataset/Dataset/data/8808859/table_0|2|91|пилот|Сэм Бёрд Хосе Мария Лопес Алекс Линн Нельсон Пике-младший Оливер Терви Стефан Сарразан Том Дильманн Маро Энгель Том Дильманн Лоик Дюваль Майк Конвей Жером д’Амброзио Николя Прост Себастьен Буэми Пьер Гасли Лукас ди Грасси Даниэль Абт Феликс Розенквист Ник Хайдфельд Митч Эванс Адам Кэрролл Жан-Эрик Вернь Ма Цинхуа Эстебан Гутьеррес Стефан Сарразан Робин Фряйнс Антониу Феликс да Кошта 
