table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1019691/table_0|5|92|площадь|309.0 333.0 927.0 2393.0 655.0 1172.0 
dataset/Dataset/data/1027022/table_0|3|92|площадь|1137 930 817 
dataset/Dataset/data/1027131/table_0|3|92|площадь|555 1034 1973 
dataset/Dataset/data/1036405/table_0|3|92|площадь|4524 8368 9005 350 700 16842 670 940 150 160 260 60 29621 300 200 1000 650 80 950 950 370 270 460 390 160 70 320 110 2180 670 790 950 290 140 1970 320 2630 14445 2270 6684 8126 230 1350 920 880 351 768 2280 1902 210 3180 190 330 222 920 280 13813 1230 950 440 2250 9497 2387 8076 6010 320 340 230 2350 270 530 450 460 960 565 270 360 600 200 350 500 1670 280 190 24916 100 2810 440 950 160 700 850 1080 390 390 250 6635 4410 2820 580 210 641 720 
dataset/Dataset/data/1036548/table_0|3|92|площадь|825.0 631.0 215.0 1603.0 264.0 7232.0 2949.0 327.0 191.0 675.0 1645.0 501.0 227.0 4979.0 144037.0 1361.0 621.0 1028.0 1278.0 922.0 684.0 1875.0 47506.0 640.0 78.0 692.0 522.0 25732.0 2340.0 1470.0 389.0 128.0 1427.0 556.0 1316.0 4320.0 696.0 369.0 812.0 423.0 158.0 479.0 321.0 56199.0 97.0 168.0 202.0 2070.0 7372.0 2367.0 1910.0 2518.0 11536.0 1797.0 1099.0 841.0 1293.0 335.0 1517.0 2833.0 866.0 3770.0 2773.0 711.0 1134.0 676.0 1256.0 460.0 2959.0 7405.0 81.0 715.0 1627.0 576.0 758.0 979.0 262.0 263.0 382.0 650.0 874.0 438.0 8656.0 416.0 3220.0 2027.0 3149.0 1197.0 434.0 450.0 2512.0 8066.0 1493.0 2545.0 43014.0 167.0 375.0 405.0 782.0 4733.0 1637.0 2967.0 1425.0 1317.0 236.0 567.0 792.0 359.0 3095.0 1153.0 7243.0 108.0 961.0 1856.0 395.0 1096.0 718.0 750.0 228.0 2753.0 3356.0 736.0 1197.0 1080.0 1060.0 2020.0 650.0 3393.0 615.0 310.0 297.0 580.0 210.0 243.0 598.0 203.0 2400.0 901.0 324.0 400.0 2102.0 750.0 992.0 195.0 730.0 412.0 527.0 1214.0 49.0 37.0 1044.0 675.0 408.0 9084.0 1520.0 3602.0 828.0 989.0 1233.0 626.0 453.0 2458.0 6319.0 920.0 
dataset/Dataset/data/1078226/table_1|6|92|площадь|3 647,2 3 755,7 10 116,9 6 284,4 5 846,0 4 760,0 
dataset/Dataset/data/1080417/table_0|3|92|площадь|258,777 29405 694016 415914 461023 830112 1121671 998893 533320 707953 337298 947006 614761 836564 463863 777420 509204 674635 804983 584784 223100 424766 168557 920341 948,583 
dataset/Dataset/data/1080601/table_0|2|92|площадь|3792 145 1141 1106 174 742 892 3247 695 1489 1002 2872 501 1052 374 1601 752 739 1263 4958 351 1963 91 1400681 658 645 37 1024 1946 38 907 111 41 32 
dataset/Dataset/data/1113912/table_0|4|92|площадь|1 742,8 1 532,9 2 745,1 2 201,3 2 093,6 3 624,1 1 723,3 1 923,2 2 889,8 2 012,0 2 097,7 2 618,6 
dataset/Dataset/data/1116117/table_0|3|92|площадь|4478 864 1293 176 653 14 232 5878 27 574 
dataset/Dataset/data/1125072/table_0|5|92|площадь|2358 227 416 2 529 875 1 730 648 800 642 1 349 129 68 401 983 482 7 691 951 
