table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1006953/table_0|1|94|позиция|Вр Вр Вр Защ Защ Защ Защ Защ Защ Защ Защ Защ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ Нап Нап Нап Нап 
dataset/Dataset/data/1017345/table_2|1|94|позиция|Вр Вр Вр Защ Защ Защ Защ Защ Защ Защ Защ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ Нап Нап Нап 
dataset/Dataset/data/1017607/table_1|1|94|позиция|Вр Вр Вр Защ Защ Защ Защ Защ Защ Защ Защ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ Нап Нап Нап Нап 
dataset/Dataset/data/1020395/table_0|1|94|позиция|Вр Вр Вр Вр Защ Защ Защ Защ Защ Защ Защ Защ Защ Защ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ Нап Нап Нап Нап Нап Нап 
dataset/Dataset/data/1020395/table_2|0|94|позиция|1 2 3 4 4 6 7 8 9 10 
dataset/Dataset/data/1023232/table_4|0|94|позиция|ПЗ ПЗ ПЗ Защ Защ Защ ПЗ 
dataset/Dataset/data/1023834/table_0|1|94|позиция|Вр Вр Вр Защ Защ Защ Защ Защ Защ Защ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ ПЗ Нап Нап Нап Нап Нап 
dataset/Dataset/data/1028066/table_4|0|94|позиция|1 2 3 4 4 5 
dataset/Dataset/data/1040615/table_0|1|94|позиция|14 22 51 
dataset/Dataset/data/1046988/table_5|0|94|позиция|Защ ПЗ Нап Нап 
dataset/Dataset/data/1050720/table_0|1|94|позиция|13 17 19 24 30 62 10 
dataset/Dataset/data/1053071/table_2|1|94|позиция|Начало текста (или строки при модификаторе ?m) Конец текста (или строки при модификаторе ?m) Граница слова Граница слова Не граница слова Предыдущий успешный поиск 
dataset/Dataset/data/1070336/table_0|2|94|позиция|11 17 23 36 38 48 67 
dataset/Dataset/data/10776/table_1|4|94|позиция|184 >450 7704 + локальный диапазон (без списка) 114 ? 
dataset/Dataset/data/1101651/table_0|2|94|позиция|11 17 23 36 38 48 67 
dataset/Dataset/data/111124/table_0|2|94|позиция|1 55 13 
dataset/Dataset/data/1114067/table_0|1|94|позиция|3 5 11 24 4 1 1 1 14 12 36 13 2 5 2 3 4 6 
dataset/Dataset/data/1119117/table_2|1|94|позиция|2 41 24 44 1 29 14 47 11 66 29 4 1 15 36 29 31 20 38 
dataset/Dataset/data/1139227/table_0|1|94|позиция|7 3 7 3 166 11 11 58 1 9 32 7 5 1 
dataset/Dataset/data/118737/table_0|2|94|позиция|1 6 1 
dataset/Dataset/data/1206006/table_1|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 выбыл 21 22 выбыл выбыл DNQ 
dataset/Dataset/data/1206006/table_1|6|94|позиция|1.0 3.0 5.0 12.0 6.0 8.0 10.0 7.0 9.0 13.0 4.0 11.0 17.0 2.0 16.0 21.0 20.0 22.0 23.0 19.0 24.0 15.0 14.0 18.0 
dataset/Dataset/data/1207836/table_2|6|94|позиция|5 3 4 7 8 6 19 2 15 20 23 22 25 17 21 12 14 34 31 33 24 27 10 32 26 29 30 1 11 18 9 13 28 16 
dataset/Dataset/data/1207836/table_2|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 выбыл выбыл выбыл выбыл выбыл выбыл выбыл выбыл выбыл выбыл выбыл выбыл DNS DNS DNS 
dataset/Dataset/data/1227789/table_1|1|94|позиция|12 2 
dataset/Dataset/data/1234780/table_1|4|94|позиция|15 8 48 56 13 15 
dataset/Dataset/data/1236207/table_0|2|94|позиция|1 1 2 7 8 9 11 13 16 139 
dataset/Dataset/data/1242095/table_5|3|94|позиция|33 18 10 4 38 65 15 8 4 3 75 40 30 
dataset/Dataset/data/124982/table_1|1|94|позиция|9 3 18 16 7 18 4 6 43 Позиция 12 
dataset/Dataset/data/1251679/table_1|6|94|позиция|4 1 3 2 12 5 8 6 10 16 14 7 19 17 18 20 21 24 9 22 15 13 23 11 
dataset/Dataset/data/1251679/table_1|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 Сход Сход Сход Сход Сход Сход 
dataset/Dataset/data/1251679/table_2|6|94|позиция|2 1 7 13 5 4 16 11 6 14 21 17 22 8 18 15 28 26 29 30 32 19 35 33 36 34 38 31 3 12 10 9 25 24 23 37 39 20 27 
dataset/Dataset/data/1251679/table_2|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 Сход Сход Сход Сход Сход Сход Сход Сход Сход Сход Сход DNS 
dataset/Dataset/data/1278125/table_0|3|94|позиция|Тимо Шайдер Тимо Шайдер Тимо Шайдер Пол ди Реста Бруно Спенглер Маттиас Экстрем Том Кристенсен Тимо Шайдер Бернд Шнайдер Том Кристенсен Маттиас Экстрем 
dataset/Dataset/data/1282043/table_2|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 Сход Сход Сход Сход Сход Сход Сход Сход 
dataset/Dataset/data/1282043/table_2|6|94|позиция|13 3 1 5 2 15 4 23 8 7 14 10 17 21 25 12 16 27 11 20 24 33 29 34 30 32 37 36 35 38 26 19 6 31 18 22 9 28 
dataset/Dataset/data/130302/table_1|3|94|позиция|65 77 51 
dataset/Dataset/data/1304389/table_2|1|94|позиция|74 
dataset/Dataset/data/1317126/table_1|1|94|позиция|5 6 1 4 5 1 3 6 1 1 1 2 1 1 3 
dataset/Dataset/data/1343508/table_0|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 выбыл 
dataset/Dataset/data/1343508/table_0|6|94|позиция|2 5 3 4 12 10 1 15 6 13 11 7 9 14 17 16 18 8 
dataset/Dataset/data/1343512/table_1|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 выбыл выбыл выбыл выбыл выбыл выбыл 
dataset/Dataset/data/1343512/table_1|6|94|позиция|5 2 4 1 7 3 11 9 8 15 14 13 19 18 10 12 23 17 16 6 22 21 20 
dataset/Dataset/data/1343517/table_2|6|94|позиция|6 3 1 2 4 9 14 16 10 19 21 24 31 20 18 23 15 13 25 30 33 39 32 35 37 27 7 8 26 12 28 5 34 22 38 11 29 17 36 
dataset/Dataset/data/1343517/table_2|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 Сход Сход Сход Сход Сход Сход Сход Сход Сход Сход Сход Сход Сход Сход 
dataset/Dataset/data/1345591/table_1|1|94|позиция|7-е место 7-е место 3-е место 4-е место 9-е место 
dataset/Dataset/data/13510/table_2|0|94|позиция|1 2 3 4 5 6 7 8 9 10 
dataset/Dataset/data/1358987/table_0|6|94|позиция|3 8 10 1 9 15 5 2 6 13 11 16 12 17 20* 4 18 14 19 7 
dataset/Dataset/data/1358987/table_0|0|94|позиция|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 Сход Сход Сход 
dataset/Dataset/data/1366865/table_2|4|94|позиция|Нападающий Нападающий Нападающий Вратарь Нападающий Нападающий 
dataset/Dataset/data/1373174/table_4|1|94|позиция|13 49 3 31 9 22 56 
dataset/Dataset/data/1377784/table_1|6|94|позиция|1 4 3 7 10 11 14 6 12 8 17 13 16 20 18 21 24 25 5 2 22 23 19 15 9 
dataset/Dataset/data/139137/table_0|1|94|позиция|49 54 23 69 95 78 90 
dataset/Dataset/data/1397794/table_1|3|94|позиция|4 2 41 6 1 21 13 15 21 28 18 36 
dataset/Dataset/data/1406455/table_1|1|94|позиция|10 
dataset/Dataset/data/1410856/table_5|1|94|позиция|32 
